event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,537,301218,1,1.8319e-05,18000,0.553627,0.967171,1,1,1,1.00002,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[2.37447e+06,2.33835e+06]","[-0.593697,0.101335]","[0.000878859,-3.11027]","[2.80538e+06,2.35037e+06]","[0.0535164,0.00281143]","[-1,1]","[11,11]","[1,1]","[0,0]","[-839.025,19346.3]","[-0.0199401,0.0228212]","[2.57934,3.71759]",16381.4,2.42018,1,"[83926.6]","[1.59921]","[2.25717]","[216376]","[0.998928]","[0]","[0]","[-0.935802]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[25734.9,26223.4]",22664.3,"[8936.78]","[]","[]","[]"
3,284500,434,301218,1,1.8319e-05,18000,0.619412,0.956613,1,1,1,0.999734,0.99765,1,1,0,0,2,"[0,0]","[1,1]","[293474,275304]","[0.652612,1.82009]","[-2.78139,0.287683]","[358220,871950]","[-6.86646e-05,-0.0587692]","[1,-1]","[11,11]","[1,1]","[0,0]","[-751.587,-560.102]","[0.00874465,0.0459959]","[1.45006,1.499]",16998.8,-3.12524,1,"[32416.1]","[-0.591159]","[0.732722]","[38881.2]","[0.980567]","[0]","[0]","[-0.894474]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1868.63,2730.48]",491.439,"[2047.68]","[]","[]","[]"
4,284500,792,301218,1,1.8319e-05,18000,0.738662,0.968109,1,1,1,1,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[2.38642e+06,2.37294e+06]","[-0.88205,-0.189157]","[1.5917,-1.54803]","[3.37653e+06,2.41552e+06]","[0.0908964,0.0316468]","[1,-1]","[11,11]","[1,1]","[0,0]","[-9433.35,1458.59]","[-0.00696654,-0.000634619]","[0.61658,0.0730251]",19586.7,-1.0398,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[35395.5,23332.1]",11894.4,"[]","[]","[]","[]"
7,284500,814,301218,1,1.8319e-05,18000,0.738662,0.979489,1,1,1,1.00005,0.99765,1,1,0,0,2,"[0,0]","[1,1]","[2.04408e+06,2.04016e+06]","[-0.525249,0.749173]","[3.01295,-0.102789]","[2.33259e+06,2.63997e+06]","[-0.0551109,-0.0111504]","[1,1]","[11,11]","[1,1]","[0,0]","[-5221.55,6038.61]","[-0.0214745,0.00216102]","[2.92859,0.242102]",64904.9,1.8061,1,"[69053.3]","[0.325243]","[-1.52306]","[73991.7]","[0.989245]","[0]","[0]","[-0.928189]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[17326.6,18624]",14429.9,"[2022.36]","[]","[]","[]"
14,284500,1867,301218,1,1.8319e-05,18000,1.24168,0.963938,1,1,1,0.998412,1.00493,1,1,0,0,2,"[0,0]","[1,1]","[101320,82928]","[-1.14447,-0.665325]","[1.55078,-1.38736]","[175242,101970]","[-0.0730247,-0.0571938]","[-1,1]","[11,11]","[1,1]","[0,1004.48]","[-6.16638,-565.851]","[0.0145199,-0.00060861]","[1.9027,0.0772713]",8415.78,-1.43842,1,"[26664.8]","[-1.43412]","[-2.64263]","[59372.1]","[0.975541]","[0]","[0]","[-0.568377]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[657.811,285.559]",389.614,"[2205.92]","[]","[]","[]"
21,284500,511,301218,1,1.8319e-05,18000,0.619412,0.985702,1,1,1,0.999414,1.00632,1,1,0,0,2,"[0,0]","[1,1]","[2.39177e+06,2.36469e+06]","[0.874678,0.432339]","[2.46355,-0.675705]","[3.36653e+06,2.58915e+06]","[0.0050354,0.0389099]","[1,1]","[11,11]","[1,1]","[0,0]","[4248.64,-2119.25]","[-0.000115928,-0.00359185]","[0.0183051,0.71048]",48292.4,0.168358,1,"[128033]","[0.431617]","[0.109496]","[140839]","[0.990665]","[0]","[0]","[-0.88076]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[16446.3,17925.7]",787.051,"[4243.08]","[]","[]","[]"
24,284500,911,301218,1,1.8319e-05,18000,0.738662,0.959779,1,1,1,1,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[159385,145660]","[-0.445929,1.36022]","[-0.271397,2.82243]","[175497,302509]","[-0.0212402,-0.065731]","[1,-1]","[11,11]","[1,1]","[0,0]","[2439.91,-367.237]","[0.010636,-0.0156435]","[1.4294,2.02338]",18856.8,-3.0681,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1415,1824.74]",0,"[]","[]","[]","[]"
40,284500,697,301218,1,1.8319e-05,18000,0.738662,0.990068,1,1,1,0.998068,1.00306,1,1,0,0,2,"[0,0]","[1,1]","[1.15148e+06,1.10953e+06]","[0.988804,-1.86971]","[1.60031,-1.49665]","[1.76179e+06,3.68396e+06]","[0.0107479,0.010149]","[-1,1]","[11,11]","[1,1]","[0,0]","[270.578,-4635.96]","[-0.00680457,0.027281]","[1.02135,1.6331]",32362.8,-1.72771,3,"[35353,33499.3,23737.9]","[0.196548,0.271919,-1.34911]","[-3.03001,-2.26041,-2.34116]","[36808,35179.8,48972.5]","[0.966431,0.99861,0.986724]","[0,0,0]","[0,0,0]","[-0.642553,-0.899887,-0.68163]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6591.56,14567]",4146.04,"[2364.26,2161.6,2265.5]","[]","[]","[]"
47,284500,1921,301218,1,1.8319e-05,18000,1.24168,0.969242,1,1,1,1,0.9918,1,1,0,0,2,"[0,0]","[1,1]","[2.35014e+06,2.33908e+06]","[-0.723038,-0.0200513]","[1.01145,-2.1244]","[2.99168e+06,2.33955e+06]","[-0.028451,-0.0322031]","[1,-1]","[11,11]","[1,1]","[0,0]","[1000.8,3133.26]","[-0.013045,-0.00538905]","[1.64823,0.629705]",19757.2,-2.83418,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[22339.2,25915.8]",0,"[]","[]","[]","[]"
55,284500,551,301218,1,1.8319e-05,18000,0.619412,0.98459,1,1,1,0.996096,0.9918,1,1,0,0,2,"[0,0]","[1,1]","[1.92127e+06,1.81302e+06]","[-0.72812,0.772683]","[2.98438,-0.314515]","[2.45346e+06,2.38172e+06]","[0.0115871,0.00398827]","[-1,1]","[11,11]","[1,1]","[1201.31,1967.32]","[4603.58,1887.34]","[0.0220386,-0.00852722]","[3.20047,1.29291]",41936.1,-0.379622,3,"[266350,44710.6,27137.1]","[1.96742,1.64134,2.11633]","[0.888234,1.19065,-2.25788]","[972160,120016,114377]","[0.997168,0.941779,0.985001]","[4,0,5]","[0,0,0]","[-0.90417,-0.846284,0.981083]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[17087.2,23936.9]",15802.4,"[5462.58,4038.89,1288.44]","[]","[]","[]"
