event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
164,284500,390330,301222,1,0.00010332,986000,0.619412,1,0.996439,1,1,0.999935,1.00918,1,0,1,0,2,"[0,0]","[1,1]","[1.93977e+06,1.5787e+06]","[-0.346501,1.30709]","[0.871458,-2.16553]","[2.05739e+06,3.13058e+06]","[-0.101609,-0.0790982]","[-1,1]","[13,13]","[1,1]","[0,0]","[332.758,-545.353]","[-0.0270039,0.0336102]","[5.93703,8.28991]",279859,-2.35617,1,"[111906]","[1.79687]","[3.1374]","[347228]","[0.990439]","[0]","[0]","[-0.682971]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1.26042e+06,595290]",738.438,"[4308.14]","[]","[]","[]"
603,284500,396964,301222,1,0.00010332,986000,1.22586,1,1.0009,1,1,1.00003,1,1,1,1,0,2,"[0,0]","[1,1]","[582041,127079]","[1.43562,-1.92647]","[2.04734,-0.981324]","[1.2922e+06,445467]","[-0.00569534,-0.361187]","[-1,1]","[13,11]","[1,0]","[0,0]","[193.945,-24.3247]","[-0.00634491,-0.0116899]","[1.36488,1.18904]",497898,-0.961285,1,"[90067.9]","[-2.41188]","[-3.11955]","[506428]","[0.998425]","[0]","[0]","[-0.889422]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[20313.6,1428]",1913.91,"[4593.9]","[]","[]","[]"
725,284500,396525,301222,1,0.00010332,986000,1.26459,1,0.992497,1,1,0.999573,0.919965,1,0,1,0,2,"[0,0]","[1,1]","[2.1605e+06,1.54853e+06]","[-0.0987578,-0.73277]","[-0.495163,2.60357]","[2.17104e+06,1.98321e+06]","[0.0248833,-0.0162659]","[-1,1]","[13,13]","[1,1]","[0,0]","[-816.298,-816.298]","[-0.00457881,0.00591138]","[1.00669,1.23863]",636503,2.59259,2,"[49542.8,23501.4]","[-1.13285,-0.0456673]","[-1.67879,-1.84087]","[85632.6,23878.1]","[0.85696,0.975956]","[0,0]","[0,0]","[-0.488695,-0.810168]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1.57837e+06,654704]",19974.6,"[2337.44,4511.11]","[]","[]","[]"
730,284500,399208,301222,1,0.00010332,986000,1.55465,1,0.990548,1,1,0.998497,0.950631,1,0,1,0,2,"[0,0]","[1,1]","[362907,281239]","[-0.281264,0.718025]","[0.0156502,2.84055]","[377357,356906]","[-0.0393066,-0.00756645]","[1,-1]","[13,13]","[1,1]","[0,0]","[-766.023,-624.905]","[0.0165486,-0.017045]","[2.8559,3.82552]",29997.7,2.96478,2,"[97515.7,22202]","[2.22615,-2.43532]","[-1.58844,-1.0552]","[457068,127770]","[0.999722,0]","[0,0]","[0,0]","[-0.605576,-0.738182]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[50719.9,8526.92]",2435.68,"[6950.91,2098.91]","[]","[]","[]"
840,284500,400691,301222,1,0.00010332,986000,0.738662,1,1.00068,1,1,1,1.05401,1,0,1,0,2,"[0,0]","[1,1]","[1.96485e+06,1.54819e+06]","[1.06222,-0.81481]","[3.07191,-0.0650638]","[3.18155e+06,2.09119e+06]","[0.0450745,-0.00209427]","[1,-1]","[13,13]","[1,1]","[0,0]","[-579.569,-873.951]","[0.00333877,-0.00398311]","[0.685781,0.909441]",433117,-0.0449955,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1.1202e+06,116014]",1188.03,"[]","[]","[]","[]"
1281,284500,410856,301222,1,0.00010332,986000,0.187531,1,0.988348,1,1,0.998852,0.923452,1,0,1,0,2,"[0,0]","[1,1]","[1.69226e+06,980179]","[0.639956,-0.985044]","[1.10955,-2.01088]","[2.05078e+06,1.49544e+06]","[0.014492,0.005867]","[-1,1]","[13,13]","[1,1]","[0,0]","[1414.08,8564.53]","[-0.0100347,0.00500685]","[1.90102,1.10619]",739848,-1.98062,2,"[39136.6,26512.4]","[-1.28941,0.274844]","[2.85177,0.658839]","[76977.5,28061.1]","[0.946598,0.991064]","[0,0]","[0,0]","[-0.809289,-0.921681]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1.05712e+06,442677]",9613.25,"[2150.02,4881.46]","[]","[]","[]"
1749,284500,414551,301222,1,0.00010332,986000,1.25133,1,0.987271,1,1,0.999543,0.840903,1,0,1,0,2,"[0,0]","[1,1]","[1.16887e+06,1.00519e+06]","[-0.0924537,-0.687806]","[-1.80478,1.36087]","[1.17387e+06,1.25248e+06]","[0.0540009,-0.0187607]","[-1,1]","[13,13]","[1,1]","[0,0]","[342.275,702.124]","[0.0126568,-0.0127026]","[1.80468,2.46699]",139812,1.29562,1,"[26972.3]","[1.0597]","[0.989659]","[43889.6]","[0.999049]","[0]","[0]","[-0.870483]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[412906,39716.9]",4316.25,"[4862.84]","[]","[]","[]"
3122,284500,428288,301222,1,0.00010332,986000,0.75088,1,0.993642,1,1,0.997521,0.80497,1,0,1,0,2,"[0,0]","[1,1]","[1.26875e+06,937455]","[0.623927,-1.50284]","[-1.62966,1.67125]","[1.52382e+06,2.21095e+06]","[0.00220871,-0.0301552]","[1,-1]","[13,13]","[1,1]","[0,0]","[282.584,-428.396]","[-0.0245171,0.0246981]","[5.95569,4.80274]",219222,1.63121,4,"[114423,88973,33340.5,23212.8]","[-0.910288,1.0428,-0.388002,2.22984]","[-0.199387,0.361655,2.34774,1.54531]","[166358,142556,36660.3,109256]","[0.999573,0.913646,0.994225,0.991088]","[0,0,0,0]","[0,0,0,0]","[-0.731092,-0.697249,-0.934078,-0.933516]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[242549,124479]",20778.9,"[12087.3,10453.3,10165.1,2309.79]","[]","[]","[]"
3627,284500,432034,301222,1,0.00010332,986000,1.08735,1,0.977061,1,1,1,0.805161,1,0,1,0,2,"[0,0]","[1,1]","[3.53033e+06,1.45413e+06]","[0.876819,-0.576256]","[-1.85665,1.29572]","[4.97662e+06,1.70232e+06]","[-0.0272713,-0.0230331]","[-1,1]","[13,13]","[1,1]","[0,0]","[152.94,-154.416]","[0.00314095,-0.0021489]","[0.793382,0.426739]",2.07485e+06,1.27795,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7.05481e+06,185657]",0,"[]","[]","[]","[]"
3688,284500,432178,301222,1,0.00010332,986000,0.596562,1,0.984427,1,1,0.998602,0.874617,1,0,1,0,2,"[0,0]","[1,1]","[1.87657e+06,1.49451e+06]","[1.64196,-0.343294]","[0.137843,-2.97205]","[5.02817e+06,1.58344e+06]","[-0.0515251,0.0162315]","[-1,1]","[13,13]","[1,1]","[0,0]","[41.9987,-495.532]","[-0.0104214,0.0164276]","[2.70245,3.8025]",595659,-3.06504,1,"[21533.1]","[1.37845]","[-0.376345]","[45645.3]","[0.909967]","[0]","[0]","[-0.917924]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[418087,288235]",3106.44,"[3585]","[]","[]","[]"
3703,284500,432963,301222,1,0.00010332,986000,1.55465,1,1.00029,1,1,0.99931,0.94264,1,0,1,0,2,"[0,0]","[0,1]","[347970,163209]","[1.41529,0.165892]","[-0.503265,2.72158]","[758672,165460]","[-0.00545502,-0.0122986]","[-1,1]","[13,13]","[1,1]","[0,1616.86]","[-483.728,602.242]","[-0.0161188,0.00964212]","[3.41418,1.79442]",23516.9,2.89835,1,"[163541]","[0.638065]","[2.4875]","[198493]","[0.987389]","[0]","[0]","[-0.925425]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8787.94,2566.17]",1099.42,"[2017.61]","[]","[]","[]"
3758,284500,432231,301222,1,0.00010332,986000,1.55465,1,0.981122,1,1,1,0.975742,1,0,1,0,2,"[0,0]","[0,1]","[672865,583039]","[1.64324,-2.19742]","[1.85311,-1.25908]","[1.80505e+06,2.65657e+06]","[0.00236988,0.0514688]","[-1,1]","[13,13]","[1,1]","[0,0]","[-62.4822,316.616]","[0.00040149,0.0118397]","[0.0837345,2.80409]",91118.8,-1.47002,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[426583,3586.65]",0,"[]","[]","[]","[]"
