event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,68513,301324,1,3.1201,199000,0.506784,0.95205,0.996625,1,1,0.946745,0.840087,1,0,1,0,2,"[1,1]","[1,0]","[136857,8530.43]","[-0.446994,-2.14044]","[-2.59459,-1.86166]","[150759,36769.5]","[-0.0178108,0.00987244]","[-1,1]","[13,11]","[1,1]","[0,7449.95]","[-614.888,2277.82]","[-0.0085453,-0.0576737]","[1.97715,0.777823]",175057,2.59785,5,"[356507,287735,70010.2,32350.5,27881.9]","[-1.08129,-1.46033,-0.00208288,-0.879726,-1.61142]","[-1.19056,1.60371,0.667222,-0.806668,-1.29521]","[588662,653583,71094.9,45904.5,72667.1]","[1,1,0.992637,0.98681,1]","[0,5,0,0,0]","[0,1,0,0,0]","[-0.919212,0.992214,-0.926843,-0.626336,-0.343927]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11086.7,67.0667]",3113.44,"[4762.41,5538.3,1844.65,2353.05,2897.61]","[]","[]","[]"
4,284500,28153,301324,1,3.1201,199000,1.24168,0.933513,1,1,1,1.0865,0.99746,1,1,0,0,2,"[0,1]","[1,1]","[63333.5,40837.5]","[-1.52832,-1.00857]","[0.0612089,2.88864]","[152866,63428.9]","[-0.0255699,-0.00400925]","[-1,1]","[11,11]","[1,1]","[0,0]","[415.277,-418.971]","[0.0381039,0.00590487]","[2.93406,0.686874]",124233,0.306667,4,"[177230,31205.6,30889.9,20819.4]","[-0.818427,-1.52541,1.83032,-2.42985]","[-2.20439,1.62314,2.64377,1.85572]","[240378,75210,99056.6,119169]","[0.995226,0.98697,0.99,0.376903]","[5,0,0,5]","[1,0,0,1]","[-0.160056,-0.821754,-0.81545,-0.757485]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[535.33,281.238]",6015,"[14569.7,5410.41,2885.1,4299.46]","[]","[]","[]"
10,284500,75517,301324,1,3.1201,199000,0.596562,1.00588,0.990922,1,1,1.01715,1.00306,1,1,0,0,2,"[1,1]","[1,0]","[249765,70601.9]","[0.911366,-0.27411]","[0.936988,-2.013]","[360872,73271]","[-0.0361443,0.00693512]","[-1,1]","[11,13]","[1,1]","[0,0]","[1923.34,29.3327]","[-0.0193481,0.0259422]","[3.112,3.88142]",35197.5,-1.65373,3,"[136623,24974.5,24444.4]","[-0.133258,1.25805,-0.0461835]","[-2.71427,-1.87897,-0.519222]","[138698,47672.7,24863.5]","[0.984462,0.972902,0.992204]","[5,0,5]","[1,0,1]","[0.998601,-0.913055,0.615754]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2441.73,2755.83]",1422.99,"[1283.21,2005.07,1638.1]","[]","[]","[]"
11,284500,75512,301324,1,3.1201,199000,0.596562,0.97949,0.998327,1,1,1.01219,0.99672,1,1,1,0,2,"[1,1]","[1,1]","[85086.4,70652.9]","[2.20981,0.826012]","[0.831384,-2.32002]","[392408,96157.9]","[-0.00849247,-0.00875282]","[1,-1]","[13,11]","[1,1]","[0,0]","[337.243,996.934]","[-0.0301365,0.0265103]","[3.30809,3.35067]",50899.6,1.44675,3,"[127537,48582,26523.5]","[-0.472813,0.930242,1.0606]","[-2.10919,0.490812,1.17879]","[142342,71206.7,43225.1]","[0.986656,0.995249,0.998311]","[5,0,5]","[1,0,1]","[0.999687,-0.802054,0.999512]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8039.47,176.7]",5557.21,"[1517.67,2797.22,4282]","[]","[]","[]"
12,284500,75650,301324,1,3.1201,199000,0.596562,0.942438,1,1,1,0.89089,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[123084,23933.4]","[0.451396,0.267058]","[1.25822,-0.615156]","[135838,24792]","[0.01863,0.0831251]","[-1,1]","[11,11]","[1,0]","[0,0]","[-650.437,-96.0131]","[0.0265895,-0.251019]","[4.04664,2.04464]",76662,2.61335,2,"[216292,60935]","[-0.583866,1.13389]","[-1.31777,2.13376]","[254344,104703]","[0.998012,0.993979]","[5,5]","[1,1]","[0.986474,0.0883083]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1246.22,38.7624]",2722.98,"[1937.76,3418.02]","[]","[]","[]"
13,284500,76106,301324,1,3.1201,199000,0.934886,0.9823,0.98871,1,1,1.04531,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[112075,17113.4]","[0.180904,1.87185]","[0.704871,1.48464]","[113914,56937.8]","[-0.0681324,0.00328541]","[-1,1]","[11,13]","[1,1]","[0,0]","[-688.578,-289.308]","[0.00632278,0.0279959]","[0.9212,2.04421]",99239.7,-2.65582,5,"[104820,84607.7,52089.6,33048,28754.1]","[0.665404,2.05363,1.57568,0.805131,1.42453]","[-0.258771,-2.46989,-2.80339,1.264,1.23854]","[129347,335398,131363,44925.1,63428.4]","[1,0.99945,1,0.998735,1]","[5,0,5,0,0]","[1,0,1,0,0]","[0.999763,-0.304522,0.986101,-0.475507,-0.784867]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1058.69,51.9431]",2776.28,"[3906.97,4528.07,1413.06,2368.49,2025.74]","[]","[]","[]"
15,284500,77827,301324,1,3.1201,199000,1.08735,1,0.994002,1,1,0.93289,1.00883,1,0,1,0,2,"[1,0]","[1,0]","[164575,12033.9]","[-0.797479,0.486546]","[1.64014,-2.43299]","[219740,13487.1]","[0.0373058,-0.0033493]","[1,-1]","[13,13]","[1,1]","[0,1039.81]","[-146.627,-468.247]","[-0.0201132,-0.166174]","[3.67064,10.7339]",30989.5,-1.28461,3,"[94389,71327.7,32303.5]","[0.619764,1.65219,1.28546]","[-0.137742,-2.11202,-1.54377]","[113578,193308,62994.2]","[0.988994,0.997055,0.999147]","[0,5,15]","[0,1,1]","[-0.870322,-0.0545997,-0.876856]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1022.46,57.2954]",8136.62,"[2044,9288.5,3555.89]","[]","[]","[]"
24,284500,78109,301324,1,3.1201,199000,1.08735,0.97553,0.996394,1,1,0.890406,1.01265,1,1,0,0,2,"[1,1]","[1,0]","[93223.6,18046.5]","[1.59539,0.510813]","[2.04853,0.552423]","[239262,20452.8]","[0.0135365,0.0603046]","[-1,1]","[11,13]","[1,1]","[0,2260.91]","[-306.34,2326.83]","[0.0236601,0.00379403]","[1.48978,0.435528]",66860.2,0.910477,2,"[239434,86138.7]","[0.710338,0.604632]","[-1.83453,1.15077]","[303476,102902]","[0.995462,0.982469]","[5,5]","[1,1]","[0.931368,0.0328363]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[934.022,45.9749]",15600.5,"[2195.34,1249.78]","[]","[]","[]"
25,284500,97866,301324,1,3.1201,199000,0.934886,0.98916,1.01027,1,1,0.975604,0.99765,1,1,0,0,2,"[1,1]","[1,0]","[117823,50636.5]","[0.693152,-0.00937671]","[2.58782,-1.51496]","[147279,50638.8]","[-0.0909977,0.0226707]","[-1,1]","[11,13]","[1,0]","[0,0]","[-1552.18,-773.976]","[0.00559141,-0.033346]","[0.69329,3.39212]",78186.1,0.115012,2,"[141763,129648]","[-0.682035,0.453673]","[0.271102,-2.77752]","[176517,143870]","[0.998963,0.961557]","[0,5]","[0,1]","[-0.969078,-0.492829]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1057.83,772.765]",692.953,"[5967.99,5134.37]","[]","[]","[]"
26,284500,78523,301324,1,3.1201,199000,0.934886,1,0.994426,1,1,1.03297,0.926666,1,0,1,0,2,"[1,1]","[1,1]","[80444,61626.6]","[0.715004,-0.263062]","[1.75897,-0.90705]","[101898,63771.3]","[0.0129952,-0.0149064]","[1,-1]","[13,13]","[1,1]","[0,0]","[-393.712,264.435]","[-0.0155445,0.018404]","[2.55634,2.71078]",59944.9,1.94902,3,"[135485,55368.1,31544.7]","[0.336533,1.2633,-1.0098]","[-1.77226,0.358582,2.26503]","[144042,105841,49289.7]","[0.992994,1,0.99]","[5,5,0]","[1,1,0]","[0.996809,0.930142,-0.86478]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[498.197,893.003]",281.004,"[4749.11,4024.81,4543.08]","[]","[]","[]"
