event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,89,303512,1,0.4682,10000,0,1,0.992952,1,1,1,0.968027,1,0,1,0,2,"[1,1]","[1,0]","[60870.2,17559.8]","[2.38892,0.664821]","[1.72913,-1.00867]","[334587,21585.7]","[0.0735435,-0.0408783]","[1,-1]","[13,13]","[1,1]","[0,0]","[629.78,1509.7]","[0.00871031,-0.0115163]","[0.987976,0.984095]",60009.8,-1.96049,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1105.38,84.1451]",2849.29,"[]","[]","[]","[]"
2,284500,266,303512,1,0.4682,10000,0.351687,1,0.997676,1,1,0.999711,0.972345,1,0,1,0,2,"[1,1]","[1,1]","[68183.1,32248.6]","[-0.296338,-0.0122198]","[-2.54735,0.226682]","[71198.9,32251.2]","[0.00473785,0.0228958]","[1,-1]","[13,13]","[1,1]","[0,0]","[810.775,922.489]","[-0.00336242,-0.00786512]","[0.482281,1.10459]",31967,0.0255318,1,"[32430]","[-0.0919769]","[1.57266]","[32815.3]","[0.898722]","[0]","[0]","[-0.856841]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1651.53,45.6404]",121.084,"[4132.69]","[]","[]","[]"
4,284500,586,303512,1,0.4682,10000,0.619412,1,0.996348,1,1,0.999972,0.932556,1,0,1,0,2,"[1,1]","[1,1]","[44261.6,36167]","[-1.51329,-2.41837]","[0.857222,-3.03991]","[105383,204643]","[0.0360413,-0.0577087]","[1,-1]","[13,13]","[1,1]","[0,0]","[1298.73,-638.768]","[-0.0215893,-0.00810693]","[2.66518,0.849218]",62543.5,1.0148,1,"[79790.6]","[-0.381703]","[-1.3711]","[86711.4]","[0.992106]","[0]","[0]","[-0.95266]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[335.295,477.231]",2307.22,"[2707.56]","[]","[]","[]"
7,284500,1034,303512,1,0.4682,10000,0.506784,1,0.993494,1,1,1,1.02677,1,0,1,0,2,"[1,1]","[1,0]","[61567.2,32926]","[1.8958,1.48388]","[-0.904517,2.58156]","[209577,76335.1]","[-0.0283146,-0.0384789]","[-1,1]","[13,13]","[1,1]","[0,1403.56]","[-346.324,-358.506]","[-0.00491668,0.0104293]","[0.669693,1.08645]",48454,1.74382,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[186.008,65.6675]",0,"[]","[]","[]","[]"
8,284500,1218,303512,1,0.4682,10000,0.934886,1,1.00106,1,1,1,0.975961,1,0,1,0,2,"[1,1]","[0,1]","[80764.1,68569.2]","[1.41333,1.52579]","[2.95032,-2.07507]","[175781,165122]","[0.075819,-0.0607176]","[-1,1]","[13,13]","[1,1]","[0,0]","[-456.104,-287.891]","[0.0354755,0.0399294]","[5.06827,4.84836]",120580,0.37657,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[965.761,1038.28]",0,"[]","[]","[]","[]"
11,284500,1551,303512,1,0.4682,10000,1.55465,0.895447,1,1,1,1,0.99461,1,1,0,0,2,"[1,1]","[1,0]","[76056.4,18341.8]","[-2.02137,-0.361467]","[-2.22223,-0.5739]","[292100,19553.1]","[-0.137695,0.00476074]","[1,-1]","[11,11]","[1,0]","[0,0]","[-68.4667,310.902]","[-0.0119333,0.0612767]","[0.973264,5.10873]",75588.7,1.17813,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[360.692,251.456]",2451.49,"[]","[]","[]","[]"
12,284500,1843,303512,1,0.4682,10000,1.24168,1,0.987835,1,1,0.99769,0.988703,1,0,1,0,2,"[1,1]","[1,0]","[57300.8,14298.6]","[0.581678,-1.8048]","[-1.12401,-0.313002]","[67271.2,44635.1]","[-0.045517,0.0878773]","[-1,1]","[13,13]","[1,1]","[1185.7,2160.96]","[-407.211,-19.3154]","[0.0353446,-0.005748]","[5.29292,0.334061]",74711.5,2.90576,3,"[32096.5,26727.8,25266.9]","[-0.412551,-0.179567,-2.20368]","[0.688215,2.55105,-1.87231]","[35345.3,27554.4,115960]","[0.989514,0.999128,1]","[0,0,0]","[0,0,0]","[-0.934463,-0.7781,-0.902879]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[368.284,149.795]",1434.44,"[2394.4,2302.51,1762.88]","[]","[]","[]"
13,284500,1937,303512,1,0.4682,10000,1.26205,1,0.99244,1,1,1,0.832026,1,0,1,0,2,"[1,1]","[1,1]","[77870.7,52885.1]","[1.0264,1.69972]","[-0.0939328,-1.43821]","[122619,149536]","[-0.0654736,-0.0253496]","[-1,1]","[13,13]","[1,1]","[0,0]","[-838.405,-312.653]","[-0.0198294,0.0160288]","[3.28233,2.28471]",89062.7,2.41053,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[556.458,182.321]",0,"[]","[]","[]","[]"
15,284500,140,303512,1,0.4682,10000,0.187531,1,0.977315,1,1,1.00001,0.984198,1,0,1,0,2,"[1,1]","[0,1]","[60911.9,60810.3]","[1.65599,0.375727]","[-0.90635,-1.69676]","[165350,65153.4]","[-0.0923004,0.0386066]","[1,-1]","[13,13]","[1,1]","[0,0]","[-84.383,654.345]","[0.0163604,0.0242568]","[2.24598,4.49789]",110935,1.56906,1,"[50433.7]","[-0.978915]","[2.77459]","[77539.1]","[0.946411]","[0]","[0]","[-0.711871]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[750.775,503.232]",2174.94,"[2449.59]","[]","[]","[]"
16,284500,302,303512,1,0.4682,10000,0.553627,1,0.993309,1,1,0.999535,0.968219,1,0,1,0,2,"[1,1]","[1,1]","[52389.4,35115.1]","[-0.228105,-1.2996]","[-2.42379,1.84413]","[53758.4,69185]","[-0.00601959,-0.0151901]","[1,-1]","[13,13]","[1,1]","[0,0]","[-616.986,-440.43]","[-0.0154977,0.00511184]","[2.20563,0.646418]",104868,-1.43458,1,"[23213.9]","[-0.179088]","[2.36938]","[23983.9]","[0.954468]","[0]","[0]","[-0.888738]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[482.482,64.2525]",8927.91,"[1861.72]","[]","[]","[]"
19,284500,1030,303512,1,0.4682,10000,3.34815,1,1.0011,1,1,1,0.997181,1,0,1,0,2,"[1,1]","[1,0]","[84296.7,18784.5]","[-2.12544,-0.399284]","[0.611008,-0.598954]","[358090,20302.2]","[0.000419617,-0.0354843]","[-1,1]","[13,13]","[1,1]","[0,2990.88]","[162.048,-420.268]","[0.00984315,-0.012184]","[1.37083,0.974025]",81217.6,-2.69277,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1344.74,110.617]",0,"[]","[]","[]","[]"
