event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
11,284500,2463,305562,1,6.4079e-05,49000,0.596562,1,0.993373,1,1,0.999514,0.677264,1,0,1,0,2,"[0,0]","[1,1]","[3.2846e+06,2.01367e+06]","[0.771199,-0.0826686]","[-2.92223,0.256485]","[4.31073e+06,2.02055e+06]","[0.00264359,0.0154877]","[1,-1]","[13,13]","[1,1]","[0,0]","[26.4358,-276.556]","[0.0323729,-0.0283227]","[8.77492,5.00132]",1.33378e+06,0.21389,2,"[66152.4,45606.4]","[0.267799,1.42534]","[-1.60411,-2.88886]","[68929,100602]","[0.98,0.997433]","[0,0]","[0,0]","[-0.897618,-0.710936]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1.53061e+06,797369]",2383.25,"[2517.62,2960.97]","[]","[]","[]"
29,284500,1161,305562,1,6.4079e-05,49000,0.553627,1,0.984195,1,1,1,0.901612,1,0,1,0,2,"[0,0]","[1,1]","[2.25738e+06,1.12004e+06]","[0.570172,0.206431]","[-2.34046,0.800763]","[2.63436e+06,1.14398e+06]","[0.0338135,-0.0794144]","[1,-1]","[13,13]","[1,1]","[0,0]","[182.133,4305.49]","[-0.00915565,0.0121926]","[1.86197,1.98231]",1.13643e+06,0.801998,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2.69017e+06,409821]",0,"[]","[]","[]","[]"
36,284500,1311,305562,1,6.4079e-05,49000,0.738662,1,0.987338,1,1,1.00005,0.799462,1,0,1,0,2,"[0,0]","[1,1]","[1.81215e+06,1.54692e+06]","[0.572242,-0.326608]","[0.37293,-2.79335]","[2.11704e+06,1.63017e+06]","[0.0496063,0.0291595]","[-1,1]","[13,13]","[1,1]","[0,0]","[-221.033,248.057]","[0.0015751,-0.000800022]","[0.407842,0.197384]",205777,-2.77301,1,"[64506.9]","[-0.696995]","[-2.2516]","[81272]","[0.986234]","[0]","[0]","[-0.956313]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[388893,246666]",5625.45,"[6803.74]","[]","[]","[]"
55,284500,1764,305562,1,6.4079e-05,49000,0.553627,1,0.984963,1,1,1,0.749061,1,0,1,0,2,"[0,0]","[1,0]","[2.447e+06,2.11873e+06]","[-0.122967,0.233579]","[-2.73729,0.417235]","[2.46553e+06,2.17679e+06]","[-0.0546221,0.0138488]","[-1,1]","[13,13]","[1,1]","[0,1404.75]","[107.844,-418.259]","[-0.00785965,0.00491118]","[1.83456,1.27527]",322469,0.336539,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[560373,409188]",0,"[]","[]","[]","[]"
66,284500,2134,305562,1,6.4079e-05,49000,1.55465,1,0.992358,1,1,0.999279,0.811599,1,0,1,0,2,"[0,0]","[1,1]","[3.76996e+06,912584]","[0.554542,0.949322]","[1.779,-1.49597]","[4.36463e+06,1.35563e+06]","[0.0222511,-0.0362434]","[1,-1]","[13,13]","[1,1]","[0,0]","[-321.084,112.002]","[0.00350555,0.000900765]","[0.749004,0.197491]",2.47105e+06,-1.37384,3,"[265495,67195.8,61951.2]","[-0.508561,0.822486,1.99835]","[-0.807997,-0.180278,-2.49205]","[301247,91633,232796]","[0.99,1,0.990754]","[0,0,0]","[0,0,0]","[0.116019,-0.671554,-0.792288]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4.00909e+06,79318.1]",4857.25,"[7500.27,2801.01,3935.51]","[]","[]","[]"
85,284500,2349,305562,1,6.4079e-05,49000,1.74563,1,0.98607,1,1,0.998315,0.928508,1,0,1,0,2,"[0,0]","[1,0]","[9.38664e+06,2.96456e+06]","[0.19601,0.340285]","[1.8584,-1.27386]","[9.56754e+06,3.13786e+06]","[0.0638409,0.0294452]","[1,-1]","[13,13]","[1,1]","[0,0]","[548.558,-342.965]","[0.00950571,-0.00353712]","[2.482,0.815757]",6.43573e+06,-1.28132,2,"[39246.2,20375.4]","[0.450442,-2.41196]","[2.57934,-1.8617]","[43686.3,114589]","[0.989026,0.972248]","[0,0]","[0,0]","[-0.907672,-0.787657]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1.25037e+07,1.76962e+07]",12070.5,"[2036.56,6242.44]","[]","[]","[]"
97,284500,1324,305562,1,6.4079e-05,49000,0.738662,1,0.980601,1,1,1,1.01415,1,0,1,0,2,"[0,0]","[1,1]","[493509,429063]","[2.4186,-1.60376]","[-1.84063,1.3405]","[2.79306e+06,1.10974e+06]","[-0.0683079,0.0107698]","[1,-1]","[13,13]","[1,1]","[0,0]","[-570.738,-353.119]","[0.0173136,-0.018457]","[2.92009,3.88083]",26045.3,0.993569,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[114087,35801.7]",6944.96,"[]","[]","[]","[]"
128,284500,3071,305562,1,6.4079e-05,49000,0.696077,0.97994,0.993432,1,1,1,1.00632,1,1,1,0,2,"[0,0]","[1,1]","[1.70117e+06,243862]","[-0.643589,0.189387]","[-2.3939,0.750551]","[2.06582e+06,248248]","[0.00117493,0.00233459]","[-1,-1]","[13,11]","[1,1]","[0,0]","[2380.8,4541.61]","[0.0168069,-0.00195131]","[2.80275,0.223919]",1.4639e+06,0.741969,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[149267,2628.2]",19268.6,"[]","[]","[]","[]"
141,284500,4535,305562,1,6.4079e-05,49000,1.26205,0.98458,0.992402,1,1,0.999509,1.00582,1,1,1,0,2,"[0,0]","[1,1]","[1.71229e+06,129491]","[-0.898861,-0.356837]","[1.3226,-1.88906]","[2.45186e+06,137823]","[-0.00122452,-0.0713158]","[1,1]","[13,11]","[1,1]","[0,0]","[-509.742,8744.35]","[0.0108457,0.0579513]","[2.50967,3.42472]",1.57168e+06,-1.89533,4,"[131901,68866.9,43648.1,38370.3]","[1.43956,1.88191,0.538579,0.999226]","[-0.463975,-2.32653,0.639111,1.01692]","[294005,231580,50437.2,59498.1]","[0.993031,0.994061,0.991554,1]","[0,0,0,0]","[0,0,0,0]","[-0.958678,-0.863955,-0.837759,0.304086]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[414835,1545.04]",13278.1,"[16338.4,4782.48,2626.11,4276.77]","[]","[]","[]"
145,284500,4123,305562,1,6.4079e-05,49000,1.25133,1,0.987707,1,1,0.998601,1.02624,1,0,1,0,2,"[0,0]","[1,1]","[1.58787e+06,1.54167e+06]","[0.273054,-0.86447]","[-2.88333,0.311603]","[1.64744e+06,2.1545e+06]","[-0.0209045,-0.0150375]","[1,-1]","[13,13]","[1,1]","[0,0]","[-64.3625,-154.617]","[0.00851847,-0.0126555]","[1.9088,2.67699]",116477,0.449702,2,"[95933,31587.7]","[-1.13843,-1.28861]","[-2.03057,-1.53312]","[165305,61869.3]","[0.990207,0.981033]","[0,0]","[0,0]","[-0.864211,-0.796641]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[63502.6,160246]",6296.55,"[8773.16,2220.69]","[]","[]","[]"
