event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
5,284500,384,305568,1,2.3952,50000,0.619412,1,0.989773,1,1,0.999048,1.03821,1,0,1,0,2,"[0,0]","[1,1]","[292047,280029]","[-0.79039,0.678754]","[-0.78885,2.41787]","[388119,347050]","[-0.0173588,0.0114021]","[1,-1]","[13,13]","[1,1]","[0,0]","[2125.55,-284.472]","[-0.0160028,0.0165091]","[3.95644,3.96984]",28610,-0.140876,1,"[36013.8]","[-1.39783]","[1.83347]","[77511.6]","[1]","[0]","[0]","[-0.822768]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11325.3,21093]",4908.9,"[4859.98]","[]","[]","[]"
8,284500,1223,305568,1,2.3952,50000,0.164755,1,0.985439,1,1,0.987695,0.826478,1,0,1,0,2,"[0,0]","[1,1]","[342082,339242]","[0.245677,-0.370808]","[-1.56073,1.17411]","[352458,362833]","[0.0742111,0.0578842]","[1,-1]","[13,13]","[1,1]","[0,0]","[-379.247,-379.247]","[0.010896,-0.00515082]","[1.60707,1.23061]",28200.2,-1.88973,2,"[172754,39857.4]","[-1.92413,2.47863]","[2.76414,-0.170145]","[604419,239373]","[0.942247,0.989533]","[4,0]","[0,0]","[-0.892002,-0.820754]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[36689.2,37638]",2648.41,"[7443.61,7371.52]","[]","[]","[]"
26,284500,1218,305568,1,2.3952,50000,1.74563,1,0.992206,1,1,1,0.905538,1,0,1,0,2,"[0,0]","[1,1]","[446583,286773]","[-0.143711,-0.925349]","[2.40566,-0.765299]","[451203,418565]","[-0.11894,0.01472]","[1,-1]","[13,13]","[1,1]","[0,0]","[-39.7973,-512.291]","[0.0134339,-0.0159137]","[2.87126,3.5509]",6886.81,-1.66645,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2415.62,9320.99]",740.943,"[]","[]","[]","[]"
61,284500,89,305568,1,2.3952,50000,0.619412,1,0.99156,1,1,1,0.90898,1,0,1,0,2,"[0,0]","[1,1]","[444863,349004]","[1.37448,0.419906]","[-1.00024,2.13962]","[935544,380227]","[0.00364304,0.0103188]","[1,-1]","[13,13]","[1,1]","[0,0]","[-859.258,2106.29]","[-0.00461376,0.00564001]","[0.792723,1.23927]",80352,2.45342,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[70734.4,10205.4]",1995.71,"[]","[]","[]","[]"
75,284500,1354,305568,1,2.3952,50000,1.55465,1,1.00424,1,1,0.997461,1.09278,1,0,1,0,2,"[0,0]","[0,1]","[395934,310441]","[-0.0459066,-0.993882]","[-2.55317,-0.0186187]","[396351,476812]","[0.0597782,0.00933647]","[-1,1]","[13,13]","[0,1]","[0,0]","[-763.352,-775.868]","[0.00742805,-0.0143194]","[1.31691,3.25165]",52276.3,-0.364645,5,"[320633,203738,181418,67617.1,32326.2]","[-0.771182,-1.5113,0.696652,1.2676,1.07179]","[3.11085,0.789028,0.627783,-2.68389,-0.459828]","[420878,485197,228096,129805,53130.4]","[0.993735,0.992036,0.995674,1,0.98]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.588399,-0.513886,-0.942872,-0.722538,-0.762394]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[43532.7,20795.1]",11609.6,"[8431.85,6401.83,7563.1,2270.08,1928.09]","[]","[]","[]"
82,284500,128,305568,1,2.3952,50000,0.619412,1,0.996143,1,1,0.998176,0.971777,1,0,1,0,2,"[0,0]","[1,1]","[508902,228994]","[0.397625,1.26103]","[-3.13991,0.51146]","[549666,436512]","[0.0157852,0.0210361]","[-1,1]","[13,13]","[1,1]","[0,0]","[759.754,-151.702]","[-0.0241787,0.020617]","[5.34719,4.4948]",81537.6,-2.67855,3,"[402611,33039.1,20836.4]","[0.214,0.255667,-1.15781]","[-0.316849,2.52998,0.506177]","[413932,34638.8,36619.5]","[1,0.994988,0.946969]","[0,0,0]","[0,0,0]","[-0.928427,-0.515698,-0.891094]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[26420.1,6576.89]",20248.9,"[10054.6,2537.65,1131.29]","[]","[]","[]"
83,284500,621,305568,1,2.3952,50000,0.738662,1,0.997389,1,1,0.999446,0.964622,1,0,1,0,2,"[0,0]","[1,1]","[1.97515e+06,296672]","[1.02928,1.32393]","[-0.606809,2.26482]","[3.11711e+06,596939]","[0.0571976,-0.0168228]","[-1,1]","[13,13]","[1,0]","[0,0]","[967.771,-1335.21]","[-0.00192824,-0.00609549]","[0.290742,1.19462]",1.45927e+06,2.51508,2,"[128033,52894.6]","[-0.649751,0.452887]","[-2.85004,2.92611]","[156793,59426.2]","[0.994858,0.997363]","[0,0]","[0,0]","[-0.872554,-0.859236]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1.50002e+06,17593.7]",12674.6,"[2357.29,5676.73]","[]","[]","[]"
90,284500,1831,305568,1,2.3952,50000,1.74563,1,0.996443,1,1,1,0.916298,1,0,1,0,2,"[0,0]","[1,1]","[368829,326940]","[-0.377601,-1.3248]","[2.42731,-0.799524]","[395438,658341]","[0.0161285,-0.0363674]","[1,-1]","[13,13]","[1,1]","[0,0]","[-565.301,6757.69]","[0.0100144,-0.0069407]","[2.41598,1.52899]",37939.2,-1.55747,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10953.4,6345.41]",552.137,"[]","[]","[]","[]"
94,284500,726,305568,1,2.3952,50000,0,1,0.991972,1,1,0.999272,0.856877,1,0,1,0,2,"[0,0]","[1,0]","[458208,289316]","[0.13859,0.592034]","[-2.16563,0.880293]","[462616,341517]","[0.00672913,0.0260773]","[1,-1]","[13,13]","[1,1]","[0,0]","[-659.226,997.106]","[-0.0224776,0.0168863]","[4.86376,3.49622]",24682.4,1.20774,2,"[33581,21943]","[-0.364085,0.51083]","[1.76785,-0.932672]","[36363.3,25302.9]","[0.993716,0.976644]","[0,0]","[0,0]","[-0.878859,-0.512059]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[136095,12813.4]",4443.99,"[2562.77,1706.21]","[]","[]","[]"
95,284500,262,305568,1,2.3952,50000,0.187531,1,0.994273,1,1,0.998013,0.816701,1,0,1,0,2,"[0,0]","[0,1]","[451130,267009]","[1.53609,0.424738]","[-2.24322,0.884526]","[1.09661e+06,291457]","[0.0168915,0.066246]","[-1,1]","[13,13]","[1,1]","[0,0]","[471.558,-363.748]","[-0.0289303,0.0275168]","[7.06366,5.8809]",166954,0.780858,2,"[24822,22851.3]","[-0.168339,2.31778]","[-0.576904,2.87547]","[25647.2,117228]","[0.990099,0.96181]","[0,0]","[0,0]","[-0.760727,0.132717]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[13070.2,18923.2]",1484.97,"[2148.1,1797.36]","[]","[]","[]"
