event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
19,284500,1353,341122,30.237,0.340792,2.02072e+07,0.934886,0.96322,0.994476,1,1,0.997951,0.978678,1,0,1,0,2,"[0,0]","[1,0]","[86351.4,11160.7]","[-1.27022,-0.15896]","[-0.344288,-1.0571]","[165898,11302]","[0.0142403,-0.0406723]","[-1,1]","[13,11]","[1,1]","[0,0]","[693.091,62.8807]","[-0.0060613,0.0245436]","[1.25247,1.5979]",98274.4,-0.325526,2,"[169072,32196.9]","[0.452402,-2.18239]","[3.07648,1.87157]","[189353,144657]","[0.996283,1]","[0,0]","[0,0]","[-0.943099,0.34494]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[315.752,80.0468]",2009.03,"[3780.15,2150.73]","[]","[]","[]"
81,284500,28170,341122,30.2705,0.340792,2.02072e+07,1.26459,0.963798,1,1,1,1,0.99107,1,1,0,0,2,"[0,0]","[1,0]","[43589.1,8190.71]","[-1.90124,-0.940099]","[-0.760233,2.41776]","[149153,12084.7]","[0.0370541,-0.024437]","[-1,1]","[11,11]","[1,1]","[0,2157.55]","[317.957,-1643.36]","[-0.0146469,0.0012511]","[1.25529,0.0741266]",68246.4,2.05994,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[139.889,274.055]",4109.22,"[]","[]","[]","[]"
171,284500,27447,341122,30.2705,0.340792,2.02072e+07,0.187531,0.929989,1,1,1,0.998436,1.00324,1,1,0,0,2,"[0,0]","[1,0]","[33322,13666.8]","[0.513726,0.363028]","[0.0504164,-3.04347]","[37816.6,14577.4]","[-0.0932617,0.0197372]","[1,-1]","[11,11]","[1,1]","[0,0]","[139.887,2002.36]","[-0.0454561,0.000786766]","[4.68574,0.0779367]",20919.4,1.66182,1,"[27787.3]","[-2.43544]","[-2.29575]","[159984]","[0.193962]","[0]","[0]","[-0.822788]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[39.6122,102.958]",2341.92,"[4197.65]","[]","[]","[]"
202,284500,10460,341122,30.2652,0.340792,2.02072e+07,0.738662,0.884895,1,1,1,0.998927,0.96441,1,1,0,0,2,"[0,0]","[1,0]","[31448.7,19306.5]","[-0.827272,-0.301666]","[-2.32787,1.19502]","[42838,20191.6]","[-0.0528221,0.0299263]","[-1,1]","[11,11]","[1,1]","[0,0]","[-390.862,134.793]","[0.00921994,0.0046239]","[0.848807,0.357151]",22166.9,-2.51785,1,"[36137.6]","[-1.77232]","[0.508836]","[109536]","[0.998886]","[0]","[0]","[-0.479853]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[207.517,55.3638]",4803.72,"[5250.04]","[]","[]","[]"
213,284500,29341,341122,30.2705,0.340792,2.02072e+07,0.75088,0.95586,0.976862,1,1,1,0.96932,1,1,0,0,2,"[0,0]","[0,1]","[46741.8,32039]","[-0.0982202,0.604532]","[-0.6889,2.69244]","[46967.6,38073.9]","[0.0791626,-0.118317]","[1,-1]","[13,11]","[1,1]","[0,0]","[336.59,-641.078]","[-0.0528033,-0.0137414]","[5.69891,1.35323]",29062.5,-2.7808,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[317.112,62.4766]",3764.13,"[]","[]","[]","[]"
271,284500,34390,341122,30.2684,0.340792,2.02072e+07,1.32095,1,0.999251,1,1,0.998471,0.999985,1,0,1,0,2,"[0,0]","[1,0]","[30934.4,25371.9]","[-1.32575,-1.08159]","[0.836968,-1.47792]","[62342.5,41717]","[0.0122833,-0.0312347]","[-1,1]","[13,13]","[1,1]","[0,0]","[-810.102,-810.102]","[0.000217395,0.0285502]","[0.0182471,2.88356]",30970.8,-0.434195,1,"[25584.9]","[-1.2886]","[2.47649]","[50173.1]","[0.960187]","[0]","[0]","[0.0607218]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[178.497,150.011]",4461.89,"[2208.4]","[]","[]","[]"
308,284500,40609,341122,30.3346,0.340792,2.02072e+07,1.21412,0.99963,0.999512,1,1,0.998473,0.980103,1,0,1,0,2,"[0,0]","[1,0]","[33520.8,14358.9]","[1.17669,2.10468]","[-0.384226,0.987631]","[59531.7,59778.4]","[0.0540504,-0.72094]","[-1,1]","[13,11]","[1,1]","[1023.11,2586.41]","[-892.156,-223.406]","[-0.0350159,-0.140508]","[3.89504,6.35556]",92550.9,0.683381,2,"[81038.2,21643.5]","[-1.89938,2.34689]","[-1.91091,-2.73014]","[277052,114274]","[0.98375,1]","[0,0]","[0,0]","[0.056271,-0.498193]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[272.691,104.62]",4507.82,"[6937.72,1747.21]","[]","[]","[]"
430,284500,81851,341122,30.3038,0.340792,2.02072e+07,0.75088,1,0.992187,1,1,1,0.980283,1,0,1,0,2,"[0,0]","[1,0]","[27403.8,22850.2]","[-1.24451,-0.10825]","[-2.03475,1.21462]","[51509.7,22984.4]","[-0.0184784,0.0034256]","[-1,1]","[13,13]","[1,1]","[0,0]","[-111.923,69.5647]","[0.0655191,-0.0507369]","[6.72943,6.04922]",18445.7,0.476879,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[532.097,107.701]",1863.67,"[]","[]","[]","[]"
469,284500,82694,341122,30.3038,0.340792,2.02072e+07,1.55465,0.934343,1,1,1,1,0.98425,1,1,0,0,2,"[0,0]","[1,1]","[47046.5,23824.6]","[0.486661,-0.425919]","[-2.33541,0.747457]","[52728.5,26018.4]","[0.0330086,-0.0978546]","[1,-1]","[11,11]","[1,1]","[0,0]","[-675.259,556.664]","[0.0108912,0.0131655]","[0.708403,1.05375]",23639.2,1.0304,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[213.115,49.207]",0,"[]","[]","[]","[]"
471,284500,83165,341122,30.3038,0.340792,2.02072e+07,0.934886,0.896288,1,1,1,1,0.94939,1,1,0,0,2,"[0,0]","[1,0]","[33602.1,26392.3]","[1.27712,0.321289]","[-1.94332,1.57729]","[64938.3,27766.3]","[0.0206299,-0.109051]","[1,-1]","[11,11]","[1,1]","[0,0]","[-268.124,4011.32]","[-0.00164654,0.00398972]","[0.0706172,0.241268]",8681.93,0.316914,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[119.354,303.797]",0,"[]","[]","[]","[]"
