event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
230,284500,1800567,345324,28.4857,13.9733,5.58327e+07,1.74563,0.95205,0.996687,1,1,0.993934,0.856385,1,0,1,0,2,"[1,1]","[1,0]","[26629.5,8369.8]","[0.0159237,2.20021]","[1.90272,-2.34057]","[26633.1,38240.3]","[-0.0136166,-0.18586]","[1,-1]","[13,11]","[1,1]","[0,0]","[149.516,475.786]","[-0.0150113,-0.0125308]","[2.02527,0.470033]",49978.3,-0.619788,1,"[38525.8]","[0.66881]","[-2.93012]","[48105]","[0.99099]","[4]","[0]","[-0.171404]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[54.2404,92.2452]",1922.3,"[2964.75]","[]","[]","[]"
1105,284500,10462,345324,28.4857,13.9733,5.58327e+07,1.21412,0.898906,1,1,1,1.09787,0.99121,1,1,0,0,2,"[1,1]","[1,0]","[44852.9,15614.4]","[0.413726,0.647959]","[0.719766,1.78074]","[48746.6,19008.6]","[0.0805206,0.0726089]","[-1,1]","[11,11]","[1,1]","[1099.3,0]","[-151.163,1352.77]","[0.0298198,0.0108636]","[0.549633,0.939905]",73123.1,2.95339,1,"[41537]","[-1.46819]","[-1.02511]","[95330.6]","[1]","[4]","[0]","[0.896429]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[68.9862,130.755]",12192,"[3053.86]","[]","[]","[]"
1150,284500,14391,345324,28.4857,13.9733,5.58327e+07,0.696077,0.97388,1.00057,1,1,1,1.00161,1,0,1,0,2,"[1,1]","[0,1]","[41839.5,26507.4]","[-0.581557,-1.2339]","[-3.02855,1.32071]","[49116.4,49380.2]","[-0.0396118,0.0223236]","[1,-1]","[11,13]","[1,1]","[0,0]","[1300.83,-165.154]","[-0.0277568,-0.0256823]","[2.83428,1.82706]",46327.6,-0.501804,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[24.4896,323.994]",0,"[]","[]","[]","[]"
1249,284500,16752,345324,28.4857,13.9733,5.58327e+07,0.553627,0.869732,1,1,1,0.998774,0.70374,1,1,0,0,2,"[1,1]","[1,0]","[27713,11869.7]","[-2.41583,-1.54434]","[1.52952,0.485228]","[156417,29070.7]","[-0.694092,0.0386734]","[1,-1]","[11,11]","[1,1]","[1128.38,0]","[-312.365,561.089]","[0.000454642,0.0304288]","[0.0201773,1.39591]",75461.9,-1.95296,2,"[37871,28077]","[-1.50234,-0.959192]","[0.994672,1.29715]","[89443,42219]","[0.991358,0.993549]","[0,0]","[0,0]","[-0.864168,-0.4208]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[534.844,362.613]",1690.68,"[2212.71,2375.72]","[]","[]","[]"
1406,284500,1403729,345324,28.4857,13.9733,5.58327e+07,0.402058,0.94707,1,1,1,1,0,1,1,0,0,2,"[1,0]","[1,0]","[26152.3,9625.64]","[-0.968402,-1.95028]","[2.48595,1.76703]","[39404,34521.8]","[0.0230217,0.256245]","[1,-1]","[11,11]","[1,0]","[0,0]","[885.126,1777.35]","[-0.01791,0.0504423]","[1.12186,1.75554]",29226.2,-0.898033,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[68.25,117.519]",0,"[]","[]","[]","[]"
1588,284500,64485,345324,28.4857,13.9733,5.58327e+07,1.26459,0.975993,1,1,1,0.998083,0.96307,1,1,0,0,2,"[1,1]","[1,0]","[39010.8,8946.49]","[-1.07284,-0.745258]","[0.76445,0.711726]","[63698.7,11548.1]","[0.0426435,0.00193119]","[-1,1]","[11,11]","[1,1]","[0,0]","[-615.105,316.389]","[-0.00393694,-0.0015106]","[0.261221,0.0866865]",41999.8,-2.25508,2,"[27049,20674]","[-0.600885,2.19609]","[-1.47495,2.14857]","[32553.6,94099.4]","[0.987924,1]","[0,0]","[0,0]","[-0.866505,-0.215337]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[127.863,130.18]",618.863,"[1892.3,1301.77]","[]","[]","[]"
1929,284500,72362,345324,28.4857,13.9733,5.58327e+07,0.738662,0.905734,1,1,1,0.998396,1.00001,1,1,0,0,2,"[1,1]","[1,1]","[46189.9,27505.9]","[-1.98745,-2.18497]","[-0.738368,-0.163526]","[171687,123816]","[-0.0897732,0.0986824]","[1,-1]","[11,11]","[1,1]","[1097.02,0]","[48.8099,-331.912]","[0.0116674,0.0179351]","[0.960812,0.348545]",48151.4,1.67153,1,"[20025.2]","[-1.71765]","[-2.4546]","[57755.5]","[0.706137]","[0]","[0]","[-0.585077]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[234.858,119.639]",4340.87,"[1065.06]","[]","[]","[]"
1992,284500,77916,345324,28.4857,13.9733,5.58327e+07,1.26459,0.98916,0.997781,1,1,0.9952,0.99765,1,1,1,0,2,"[1,1]","[1,1]","[124494,80154.9]","[0.791158,0.495835]","[-1.23565,-1.5163]","[165531,90211.6]","[0.0966129,0.0371532]","[-1,1]","[11,13]","[1,1]","[0,0]","[2789.67,-701.309]","[0.0525469,-0.0214808]","[0.839831,2.82207]",38919.4,-2.57361,5,"[214589,47931.9,41863.7,24112.9,22225.6]","[2.02125,0.271877,-2.23991,1.30726,2.26181]","[1.3214,2.81536,0.766947,2.69102,-1.33299]","[824300,50550.7,198956,48240,107945]","[0.999941,0.998248,0.981896,0.980797,0.956567]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.876004,-0.919048,-0.865519,-0.76632,-0.743779]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[791.907,2379.73]",1950.9,"[3840.22,4261.42,2501.03,1835.59,2358.94]","[]","[]","[]"
2756,284500,1709919,345324,28.4857,13.9733,5.58327e+07,1.25133,0.9655,0.994776,1,1,0.999588,1.00324,1,1,0,0,2,"[1,1]","[0,1]","[67983.9,33092.4]","[0.993461,0.315543]","[1.88107,2.26642]","[104385,34753.5]","[0.0336037,-0.0679226]","[-1,1]","[13,11]","[1,1]","[0,1364.42]","[-501.841,743.097]","[0.00651856,0.00668045]","[1.03925,0.573823]",36855.5,-2.78454,2,"[56989.5,44523]","[1.87003,0.537754]","[-0.931706,-0.8975]","[189375,51714.3]","[1,0.986068]","[0,0]","[0,0]","[-0.340068,-0.819715]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[874.754,130.323]",1912.28,"[3196.47,3641.67]","[]","[]","[]"
2803,284500,1709551,345324,28.4857,13.9733,5.58327e+07,1.26205,1,0.995079,1,1,1,0.967804,1,0,1,0,2,"[1,1]","[1,0]","[32007.9,15028]","[-2.11486,-1.47955]","[-1.43618,2.47415]","[134579,34705.2]","[0.0274467,-0.021534]","[1,-1]","[13,13]","[0,1]","[1207.39,0]","[275.028,-337.66]","[0.016822,0.0244339]","[1.66468,1.54272]",34258.5,1.20906,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1084.96,70.5063]",0,"[]","[]","[]","[]"
