event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,737,345445,0.0321385,0.1501,29701.8,0.738662,0.94157,0.999319,1,1,1,0.99746,1,1,0,0,2,"[1,1]","[1,0]","[39609.2,7068.82]","[-1.96851,-0.325747]","[2.62911,1.08214]","[144567,7447.94]","[-0.0168381,-0.0668106]","[-1,1]","[11,13]","[1,1]","[0,0]","[3722.16,-782.196]","[0.0247281,-0.0103049]","[1.43338,0.478723]",53696.1,-0.165562,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[154.099,24.9982]",2423.28,"[]","[]","[]","[]"
6,284500,844,345445,0.0350757,0.1501,29701.8,0.351687,0.98697,0.995063,1,1,0.996668,1.00582,1,1,1,0,2,"[1,1]","[1,1]","[165303,33169.8]","[-0.572799,-0.930109]","[2.87581,2.63624]","[193171,48582.1]","[0.133448,0.0742207]","[-1,1]","[11,13]","[1,1]","[0,0]","[331.26,-906.592]","[-0.0110838,0.00594471]","[1.32511,0.664152]",197039,-0.259631,4,"[35222.7,33583.3,26291.7,22642.1]","[2.24496,0.245345,1.31805,0.768888]","[1.40127,-1.51458,2.09543,-1.91784]","[168304,35259.3,52965.8,30123.9]","[0.990977,0.99,0.991368,0.970394]","[0,0,0,0]","[0,0,0,0]","[-0.299094,-0.873222,-0.642083,-0.881639]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[943.547,125.834]",1928.97,"[5358.7,6168.69,2137.53,4136.05]","[]","[]","[]"
15,284500,1494,345445,0.0518235,0.1501,29701.8,0.402058,0.95894,0.995121,1,1,1,1.00721,1,0,1,0,2,"[1,1]","[1,0]","[90861.1,20856.6]","[0.414636,-0.499013]","[-0.640446,-0.410065]","[98784.3,23507.8]","[0.0799103,-0.0573845]","[-1,1]","[13,11]","[1,1]","[0,0]","[150.73,221.317]","[-0.00128472,-0.000568288]","[0.182633,0.0546015]",118984,2.51897,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1174.2,81.1673]",0,"[]","[]","[]","[]"
50,284500,1834,345445,0.0473749,0.1501,29701.8,1.08735,1.00802,0.998731,1,1,0.998397,0.997022,1,0,1,0,2,"[1,0]","[1,0]","[57492.8,9270.73]","[1.4949,1.21382]","[1.08287,1.4618]","[134624,16981.1]","[0.0164108,0.386541]","[1,-1]","[13,11]","[1,1]","[0,0]","[1167.9,318.963]","[0.00138835,-0.0179026]","[0.131763,1.05182]",45701.7,-1.90818,1,"[20797.9]","[-2.09559]","[-2.07339]","[85873.4]","[0.687644]","[0]","[0]","[-0.753886]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[385.184,174.919]",20603,"[1157.72]","[]","[]","[]"
91,284500,3689,345445,0.0321385,0.1501,29701.8,1.32095,0.93306,0.998207,1,1,0.998474,0.94953,1,1,1,0,2,"[1,1]","[1,1]","[186976,33578.3]","[-1.11136,-1.36409]","[-2.81449,-2.81162]","[314830,69973.5]","[-0.0220664,0.00343776]","[-1,1]","[13,11]","[1,1]","[36939.6,180812]","[-339.086,-655.261]","[0.00141449,0.0132139]","[0.218474,0.964355]",236195,0.26859,1,"[25349.8]","[-2.44457]","[3.03008]","[147301]","[0]","[0]","[0]","[0.178351]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12022.5,76.0995]",14122.4,"[2211.13]","[]","[]","[]"
110,284500,2886,345445,0.0321385,0.1501,29701.8,0.696077,1,0.993456,1,1,0.998147,0.98039,1,0,1,0,2,"[1,1]","[1,0]","[99199,91385.9]","[-2.18193,-1.59864]","[-1.68688,-1.95775]","[445216,235249]","[0.141174,0.067749]","[-1,1]","[13,13]","[1,1]","[0,0]","[-488.286,-488.286]","[0.00176297,0.0186215]","[0.329507,2.69734]",227174,1.4775,2,"[29787.4,24799.3]","[-0.379293,2.4568]","[-1.591,-0.33246]","[32251.9,145796]","[0.948926,0]","[0,0]","[0,0]","[-0.901238,-0.750788]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2113.56,2328.89]",526.031,"[4499.45,1764.25]","[]","[]","[]"
150,284500,5111,345445,0.0321385,0.1501,29701.8,1.22586,0.98916,1.00099,1,1,0.99854,1,1,1,1,0,2,"[1,1]","[1,1]","[81393.4,62648.5]","[0.800304,1.2341]","[-0.777126,-0.996949]","[108880,116726]","[-0.0360832,0.0601504]","[1,-1]","[11,13]","[0,1]","[0,0]","[1794.12,500.197]","[-0.0178525,-0.00949405]","[2.8693,1.29472]",163310,2.6977,2,"[40409.2,31243.3]","[0.485428,-2.44778]","[1.15628,-0.307371]","[45808.7,182043]","[0.99742,0]","[0,0]","[0,0]","[-0.890981,-0.841834]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[258.494,1033.27]",18005.6,"[2013.35,3219.1]","[]","[]","[]"
180,284500,5645,345445,0.0365748,0.1501,29701.8,1.26459,0.95055,0.995883,1,1,0.999136,0.86578,1,0,1,0,2,"[0,1]","[1,1]","[40116.6,26808.2]","[0.662202,1.00933]","[-2.75697,2.89915]","[49238.6,41663.1]","[-0.151367,0.0373001]","[1,-1]","[13,11]","[1,1]","[0,1095.78]","[311.742,-837.405]","[-0.0881561,0.000699646]","[13.3431,0.0592772]",107961,-0.462599,2,"[43518.6,36155.5]","[1.78654,0.82341]","[2.71815,1.32536]","[133733,49406.3]","[1,0.998339]","[0,0]","[0,0]","[-0.743213,-0.64148]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[91.9924,79.1614]",2861.27,"[3236.3,2824.29]","[]","[]","[]"
184,284500,7086,345445,0.0615674,0.1501,29701.8,1.25133,1,0.987422,1,1,1,1.01222,1,0,1,0,2,"[1,1]","[1,1]","[75240.7,51588.6]","[1.92864,1.55891]","[2.08891,1.57442]","[264302,128043]","[-0.098896,-0.0227203]","[1,-1]","[13,13]","[1,1]","[1535.2,0]","[2115.84,-519.47]","[0.015384,0.050616]","[2.30418,4.57214]",111792,-1.40403,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2090.21,366.306]",14279.8,"[]","[]","[]","[]"
190,284500,7917,345445,0.0321385,0.1501,29701.8,0.696077,0.960925,1,1,1,0.999589,0.99544,1,1,0,0,2,"[1,1]","[1,0]","[362516,92294.2]","[1.1797,1.04253]","[0.0756829,0.242121]","[645415,147160]","[0.0503044,0.00854492]","[-1,1]","[11,11]","[1,1]","[83051.4,654976]","[-1687.22,491.528]","[-0.0272868,-0.0161456]","[4.61414,1.89178]",463892,-3.09602,1,"[26509.9]","[-0.949642]","[-1.30675]","[39824]","[0.990988]","[0]","[0]","[0.157569]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4763.73,526.236]",640.719,"[3487.39]","[]","[]","[]"
