event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
7,284500,4963,361100,11450.9,11500.5,4.73389e+11,0.934886,0.96257,0.999319,1,1,1,0.99379,1,1,0,0,2,"[1,0]","[1,0]","[42600.8,7463.69]","[-1.71709,-0.246659]","[2.63823,-2.70649]","[122432,7692.62]","[-0.0635757,52.1989]","[1,-1]","[11,13]","[1,0]","[0,0]","[432.46,-164.624]","[0.0347579,-0.0114783]","[2.65321,0.72113]",42696.1,-0.321349,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[294.528,14.9804]",0,"[]","[]","[]","[]"
19,284500,10087,361100,11456.3,11500.5,4.73389e+11,0.00292683,0.97003,1.00808,1,1,0.999067,0.97256,1,1,0,0,2,"[0,1]","[0,1]","[72305.3,44484.9]","[-0.0216064,0.871567]","[-1.85102,-1.89897]","[72322.2,62477.9]","[-25.4426,0.00469208]","[-1,1]","[13,11]","[0,1]","[2287.77,0]","[33.7684,-762.507]","[-4.88773,-0.0146512]","[158.08,1.68989]",100872,0.87276,2,"[21431.1,21067.6]","[-0.712814,0.651604]","[2.38419,1.99064]","[27573,26233.9]","[0.994989,0.98998]","[0,0]","[0,0]","[-0.444292,-0.778399]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1914.68,28.5904]",31.4766,"[2888.71,1219.26]","[]","[]","[]"
32,284500,412377,361100,11461.5,11500.5,4.73389e+11,0.75088,0.9364,0.996359,1,1,0.999035,0.8297,1,1,0,0,2,"[1,0]","[1,0]","[28161.1,11451.6]","[2.25438,0.986541]","[2.40879,0.957163]","[135656,17491.5]","[-0.073843,0.426438]","[1,1]","[11,13]","[1,1]","[0,0]","[1074.74,-224.806]","[0.0180527,0.112415]","[0.852574,9.0672]",59078.3,-1.37131,2,"[22592.1,20822.2]","[0.283034,-0.509709]","[0.786511,2.26053]","[23967.1,24011.1]","[0.652381,0.803088]","[0,0]","[0,0]","[-0.822514,-0.819801]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[957.983,39.976]",10674.2,"[4140.83,1150.35]","[]","[]","[]"
37,284500,419815,361100,11459.4,11500.5,4.73389e+11,1.74563,0.92001,1.00123,1,1,1,0.87288,1,1,0,0,2,"[1,0]","[1,0]","[27671,7390.34]","[2.00752,1.20164]","[-0.234985,-1.31745]","[104861,13400.1]","[0.00710297,170.405]","[1,1]","[11,13]","[1,1]","[0,0]","[1305.05,2953.17]","[0.00454592,0.0172646]","[0.165293,1.01013]",51959.4,2.54616,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[255.487,31.3495]",21876.7,"[]","[]","[]","[]"
41,284500,423113,361100,11455.9,11500.5,4.73389e+11,1.26205,0.982164,1,1,1,1,0.98425,1,1,0,0,2,"[1,0]","[1,0]","[47948.8,7827.31]","[0.243974,1.04199]","[1.79527,-1.5789]","[49382.9,12475.1]","[0.0296097,-42.6771]","[1,-1]","[11,11]","[1,1]","[0,0]","[1885.29,1642.73]","[-0.0115833,-0.0730115]","[1.14496,2.40291]",27475.7,-0.621734,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[106.979,119.34]",16617.4,"[]","[]","[]","[]"
63,284500,451818,361100,11452.6,11500.5,4.73389e+11,1.21412,0.920432,1,1,1,0.999596,0.96793,1,1,0,0,2,"[1,0]","[1,0]","[44329.9,7350.76]","[-1.12327,-2.09703]","[0.298377,-1.86087]","[75363.4,30376.2]","[0.0117111,4.93814]","[1,-1]","[11,11]","[1,1]","[0,0]","[659.766,2582.87]","[0.0213324,0.0660306]","[2.23742,1.40575]",78844.9,-0.219171,2,"[102576,50975.5]","[-1.80955,1.41365]","[-2.7601,1.82603]","[321780,111191]","[0.995641,0.987702]","[0,0]","[0,0]","[-0.90586,-0.959265]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[98.7834,108.625]",7652.61,"[6805.35,5927.85]","[]","[]","[]"
69,284500,442592,361100,11454.1,11500.5,4.73389e+11,0,0.941001,1,1,1,1,0.91897,1,1,0,0,2,"[1,0]","[1,0]","[29629,8156.18]","[1.23934,0.655751]","[-0.235774,3.07785]","[55449.3,9973.55]","[0.0320053,-224.775]","[1,1]","[11,11]","[1,1]","[0,0]","[-374.651,-197.173]","[-0.0120611,-0.0445434]","[0.973895,2.03029]",26352.4,2.67016,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[77.9535,43.2901]",0,"[]","[]","[]","[]"
99,284500,480388,361100,11456.9,11500.5,4.73389e+11,1.74563,0.969897,1,1,1,1,0.97108,1,1,0,0,2,"[1,0]","[1,0]","[38060.5,9368.27]","[0.706357,-1.00168]","[2.25668,-1.95439]","[47956.8,14474.5]","[0.0488734,37.6076]","[1,-1]","[11,11]","[1,0]","[1521.03,0]","[783.687,1398.76]","[-0.0310925,-0.00786046]","[1.66467,0.377226]",37459.6,-0.54168,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[34.9862,116.794]",16708.9,"[]","[]","[]","[]"
102,284500,485094,361100,11459.7,11500.5,4.73389e+11,1.55465,0.95684,0.991986,1,1,1,0.96441,1,1,0,0,2,"[1,0]","[1,0]","[32214,10312.6]","[-0.908571,-1.29021]","[2.535,0.369757]","[46450.6,20155.1]","[0.00707436,-52.4762]","[1,-1]","[11,13]","[1,1]","[0,0]","[1117.86,12.2444]","[-0.0205381,0.0209435]","[1.38587,1.37824]",31586.5,-1.02832,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[31.4398,21.6828]",0,"[]","[]","[]","[]"
149,284500,727477,361100,11455.5,11500.5,4.73389e+11,0.596562,0.94196,0.999319,1,1,1,0.9876,1,1,0,0,2,"[1,0]","[1,0]","[33865.7,7970.01]","[-1.90975,-0.213495]","[2.58881,-0.886311]","[116829,8153.02]","[-0.150906,55.6538]","[1,-1]","[11,13]","[1,0]","[0,0]","[177.474,-78.8958]","[0.0143752,0.00826457]","[0.955975,0.384028]",24256.6,-0.728577,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[658.234,17.0174]",0,"[]","[]","[]","[]"
