event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
7,284500,2139028,361104,8439.38,8579.63,2.64338e+11,1.08735,1,0.995624,1,1,0.99973,0.998696,1,0,1,0,2,"[1,0]","[1,0]","[53356.3,7652.35]","[-2.1872,-0.419177]","[0.652845,-0.403447]","[240703,8335.22]","[-0.122143,49.5625]","[-1,1]","[13,13]","[0,1]","[0,0]","[-5.48318,1771.29]","[0.017348,-0.124112]","[2.17995,8.44213]",44892.8,-3.06911,1,"[32637.2]","[0.773334]","[-1.32841]","[43268.1]","[0.995299]","[0]","[0]","[-0.699817]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[687.5,20.0655]",158.828,"[2152.73]","[]","[]","[]"
23,284500,2446557,361104,8437.57,8579.63,2.64338e+11,1.74563,1.01425,0.993424,1,1,1,0.90898,1,0,1,0,2,"[1,0]","[1,0]","[31458.8,8300.09]","[0.435862,0.647348]","[2.20674,-1.32755]","[34494.7,10100.8]","[0.0338936,0.0191154]","[-1,1]","[13,11]","[1,1]","[0,1306.11]","[-354.347,2758.78]","[0.0142136,0.0249711]","[1.53188,1.03462]",15776.6,-0.867924,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[81.4837,146.824]",0,"[]","[]","[]","[]"
41,284500,2370372,361104,8433.19,8579.63,2.64338e+11,1.74563,1,0.987741,1,1,0.99845,0.987469,1,0,1,0,2,"[1,0]","[1,0]","[36504.3,14064.1]","[-1.95978,-2.16837]","[1.84512,-1.26488]","[132121,62292.5]","[0.0744972,-0.0747299]","[-1,-1]","[13,11]","[1,0]","[0,3400.97]","[-67.5114,-283.263]","[-0.000195431,0.0912913]","[0.021941,1.34661]",34249.8,-0.30642,1,"[26861.9]","[-1.3286]","[-2.97775]","[54515.2]","[0.993703]","[0]","[0]","[-0.818828]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[43.3704,142.55]",1757.57,"[2663.96]","[]","[]","[]"
48,284500,2825714,361104,8438.44,8579.63,2.64338e+11,0.934886,1,0.987927,1,1,1,0.994479,1,0,1,0,2,"[1,0]","[1,0]","[52617.6,7825.42]","[1.65669,-1.9149]","[-3.06099,-1.66498]","[142927,27129.1]","[-0.000253677,-77.8356]","[-1,1]","[13,11]","[1,0]","[0,0]","[634.197,2859.65]","[0.00934748,0.0102903]","[1.27547,0.18209]",64834.6,0.264457,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[475.423,83.243]",0,"[]","[]","[]","[]"
50,284500,2841011,361104,8435.37,8579.63,2.64338e+11,1.74563,1.01425,1.00111,1,1,1,0.925345,1,0,1,0,2,"[1,0]","[1,0]","[38610,7480.2]","[-0.248931,0.50444]","[2.49711,-2.29387]","[39812.6,8452.26]","[0.0173841,7.98842]","[-1,-1]","[13,11]","[1,0]","[0,0]","[-27.7559,1506.05]","[0.0190662,0.0340017]","[2.58374,1.78027]",46694.5,-0.334452,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[132.783,61.147]",0,"[]","[]","[]","[]"
54,284500,2395917,361104,8427.27,8579.63,2.64338e+11,1.24168,0.99963,0.993938,1,1,1.00952,0.972908,1,0,1,0,2,"[1,0]","[1,0]","[40199.6,10790.6]","[-0.604212,-2.37335]","[2.64918,-0.753315]","[47763.6,58411.6]","[-5.05447e-05,25.134]","[-1,1]","[13,11]","[1,1]","[0,0]","[2280.04,2093.41]","[-0.00175724,-0.00849092]","[0.240641,0.119183]",12989.3,-1.71656,1,"[24121.7]","[1.08093]","[0.135585]","[39966.9]","[0.991558]","[4]","[0]","[-0.408167]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[228.294,76.4065]",2508.46,"[5709.93]","[]","[]","[]"
64,284500,2845773,361104,8436.72,8579.63,2.64338e+11,1.55465,1,0.993786,1,1,0.999471,0.992472,1,0,1,0,2,"[1,0]","[1,0]","[25730.7,9100.82]","[-2.34972,-0.31323]","[1.52698,0.917688]","[136091,9551.52]","[0.150947,11.2547]","[-1,-1]","[13,13]","[1,1]","[0,0]","[-151.505,464.668]","[0.00180948,-0.203602]","[0.103894,15.3669]",76435.3,-1.19292,1,"[51601.8]","[-1.95521]","[2.37975]","[186027]","[0.999407]","[0]","[0]","[-0.829265]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[320.999,30.0631]",5787.96,"[12063.6]","[]","[]","[]"
84,284500,3035400,361104,8431.89,8579.63,2.64338e+11,1.74563,1.00802,0.995751,1,1,1,0.897128,1,0,1,0,2,"[1,0]","[1,0]","[42052.4,9277.93]","[0.706275,-0.88628]","[-0.600669,2.34584]","[52984.2,13166.7]","[0.0314255,-0.0382423]","[-1,-1]","[13,11]","[1,1]","[0,1623.34]","[-447.89,3023.83]","[0.00740907,-0.00834767]","[0.751603,0.243911]",26078,2.79362,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[133.874,72.3036]",0,"[]","[]","[]","[]"
98,284500,4164142,361104,8429.48,8579.63,2.64338e+11,1.08735,1.01425,0.997514,1,1,0.999129,0.998696,1,0,1,0,2,"[1,0]","[1,0]","[30656.9,8849.11]","[-2.19456,0.686594]","[0.308433,3.03909]","[139297,11018.1]","[18.7643,0.225538]","[-1,-1]","[13,11]","[1,0]","[0,4165.5]","[-232.187,5149.23]","[0.0132648,0.205558]","[1.24415,7.825]",81318.4,3.04362,4,"[72237.6,54244.9,27274,24335.3]","[1.88368,0.839804,0.830676,-0.322613]","[0.500719,-2.77001,-0.629842,0.092532]","[243375,75033.8,37411.9,25907]","[0.990353,0.998367,0.992388,1]","[0,0,0,0]","[0,0,0,0]","[-0.932737,-0.6421,-0.821371,-0.901813]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[203.669,65.9517]",2523.03,"[6850.08,2617.71,3233.66,4082.11]","[]","[]","[]"
99,284500,2425686,361104,8431.26,8579.63,2.64338e+11,0,1,1.0084,1,1,1,0.938722,1,0,1,0,2,"[0,1]","[0,1]","[33590.5,31386.3]","[-0.0549175,-2.03268]","[2.99215,1.28038]","[33641.3,121865]","[79.4544,-0.144114]","[1,-1]","[13,13]","[0,1]","[0,0]","[1595.43,1046.67]","[3.46548,-0.0129213]","[82.5939,1.10956]",45062.8,-1.42509,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[84.269,144.839]",10630.8,"[]","[]","[]","[]"
