event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
9448,284500,94366,361106,1941.86,1950.53,1.50278e+11,1.24168,0.905237,1,1,1,0.999767,0.93884,1,1,0,0,2,"[1,0]","[1,1]","[53359.9,35546.9]","[1.17324,1.22563]","[2.23352,-0.0119308]","[94495.5,65759.7]","[0.0534554,-0.0801888]","[-1,-1]","[11,11]","[1,0]","[0,0]","[1006.82,-747.702]","[0.025293,0.0351923]","[2.9217,2.52066]",19718.4,-2.47653,1,"[60929.3]","[-2.01267]","[-1.31615]","[232266]","[1]","[0]","[0]","[-0.918867]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[94.591,183.935]",2128.07,"[3187.99]","[]","[]","[]"
22637,284500,77775,361106,1940.36,1950.53,1.50278e+11,0.923924,0.939049,1,1,1,1,0.99121,1,1,0,0,2,"[1,1]","[1,1]","[43442.7,42468.2]","[0.19228,0.770236]","[-0.518635,2.63359]","[44248.2,55700.9]","[0.0176201,-0.0379295]","[-1,1]","[11,11]","[1,1]","[0,3478.96]","[1407.51,-39.7532]","[-0.00555168,0.00807525]","[0.725717,0.731094]",19775.5,-0.390699,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[106.656,47.3431]",0,"[]","[]","[]","[]"
39637,284500,323253,361106,1942.02,1950.53,1.50278e+11,0.738662,0.96611,1,1,1,1,0.97504,1,1,0,0,2,"[1,1]","[1,0]","[44134.3,42246.4]","[0.707106,0.0969647]","[-2.87532,0.271876]","[55635.4,42445.1]","[-0.0193176,-0.0734863]","[1,-1]","[11,11]","[1,0]","[0,0]","[-200.82,-37.9261]","[-0.0137661,0.10815]","[1.39876,1.54205]",4416.83,0.150719,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[56.7992,71.3279]",0,"[]","[]","[]","[]"
44182,284500,176293,361106,1941.16,1950.53,1.50278e+11,0.75088,0.904978,1,1,1,1,1,1,1,0,0,2,"[1,1]","[1,1]","[42759.7,41033.4]","[-1.26764,-2.04614]","[0.834806,-2.49883]","[81969.4,161409]","[0.00351334,0.184849]","[1,-1]","[11,11]","[1,0]","[0,0]","[-1402.1,2958.43]","[-0.0123598,0.227273]","[0.897408,4.93492]",2919.21,1.42084,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[152.697,257.422]",0,"[]","[]","[]","[]"
50173,284500,490259,361106,1941.51,1950.53,1.50278e+11,1.08735,0.921658,1,1,1,1,0.99741,1,1,0,0,2,"[1,1]","[1,1]","[46281.2,40296]","[1.61221,2.17298]","[-0.0286423,-3.06934]","[120639,179282]","[0.0231781,-0.0450592]","[1,-1]","[11,11]","[1,1]","[0,2120.83]","[297.039,1384.28]","[-0.00766369,0.0275905]","[0.591493,1.52886]",12565,2.78868,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[246.845,236.517]",0,"[]","[]","[]","[]"
66246,284500,1050703,361106,1941.35,1950.53,1.50278e+11,1.21412,0.908907,1,1,1,1,1.00278,1,1,0,0,2,"[1,1]","[1,0]","[40742.8,30911.4]","[-1.87894,-0.758034]","[-1.92363,1.29553]","[136475,40226]","[0.018024,0.0666256]","[-1,1]","[11,11]","[1,1]","[1254.87,1933.6]","[-2039.87,1094.69]","[-0.0105985,0.0321148]","[0.675499,2.38705]",2859.07,0.521298,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[857.12,54.2156]",0,"[]","[]","[]","[]"
82206,284500,206994,361106,1941.02,1950.53,1.50278e+11,1.24168,0.931951,1,1,1,1,0.95922,1,1,0,0,2,"[1,1]","[1,1]","[45180.5,42530.1]","[-1.12573,-1.53083]","[-1.83384,1.29334]","[76962.4,102888]","[0.0272789,-0.0522842]","[-1,1]","[11,11]","[1,1]","[0,0]","[-333.641,943.164]","[0.0131362,-0.00918807]","[1.29602,0.381469]",16210,1.39699,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[273.771,202.861]",10625.7,"[]","[]","[]","[]"
98880,284500,469351,361106,1941.44,1950.53,1.50278e+11,0.553627,0.908031,1,1,1,1,0.92928,1,1,0,0,2,"[1,1]","[1,1]","[48281.7,39447.8]","[-1.3112,-0.755278]","[2.58339,-0.277001]","[96083.7,51244.4]","[0.00985336,-0.00225067]","[-1,1]","[11,11]","[1,1]","[0,0]","[-313.996,-783.588]","[0.000198284,0.00951067]","[0.0144247,1.10184]",7489.85,-0.76183,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[686.951,24.4259]",0,"[]","[]","[]","[]"
108070,284500,358173,361106,1941.51,1950.53,1.50278e+11,0.00133961,0.920436,1,1,1,1,0.99589,1,1,0,0,2,"[1,1]","[1,1]","[38374.1,33487]","[1.69836,-0.262055]","[-2.69803,0.340666]","[108368,34643.4]","[-0.0380917,-0.0331669]","[1,-1]","[11,11]","[1,1]","[0,0]","[1766.96,1548.53]","[0.00362397,-0.00579922]","[0.310841,0.597987]",6220.98,2.07678,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[128.847,71.5832]",0,"[]","[]","[]","[]"
125659,284500,610862,361106,1941.17,1950.53,1.50278e+11,1.25133,0.934344,1,1,1,0.99706,1.00021,1,1,0,0,2,"[1,1]","[1,1]","[78004.8,31404.7]","[0.755732,0.706666]","[-0.170057,3.10787]","[101361,39577.8]","[-0.0108166,-0.0506172]","[1,-1]","[11,11]","[1,1]","[0,0]","[756.822,297.534]","[-0.0175287,0.00548016]","[1.3888,0.528196]",9298.29,-0.557452,2,"[24705.9,23740.9]","[1.38661,1.24952]","[2.80045,-2.88476]","[52679.4,44968.4]","[0.978404,0.971659]","[0,0]","[0,0]","[-0.88518,-0.493051]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[227.263,67.9254]",2660.29,"[3191.08,3919.16]","[]","[]","[]"
