event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
459,284500,5084998,363358,-0.0682081,3.4328,241439,0.923924,1,1.01009,1,1,0.964055,0.880457,1,0,1,0,2,"[0,0]","[0,1]","[96251.1,27123.4]","[-0.0561315,-0.641359]","[0.117807,-1.96671]","[96402.8,32895.9]","[-0.0489526,-0.0208712]","[-1,1]","[13,13]","[0,1]","[1861.95,1119.26]","[759.474,-1068.48]","[-0.0361205,-0.00689705]","[6.77224,0.753935]",13173.2,0.66116,4,"[57440.3,37746.1,26958.6,21964.2]","[0.710154,-1.1283,0.607259,-1.06184]","[2.11374,3.0445,-2.162,2.21861]","[73354.2,64732.3,32285.7,35847.3]","[0.999532,1,0.975167,0.840052]","[4,0,0,0]","[1,0,0,0]","[-0.241865,-0.788763,-0.8976,-0.578927]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2828.24,179.265]",12209.6,"[1213.88,10711.8,2462.09,1644.07]","[]","[]","[]"
616,284500,5139268,363358,0.0682081,3.4328,241439,1.32095,0.931997,1,1,1,0.999383,0.98869,1,1,0,0,2,"[0,0]","[1,1]","[70991.9,35365.3]","[-1.88358,-0.86669]","[-2.57474,-0.788535]","[238854,49500.2]","[-0.0891957,0.0422287]","[-1,1]","[11,11]","[1,1]","[1470.76,0]","[16.8191,122.857]","[0.0169275,-0.00773029]","[1.43754,0.440189]",16300,2.6648,1,"[52004.9]","[1.42454]","[1.19455]","[114609]","[0.99493]","[0]","[0]","[-0.0241204]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[370.133,107.622]",1522.08,"[4933.27]","[]","[]","[]"
1668,284500,5076176,363358,0.0769267,3.4328,241439,1.26459,0.959901,1,1,1,0.995489,0.99866,1,1,0,0,2,"[0,0]","[1,1]","[138468,93654.6]","[-1.03864,-1.55564]","[1.44574,2.04291]","[220116,231756]","[-0.00885773,-0.0837631]","[-1,1]","[11,11]","[1,1]","[0,0]","[-746.763,-171.179]","[-0.0234388,-0.0174168]","[4.0097,1.80963]",22231.5,1.22924,6,"[228051,174291,103616,60398.3,47627.9,20226.6]","[0.857761,-2.02941,-0.0966114,-0.589715,-1.29373,0.317944]","[0.0670434,-1.90059,2.86898,-1.90929,-2.17715,-1.95079]","[317478,674672,104557,72168.8,93913.6,21586.4]","[0.995233,0.992628,0.96594,0.999426,0.985621,0.976051]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.924608,-0.950499,-0.81302,-0.814124,-0.959524,-0.666403]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1118.75,1205.8]",3938.75,"[7775.13,4789.19,4442.24,4181.06,4292.95,2555.76]","[]","[]","[]"
2049,284500,5139206,363358,0.0518506,3.4328,241439,1.21412,1,0.984154,1,1,0.997534,0.93614,1,0,1,0,2,"[0,0]","[1,0]","[118466,11797]","[-0.167541,1.65377]","[2.28326,0.605769]","[120132,31958.2]","[0.0501137,0.0285664]","[1,-1]","[13,13]","[1,1]","[0,0]","[808.258,377.878]","[0.00116536,0.010686]","[0.210471,0.594809]",11838.2,-0.48511,2,"[86737,23532.4]","[0.99736,2.20676]","[-1.21707,-0.333193]","[133923,108250]","[0.99421,0.977497]","[0,0]","[0,0]","[-0.846194,-0.783529]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[481.421,45.0854]",4512.96,"[3106.48,3417.38]","[]","[]","[]"
2206,284500,5152586,363358,0.0682081,3.4328,241439,1.26205,1,0.994454,1,1,0.997568,0.874767,1,0,1,0,2,"[0,0]","[0,1]","[56991.3,33266.8]","[0.407279,-0.337266]","[0.53707,2.94076]","[61783.8,35177]","[-0.0270863,0.0212574]","[1,-1]","[13,13]","[1,1]","[0,0]","[-343.13,-552.565]","[0.00354393,0.0338257]","[0.556937,4.27397]",7214.47,-1.13906,2,"[57188.3,30120.5]","[1.71705,1.59113]","[-1.50456,2.38836]","[164407,77155.9]","[1,0.996177]","[0,0]","[0,0]","[-0.892158,-0.836105]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[241.031,85.6507]",179.645,"[4805.2,3916.5]","[]","[]","[]"
2452,284500,5163756,363358,0.0682081,3.4328,241439,1.55465,1,1.0069,1,1,0.968517,0.86934,1,0,1,0,2,"[0,0]","[1,0]","[81024.1,35742.9]","[0.685658,-0.0317955]","[-2.3916,2.23299]","[100828,35761.2]","[-0.00273132,-0.00280762]","[1,-1]","[13,13]","[1,0]","[0,0]","[-461.436,1229.78]","[0.00294125,0.00543981]","[0.331911,0.691861]",6245.58,-2.05052,3,"[68217,44664.6,21477.7]","[-0.734763,-1.00947,1.0445]","[1.15923,-0.352645,-1.07555]","[87961.8,69480.2,34622.3]","[0.999955,0.983309,0.991663]","[0,4,0]","[0,1,0]","[-0.876569,-0.31758,-0.880673]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1264.41,475.574]",3028.72,"[2487.22,2763.11,2914.48]","[]","[]","[]"
2552,284500,5165079,363358,0.0682081,3.4328,241439,0.553627,1,0.995898,1,1,0.965467,0.950073,1,0,1,0,2,"[0,0]","[1,1]","[77732.1,41531.4]","[-0.824109,-1.09899]","[0.235302,-1.57547]","[105656,69239.9]","[0.0041275,0.0397263]","[1,-1]","[13,13]","[1,1]","[0,0]","[-672.561,-371.027]","[-0.0157448,-0.00503519]","[2.16552,0.650711]",32995.2,2.12692,2,"[54838.3,39853.8]","[-0.479617,-0.532656]","[-2.5683,1.72156]","[62072.2,45972]","[0.638544,0.976123]","[4,0]","[1,0]","[-0.901324,-0.889333]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[253.396,615.456]",481.23,"[3466.35,3627.21]","[]","[]","[]"
4096,284500,5168525,363358,0.0682081,3.4328,241439,0.923924,1,0.979527,1,1,0.982261,0.80497,1,0,1,0,2,"[0,0]","[1,1]","[47103.9,31412.9]","[1.68407,0.611613]","[2.29669,-1.38028]","[131256,37473.9]","[0.0676842,-0.000743866]","[1,-1]","[13,13]","[1,1]","[0,0]","[-235.256,733.439]","[-0.00477575,0.032256]","[0.574119,3.77042]",10892.7,-2.64727,1,"[25656.2]","[0.649955]","[-0.0886359]","[31596.8]","[0.99]","[4]","[0]","[0.47673]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[226.532,127.474]",6512.34,"[5359.26]","[]","[]","[]"
4442,284500,5183850,363358,-0.0682081,3.4328,241439,0.934886,0.94169,1,1,1,1,0.98653,1,1,0,0,2,"[0,0]","[1,1]","[57201.4,34846.2]","[0.312953,-0.240217]","[-0.189374,-2.9222]","[60025.5,35856.4]","[0.0251389,-0.00765228]","[1,-1]","[11,11]","[1,1]","[0,0]","[842.632,-647.34]","[0.0108677,-0.0126096]","[1.08821,0.864234]",13816.4,2.0694,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[190.591,26.08]",5605.87,"[]","[]","[]","[]"
4774,284500,5075156,363358,0.0682081,3.4328,241439,1.32095,1,0.991175,1,1,0.996887,0.940094,1,0,1,0,2,"[0,0]","[1,0]","[111008,20113]","[0.277255,1.42678]","[-0.302013,1.40294]","[115302,44302.6]","[0.0014801,-0.00758362]","[-1,1]","[13,13]","[1,1]","[0,0]","[1668.19,-390.586]","[0.00886052,-0.0111579]","[1.61629,0.962086]",5186.76,0.581814,3,"[95328.5,54695.4,27130.5]","[1.65231,1.63052,1.47468]","[2.30828,-2.46536,-1.9483]","[258082,145495,62517.4]","[0.999347,0.996737,0.990448]","[0,0,0]","[0,0,0]","[-0.942194,-0.858801,-0.922803]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2536.4,261.15]",9597.08,"[7583.07,5668.93,3498.81]","[]","[]","[]"
