event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
5,284500,1811124,363359,0.219236,24.708,998251,0.934886,0.96199,0.996432,1,1,0.970698,0.99828,1,0,1,0,2,"[1,0]","[1,0]","[32065.8,14580.1]","[-2.08906,-0.905325]","[-3.0414,2.08417]","[131488,20974.5]","[0.0428298,-39.0816]","[-1,-1]","[13,11]","[1,1]","[0,0]","[2412.27,1254.77]","[0.0278766,-0.0741613]","[3.1759,4.28996]",21824.3,0.233796,2,"[56486.2,38642.2]","[-0.261429,-1.8235]","[-0.768889,2.23763]","[59545.7,122866]","[0.79556,0.886685]","[0,4]","[0,1]","[-0.938436,-0.906456]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[311.857,108.488]",13594.1,"[4506.76,4004.12]","[]","[]","[]"
6,284500,1815861,363359,0.327993,24.708,998251,1.26205,0.9549,0.99673,1,1,0.998075,1.01807,1,1,0,0,2,"[1,0]","[1,0]","[43713.6,18231.8]","[-2.28823,-1.04815]","[2.16553,1.77182]","[217670,29198]","[-0.0527306,-0.0344124]","[-1,1]","[11,13]","[1,0]","[0,0]","[73.9504,-205.789]","[-0.0101206,-0.0527214]","[0.394881,4.67211]",26941.1,-2.02905,3,"[59884.4,47955,47824.2]","[-0.441958,-2.36776,0.492286]","[-2.63231,0.281025,-0.23169]","[65976.7,258302,53971.4]","[0.997695,0.995545,0.942318]","[0,0,0]","[0,0,0]","[-0.895102,-0.176869,-0.90463]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[343.869,91.4044]",1612.32,"[1981.76,2406.67,3805.58]","[]","[]","[]"
11,284500,1838280,363359,0.257835,24.708,998251,0.923924,1.00336,1.0013,1,1,0.968577,1.00112,1,0,1,0,2,"[1,0]","[1,0]","[95797.2,13467.7]","[1.23023,1.83421]","[1.93066,-1.68338]","[177906,43230.7]","[0.0255687,0.687044]","[-1,-1]","[13,11]","[1,1]","[0,10034.9]","[998.005,620.142]","[-0.0083869,-0.0816179]","[1.28178,4.97735]",8548.42,0.555883,4,"[44244.6,38401.6,37051.6,24004.3]","[-0.0133993,1.40934,2.106,0.747276]","[-2.17651,0.168074,-1.17359,-2.28894]","[45016.9,83581.3,154565,31555]","[1,0.910065,0.986486,1]","[0,4,0,0]","[0,1,0,0]","[-0.923146,-0.787062,-0.778717,-0.709914]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1659.5,94.5686]",29051.2,"[3014.28,2620.48,6715.65,1690.53]","[]","[]","[]"
32,284500,2778972,363359,0.219236,24.708,998251,1.25133,0.97209,0.985282,1,1,0.987632,0.99756,1,1,0,0,2,"[1,0]","[1,0]","[67771.2,19559.4]","[0.00917908,0.0551138]","[-3.1402,-0.561564]","[67774,19589.4]","[-0.0398698,-0.0257568]","[-1,1]","[11,13]","[1,0]","[0,7047.81]","[167.392,1371.94]","[0.0113205,0.00582757]","[1.3122,0.701729]",20450,-1.23948,2,"[43952.5,20656.8]","[-0.514383,0.272942]","[1.30865,0.966565]","[50456.7,21720.7]","[0.996198,0.92545]","[0,4]","[0,0]","[-0.946328,-0.77848]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[153.457,23.6245]",3448.05,"[3995.05,908.738]","[]","[]","[]"
42,284500,1836598,363359,0.219236,24.708,998251,1.22586,0.95098,0.986954,1,1,0.995905,0.94612,1,1,0,0,2,"[0,0]","[1,0]","[28903.8,8624]","[0.739801,1.65598]","[1.83164,-2.12684]","[37180.8,23410.5]","[0.0123043,-27.8434]","[-1,-1]","[11,13]","[1,1]","[0,0]","[-853.967,-126.067]","[-0.0224776,0.0658813]","[2.37532,3.68401]",58735.4,1.18168,3,"[64863.1,30175.8,28476.3]","[1.04591,-2.27282,2.44137]","[-1.69625,-0.590346,2.91725]","[104007,148083,164898]","[0,1,0.211201]","[0,0,0]","[0,0,0]","[-0.850308,-0.895826,-0.843189]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[41.4642,57.6946]",3156.9,"[2223.64,2003.47,3621.19]","[]","[]","[]"
56,284500,1835700,363359,0.681589,24.708,998251,1.1961,1.01425,0.993571,1,1,1,0.993442,1,0,1,0,2,"[1,0]","[1,0]","[58144.2,7027.4]","[-2.17978,-0.709269]","[-0.190756,2.51681]","[260412,8870.37]","[0.887884,1.49583]","[-1,-1]","[13,11]","[1,0]","[0,0]","[-334.074,-1906.4]","[-0.00799981,-0.0136461]","[0.672693,0.140753]",120558,-1.29578,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[857.892,85.282]",2190.66,"[]","[]","[]","[]"
64,284500,1052746,363359,0.219236,24.708,998251,1.26459,0.95968,0.999959,1,1,0.998136,0.97155,1,1,0,0,2,"[1,0]","[1,0]","[89069.2,15264.2]","[2.39806,1.29508]","[2.9929,2.31895]","[494010,29957.5]","[0.37973,0.13942]","[-1,-1]","[11,13]","[1,1]","[0,0]","[927.717,373.075]","[0.00921558,-0.0446892]","[0.606416,3.78827]",9599.61,-2.96111,2,"[121870,99070.5]","[0.132335,0.825786]","[-1.18589,0.927849]","[123140,135132]","[0.730451,0.99452]","[0,0]","[0,0]","[-0.956289,-0.90916]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1935.04,50.5432]",5586.18,"[2635.57,6768.88]","[]","[]","[]"
70,284500,2705,363359,0.324852,24.708,998251,0.696077,0.904705,1,1,1,1.3276,1.00493,1,1,0,0,2,"[1,0]","[1,0]","[87598.4,15849.8]","[-1.20416,0.696911]","[-2.3925,-2.82278]","[159161,19857.1]","[0.012104,0.064353]","[-1,-1]","[11,11]","[1,1]","[0,2203.56]","[-1495.46,4962.74]","[-0.0123761,0.127075]","[1.42144,9.44511]",61695,0.225387,5,"[93789.1,71436.8,44330.8,29508.3,24208.1]","[-1.60597,1.14614,-1.60165,0.941064,-0.657783]","[-0.128864,2.69671,1.62592,-1.00675,-2.87793]","[243244,124117,114693,43690.6,29849.7]","[1,0.993465,0.960054,1,0.940757]","[0,4,0,4,0]","[0,0,0,0,0]","[-0.934475,-0.842611,0.564183,0.721309,0.826538]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[860.242,241.615]",139.438,"[2307.76,4889.55,2334.93,6218.43,1693.8]","[]","[]","[]"
73,284500,6819,363359,-0.0567311,24.708,998251,1.25133,1,0.994167,1,1,1,1.05699,1,0,1,0,2,"[1,0]","[1,0]","[65749.5,8496.35]","[0.832734,-0.876931]","[2.72226,1.0066]","[89894.7,11978]","[0.00771332,-73.1985]","[-1,1]","[13,11]","[1,0]","[0,0]","[-693.957,1382.79]","[0.0189375,0.060189]","[2.63101,2.34114]",41957.8,-0.814736,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[335.12,155.11]",4172.4,"[]","[]","[]","[]"
76,284500,9265,363359,0.219236,24.708,998251,0,1,1.00283,1,1,1,0.978073,1,0,1,0,2,"[1,0]","[1,0]","[35055.9,10270.4]","[-2.26306,-1.57292]","[2.07899,0.867158]","[170310,25820.7]","[-0.0416965,-0.0176373]","[-1,-1]","[13,11]","[1,0]","[0,0]","[-677.235,3495.99]","[0.0238399,-0.00250713]","[2.18706,0.107432]",72593.7,-0.699101,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[83.2843,391.221]",13818.2,"[]","[]","[]","[]"
