event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
4,284500,6402,363360,-0.219236,24.724,1.06953e+06,1.22586,1,0.989283,1,1,0.967564,1.01297,1,0,1,0,2,"[1,0]","[1,0]","[88043.8,11691.5]","[-1.8414,-0.945358]","[3.09365,-0.228407]","[284555,17316.7]","[0.130953,-0.0708847]","[1,-1]","[13,11]","[1,0]","[0,2891.75]","[-135.007,5592.48]","[0.0245755,-0.0105384]","[3.18807,0.285204]",146693,2.54021,2,"[241341,43550.5]","[-0.0304893,-2.07744]","[-0.497016,2.01472]","[243755,176668]","[1,0.999088]","[0,4]","[0,0]","[-0.902977,-0.242255]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[951.72,100.39]",1912.8,"[3042.88,1379.76]","[]","[]","[]"
6,284500,151267,363360,0.219236,24.724,1.06953e+06,1.1961,1.01425,0.993432,1,1,0.998,0.981429,1,0,1,0,2,"[1,0]","[1,0]","[28391.7,8006.71]","[-0.581591,0.739906]","[-2.24778,0.120169]","[33330.5,10300.2]","[-0.0452118,-106.197]","[1,-1]","[13,11]","[1,1]","[0,12549.2]","[-742.1,1104.14]","[-0.00802753,-0.077168]","[0.956468,4.33805]",35778.5,2.18332,2,"[44402.6,32863.1]","[2.14491,0.639308]","[-1.91338,1.24456]","[192351,40325.1]","[0.993033,0.990475]","[0,0]","[0,0]","[-0.873622,-0.835649]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[187.515,60.5998]",1961.03,"[2206.85,2050.98]","[]","[]","[]"
7,284500,152194,363360,0.219236,24.724,1.06953e+06,1.26205,0.923101,1,1,1,1.0149,0,1,1,0,0,2,"[1,0]","[1,0]","[25686.8,12817.8]","[1.8516,1.52273]","[-3.06791,1.2659]","[83828.9,30781]","[0.0591316,0.110256]","[1,-1]","[11,11]","[1,0]","[0,0]","[-95.0852,3305.79]","[0.00925569,0.0817103]","[0.468907,1.29979]",44626.6,0.156241,3,"[38641.7,32746.1,21862.3]","[1.72542,-1.88039,0.579792]","[-2.60274,2.45252,0.0760895]","[111977,109923,26013.7]","[0.994683,0.989576,0.993898]","[0,0,5]","[0,0,0]","[-0.783037,-0.841137,-0.17876]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[70.687,374.178]",17472.2,"[2284.46,3263.58,1202.28]","[]","[]","[]"
14,284500,303587,363360,0.219236,24.724,1.06953e+06,1.26205,0.98536,0.997954,1,1,0.998404,0.9918,1,1,0,0,2,"[1,0]","[1,0]","[84379.6,11159.7]","[-0.741175,-0.267747]","[-0.302357,3.02332]","[108637,11562.6]","[-0.042099,83.8985]","[1,-1]","[11,13]","[1,1]","[0,0]","[2386.42,1331.71]","[0.0114912,-0.0423631]","[1.51233,2.62163]",22466.9,-0.161311,1,"[34112.4]","[-2.12283]","[2.39173]","[144742]","[0.987843]","[0]","[0]","[-0.81969]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[295.928,12.5405]",6248.64,"[2068.34]","[]","[]","[]"
24,284500,996623,363360,-0.219236,24.724,1.06953e+06,1.32095,1,0.98989,1,1,0.99681,1.02172,1,0,1,0,2,"[1,0]","[1,0]","[36074.4,14099.3]","[1.70076,1.30773]","[1.17014,-0.834313]","[102103,27974.5]","[0.0225449,-0.0449638]","[1,1]","[13,11]","[1,0]","[0,4095.24]","[-590.802,5904.63]","[-0.00242055,-0.045226]","[0.223213,2.21375]",49726.1,2.85727,3,"[64478.2,34694.9,27679.7]","[1.76771,0.558146,2.25678]","[-1.46177,0.675714,2.65619]","[194671,41015.1,133768]","[0.987047,0.985899,0.964112]","[0,0,0]","[0,0,0]","[-0.620064,-0.960099,-0.857259]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[184.859,779.427]",4747.24,"[4608.18,2122.49,4515.09]","[]","[]","[]"
29,284500,6782,363360,-0.219236,24.724,1.06953e+06,1.32095,0.96194,1,1,1,0.957174,1.01532,1,1,0,0,2,"[1,0]","[1,0]","[53581.6,8388.44]","[2.31989,1.03509]","[-0.0995245,-1.77302]","[275218,13298]","[0.0188713,114.391]","[1,1]","[11,11]","[1,0]","[0,0]","[-637.692,784.948]","[0.00241759,0.0209698]","[0.119818,1.06784]",56303.3,-1.17584,3,"[68797.2,51547.8,36639.3]","[2.37179,1.03107,1.87998]","[2.90106,0.976815,2.76923]","[371872,81586.9,122975]","[0.995319,0.997366,1]","[4,0,0]","[0,0,0]","[-0.782121,-0.922139,-0.73279]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[185.267,113.286]",5214.97,"[5338.58,3398.39,2319.74]","[]","[]","[]"
38,284500,942964,363360,0.219236,24.724,1.06953e+06,0.738662,0.95205,0.999835,1,1,0.960183,1.00081,1,0,1,0,2,"[1,0]","[1,0]","[39707.3,8260.82]","[1.07707,-2.16518]","[-0.192999,1.91179]","[65053.6,36475.3]","[0.0233746,14.405]","[1,-1]","[13,11]","[1,0]","[1469.46,1081.11]","[-1527.03,2137.47]","[-0.0105905,-0.00807313]","[1.15406,0.332463]",76586.1,1.086,2,"[109536,44597.3]","[2.13358,0.487151]","[-2.72663,-1.24692]","[469150,50995.6]","[0.993757,0.987047]","[4,0]","[1,0]","[0.50788,-0.853803]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[128.387,80.4134]",7872.62,"[11615.4,2289.72]","[]","[]","[]"
44,284500,953981,363360,0.219236,24.724,1.06953e+06,1.24168,1.01425,0.988201,1,1,0.999097,0.929304,1,0,1,0,2,"[1,0]","[1,0]","[33444.7,7557.46]","[-2.42559,0.324141]","[-2.1934,1.78215]","[190591,7957.97]","[-0.200001,0.096344]","[1,-1]","[13,11]","[1,1]","[0,0]","[-123.173,344.393]","[-0.0126526,0.00291398]","[1.01366,0.137682]",50244.6,1.30006,2,"[58429.1,30298.8]","[-1.06826,-0.746266]","[-1.17948,2.05772]","[95133.2,39370.6]","[0.990218,0.99]","[0,0]","[0,0]","[-0.947057,-0.823465]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[317.009,97.5494]",6757.88,"[8557.54,1876.78]","[]","[]","[]"
55,284500,996800,363360,-0.219236,24.724,1.06953e+06,1.25133,0.932523,1,1,1,1,0.99672,1,1,0,0,2,"[1,0]","[1,0]","[73664.6,7761.69]","[1.03086,-2.13672]","[-1.28821,0.814319]","[116396,33335]","[-0.0313377,-0.106755]","[1,-1]","[11,11]","[1,0]","[0,1645.72]","[-605.72,2584.62]","[-0.00261828,-0.0411941]","[0.260816,1.53445]",22475.5,-2.90514,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[354.463,149.825]",1261.38,"[]","[]","[]","[]"
57,284500,1405,363360,0.219236,24.724,1.06953e+06,0.934886,0.90266,0.998696,1,1,0.996245,0.952968,1,0,1,0,2,"[1,0]","[1,0]","[57350.4,16963.8]","[1.02681,1.1715]","[-2.24924,-1.94935]","[90335,29998.1]","[0.0106163,0.113014]","[1,-1]","[13,11]","[1,0]","[0,0]","[2035.03,2743.71]","[-0.00588778,0.03517]","[0.945768,2.07304]",69961.2,1.90182,2,"[28147.5,22142.8]","[1.40742,1.70599]","[0.758471,-1.58225]","[60993.9,63101.1]","[0.991175,0.756571]","[0,0]","[0,0]","[-0.908865,-0.820549]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[590.917,98.9352]",22133.9,"[1798.34,1602.01]","[]","[]","[]"
