event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,2007570,363493,1,3.2286,1.72799e+06,0.923924,0.97429,0.992977,1,1,1,0.98653,1,1,0,0,2,"[1,0]","[1,0]","[54965.2,8278.55]","[0.283658,1.27231]","[-1.62712,1.80838]","[57191.3,15933.5]","[0.0160103,52.3452]","[-1,1]","[11,13]","[1,1]","[0,0]","[1196.3,1695.09]","[0.006507,7.84589e-05]","[0.87846,0.00485901]",49588.7,1.22536,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[159.145,12.8484]",6960.18,"[]","[]","[]","[]"
6,284500,2039761,363493,1,3.2286,1.72799e+06,1.32095,0.96322,0.996814,1,1,1,0.923946,1,0,1,0,2,"[1,0]","[1,0]","[64382.8,10542.1]","[-0.0799785,-0.277078]","[-0.35683,0.610258]","[64588.9,10949.4]","[-0.0214844,24.0452]","[-1,1]","[13,11]","[1,1]","[0,0]","[876.524,-14.1138]","[0.0123745,0.0150014]","[2.42069,0.928896]",71419.8,3.05432,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[134.548,73.6478]",0,"[]","[]","[]","[]"
9,284500,2190408,363493,1,3.2286,1.72799e+06,0.696077,0.97577,0.998091,1,1,0.961053,1.00531,1,1,0,0,2,"[1,0]","[1,0]","[76036,7479.72]","[-0.119411,0.852866]","[2.47459,-2.04611]","[76578.7,10369.5]","[-0.254295,-40.1416]","[-1,-1]","[11,13]","[1,1]","[0,0]","[14.4919,-168.996]","[-0.0112968,-0.0193812]","[1.14901,1.28871]",41983.4,-0.931947,1,"[62728.2]","[-0.459975]","[-0.966369]","[69808.6]","[0.989613]","[4]","[0]","[0.682231]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[246.681,14.1115]",3785.04,"[1515.48]","[]","[]","[]"
10,284500,2195999,363493,0.124513,3.2286,1.72799e+06,0.696077,1,0.990189,1,1,1,0.899631,1,0,1,0,2,"[1,1]","[1,0]","[35413.1,13673.1]","[0.804288,0.437653]","[1.25689,1.81162]","[47498.1,15004]","[0.0706329,0.0118904]","[1,1]","[13,13]","[1,1]","[0,6522.93]","[-289.252,-753.194]","[0.00860859,-0.0316386]","[1.03751,3.04354]",102065,-1.32257,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[72.9939,30.2221]",22837.5,"[]","[]","[]","[]"
11,284500,2199954,363493,0.1,3.2286,1.72799e+06,1.55465,0.96538,0.992748,1,1,0.953949,0.99741,1,1,0,0,2,"[1,0]","[1,0]","[46312.4,7784.79]","[1.74537,-1.46846]","[0.295779,-2.37966]","[136682,17799.6]","[0.0479069,0.0129681]","[1,-1]","[11,13]","[1,1]","[0,0]","[166.109,-414.34]","[-0.0126793,0.417508]","[0.693446,21.1159]",150389,2.22637,3,"[303386,114113,89280.9]","[0.0817281,2.13705,0.1227]","[-1.74427,1.03488,1.29431]","[305643,490364,90585.5]","[1,0.996253,1]","[4,0,0]","[0,0,0]","[-0.967424,-0.872361,-0.802353]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[110.874,30.2741]",16657.1,"[16044.1,8417.32,4867.23]","[]","[]","[]"
14,284500,2202502,363493,0.146603,3.2286,1.72799e+06,1.1961,0.96322,0.988313,1,1,0.998297,0.794391,1,0,1,0,2,"[0,0]","[1,0]","[129488,10547]","[0.398257,0.447486]","[0.927178,-2.26673]","[139893,11620.7]","[-0.0257034,0.402]","[1,1]","[13,11]","[1,1]","[0,3605.71]","[-357.448,-316.772]","[-0.00778968,-0.0198663]","[1.42802,1.36005]",111060,0.733845,3,"[98073.4,63247.9,37605.2]","[-0.895216,-1.52771,-0.971286]","[-2.43018,-1.62715,-1.86484]","[141249,152844,57191.7]","[0.886553,0.998889,1]","[0,0,0]","[0,0,0]","[-0.869908,-0.929422,-0.496718]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3995.43,52.2997]",24316.2,"[3441.76,7789.51,2304.47]","[]","[]","[]"
23,284500,2045977,363493,1,3.2286,1.72799e+06,0.738662,1,0.994476,1,1,0.998747,0.97148,1,0,1,0,2,"[1,0]","[1,0]","[99279.5,7613.7]","[-1.12974,0.648949]","[-0.499706,-0.227207]","[169668,9273.95]","[0.0294266,-0.0727377]","[1,-1]","[13,11]","[1,0]","[2331.54,0]","[428.897,909.22]","[-0.0125236,-0.00714482]","[2.28433,0.0888961]",92588.1,-3.0359,2,"[40234.2,21204.8]","[0.30783,-0.446444]","[1.54987,2.13229]","[42775.8,23802.8]","[0.999258,0.998239]","[0,0]","[0,0]","[-0.852744,-0.7418]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5114.33,93.7314]",1068.7,"[2188.55,3311.43]","[]","[]","[]"
31,284500,2226351,363493,0.14717,3.2286,1.72799e+06,0.75088,0.912864,1,1,1,0.99936,0.94761,1,1,0,0,2,"[1,0]","[1,0]","[36525.9,9087.64]","[-0.665053,-2.26391]","[1.43905,-1.34154]","[44905.6,44186.6]","[-0.0106354,-1.54717]","[-1,-1]","[11,11]","[1,0]","[0,0]","[-998.205,-276.995]","[0.00204427,-0.0503237]","[0.20668,1.67113]",95587.8,-0.957979,1,"[85732.5]","[-1.1932]","[2.36047]","[155492]","[0.98499]","[0]","[0]","[-0.845188]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[23.8924,135.088]",5932.02,"[6406.54]","[]","[]","[]"
44,284500,2198252,363493,0.173635,3.2286,1.72799e+06,0.619412,0.97429,1,1,1,0.998626,0.98653,1,1,0,0,2,"[0,0]","[1,0]","[53407.1,8092.3]","[0.253556,1.69259]","[1.78586,-1.22568]","[55133.1,22729.5]","[0.0218773,-0.0494232]","[-1,-1]","[11,11]","[1,0]","[0,4042.32]","[609.277,2492.96]","[0.0911354,-0.00158251]","[7.66658,0.0860995]",159254,2.13261,2,"[164281,50916]","[2.47194,0.860433]","[-0.848954,-1.97877]","[979995,71282.2]","[0.995197,0.994461]","[0,0]","[0,0]","[-0.898618,-0.854646]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[740.03,270.249]",2295.56,"[3627.54,3253.75]","[]","[]","[]"
52,284500,2123495,363493,0.137459,3.2286,1.72799e+06,0.553627,0.97209,0.989155,1,1,0.998155,0.99756,1,1,0,0,2,"[0,0]","[0,1]","[98058.2,61228.2]","[-0.0882818,0.0848534]","[-1.78331,0.713519]","[98440.7,61448.8]","[-0.00550842,0.247337]","[-1,1]","[13,11]","[0,1]","[1336.92,1400.41]","[-951.343,1946.34]","[-0.0022853,-0.100626]","[0.432236,9.82295]",467917,0.906356,2,"[191987,55311.3]","[-2.44619,-2.49059]","[3.02135,2.43769]","[1.11677e+06,336137]","[1,0.53066]","[0,0]","[0,0]","[-0.865408,-0.705969]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1226.57,96.3933]",851.812,"[4285.53,9318.78]","[]","[]","[]"
