event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
64,284500,463,364100,1,1588.47,5.31937e+06,0.738662,1,0.989383,1,1,1,0.890921,1,0,1,0,2,"[1,1]","[1,1]","[52360.8,37369.3]","[0.37051,1.12641]","[1.14111,-2.237]","[55996.2,63691.8]","[-0.0955429,0.0217476]","[-1,1]","[13,13]","[1,1]","[0,0]","[922.35,-603.766]","[-0.00416257,-0.00334791]","[0.621509,0.457589]",20937.8,-1.68299,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[444.89,203.578]",0,"[]","[]","[]","[]"
695,284500,42798,364100,1,1588.47,5.31937e+06,1.25133,1,0.993467,1,1,1,0.993445,1,0,1,0,2,"[1,1]","[1,1]","[46494.6,43218.6]","[-1.93471,-1.51835]","[3.12767,-0.0983863]","[164278,103374]","[0.0305328,-0.0101128]","[-1,1]","[13,13]","[1,1]","[0,0]","[-77.3009,545.652]","[0.0149618,-0.0170962]","[1.92137,1.58401]",3114.94,0.541015,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[246.799,182.495]",0,"[]","[]","[]","[]"
1162,284500,155703,364100,1,1588.47,5.31937e+06,1.25133,1,0.960676,1,1,0.999258,0.962355,1,0,1,0,2,"[1,1]","[1,0]","[43515.1,30622.9]","[-1.88464,-0.536174]","[2.182,-1.16618]","[146556,35131.3]","[0.0491028,0.0664139]","[-1,1]","[13,13]","[1,1]","[0,3734.87]","[-272.217,1372.36]","[0.000150426,-0.010256]","[0.0143033,1.22362]",21325.7,1.97003,1,"[27686]","[-1.0837]","[-1.2817]","[45902.6]","[0.912747]","[0]","[0]","[-0.851896]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[105.264,232.765]",7031.21,"[7284.59]","[]","[]","[]"
1273,284500,158720,364100,1,1588.47,5.31937e+06,0.738662,1,0.993281,1,1,1,0.81689,1,0,1,0,2,"[1,1]","[1,1]","[38331.8,30552.6]","[1.14167,0.279242]","[1.09611,-1.98809]","[66146.7,31751.7]","[0.050499,-0.0477905]","[-1,1]","[13,13]","[1,1]","[0,0]","[-1019.14,-616.472]","[0.0230134,-0.00526408]","[2.56965,0.570557]",31331.3,-3.05027,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[254.651,220.32]",340.336,"[]","[]","[]","[]"
1390,284500,162756,364100,1,1588.47,5.31937e+06,1.26205,1,0.99714,1,1,1,0.836291,1,0,1,0,2,"[1,1]","[1,1]","[36407.6,30560.4]","[-0.401428,1.40689]","[-0.854303,2.17653]","[39380.8,66135.1]","[0.0243454,0.0439301]","[-1,1]","[13,13]","[1,1]","[0,0]","[1131.09,-713.809]","[-0.00902582,0.0106022]","[1.29364,1.00706]",14137.7,3.08925,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[111.034,49.7144]",0,"[]","[]","[]","[]"
3608,284500,157117,364100,-1,1588.47,5.31937e+06,1.24168,1,1.00563,1,1,1,0.974594,1,0,1,0,2,"[1,1]","[0,1]","[49250.8,39227.2]","[0.056945,-0.528726]","[-0.795256,2.76347]","[49330.8,44839.2]","[-0.0174561,-0.0438461]","[-1,1]","[13,13]","[0,1]","[1556.75,0]","[-619.172,-619.172]","[0.00588226,-0.00788749]","[1.06548,1.09052]",26933.2,1.58644,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[371.778,230.437]",0,"[]","[]","[]","[]"
6747,284500,570529,364100,1,1588.47,5.31937e+06,0.75088,1,0.998364,1,1,0.998372,0.982186,1,0,1,0,2,"[1,1]","[1,1]","[56769.1,29367.7]","[1.3135,2.42307]","[2.13396,-1.20606]","[113199,166942]","[0.0504122,0.0492878]","[-1,1]","[13,13]","[1,1]","[0,0]","[16.5785,-322.845]","[-0.0134424,0.0138974]","[2.3633,1.27457]",15860.4,2.57957,2,"[25018.3,23563.1]","[-1.13195,0.161198]","[-0.0858518,-1.17351]","[42985.2,24480.7]","[0.980725,0.982341]","[0,0]","[0,0]","[-0.81455,-0.766018]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[852.085,346.517]",5278.14,"[3559.89,3535.15]","[]","[]","[]"
7021,284500,3895,364100,-1,1588.47,5.31937e+06,1.25133,1,0.987184,1,1,0.997454,0.66428,1,0,1,0,2,"[1,1]","[1,1]","[44529.5,33722.6]","[1.02575,-0.102367]","[1.38525,-2.0788]","[70083,33899.7]","[-0.31052,-0.193707]","[-1,1]","[13,13]","[1,1]","[0,0]","[-353.579,424.877]","[0.0276494,-0.0181655]","[3.11929,1.48369]",30740.5,2.86276,2,"[29219.2,20404.4]","[0.842258,1.78164]","[-0.289089,-0.779222]","[40736.9,62418]","[0.977645,0.946069]","[0,0]","[0,0]","[-0.0392486,-0.810654]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[428.933,284.771]",12068.8,"[2009.11,1100.49]","[]","[]","[]"
9907,284500,38553,364100,1,1588.47,5.31937e+06,0,1,0.988623,1,1,0.998222,0.999873,1,0,1,0,2,"[1,1]","[1,1]","[59418.7,36314.2]","[-1.49579,-2.30699]","[1.09298,-2.36863]","[139246,184180]","[0.0583801,-0.0960999]","[1,-1]","[13,13]","[1,1]","[0,0]","[-847.333,750.667]","[0.0291649,-0.0275098]","[3.04333,2.33236]",4814.65,1.30013,1,"[28422.6]","[-2.05035]","[-1.34436]","[112349]","[0.998606]","[0]","[0]","[-0.928762]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[554.794,593.742]",14882,"[3038.96]","[]","[]","[]"
10296,284500,150455,364100,1,1588.47,5.31937e+06,0.402058,1,0.98954,1,1,0.999053,0.807687,1,0,1,0,2,"[1,1]","[1,1]","[42183.1,31539.1]","[0.502596,-0.803971]","[0.57865,-2.89409]","[47624.1,42293.2]","[0.0684643,-0.0327168]","[-1,1]","[13,13]","[1,1]","[0,0]","[-381.289,-381.289]","[0.00264115,-0.0499394]","[0.338816,4.94439]",24063.4,-0.303656,1,"[21856.6]","[0.0717709]","[-1.94183]","[22357.7]","[0.740967]","[0]","[0]","[-0.868792]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[130.667,173.962]",5285.32,"[1676.27]","[]","[]","[]"
