event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
487,284500,198410,364101,-1,219.483,2.83466e+06,0.75088,1,0.979729,1,1,1,0.895514,1,0,1,0,2,"[1,1]","[1,1]","[46502.1,35723.7]","[1.79428,0.518569]","[1.62903,-0.284702]","[143724,40635.8]","[0.00413513,0.0501251]","[1,-1]","[13,13]","[1,1]","[0,0]","[2435.73,-284.349]","[0.00289882,-0.00746614]","[0.327685,0.980398]",15019.9,-1.11866,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[185.857,134.593]",1302.87,"[]","[]","[]","[]"
1969,284500,3660,364101,1,219.483,2.83466e+06,1.25133,1,0.985266,1,1,0.99803,0.716555,1,0,1,0,2,"[1,1]","[1,1]","[62418.8,32470.4]","[-1.19252,-0.696178]","[1.59878,-1.81237]","[112317,40662.2]","[-0.0700016,0.0355682]","[-1,1]","[13,13]","[1,1]","[0,2269.26]","[90.6876,-446.729]","[0.0142846,0.00979613]","[2.13098,1.16897]",126.697,-0.524152,1,"[26987.7]","[-2.14817]","[-1.64983]","[117283]","[0.992203]","[0]","[0]","[-0.532455]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[485.555,169.419]",580.097,"[1950.86]","[]","[]","[]"
2073,284500,30359,364101,-1,219.483,2.83466e+06,1.32095,1,0.978032,1,1,0.981345,0.92836,1,0,1,0,2,"[1,1]","[1,0]","[56429.1,47024.7]","[1.142,1.08635]","[-0.989079,1.72828]","[97402.6,77611.6]","[0.0329895,-0.0479927]","[-1,1]","[13,13]","[1,1]","[0,0]","[-1119.32,-260.74]","[-0.0245151,0.0247685]","[2.51439,3.36038]",13129.1,-0.82607,2,"[34445.7,26720.2]","[-0.750583,-0.701451]","[0.813416,-1.56159]","[44960,34102.4]","[0.999977,0.975031]","[0,4]","[0,0]","[-0.911285,-0.764761]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[437.626,200.989]",30041.4,"[6277.23,3466.71]","[]","[]","[]"
2995,284500,488812,364101,1,219.483,2.83466e+06,1.24168,1,0.989546,1,1,1,0.978935,1,0,1,0,2,"[1,1]","[1,1]","[41186.2,39850.5]","[0.133662,-0.920217]","[-1.31288,1.84488]","[41554.7,57948]","[0.0641556,0.0101776]","[1,-1]","[13,13]","[1,1]","[0,0]","[-535.254,-535.254]","[0.0176882,-0.0218748]","[2.77003,3.22241]",21199.5,0.704857,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[324.322,167.255]",7023.87,"[]","[]","[]","[]"
3282,284500,496867,364101,1,219.483,2.83466e+06,0,1,0.996433,1,1,0.999627,0.967646,1,0,1,0,2,"[1,1]","[1,0]","[36665.5,16724]","[-1.49232,-1.14165]","[-1.06397,2.714]","[85655.4,28859.2]","[-0.0167236,-0.011322]","[-1,1]","[13,13]","[1,1]","[0,0]","[-985.301,-754.882]","[0.0259501,-0.00613662]","[2.60263,0.592771]",18318,-2.16759,1,"[45353.9]","[-0.348549]","[1.3899]","[48494.4]","[0.991491]","[0]","[0]","[-0.561761]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[202.924,57.4196]",1006.79,"[2348.86]","[]","[]","[]"
3500,284500,501845,364101,-1,219.483,2.83466e+06,1.22586,1,0.989963,1,1,0.999224,0.86934,1,0,1,0,2,"[1,1]","[1,0]","[45587.1,40730.3]","[0.711948,-0.23608]","[-2.21126,0.526473]","[57636.9,41870.7]","[-0.0147209,-0.00805092]","[-1,1]","[13,13]","[1,1]","[0,0]","[-800.6,-800.6]","[-0.00113065,-0.00549986]","[0.138903,0.855499]",21499.9,-1.55878,1,"[25160.7]","[-1.19641]","[1.54988]","[45709.5]","[0.980577]","[0]","[0]","[-0.71285]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[253.955,28.2399]",7336.74,"[2160.97]","[]","[]","[]"
3962,284500,89658,364101,1,219.483,2.83466e+06,0.696077,1,0.978032,1,1,0.999685,0.959646,1,0,1,0,2,"[1,1]","[1,1]","[58644.9,41320.6]","[1.22088,1.14163]","[-0.893681,1.61561]","[108057,71302]","[-0.0360146,0.0269847]","[-1,1]","[13,13]","[1,1]","[0,0]","[-260.89,1301.18]","[0.00749037,-0.00623269]","[0.999769,0.821284]",24706.2,0.73259,1,"[59081.2]","[0.965197]","[3.10615]","[89191]","[0.99972]","[0]","[0]","[-0.876742]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[996.655,536.991]",517.428,"[2223.59]","[]","[]","[]"
4333,284500,30353,364101,1,219.483,2.83466e+06,1.25133,1,0.991476,1,1,0.998106,0.98498,1,0,1,0,2,"[1,1]","[1,1]","[45891.6,36388.1]","[-0.314697,-1.42157]","[-0.686195,2.36837]","[48182.9,79780.1]","[0.0382156,0.0596313]","[1,-1]","[13,13]","[1,1]","[0,0]","[-44.4387,-1031.21]","[-0.0416915,0.0121262]","[4.20528,1.27965]",25208.5,-1.26914,1,"[22139.8]","[-2.11141]","[2.6923]","[92803.6]","[1]","[0]","[0]","[-0.828719]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[318.687,250.462]",18396.6,"[4843.9]","[]","[]","[]"
4652,284500,108225,364101,1,219.483,2.83466e+06,0.923924,1,0.994645,1,1,0.999406,0.857717,1,0,1,0,2,"[1,1]","[1,1]","[35437.7,25525.2]","[1.25276,-0.950123]","[-0.0933709,-1.87983]","[67078.4,37939.8]","[0.030674,0.0763779]","[-1,1]","[13,13]","[1,1]","[2019.78,0]","[-325.085,-520.193]","[0.0221745,-0.00583987]","[2.03842,0.552164]",13981.4,-1.15796,1,"[52093]","[-1.35182]","[2.14065]","[107694]","[0.974644]","[0]","[0]","[-0.936549]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[119.03,93.6942]",4014.97,"[4636.11]","[]","[]","[]"
5074,284500,485397,364101,1,219.483,2.83466e+06,0.402058,1,1.00282,1,1,1.31615,0.984894,1,0,1,0,2,"[1,1]","[1,0]","[45214.7,34958.4]","[2.29514,1.0433]","[-1.21065,2.37807]","[226675,55773.7]","[-0.0741459,-0.0788333]","[-1,1]","[13,13]","[1,1]","[0,0]","[-263.756,-381.403]","[0.0168333,-0.0166729]","[1.46093,1.80265]",35533,-0.781574,2,"[28846.2,27236.4]","[1.30847,1.81985]","[1.85432,1.17291]","[57345.3,86394.6]","[0.831189,0.962149]","[4,0]","[0,0]","[0.831224,-0.801869]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[864.694,97.9077]",7247.21,"[3224.86,7072.06]","[]","[]","[]"
