event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
816,284500,2716,364108,1,6.07699,8.27697e+06,1.74563,1,0.996217,1,1,1.01622,0.978959,1,0,1,0,2,"[1,1]","[1,1]","[111761,59477.6]","[0.21331,-0.620432]","[3.04657,-2.72403]","[114313,71297.1]","[-0.05056,-0.00533676]","[1,-1]","[13,13]","[1,1]","[0,0]","[833.55,-449.626]","[-0.000402185,-0.00417243]","[0.0615259,0.608761]",5057.92,1.01935,1,"[155005]","[0.425166]","[-0.061334]","[170212]","[0.996247]","[5]","[0]","[0.994114]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1454.43,391.353]",617.455,"[3363.29]","[]","[]","[]"
1929,284500,10144,364108,1,6.07699,8.27697e+06,1.26205,1,0.995041,1,1,0.997303,0.978678,1,0,1,0,2,"[1,1]","[1,1]","[82077,53080]","[-1.27773,-1.29255]","[1.26422,-0.308256]","[158702,103947]","[-0.0220957,0.0242014]","[1,-1]","[13,13]","[1,1]","[0,0]","[-427.31,-427.31]","[0.00397373,-0.0179626]","[0.627247,2.79635]",37977.5,0.198661,2,"[158062,21899.5]","[-2.3062,-1.39143]","[-2.56296,0.376687]","[801098,47061.6]","[0.98994,0.999227]","[0,0]","[0,0]","[0.750714,-0.883918]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1207.6,441.592]",5777.21,"[7279.04,1592.8]","[]","[]","[]"
5121,284500,211786,364108,1,6.07699,8.27697e+06,0.351687,1,0.987125,1,1,0.99848,0.901612,1,0,1,0,2,"[1,1]","[1,1]","[67612.1,22966.8]","[0.31613,1.33304]","[0.960738,-2.16526]","[71018.9,46579.3]","[0.0433364,-0.0674329]","[-1,1]","[13,13]","[1,1]","[3189,0]","[-656.978,1963.24]","[0.0131136,-0.0213985]","[2.38747,2.0742]",35655.9,0.501616,2,"[111759,91343.2]","[2.44852,1.84878]","[2.98052,-0.532663]","[651596,297575]","[0.513568,0.988853]","[0,0]","[0,0]","[0.330977,-0.925394]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1155.17,112.375]",433.691,"[2857.61,3610.99]","[]","[]","[]"
5379,284500,3299,364108,1,6.07699,8.27697e+06,0.738662,1,0.997444,1,1,0.966963,0.989061,1,0,1,0,2,"[1,1]","[1,1]","[132431,48352.1]","[0.903009,2.01403]","[-0.7849,-0.632974]","[190195,184388]","[-0.011734,0.056366]","[-1,1]","[13,13]","[0,0]","[0,0]","[-241.919,-294.076]","[-0.00668487,-0.000473827]","[1.42802,0.0562634]",57244.8,-1.28305,1,"[183065]","[0.823531]","[2.27491]","[249008]","[0.993514]","[4]","[0]","[-0.44044]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7190.02,3172.21]",22680.7,"[8349.19]","[]","[]","[]"
8250,284500,14027,364108,1,6.07699,8.27697e+06,1.25133,1,0.972819,1,1,1.04866,1.00146,1,0,1,0,2,"[1,1]","[1,1]","[55893,53490.5]","[-1.82998,-2.06785]","[-2.34813,-0.313054]","[178694,214878]","[-0.0108249,-0.116499]","[-1,1]","[13,13]","[1,1]","[0,0]","[-6.57407,495.314]","[-0.0170506,0.00248307]","[2.34994,0.323809]",13508.5,1.66639,2,"[51648.6,38084.6]","[2.09451,-0.0707885]","[1.26788,1.8335]","[213033,38965.1]","[1,0.999854]","[0,5]","[0,0]","[-0.853395,0.969576]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[514.696,648.654]",6326.82,"[4593.44,1310.85]","[]","[]","[]"
11239,284500,4997,364108,1,6.07699,8.27697e+06,0.75088,1,0.990475,1,1,1.02234,0.91148,1,0,1,0,2,"[1,1]","[1,0]","[41616.7,21264.8]","[-1.59583,0.749888]","[1.9157,1.04126]","[106854,27529.4]","[0.00922775,0.0219116]","[-1,1]","[13,13]","[1,1]","[0,0]","[-278.254,-151.417]","[-0.00196909,-0.00151092]","[0.207454,0.162759]",19850.3,1.07199,4,"[103461,76961.1,20590,20267.1]","[-0.709939,-0.363504,-0.0697289,2.09301]","[-2.48833,0.0405356,-0.933004,-1.94122]","[130987,82777,21149.9,83466.2]","[0.540125,0.993985,0.948742,0.983141]","[0,0,0,5]","[0,0,0,0]","[-0.978078,-0.935777,-0.785075,-0.383018]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[203.258,131.904]",7687.82,"[5688.44,3065.01,1915.1,965.036]","[]","[]","[]"
13950,284500,110922,364108,-1,6.07699,8.27697e+06,0.351687,1,0.99235,1,1,0.99847,0.668255,1,0,1,0,2,"[1,1]","[1,1]","[60237.5,29395.5]","[0.956279,-0.753487]","[1.26901,2.37238]","[89944.2,38142.5]","[-0.0723953,0.0647736]","[-1,1]","[13,13]","[1,1]","[0,0]","[432.64,-258.165]","[0.00638718,0.0118457]","[1.04571,1.31109]",39073,0.439869,2,"[55455.3,37693]","[-0.66614,-1.67961]","[-1.64372,-2.46913]","[68922.3,104789]","[0.988153,0.990279]","[0,0]","[0,0]","[-0.948638,-0.785523]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[449.247,171.166]",2292.7,"[2044.43,2973.18]","[]","[]","[]"
18803,284500,33109,364108,1,6.07699,8.27697e+06,1.26459,1,0.989921,1,1,0.939661,0.89692,1,0,1,0,2,"[1,1]","[1,1]","[57670.2,32597.2]","[-0.26192,0.177037]","[-1.75925,0.385168]","[59659.8,33109.5]","[0.0671234,-0.0406494]","[1,-1]","[13,13]","[1,1]","[0,0]","[-435.793,-435.793]","[-0.0202288,-0.00184243]","[3.14473,0.241432]",21943.1,0.454676,4,"[58060.2,29116.9,27324.1,20504.8]","[-1.81217,-0.760382,-0.310185,-2.10066]","[-3.04861,0.309247,1.14031,2.67398]","[182718,38207.4,29020.1,85080.8]","[0.975963,1,0.994478,0.994515]","[0,5,0,4]","[0,0,0,0]","[-0.393786,-0.707583,-0.932634,-0.818454]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[504.634,98.1094]",1105.99,"[2786.24,3409.85,1995.68,4788.04]","[]","[]","[]"
19820,284500,39926,364108,1,6.07699,8.27697e+06,1.1961,1,0.991598,1,1,1.04845,0.949914,1,0,1,0,2,"[1,1]","[0,1]","[64392.5,34597.1]","[1.31775,1.68082]","[1.60138,-2.27826]","[128874,96113.6]","[0.0342331,0.0102234]","[1,-1]","[13,13]","[1,1]","[0,0]","[-853.734,125.913]","[-0.0113608,-0.00341263]","[1.4483,0.318741]",29917.6,-0.158147,2,"[86192.2,57126.4]","[2.49804,0.388501]","[-1.2467,2.11544]","[527555,62075.2]","[0.99,0.97169]","[0,5]","[0,0]","[-0.361945,0.998862]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[838.333,172.263]",750.398,"[5070.66,4427.84]","[]","[]","[]"
28315,284500,73240,364108,1,6.07699,8.27697e+06,1.21412,1,0.999968,1,1,1.05064,0.984797,1,0,1,0,2,"[1,1]","[1,0]","[53645.4,40067.8]","[2.21561,1.51478]","[-2.8318,-0.798876]","[248810,95526.9]","[0.00471115,0.0155449]","[-1,1]","[13,13]","[1,1]","[0,0]","[-160.87,214.394]","[0.00845331,0.00160071]","[1.01728,0.226828]",62609.7,1.14425,2,"[50019.6,43410.1]","[-0.00353051,-1.64383]","[1.33847,-0.652326]","[50580.9,116650]","[1,0.998317]","[0,5]","[0,0]","[-0.607806,0.999777]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[808.194,273.53]",22931.8,"[3237.28,4954.48]","[]","[]","[]"
