event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
67,284500,987691,364113,1,0.143925,1.00798e+06,1.25133,1,0.99939,1,1,0.996496,0.973872,1,0,1,0,2,"[1,1]","[1,1]","[206728,47024.3]","[-1.21126,-1.43238]","[-2.43928,2.9416]","[377852,104098]","[-0.0104427,0.0387306]","[-1,1]","[13,13]","[0,1]","[0,0]","[3003.62,-195.099]","[0.00593388,-0.000401346]","[1.15148,0.0444449]",53768.2,-0.620709,5,"[399253,254656,209291,36753.9,36081.8]","[2.22262,-0.259668,0.0219077,2.27946,-0.956971]","[-0.982254,1.21304,2.30097,-0.4507,2.21041]","[1.8646e+06,263526,211035,181520,54080.8]","[0.99032,0.999389,0.996902,1,0.99067]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.956506,-0.959468,-0.87299,-0.711801,-0.919401]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5816.85,117.805]",7391.48,"[14660.9,3374.05,3442.73,2440.2,2227.21]","[]","[]","[]"
449,284500,99519,364113,1,0.143925,1.00798e+06,1.26205,1,0.997883,1,1,0.996605,0.959462,1,0,1,0,2,"[1,1]","[1,1]","[121657,57440.2]","[1.35933,0.73349]","[2.43518,1.61592]","[252463,73597.2]","[0.00417328,-0.0111694]","[-1,1]","[13,13]","[1,1]","[0,1284.85]","[-425.896,-890.107]","[-0.0142487,0.0124948]","[2.12505,1.28352]",19850.4,-1.41981,4,"[497447,336085,92155.3,51286.5]","[-0.241299,0.372282,0.207211,0.790364]","[-1.35658,1.82062,0.0206279,2.20157]","[512915,360455,95403.7,68521.2]","[0.998362,0.98162,1,0.994656]","[0,0,0,0]","[0,0,0,0]","[-0.861568,-0.193365,-0.897029,-0.937846]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2837.93,147.309]",1378.41,"[6115.8,4867.72,2978.44,3766.58]","[]","[]","[]"
863,284500,987852,364113,1,0.143925,1.00798e+06,1.21412,1,0.993784,1,1,0.992958,1.03803,1,0,1,0,2,"[1,1]","[1,1]","[99181,41795.5]","[1.4777,0.948272]","[-1.78971,3.04646]","[228662,62038.3]","[0.0682163,-0.0104084]","[1,-1]","[13,13]","[1,1]","[0,0]","[-277.398,298.442]","[-0.0125783,-0.0216862]","[2.06382,2.99314]",31005.8,1.87798,5,"[554898,411768,191604,31949.1,27668.8]","[1.23067,-0.482045,2.00838,-0.268541,1.45182]","[-2.11309,1.19353,0.624275,0.777687,0.661096]","[1.03123e+06,462909,727106,33274.3,62649.4]","[0.998713,0.995478,0.996916,0.994357,0.99]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.322687,-0.931713,-0.867122,-0.943081,-0.33042]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1277.57,105.236]",12213.3,"[32736.4,5902.98,5158.73,1946.6,2302.56]","[]","[]","[]"
1206,284500,97270,364113,1,0.143925,1.00798e+06,1.32095,1,0.985627,1,1,0.949745,0.935601,1,0,1,0,2,"[1,1]","[1,1]","[110651,79345.4]","[0.357081,0.169054]","[-1.39535,-0.326021]","[117780,80482]","[0.15329,0.0395432]","[-1,1]","[13,13]","[1,1]","[0,2477.05]","[-628.082,863.781]","[-0.0118744,-0.00500129]","[2.11776,0.778034]",77869.7,0.609889,4,"[445527,269599,166273,127189]","[-0.0526031,-2.07032,-1.63977,-1.50416]","[0.928755,-2.99527,-1.94235,-2.46269]","[446879,1.08586e+06,445069,300666]","[0.910161,0.99845,0.997379,1]","[4,0,0,0]","[0,0,0,0]","[-0.736262,-0.0267817,-0.58819,0.187806]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8248.79,677.958]",2720.12,"[4684.19,6191.48,3359.6,4249.61]","[]","[]","[]"
1217,284500,99182,364113,1,0.143925,1.00798e+06,1.32095,1,0.991932,1,1,0.988871,0.940094,1,0,1,0,2,"[1,1]","[1,1]","[53445.2,34592.8]","[0.240933,-0.659567]","[0.183722,2.75036]","[55004,42394.1]","[-0.0110359,0.0255432]","[1,-1]","[13,13]","[1,1]","[0,0]","[-884.779,-781.111]","[0.0110759,-0.0231348]","[1.38545,2.87099]",37972.1,-0.405098,6,"[658737,559833,133834,54316.4,22666.1,22550.3]","[1.20626,-1.59075,-0.305419,-2.1596,0.197576,0.364004]","[-1.59014,1.80157,0.0442052,2.28091,2.34076,-0.462353]","[1.20118e+06,1.4329e+06,140388,238694,23406.4,24440.6]","[0.9997,1,0.998897,0.960954,0.98264,0.953932]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.485079,-0.876337,-0.947259,-0.744973,-0.765389,-0.776077]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[271.338,146.59]",9463.43,"[9818.27,16526.4,6538.92,2959.64,3062.17,2096.68]","[]","[]","[]"
1237,284500,99357,364113,1,0.143925,1.00798e+06,1.21412,1,0.979657,1,1,0.995199,0.72979,1,0,1,0,2,"[1,1]","[1,0]","[150435,13983.5]","[-0.0956446,-0.757717]","[-2.48151,0.146986]","[151124,18193.8]","[-0.00348473,-0.0369425]","[1,-1]","[13,13]","[1,1]","[0,0]","[-497.356,-210.558]","[0.023,-0.00107411]","[3.74982,0.0978773]",68044.1,-0.785507,5,"[475079,379722,366114,150427,26684.9]","[2.12577,-0.75481,0.54327,-1.05702,-0.134262]","[1.56101,-0.791431,-3.07236,-0.384432,0.489501]","[2.0192e+06,494399,422124,242777,27261.2]","[0.998926,1,0.999806,1,0.991261]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.962942,-0.833645,-0.913145,-0.797109,-0.639687]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5530.38,31.6274]",8065.62,"[8920.5,5605.72,3741.97,2293.14,2885]","[]","[]","[]"
1375,284500,671723,364113,1,0.143925,1.00798e+06,0.934886,1,0.989964,1,1,0.985676,0.992957,1,0,1,0,2,"[1,1]","[1,0]","[263908,135652]","[0.590265,0.419152]","[-1.15494,0.575144]","[311233,147743]","[-0.00772476,-0.0142689]","[-1,1]","[13,13]","[0,1]","[0,0]","[-165.671,25.2862]","[0.00816119,-0.00727031]","[1.50084,1.56244]",120895,-1.087,2,"[637858,260510]","[-0.356835,1.94406]","[2.29859,-0.960502]","[679839,928979]","[0.941853,1]","[5,5]","[0,0]","[0.74199,0.969734]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[29537.9,2486.32]",16719.2,"[7262.12,5400.24]","[]","[]","[]"
1423,284500,432084,364113,1,0.143925,1.00798e+06,1.22586,1,0.992609,1,1,0.979748,1.03087,1,0,1,0,2,"[1,1]","[1,1]","[48385.3,48097]","[-0.620625,-1.11414]","[0.731531,2.8897]","[58006.8,81167.2]","[-0.0354862,0.00330544]","[1,-1]","[13,13]","[1,1]","[0,0]","[-772.414,-371.014]","[0.00562663,0.0173884]","[0.633056,2.14059]",30302.5,1.21689,6,"[422476,183032,182791,140430,51465.8,25808]","[-0.665761,-0.17894,-0.367925,-0.137769,0.411518,1.76498]","[-0.800314,2.16016,1.41564,-2.80328,-2.37933,-2.92311]","[521898,188281,196020,142859,56769.4,77660.7]","[1,1,0.99117,1,0.990348,0.994175]","[5,0,0,0,0,0]","[0,0,0,0,0,0]","[0.952227,-0.729753,-0.960064,-0.690551,-0.941626,-0.615958]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[301.236,2361.98]",17492.6,"[5141.99,3953.96,3414.32,1949.38,8017.38,2843.6]","[]","[]","[]"
1693,284500,987771,364113,1,0.143925,1.00798e+06,1.25133,1,0.990304,1,1,0.969412,0.904506,1,0,1,0,2,"[1,1]","[1,0]","[273663,93002.8]","[-0.736642,-0.202595]","[2.96041,2.89342]","[351332,94918]","[-0.0268936,-0.0765762]","[-1,1]","[13,13]","[1,1]","[0,3414.92]","[-596.618,-596.618]","[0.0300752,0.0282623]","[7.0984,4.39285]",23252.1,3.13144,5,"[856303,431382,50428.6,41945.8,39429]","[-2.01025,0.0734207,-1.1456,0.112064,-1.955]","[0.0750416,-2.96075,-2.88404,-2.51784,-0.372375]","[3.25511e+06,434729,87570.2,42358.4,142162]","[0.99,0.995358,0.988825,0.895454,0.995715]","[4,0,0,0,0]","[0,0,0,0,0]","[-0.973029,-0.940445,-0.836058,-0.109815,-0.819848]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[19487.8,263.159]",12775.1,"[18003.4,6764.82,2584.35,3661.51,2434.4]","[]","[]","[]"
1781,284500,83003,364113,1,0.143925,1.00798e+06,0.553627,1,0.99448,1,1,0.969886,0.993362,1,0,1,0,2,"[1,1]","[1,1]","[388258,55090.8]","[1.18652,0.732647]","[-2.06688,-1.46264]","[695164,70549.9]","[-0.0374146,-0.022438]","[-1,1]","[13,13]","[1,1]","[0,1349.49]","[-1243.86,-243.055]","[-0.01729,-0.030739]","[2.90374,3.39707]",86443.3,0.738556,8,"[732024,277198,249102,165279,81089.1,41221.6,33195.7,28252.1]","[-1.70089,-0.571026,-0.614946,-0.601157,0.279766,1.13021,-1.94382,0.0471911]","[0.364216,1.93051,3.09774,-2.57416,-1.69821,2.31446,-0.13792,-3.02185]","[2.07278e+06,325691,301266,196809,85578.8,70850.4,118422,28855.1]","[1,0.997608,0.990546,0.996266,0.980743,0.99967,0.992221,0.997322]","[0,0,0,0,0,0,0,4]","[0,0,0,0,0,0,0,0]","[-0.890268,-0.980422,-0.856148,0.0699369,-0.885338,-0.916736,-0.447858,-0.629987]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[59665.7,148.268]",12032.6,"[13036.5,4125.26,4187.19,3033.04,4054.32,3394.91,3331.49,3227.32]","[]","[]","[]"
