event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
233,284500,6342,364115,1,219.996,2.83914e+06,1.21412,0.94069,1,1,1,1,0.95452,1,1,0,0,2,"[1,1]","[1,1]","[45658.6,44177]","[-0.74798,-0.350548]","[-1.14062,1.91159]","[59037.7,46919.3]","[-0.0382957,-0.0569878]","[-1,1]","[11,11]","[1,1]","[0,0]","[4082.95,-257.562]","[-0.00810741,0.022787]","[0.830899,3.33853]",6837.86,2.15333,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[153.428,122.592]",0,"[]","[]","[]","[]"
1869,284500,722448,364115,1,219.996,2.83914e+06,1.55465,0.947058,1,1,1,1,0.98425,1,1,0,0,2,"[1,1]","[1,1]","[48288.1,43133.1]","[0.271007,0.473867]","[-2.23647,1.05318]","[50072.2,48067.2]","[-0.0990162,0.0334778]","[-1,1]","[11,11]","[1,1]","[0,0]","[-509.349,2053.03]","[-0.0139195,0.0144242]","[1.70606,1.91587]",6721.98,1.04233,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[318.135,364.745]",0,"[]","[]","[]","[]"
2211,284500,8063,364115,1,219.996,2.83914e+06,1.74563,0.855238,1,1,1,1,1.01758,1,1,0,0,2,"[1,1]","[1,1]","[39092.3,24798.6]","[2.24225,1.96296]","[2.15146,-0.887629]","[186093,90028.7]","[-0.25337,0.319607]","[1,-1]","[11,11]","[1,1]","[0,0]","[-221.6,1380.17]","[-0.0204556,-0.00424712]","[1.31632,0.256406]",12426.5,-0.941193,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[92.9846,159.315]",0,"[]","[]","[]","[]"
2458,284500,217555,364115,1,219.996,2.83914e+06,1.26205,0.904978,1,1,1,1,1.03188,1,1,0,0,2,"[1,1]","[1,1]","[42077,41729]","[-2.26693,-1.28597]","[-0.240394,2.82913]","[205197,81258.3]","[0.098217,-0.0430717]","[-1,1]","[11,11]","[1,1]","[1900.46,0]","[2511.18,-559.822]","[-0.000554323,0.0228521]","[0.0154095,2.33661]",48078.1,1.81113,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[110.839,95.711]",19209.2,"[]","[]","[]","[]"
2590,284500,665180,364115,1,219.996,2.83914e+06,0.738662,0.846889,1,1,1,0.999636,0.93647,1,1,0,0,2,"[1,1]","[1,0]","[48266.7,30009.5]","[-2.44246,-1.61348]","[-0.534281,2.33885]","[279662,78316.5]","[0.0172119,-0.0631142]","[-1,1]","[11,11]","[1,1]","[0,0]","[1136.26,756.285]","[0.00222283,-0.0357618]","[0.124803,0.515007]",36630.6,0.625364,1,"[40991.1]","[-0.669093]","[-2.32391]","[51350.8]","[0.694096]","[0]","[0]","[-0.898465]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[362.175,157.622]",8524.14,"[2416.17]","[]","[]","[]"
3283,284500,709435,364115,1,219.996,2.83914e+06,1.08735,0.955398,1,1,1,1,1.00493,1,1,0,0,2,"[0,1]","[1,1]","[142020,101421]","[-1.31874,-1.82084]","[-1.39741,1.62715]","[284478,321451]","[-0.0384635,-0.0466502]","[-1,-1]","[11,11]","[1,1]","[0,0]","[989.365,282.263]","[0.00376566,0.0210601]","[0.176537,1.61202]",51815.2,1.84213,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1517.67,831.295]",19690.5,"[]","[]","[]","[]"
6721,284500,703517,364115,1,219.996,2.83914e+06,1.26205,0.943492,1,1,1,0.998014,0.97476,1,1,0,0,2,"[1,1]","[1,1]","[47707.1,46106.3]","[0.712454,0.579988]","[2.61504,-0.117751]","[60335.9,54080.9]","[-0.0384064,-0.0663509]","[-1,1]","[11,11]","[1,1]","[0,0]","[122.916,-96.9059]","[0.00521151,-0.011756]","[0.496721,0.741551]",28996.9,-2.24738,1,"[20918.3]","[-1.87791]","[0.678487]","[70048.7]","[0.99088]","[0]","[0]","[-0.769468]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[88.2261,228.19]",5818.59,"[1115.9]","[]","[]","[]"
7428,284500,3870,364115,1,219.996,2.83914e+06,1.25133,0.947,1,1,1,0.971433,0.98653,1,1,0,0,2,"[1,1]","[1,1]","[50542.3,43272.7]","[0.1762,0.582762]","[2.40257,-0.10077]","[51329,50830.9]","[0.0434322,0.000228882]","[1,-1]","[11,11]","[1,1]","[0,3482.34]","[582.799,44.121]","[-0.00109293,-0.0144849]","[0.0986913,1.29811]",21149.7,-0.664522,1,"[40634.4]","[-1.15548]","[-2.55568]","[71151.4]","[0.999443]","[4]","[0]","[-0.586353]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[381.161,60.9534]",1988.09,"[5002.04]","[]","[]","[]"
7780,284500,212756,364115,-1,219.996,2.83914e+06,1.24168,0.938337,1,1,1,0.98011,0.95498,1,1,0,0,2,"[1,1]","[1,1]","[52046.2,51979.4]","[-1.00502,-0.772207]","[-0.942834,1.10277]","[80619.4,68262.7]","[0.0261421,-0.0341873]","[1,-1]","[11,11]","[1,1]","[0,0]","[-810.858,-12.2144]","[-0.0109834,0.00507683]","[1.2749,0.38052]",9647.03,-2.56523,2,"[29737.5,25166.6]","[0.493298,1.54222]","[2.47373,-2.47202]","[33563.5,61647.1]","[0.983476,0.992384]","[0,4]","[0,0]","[-0.861222,0.426773]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[263.43,87.2942]",1301.79,"[2339.26,2237.69]","[]","[]","[]"
7830,284500,213805,364115,1,219.996,2.83914e+06,0.696077,0.98458,1,1,1,1.56162,1.00582,1,1,0,0,2,"[1,1]","[1,0]","[87625.9,26216.5]","[-0.248016,-0.241801]","[2.33198,-0.404979]","[90334.8,26986.7]","[0.00678635,-0.109444]","[-1,1]","[11,11]","[1,0]","[0,0]","[-226.486,2184.6]","[-0.014985,0.019065]","[2.34515,1.34036]",7120.43,0.506002,1,"[62485.4]","[0.161665]","[-1.07314]","[63568.6]","[0.98827]","[4]","[0]","[0.909494]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[305.28,62.3597]",57.5781,"[1434.9]","[]","[]","[]"
