event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
672,284500,2144731,364120,-1,24.4419,2.96634e+06,0,0.946437,1,1,1,0.99932,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[82888.3,29609.5]","[-0.222985,0.329046]","[0.29694,2.43237]","[84957.6,31226.9]","[-0.00293064,-0.0466881]","[1,-1]","[11,11]","[1,1]","[0,0]","[-1365.29,2654.56]","[-0.029831,0.021962]","[2.4723,2.40333]",25130.6,-2.96766,1,"[78307.2]","[-1.87214]","[-2.10413]","[260751]","[0.492358]","[0]","[0]","[-0.906364]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[200.688,90.589]",2249.28,"[2922.31]","[]","[]","[]"
1059,284500,1156125,364120,1.31921,24.4419,2.96634e+06,1.26459,0.955832,1,1,1,0.997637,1.00936,1,1,0,0,2,"[1,1]","[1,0]","[226885,20135]","[0.0489187,0.00400754]","[-1.57229,-3.07458]","[227157,20135.1]","[-0.051857,0.11776]","[1,-1]","[11,11]","[1,1]","[1283.68,0]","[-1483.46,735.327]","[-0.00100925,-0.00920127]","[0.126834,0.899273]",15395.6,-0.314544,2,"[209940,31875.6]","[-0.93884,1.93981]","[1.48727,1.84833]","[309946,113240]","[0.99769,0.991788]","[0,0]","[0,0]","[-0.91318,-0.897327]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1191.94,236.445]",1186.12,"[2771.38,3248.47]","[]","[]","[]"
1609,284500,827962,364120,-1,24.4419,2.96634e+06,0.75088,0.91916,1,1,1,0.999107,0.99589,1,1,0,0,2,"[1,1]","[1,1]","[34947.3,26422.6]","[-0.238,0.664929]","[0.0550079,-2.08117]","[35941.7,32482.1]","[0.120827,-0.00619507]","[1,-1]","[11,11]","[1,1]","[0,0]","[55.438,90.597]","[-0.00383368,0.0103749]","[0.411925,1.09673]",38935,0.268416,2,"[70391.2,70244]","[-0.102504,0.0809293]","[-0.66214,2.24696]","[71081.5,70911.1]","[0.999159,0.99109]","[0,0]","[0,0]","[0.657277,-0.921112]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[96.7845,86.0993]",2136.23,"[1826.24,1810.42]","[]","[]","[]"
1900,284500,1574606,364120,1,24.4419,2.96634e+06,1.26459,0.957406,1,1,1,0.999318,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[85761,55092.9]","[-0.244962,0.974056]","[-0.117904,-0.30809]","[88347,83361.4]","[-0.0862856,0.0266097]","[1,-1]","[11,11]","[1,1]","[0,0]","[314.222,2445.32]","[0.0146166,0.0184458]","[1.92977,1.92972]",15148.9,-1.41893,1,"[132579]","[1.23882]","[2.98807]","[249774]","[0.964336]","[0]","[0]","[-0.947016]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[650.095,124.132]",6971.25,"[6342]","[]","[]","[]"
2257,284500,3886718,364120,1,24.4419,2.96634e+06,0.75088,0.91594,1,1,1,0.99801,1.00936,1,1,0,0,2,"[1,1]","[1,0]","[150084,19723.4]","[0.0685026,1.72181]","[2.11964,-3.09326]","[150437,56935.6]","[-0.0750909,-0.133811]","[-1,1]","[11,11]","[1,1]","[0,0]","[2674.53,1955.35]","[0.00982649,-0.0417387]","[1.24726,1.12542]",43665.6,3.10821,2,"[145274,23352.7]","[-0.272455,0.73324]","[-1.00399,0.488808]","[151052,30256.7]","[0.986715,0.986342]","[0,0]","[0,0]","[-0.926689,-0.887305]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[703.302,301.842]",22566.2,"[4539.55,2488.65]","[]","[]","[]"
4470,284500,3893533,364120,1,24.4419,2.96634e+06,1.24168,0.957334,1,1,1,0.996956,1.00056,1,1,0,0,2,"[1,1]","[1,1]","[74423.7,73669.2]","[0.409151,0.887098]","[2.76914,-2.34894]","[80740.5,104607]","[0.0273514,0.0310822]","[1,-1]","[11,11]","[1,1]","[0,2489.12]","[-16.135,-65.1088]","[-0.00405728,-0.00508075]","[0.489426,0.397198]",22394.4,0.972455,2,"[146593,28029.6]","[2.3282,-1.42969]","[-0.169008,2.12819]","[759275,62237.8]","[0.993466,0.99174]","[0,0]","[0,0]","[-0.814743,-0.662396]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[174.621,176.952]",1546.12,"[3293.86,1911.48]","[]","[]","[]"
4740,284500,1992400,364120,1,24.4419,2.96634e+06,1.26205,0.923611,1,1,1,0.998935,1.0005,1,1,0,0,2,"[1,1]","[1,1]","[145760,28315.1]","[2.35983,1.14845]","[0.597348,0.230102]","[778625,49132.7]","[0.111938,0.0183334]","[1,-1]","[11,11]","[1,1]","[0,0]","[38.3065,549.389]","[0.00774173,0.00375847]","[0.642419,0.357286]",22282.6,-2.72173,1,"[152769]","[1.80759]","[-2.57899]","[478228]","[0.99522]","[0]","[0]","[-0.200392]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1652.29,205.907]",8011.35,"[8663.98]","[]","[]","[]"
5320,284500,815941,364120,1,24.4419,2.96634e+06,1.26459,0.94014,1,1,1,0.997949,1.00021,1,1,0,0,2,"[1,1]","[1,1]","[61299,26271.3]","[0.738061,-0.0787706]","[-2.55995,0.428343]","[78766.6,26352.9]","[-0.0442781,0.0867023]","[1,-1]","[11,11]","[1,1]","[0,0]","[1614.64,80.1183]","[0.00369677,-0.000335655]","[0.307718,0.0280098]",6432.09,-1.80058,2,"[133508,102588]","[-0.199097,0.370184]","[1.14015,-1.84719]","[136390,109996]","[0.993563,0.909121]","[0,0]","[0,0]","[-0.862441,-0.921053]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[147.788,97.7973]",3883.98,"[2361.19,5593.8]","[]","[]","[]"
6518,284500,3885990,364120,-1,24.4419,2.96634e+06,1.26205,0.868612,1,1,1,0.999158,0.96307,1,1,0,0,2,"[1,1]","[1,0]","[39750.9,16249.4]","[-1.1006,-0.938397]","[2.1907,-1.56062]","[66357.1,23944.6]","[0.0363314,-0.00241685]","[1,-1]","[11,11]","[1,1]","[0,0]","[443.586,1769.23]","[0.00803952,0.025955]","[0.661778,1.14543]",48791,1.35222,1,"[68450.8]","[-2.33089]","[-1.36313]","[355539]","[0.993806]","[0]","[0]","[-0.91737]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[155.575,227.665]",7388.09,"[4227.47]","[]","[]","[]"
7154,284500,3126670,364120,-1,24.4419,2.96634e+06,1.26459,0.928337,1,1,1,0.998106,0.99765,1,1,0,0,2,"[1,1]","[1,0]","[149542,20014.2]","[0.790751,1.56261]","[-2.85399,-1.16744]","[198783,49843.6]","[0.0146122,-0.0571227]","[-1,1]","[11,11]","[1,0]","[0,0]","[570.19,2484.18]","[0.0215657,-0.0309743]","[2.93091,1.88562]",31682.2,1.15526,3,"[84029.4,33405.3,24693.7]","[0.982145,-0.101526,-0.200764]","[0.0224814,0.906597,-0.126893]","[129112,34246.6,25928.5]","[1,0.995814,0.895121]","[0,0,0]","[0,0,0]","[-0.793782,-0.146201,-0.894148]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[804.756,859.132]",6563.38,"[5138.5,2367.78,1711.81]","[]","[]","[]"
