event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
105,284500,1263068,364125,1,1.4922,1.85418e+06,1.25133,0.910272,1,1,1,0.99925,1.00121,1,1,0,0,2,"[1,1]","[1,0]","[218422,17412.3]","[-1.87488,-0.773061]","[1.07388,0.0475783]","[728807,22879.7]","[0.0048008,-0.0115175]","[-1,1]","[11,11]","[1,1]","[0,0]","[-631.815,-231.541]","[0.00749057,0.0103967]","[0.576398,0.939364]",37805.7,-2.73855,2,"[246426,59738.4]","[1.03329,0.312837]","[-2.26168,0.567855]","[392049,62871.7]","[0.986977,0.994028]","[0,0]","[0,0]","[-0.786623,-0.930748]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2414.85,69.614]",7932.85,"[7482.55,1981.82]","[]","[]","[]"
1533,284500,1897249,364125,1,1.4922,1.85418e+06,0.75088,0.908441,1,1,1,1.09863,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[109723,18775.2]","[0.554596,0.666923]","[-0.191888,2.36547]","[127035,23107.8]","[0.0579071,-0.0531158]","[1,-1]","[11,11]","[1,1]","[0,0]","[-765.418,471.657]","[-0.00657521,0.0222359]","[1.01207,1.49611]",38150.4,-1.43115,4,"[128090,79657.1,46918.2,24413.2]","[-1.5621,-1.60753,0.429059,-1.63967]","[1.42263,-2.22148,-2.72078,1.94175]","[319178,207076,51959.8,65414.8]","[0.998263,0.992088,0.990129,0.871011]","[0,5,5,0]","[0,0,0,0]","[0.384827,0.999956,0.995415,-0.782832]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[659.688,102.586]",3489.89,"[5508.93,6562.82,1656.25,3784.98]","[]","[]","[]"
1582,284500,1895337,364125,1,1.4922,1.85418e+06,1.25133,0.895088,1,1,1,1.04268,0.98592,1,1,0,0,2,"[1,1]","[1,0]","[61285.4,27776]","[-1.29235,-2.01268]","[-1.41182,1.59225]","[119996,105784]","[-0.00550842,-0.579384]","[1,-1]","[11,11]","[1,1]","[0,0]","[958.127,503.443]","[-0.00868554,0.0281674]","[0.843885,0.289087]",13245.2,-0.791568,3,"[146942,117656,23265.9]","[0.0870088,0.451983,0.275179]","[2.22639,-0.638086,-3.11369]","[148867,130900,24695.8]","[0.999415,0.995543,0.983562]","[0,5,5]","[0,0,0]","[-0.873327,0.95071,-0.231881]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[541.202,162.048]",3927.92,"[2628.45,3166.72,1563.12]","[]","[]","[]"
2134,284500,1922479,364125,1,1.4922,1.85418e+06,0.696077,0.957609,1,1,1,1.02969,0.99604,1,1,0,0,2,"[1,1]","[1,1]","[109908,95644.7]","[-2.16765,-1.73364]","[-2.59534,-0.293314]","[486464,279181]","[0.0180855,0.0839844]","[1,-1]","[11,11]","[1,1]","[0,0]","[-992.872,2094.96]","[0.0164294,0.0218251]","[2.01087,0.851501]",30513.7,0.226773,4,"[263240,199880,30264.4,24087.5]","[-1.81932,-2.28204,2.42717,-2.26706]","[1.98817,-0.886586,-2.35766,2.46797]","[833345,989811,172853,117563]","[0.996616,0.994352,0,0.990304]","[5,5,0,0]","[0,0,0,0]","[-0.595801,0.971842,-0.885762,-0.276632]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[752.606,1391.27]",5820.97,"[7705.44,6055.22,2413.52,3921.99]","[]","[]","[]"
2151,284500,1923250,364125,1,1.4922,1.85418e+06,1.25133,0.98916,1,1,1,0.969269,0.99765,1,1,0,0,2,"[1,1]","[1,0]","[117239,17915.2]","[0.798287,0.927903]","[2.54953,-0.499795]","[156621,26197.2]","[-0.00882721,0.0107536]","[1,-1]","[11,11]","[1,0]","[0,0]","[-418.689,1418.38]","[0.00239037,0.0393829]","[0.299687,2.51678]",77708.8,-2.72175,5,"[97605.9,53312.5,47613.4,32841.2,20686.4]","[0.0166856,0.0597705,1.72208,0.412346,-0.675924]","[-3.04279,-1.02889,-0.0565915,0.792965,0.000179244]","[98013.8,54170.1,137564,36123.5,26125.1]","[0.995658,0.997876,0.759216,0.995148,0.805269]","[4,5,4,0,0]","[0,0,0,0,0]","[-0.413832,0.999965,-0.288368,-0.75106,-0.887218]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[597.877,163.912]",16291.1,"[2501.32,3916.4,2169.9,2959.94,1152.19]","[]","[]","[]"
2605,284500,1323561,364125,1.69666,1.4922,1.85418e+06,0.75088,0.908971,1,1,1,0.849847,0.95498,1,1,0,0,2,"[1,1]","[1,1]","[50926.2,30802.7]","[-0.611601,-2.03377]","[1.38503,-0.89948]","[60751.4,119726]","[-0.0459671,-0.0548439]","[-1,1]","[11,11]","[1,1]","[14385.2,0]","[944.429,-788.839]","[0.0265201,-0.00443496]","[3.47114,0.34546]",25461.6,-2.90099,7,"[204930,40737.4,39995.2,39957.4,29345.9,27932,20728.3]","[0.146107,1.64356,0.414411,1.002,-0.112387,-0.378631,0.00450114]","[-1.47949,2.71959,1.30198,1.38781,0.926783,2.33801,1.75129]","[207622,109722,44459.8,62336.1,29997.8,30629.1,21041.2]","[0.539132,0.99,0.975027,0.979837,0.990975,0.9844,0.85948]","[4,0,0,5,0,0,0]","[0,0,0,0,0,0,0]","[-0.552869,-0.797664,-0.905904,0.54303,-0.651103,-0.471897,-0.203746]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[158.986,457.822]",6032.31,"[7333.03,3224.56,2633.37,1829.44,6086.58,1934.8,1248.91]","[]","[]","[]"
2630,284500,1323729,364125,1.22313,1.4922,1.85418e+06,0.923924,0.938568,1,1,1,1.04383,0.9995,1,1,0,0,2,"[1,1]","[1,1]","[64877,45972.7]","[2.01929,0.91284]","[-2.67379,-1.4179]","[248663,66494.3]","[-0.0695817,0.0222878]","[-1,1]","[11,11]","[1,1]","[0,0]","[-1472.99,-1319.29]","[0.000908476,-0.00896535]","[0.0642402,0.820319]",51870.4,-3.03656,5,"[175645,83980.2,51718,25832.1,20677.3]","[0.179082,1.26687,0.619919,-1.28613,-0.66429]","[0.286708,-2.98685,1.05565,-2.66709,0.767725]","[180619,161125,62430.5,50670.7,25699.2]","[1,0.99447,0.986011,0.926035,0.996509]","[0,5,0,0,0]","[0,0,0,0,0]","[-0.911938,0.983882,-0.830421,-0.79827,-0.838557]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[275.077,97.4216]",581.125,"[3510.08,2017.79,2382.56,2160.35,3019.8]","[]","[]","[]"
3197,284500,1385798,364125,1.24492,1.4922,1.85418e+06,1.22586,0.95812,1,1,1,0.997697,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[144021,58958.3]","[0.937499,1.71628]","[1.70888,2.25215]","[212085,169314]","[-0.0411453,0.00547791]","[1,-1]","[11,11]","[1,1]","[0,8879.68]","[658.067,1134.89]","[-0.0409047,-0.0144279]","[3.40073,0.885261]",78517.2,2.64626,4,"[246597,65222.3,35861.7,20179.2]","[0.444599,0.943752,1.06384,0.276831]","[-0.645641,-1.93939,2.58096,-1.28541]","[272016,96890.1,58318.3,21279.6]","[0.999267,0.987528,0.992301,0.941307]","[0,4,5,4]","[0,0,0,0]","[0.216281,-0.251546,0.999798,0.137214]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1377.78,334.35]",27881.5,"[8070.95,3538.4,8642.91,867.065]","[]","[]","[]"
3693,284500,1287971,364125,1,1.4922,1.85418e+06,1.55465,0.917941,1,1,1,1.02014,1.01012,1,1,0,0,2,"[1,1]","[1,1]","[178081,38872.7]","[1.88524,1.79756]","[-0.338034,0.809869]","[600107,120518]","[-0.0909271,-0.0165024]","[1,-1]","[11,11]","[1,1]","[0,0]","[-404.072,-234.097]","[-0.015194,-0.01102]","[1.42488,0.735399]",64305.5,2.88205,2,"[147270,54225.7]","[1.59554,2.217]","[2.64293,-1.53979]","[378553,251900]","[0.990947,1]","[5,0]","[0,0]","[0.999003,-0.899684]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1784.34,182.192]",2455.78,"[2021.94,5190.61]","[]","[]","[]"
3775,284500,1287397,364125,1,1.4922,1.85418e+06,0.506784,0.851317,1,1,1,1.04142,0.99737,1,1,0,0,2,"[1,1]","[1,1]","[35775.2,31482.7]","[0.26576,2.42529]","[0.911354,1.96897]","[37046,179357]","[-0.0113678,0.0924301]","[-1,1]","[11,11]","[1,1]","[0,0]","[-207.812,1169.62]","[-0.0137049,-0.0276526]","[1.6564,0.944947]",44187.2,-1.96561,5,"[138771,52064.3,26446.3,23524.9,21103.2]","[0.635459,1.20907,-1.98378,-2.00533,-2.17799]","[0.0896822,1.11123,-1.39796,2.03872,-2.71509]","[168435,95462.3,98108.1,89036.2,94472.7]","[1,0.988689,0.922171,0.957952,0.994507]","[5,0,0,0,5]","[0,0,0,0,0]","[0.999901,-0.931409,-0.909124,-0.807768,-0.290348]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[344.111,322.453]",13278.3,"[3023.38,5799.3,1850.84,2290.39,1376.8]","[]","[]","[]"
