event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
30,284500,347475,364134,1,24.5727,2.96929e+06,0.402058,0.96654,0.996703,1,1,0.99904,0.99197,1,1,0,0,2,"[0,0]","[0,1]","[36994.3,32476.2]","[0.642885,-0.293832]","[0.174833,-0.943813]","[44906.3,33888.2]","[0.015831,0.343987]","[-1,1]","[13,11]","[1,1]","[0,1093.8]","[-475.244,-122.752]","[0.0328685,-0.153485]","[3.80608,11.0015]",59148.1,-1.19522,1,"[104584]","[0.0994586]","[2.33085]","[105519]","[0.990414]","[0]","[0]","[-0.89782]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[50.7987,144.573]",1932.28,"[2857.38]","[]","[]","[]"
80,284500,357855,364134,-1,24.5727,2.96929e+06,1.22586,0.97135,0.995413,1,1,0.998358,1.0044,1,1,1,0,2,"[0,0]","[1,1]","[67168.7,43724.2]","[1.88374,2.03789]","[2.86101,2.04868]","[226026,170627]","[0.140572,-0.0506401]","[-1,1]","[11,13]","[1,1]","[0,0]","[4446.96,1774.28]","[0.0576826,0.075091]","[3.11893,7.20562]",108771,2.64531,2,"[218632,21062.9]","[0.960234,-0.26989]","[-0.578361,1.79413]","[327821,22376.9]","[0.993666,0.76743]","[0,0]","[0,0]","[-0.91965,-0.549369]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[330.452,460.95]",10604.9,"[10074.8,1839.94]","[]","[]","[]"
111,284500,6191,364134,1,24.5727,2.96929e+06,1.25133,0.96322,0.995621,1,1,0.998742,0.938588,1,0,1,0,2,"[0,0]","[1,0]","[39324.9,14581.5]","[0.337353,-0.667204]","[-0.133282,-0.487501]","[41584,17949.2]","[0.0644722,0.223896]","[1,-1]","[13,11]","[1,1]","[0,0]","[-683.704,-236.085]","[-0.0470458,0.0391565]","[4.47828,2.46687]",139380,-0.293675,1,"[122995]","[0.535833]","[2.95277]","[141811]","[0.923226]","[0]","[0]","[-0.95284]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[111.978,197.026]",8592.4,"[2508.55]","[]","[]","[]"
148,284500,208149,364134,1,24.5727,2.96929e+06,0.934886,0.97245,0.995931,1,1,0.997644,0.99544,1,1,0,0,2,"[0,0]","[1,0]","[89162.7,12637.6]","[1.15219,0.866138]","[-1.14083,0.493118]","[155190,17682.1]","[0.00777054,0.0104485]","[1,-1]","[11,13]","[1,1]","[0,0]","[787.56,475.371]","[-0.0277365,-0.0302196]","[3.13363,2.31515]",44992.4,-0.824074,2,"[40184,20975.1]","[-0.443715,2.47515]","[-1.98214,1.61105]","[44561.3,125519]","[0.96511,1]","[0,0]","[0,0]","[-0.893971,-0.308507]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[373.749,25.8439]",9525.7,"[5526.64,1244.94]","[]","[]","[]"
263,284500,230382,364134,1,24.5727,2.96929e+06,1.26205,1,0.994662,1,1,0.998159,1,1,1,0,0,2,"[0,0]","[1,0]","[188638,17892.6]","[-0.575251,0.10145]","[2.14144,2.52395]","[220719,17985]","[0.122862,0.0442247]","[-1,1]","[11,13]","[0,1]","[0,0]","[10974.3,-352.935]","[-0.041189,0.0871794]","[3.6823,5.77842]",85542.2,2.5525,2,"[194318,102254]","[0.410551,0.653418]","[-1.07333,-0.463502]","[211751,125061]","[0.988801,1]","[0,0]","[0,0]","[-0.812711,-0.967385]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[914.961,88.7843]",4952.33,"[8920.24,3490.12]","[]","[]","[]"
310,284500,354049,364134,1,24.5727,2.96929e+06,1.74563,0.951636,1,1,1,0.997053,1.00582,1,1,0,0,2,"[0,0]","[1,0]","[106165,32782.7]","[-0.244755,-0.162802]","[-0.717264,-1.74375]","[109360,33218.1]","[0.0101337,0.010479]","[1,-1]","[11,11]","[1,1]","[0,0]","[-735.205,-303.873]","[-0.0334076,-0.0179135]","[2.89655,1.73772]",31183.9,-1.67526,3,"[137478,23842.2,22951.4]","[-0.632962,-1.15792,0.0125464]","[1.77148,-2.4791,2.54716]","[166234,42078.8,23392.5]","[0.998295,0.970205,0.995656]","[0,0,0]","[0,0,0]","[-0.878296,-0.642242,-0.901492]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[390.398,58.0443]",7570.43,"[7778.84,1671.11,1663.87]","[]","[]","[]"
442,284500,7295,364134,1,24.5727,2.96929e+06,0.75088,1,0.991384,1,1,0.998969,0.981429,1,0,1,0,2,"[0,0]","[1,0]","[75360.2,29638.1]","[-0.542735,-1.56175]","[-2.56375,-2.73606]","[86734.5,73753.1]","[-0.0602188,0.333702]","[-1,1]","[13,13]","[1,1]","[0,0]","[37.7411,831.535]","[-0.0134249,-0.229372]","[1.97657,18.512]",49036.1,2.71466,2,"[92031.3,47697.4]","[0.9335,0.464931]","[0.500078,0.094872]","[135587,53641.1]","[0.993368,1]","[0,0]","[0,0]","[-0.823547,-0.913201]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1970.06,323.849]",3601.81,"[2593.28,2235.62]","[]","[]","[]"
496,284500,233201,364134,-1,24.5727,2.96929e+06,0.619412,0.915589,1,1,1,0.998577,0.97731,1,1,0,0,2,"[0,0]","[1,0]","[28718.3,11732.3]","[0.996674,-0.367606]","[-0.123306,-3.13534]","[44202.7,12533.9]","[0.0393295,-0.128578]","[-1,1]","[11,11]","[1,1]","[0,0]","[-136.026,-35.1995]","[0.045262,0.00466426]","[2.33928,0.311739]",33757,-1.50144,2,"[77220.6,42862.9]","[0.672573,-1.583]","[1.75463,-1.63096]","[95841.1,109000]","[0.993489,0.987116]","[0,0]","[0,0]","[-0.865041,-0.656298]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[188.696,243.975]",3575.52,"[5300.43,2518.52]","[]","[]","[]"
531,284500,355641,364134,-1,24.5727,2.96929e+06,0.75088,1.00336,0.995598,1,1,0.997335,1.03042,1,0,1,0,2,"[0,0]","[1,0]","[60043.9,11833.1]","[-0.615183,-1.74637]","[0.330163,0.463103]","[71768.7,34956.1]","[-0.00414276,-0.0742836]","[-1,1]","[13,11]","[1,1]","[0,2065.24]","[-232.086,446.6]","[0.0253013,-0.000833816]","[3.69336,0.041466]",40559.5,0.539399,2,"[142982,33444.4]","[-0.241859,-1.94112]","[-2.81167,-0.0482948]","[147662,119116]","[0.994761,0.944947]","[0,0]","[0,0]","[-0.802705,-0.703332]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[179.54,199.546]",3911.61,"[2453.57,4347.84]","[]","[]","[]"
567,284500,338302,364134,1,24.5727,2.96929e+06,0,0.9652,0.99816,1,1,0.998144,0.98592,1,1,1,0,2,"[0,0]","[1,1]","[67118.5,59205.9]","[-1.29141,-2.46167]","[0.239922,0.318276]","[131311,349601]","[-0.0905037,-0.0650291]","[-1,1]","[11,13]","[1,1]","[1073.3,0]","[351.349,-1493.39]","[-0.0220971,-0.0337987]","[1.67357,3.37091]",71670.8,0.00235671,2,"[110487,20961.7]","[-0.680267,0.507539]","[-3.05849,-2.71453]","[137608,24265.2]","[0.999826,0.98]","[0,0]","[0,0]","[-0.787624,-0.363724]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[417.985,712.168]",25544.8,"[3527.19,2593.27]","[]","[]","[]"
