event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
6,284500,206421,364135,1,9.30182,1.98317e+06,0,1,0.997375,1,1,1.18972,0.727758,1,0,1,0,2,"[0,0]","[1,1]","[76904.1,25774.8]","[0.518737,1.04134]","[0.876864,-0.644036]","[87485.3,41059.3]","[0.0154972,-0.0115662]","[1,-1]","[13,13]","[1,1]","[0,0]","[1054.91,64.9833]","[-0.00329845,-0.00946683]","[0.544044,1.03568]",32489.9,0.823393,1,"[20074.3]","[0.0234368]","[-3.09891]","[20525.3]","[0.989589]","[4]","[0]","[0.935083]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1484.55,111.029]",8360.39,"[5362.66]","[]","[]","[]"
49,284500,1830087,364135,1,9.30182,1.98317e+06,0.596562,0.96322,0.985938,1,1,0.99851,0.992472,1,0,1,0,2,"[0,0]","[1,0]","[35824,11754.3]","[-1.97974,-0.695533]","[1.67254,-2.78616]","[132173,14713.9]","[-0.0290546,-0.0546379]","[1,-1]","[13,11]","[1,1]","[0,0]","[-117.871,270.906]","[0.0472847,0.00846516]","[4.07269,0.467915]",43514.7,2.34361,1,"[31426.6]","[1.2685]","[2.78439]","[60517.2]","[0.992633]","[0]","[0]","[-0.341727]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[116.362,227.354]",3989.56,"[3154.1]","[]","[]","[]"
137,284500,2090992,364135,1,9.30182,1.98317e+06,1.22586,1,0.997152,1,1,0.962134,1,1,1,0,0,2,"[0,0]","[1,0]","[192008,9920.47]","[0.0884104,0.99451]","[0.482647,-0.718141]","[192759,15244.7]","[0.0156937,0.00427246]","[1,-1]","[11,13]","[0,1]","[0,0]","[6706.82,-1190.99]","[0.00953291,0.00600369]","[0.798963,0.391655]",40483.7,0.251035,5,"[238797,54428.9,34452.3,27097.6,22722.5]","[-0.117981,-0.282234,0.440213,2.40054,-0.690465]","[-2.77053,-1.38118,2.15523,-0.0230462,1.96394]","[241365,56915.9,38199.3,150707,28744.6]","[1,0.946439,0.987038,0.997795,0.947799]","[0,4,0,0,0]","[0,0,0,0,0]","[-0.763513,0.627102,-0.900148,-0.779928,-0.755474]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1291.93,21.8116]",635.902,"[2699.06,4314.9,2648.69,1890.53,1929.79]","[]","[]","[]"
154,284500,1834764,364135,-1,9.30182,1.98317e+06,1.25133,0.96679,0.992922,1,1,0.998893,0.96793,1,1,0,0,2,"[0,0]","[1,1]","[43054,24586.2]","[-0.814673,-0.166206]","[0.267209,-1.1143]","[58149.2,24926.8]","[-0.0485411,-0.0319624]","[-1,1]","[11,13]","[1,1]","[0,0]","[-329.811,-899.596]","[0.000228309,-0.0042663]","[0.0195143,0.39498]",43369.7,-0.0917582,2,"[125323,35501.8]","[-1.30475,-1.03844]","[3.03897,-0.347844]","[248393,56800]","[0.986599,0.990016]","[0,0]","[0,0]","[-0.96927,-0.381399]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[191.829,175.598]",11059.3,"[3359.69,2003.53]","[]","[]","[]"
193,284500,2921454,364135,1,9.30182,1.98317e+06,0.619412,1,0.976326,1,1,0.962728,0.9623,1,0,1,0,2,"[0,0]","[1,1]","[35268.2,29770.6]","[0.255277,1.94346]","[1.65043,1.28368]","[36423.8,106074]","[0.0115471,0.031414]","[-1,1]","[13,13]","[1,1]","[0,0]","[22.1338,-434.821]","[0.016856,0.0363129]","[1.6118,3.17526]",21550,1.29809,3,"[122676,23867.7,21535.5]","[0.0135563,-0.140747,-0.0129809]","[-2.96862,0.122955,-2.44735]","[123295,24803.7,21728.9]","[0.994159,0.94416,0.92175]","[4,0,0]","[0,0,0]","[-0.953169,-0.825571,-0.870171]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[191.66,158.635]",894.742,"[1433.24,3494.01,4111.24]","[]","[]","[]"
212,284500,1102877,364135,1.04024,9.30182,1.98317e+06,1.1961,0.916576,1,1,1,0.997408,0.99737,1,1,0,0,2,"[0,0]","[1,0]","[36969.7,22741.1]","[0.121097,-0.834303]","[1.00961,0.653668]","[37241.1,31125.5]","[0.0145397,-0.0249691]","[-1,1]","[11,11]","[1,1]","[0,0]","[358.151,2252.32]","[0.0113487,-0.195714]","[1.53326,4.13587]",119723,1.01325,2,"[48246.4,38653]","[2.33588,2.49653]","[-2.1884,-2.82019]","[251849,236373]","[0.993299,0.188238]","[0,0]","[0,0]","[-0.759598,-0.106244]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[239.411,102.814]",2468.67,"[2249.08,3780.35]","[]","[]","[]"
226,284500,2052348,364135,1,9.30182,1.98317e+06,1.21412,1,1.00015,1,1,0.96056,0.972136,1,0,1,0,2,"[0,0]","[1,0]","[28311.7,8442.75]","[1.19794,-1.35146]","[-1.5247,2.91251]","[51174.9,17400.2]","[-0.0094986,-1.1606]","[1,-1]","[13,11]","[1,0]","[0,4270.55]","[4.23566,2319.6]","[0.0182859,0.137918]","[1.80286,3.06412]",48604.1,1.24758,5,"[90673.6,75198.5,55336.1,40456.3,23375.1]","[-0.237994,1.06369,-1.662,0.542255,-0.03548]","[-0.652667,-3.11807,-2.10218,3.02789,1.04733]","[93752.8,122285,151099,47047.5,23661.4]","[0.998639,0.970309,0.99288,0.999956,0.988444]","[4,0,0,0,15]","[0,0,0,0,1]","[-0.597609,-0.822965,-0.326535,-0.889138,-0.910116]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[135.434,183.187]",34687.5,"[1214.1,2898.15,5803.37,1983.65,1767.23]","[]","[]","[]"
235,284500,2091931,364135,1,9.30182,1.98317e+06,1.1961,1,0.98238,1,1,0.998609,0.964219,1,0,1,0,2,"[0,0]","[1,0]","[41912.2,12564.5]","[2.30327,1.71597]","[2.85457,-0.754859]","[211798,36071.7]","[-0.00261688,0.0594902]","[-1,1]","[13,13]","[1,1]","[0,0]","[-674.506,-165.854]","[0.0102866,-0.0106122]","[1.01101,0.747812]",50734,2.73162,2,"[70272.2,52404.4]","[1.1218,2.22144]","[0.585861,-1.07349]","[119693,244499]","[0.998158,1]","[0,0]","[0,0]","[-0.856325,-0.847501]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[446.218,61.3033]",2356.17,"[3674.07,5984.93]","[]","[]","[]"
239,284500,2090650,364135,-1,9.30182,1.98317e+06,1.32095,0.98458,0.997954,1,1,0.996237,1.00582,1,1,0,0,2,"[0,0]","[1,0]","[101351,11218.5]","[-0.216963,-0.800415]","[2.66072,1.03655]","[103746,15008.5]","[-0.0225029,-0.105961]","[-1,1]","[11,13]","[1,1]","[0,7529.09]","[-885.06,-257.511]","[0.00269907,0.0206093]","[0.274951,1.63336]",25138.1,-2.48543,3,"[97258.9,42850.3,29345.1]","[1.8611,2.44317,-1.74536]","[-0.506599,-1.48993,1.52787]","[320419,248511,86762.5]","[1,0.988563,0.806274]","[0,0,0]","[0,0,0]","[-0.546147,-0.747291,-0.876345]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[644.894,52.5206]",4820.2,"[7275.45,2762.49,2936.07]","[]","[]","[]"
263,284500,26519,364135,1,9.30182,1.98317e+06,0.619412,0.96558,0.996017,1,1,0.99825,0.99746,1,1,0,0,2,"[0,0]","[1,0]","[66010.5,17966.3]","[-1.68868,-0.294974]","[1.48996,2.33974]","[184733,18754]","[0.127945,-0.00917435]","[1,-1]","[11,13]","[1,1]","[0,5200.01]","[662.794,74.4271]","[-0.0188991,-0.0174195]","[1.03147,1.98541]",82983.1,2.20593,2,"[126358,29250.6]","[0.0468941,1.02986]","[-1.34263,0.0254523]","[127839,46465.5]","[0.987014,0.874891]","[0,0]","[0,0]","[-0.900571,-0.841622]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[560.355,31.2583]",6223.38,"[3988.37,1846.17]","[]","[]","[]"
289,284500,205934,364135,1,9.30182,1.98317e+06,1.24168,1,0.984079,1,1,0.937299,0.902647,1,0,1,0,2,"[0,0]","[1,0]","[78144.1,10047]","[0.642281,1.48422]","[1.21095,-1.26281]","[94824.2,23300.3]","[-0.0110197,-0.00423527]","[-1,1]","[13,13]","[1,1]","[1350.26,0]","[-448.402,503.604]","[0.00616844,-0.0227906]","[1.08719,1.27262]",20323.8,1.64406,2,"[115072,40333.8]","[1.9039,-0.67006]","[-1.98938,1.04707]","[394981,50263.1]","[0.999052,0.99]","[4,4]","[0,0]","[0.098292,-0.67026]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1968.92,38.288]",12176.8,"[10689.8,2913.86]","[]","[]","[]"
332,284500,2097861,364135,1,9.30182,1.98317e+06,0.738662,0.99093,0.998799,1,1,0.999215,1.00306,1,1,1,0,2,"[0,0]","[1,1]","[122964,74948.3]","[0.964524,1.4787]","[-1.76094,-2.41961]","[184735,172949]","[0.0253792,0.0780449]","[1,-1]","[11,13]","[1,1]","[0,0]","[4834.13,794.709]","[0.0111058,0.00429685]","[1.56844,0.570656]",78436.2,-1.76513,2,"[249186,38704.1]","[1.18309,-0.703951]","[1.24876,0.521168]","[446487,49263.1]","[0.99609,0.987838]","[0,0]","[0,0]","[-0.862474,-0.93544]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1035.7,657.274]",1349.5,"[3553.29,2153.29]","[]","[]","[]"
361,284500,1853475,364135,1,9.30182,1.98317e+06,0.738662,1,0.998137,1,1,0.997973,0.981581,1,0,1,0,2,"[0,0]","[1,0]","[39036.2,30238.4]","[-1.41861,-1.45064]","[2.52195,-0.202691]","[85360.8,68040.2]","[0.0383492,-0.0304604]","[-1,1]","[13,13]","[1,1]","[0,0]","[-1104.84,360.413]","[0.000694526,0.0121495]","[0.0688884,1.33338]",6727.66,-0.767981,2,"[93476.2,43639.7]","[-1.18611,-2.15222]","[0.213722,-2.75137]","[167522,190433]","[0.518066,0.963971]","[0,0]","[0,0]","[-0.945774,-0.783448]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[69.6255,50.2378]",17454.3,"[4571.11,3522.7]","[]","[]","[]"
