event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
57,284500,162293,364136,1,6.19297,3.43045e+06,0.164755,0.96218,0.988089,1,1,1.02557,0.95786,1,1,0,0,2,"[0,0]","[1,0]","[36346.4,11255.2]","[0.718827,1.97687]","[0.850953,1.00523]","[46148,41411.6]","[0.0207977,1.68582]","[-1,1]","[11,13]","[1,1]","[0,0]","[-428.599,-114.369]","[0.0137938,-0.513808]","[1.25738,33.8174]",98070.1,1.05706,3,"[135532,35733.4,21874.6]","[0.513957,0.587471,2.35233]","[-2.30214,-0.171866,-2.51477]","[154003,42177.4,116102]","[0.994373,0.993259,0.979266]","[5,0,0]","[0,0,0]","[0.924491,-0.906751,-0.380686]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[72.2117,22.8385]",16129.1,"[1465.96,6208.15,1882.38]","[]","[]","[]"
71,284500,195802,364136,1.51653,6.19297,3.43045e+06,1.26205,1,0.992072,1,1,0.998377,0.974439,1,0,1,0,2,"[0,0]","[1,1]","[111363,78446.5]","[-1.57256,-1.83221]","[-1.81149,-1.22775]","[279880,251333]","[0.0190468,0.0372009]","[1,-1]","[13,13]","[1,1]","[0,4169.36]","[-54.8997,1285.74]","[0.019077,0.0165544]","[2.68677,2.47081]",119987,-1.44458,5,"[181572,131196,131038,94247.1,23807.3]","[0.0484028,-1.27234,0.178516,-0.36484,0.608152]","[1.06073,2.70935,0.375721,-2.83915,1.2058]","[184680,253034,133564,101420,28453.2]","[0.99186,0.994029,0.9826,1,1]","[5,0,0,0,0]","[0,0,0,0,0]","[0.98837,-0.956988,-0.951748,-0.940098,-0.698074]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3144.38,2658.29]",19603.1,"[2610.6,4684.6,5946.89,2173.39,1694.96]","[]","[]","[]"
74,284500,196299,364136,1,6.19297,3.43045e+06,0.506784,0.97097,1,1,1,0.974673,0.99737,1,1,0,0,2,"[0,0]","[1,0]","[37082.5,11334.7]","[0.190759,1.69113]","[0.977606,-2.38623]","[37759.2,31793.4]","[0.0425186,0.309509]","[1,-1]","[11,11]","[1,0]","[0,7997.68]","[465.19,1295.64]","[-0.0220379,0.075265]","[2.77247,2.8298]",136525,0.987867,2,"[169742,27123.2]","[-0.514647,0.329853]","[-1.94216,2.39317]","[193306,28911.3]","[0.999858,0.931722]","[5,15]","[0,1]","[0.750691,-0.902853]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[196.99,271.237]",6956.05,"[7497.54,2109.74]","[]","[]","[]"
82,284500,258918,364136,1,6.19297,3.43045e+06,1.26459,1,0.993983,1,1,1.04954,0.966176,1,0,1,0,2,"[0,0]","[1,1]","[27945.1,23783.7]","[-0.312991,1.20348]","[-0.174401,0.76253]","[29325.3,43189.6]","[-0.152613,0.0389137]","[-1,1]","[13,13]","[1,1]","[0,0]","[238.837,1975.13]","[-0.0587164,0.0278564]","[6.65624,2.13281]",8409.24,0.787022,2,"[66038.2,30149.1]","[0.830187,0.964597]","[3.06838,-0.916054]","[90479.9,45567.5]","[0.99,0.998481]","[5,0]","[0,0]","[0.929954,-0.940701]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[179.634,120.92]",4038.38,"[4786.23,2684.2]","[]","[]","[]"
114,284500,149657,364136,1,6.19297,3.43045e+06,1.74563,0.926034,1,1,1,0.953471,1.00632,1,1,0,0,2,"[0,0]","[1,1]","[92066,36715.5]","[0.490443,1.23914]","[-1.24918,-0.691619]","[103362,68699.6]","[-0.0559883,-0.0227757]","[1,-1]","[11,11]","[1,1]","[0,0]","[3277.12,-882.706]","[-0.0018898,-0.0060674]","[0.334781,0.656514]",22476,-2.12151,1,"[140999]","[2.15682]","[1.91951]","[617671]","[0.999729]","[5]","[0]","[-0.751206]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[302.334,86.7574]",5545.01,"[8205.79]","[]","[]","[]"
173,284500,258857,364136,1,6.19297,3.43045e+06,1.22586,0.97097,0.982854,1,1,1.0127,0.99468,1,1,0,0,2,"[0,0]","[1,0]","[39775.2,12621.3]","[0.344864,1.74756]","[0.690268,1.02772]","[42163.9,37326.1]","[0.0571957,0.0329456]","[1,-1]","[11,13]","[1,1]","[0,0]","[-152.45,-517.931]","[-0.0198797,-0.0423065]","[1.29965,2.81853]",136626,0.609705,2,"[158755,20061.9]","[1.01381,-0.0451864]","[-2.5608,-1.74959]","[248232,20559.4]","[0.984177,0.97]","[5,0]","[0,0]","[0.999989,0.0936196]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[308.205,60.1506]",3066.31,"[1729.72,1129.32]","[]","[]","[]"
244,284500,168822,364136,1.91688,6.19297,3.43045e+06,1.26205,1.00336,1.00069,1,1,0.882512,0.999985,1,0,1,0,2,"[0,0]","[1,0]","[56859.9,13777.1]","[-1.31606,-1.64505]","[1.02284,-0.615811]","[113632,37021.1]","[0.078392,0.0797234]","[-1,1]","[13,11]","[1,1]","[0,0]","[-446.321,-117.186]","[-0.113125,-0.0867229]","[15.2586,3.46585]",117279,1.40353,2,"[97387.3,46802.8]","[0.110251,-0.219681]","[-1.97702,-2.40311]","[98590.1,48453.4]","[0.99733,0.995477]","[0,5]","[0,0]","[-0.704833,0.361027]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[315.196,459.999]",2114.56,"[2300.63,1296.06]","[]","[]","[]"
307,284500,163058,364136,1,6.19297,3.43045e+06,1.24168,0.9623,0.988089,1,1,0.934911,0.96784,1,1,0,0,2,"[0,0]","[1,0]","[29604.5,11240]","[-0.425347,1.54149]","[-2.75557,-2.75291]","[32323.1,27457.3]","[-0.0386276,-0.142241]","[1,-1]","[11,13]","[1,1]","[0,1192.79]","[1726.02,-327.318]","[0.072229,-0.0360876]","[7.1242,2.12068]",24963.5,-2.17486,3,"[47496.5,30432.4,26450.2]","[1.13187,0.751796,0.508792]","[0.963991,-0.0978128,1.42376]","[81467.8,39647.2,30253.8]","[1,0.982107,1]","[0,5,0]","[0,0,0]","[-0.909758,-0.425606,-0.871446]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[190.695,57.4088]",5275.87,"[2997.89,2963.93,3660.16]","[]","[]","[]"
329,284500,295160,364136,1,6.19297,3.43045e+06,1.21412,0.94641,0.99582,1,1,0.995502,1.02175,1,1,1,0,2,"[0,0]","[1,1]","[53918.7,38759.3]","[-1.13563,-2.05972]","[0.533618,-0.143457]","[92587.8,154481]","[-0.0708084,1.31628]","[-1,1]","[13,11]","[1,1]","[0,0]","[810.005,1808.98]","[0.0546427,0.102209]","[9.17447,8.81645]",86836.8,-0.0952245,5,"[124494,51810.8,48576.4,47345.6,34485.1]","[-1.08763,-0.141286,-1.36955,1.33182,2.24613]","[2.80601,-1.06703,1.67062,-2.43503,-2.8119]","[205905,52629,101814,96073.7,164886]","[0.612969,0.982549,0.98401,0.995318,0.978731]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.0323271,-0.901421,-0.949324,-0.530356,-0.673116]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[360.777,131.672]",3506.08,"[3248.4,2314.63,4402.27,3684.29,4588.99]","[]","[]","[]"
411,284500,239575,364136,1,6.19297,3.43045e+06,0,0.96218,1,1,1,1.09169,0.97108,1,1,0,0,2,"[0,0]","[1,0]","[39662,9620.48]","[0.666884,0.577961]","[0.858383,-1.73475]","[48813.2,11272.5]","[-0.0426579,-0.0207958]","[1,-1]","[11,11]","[1,0]","[0,0]","[-212.81,723.835]","[-0.0270949,0.0732134]","[2.71664,3.10492]",70177.3,0.865543,2,"[99913.9,72967.7]","[0.599765,0.167402]","[-3.06792,-1.2684]","[119386,75117.2]","[0.958626,0.999929]","[5,5]","[0,0]","[0.995677,0.990959]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[130.216,65.6687]",4465.04,"[4749.83,2657.52]","[]","[]","[]"
