event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
8,284500,6312,364140,1,1.76249,2.72566e+06,1.32095,0.97199,0.986954,1,1,1.01397,0.99121,1,1,0,0,2,"[0,0]","[1,0]","[43536.9,8744.59]","[0.136266,1.37192]","[-2.78757,-1.68708]","[43941.7,18348.9]","[-0.0987959,0.10008]","[-1,1]","[11,13]","[1,1]","[0,0]","[152.397,-648.875]","[-0.00387995,-0.00417912]","[0.358151,0.275985]",71535.8,-2.8895,5,"[241574,168854,68784.6,26283.8,22379]","[-1.53989,-0.807791,-1.72196,-1.30914,-1.13249]","[2.27116,-1.40564,-0.783289,-1.49119,-0.962412]","[590069,228072,198913,52447.5,38438.2]","[1,0.996751,0.62023,0.99,0.989593]","[0,0,0,5,0]","[0,0,0,0,0]","[0.106345,-0.906907,-0.933594,0.9735,-0.765098]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[165.057,43.0648]",8813.91,"[8701.01,2887.88,5677.32,5047.99,1622.11]","[]","[]","[]"
30,284500,940030,364140,-6.33595,1.76249,2.72566e+06,0.75088,1,0.992781,1,1,0.998023,1.03821,1,0,1,0,2,"[0,0]","[1,1]","[135183,98208.7]","[-0.361674,-0.688429]","[-0.842636,-0.964853]","[144121,122415]","[0.0703278,-0.0343094]","[-1,1]","[13,13]","[1,1]","[0,0]","[-520.576,-520.576]","[-0.013256,-0.024362]","[2.67163,4.08476]",285926,-0.804569,1,"[510365]","[-0.0583483]","[2.29499]","[512712]","[0.990692]","[0]","[0]","[-0.936859]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7455.16,2509.57]",4614.09,"[7425.74]","[]","[]","[]"
50,284500,962165,364140,1,1.76249,2.72566e+06,0.75088,0.97996,1.00211,1,1,0.997998,1.01265,1,1,1,0,2,"[0,0]","[1,1]","[298480,91453.6]","[1.65921,1.54292]","[-2.21565,-2.65338]","[812679,223696]","[0.058795,0.0751286]","[-1,1]","[11,13]","[1,1]","[1018.19,0]","[3577.41,-942.09]","[-0.0193128,-0.0329824]","[2.32675,4.75808]",134230,-2.28684,1,"[498296]","[0.567221]","[0.826857]","[582845]","[1]","[0]","[0]","[-0.949833]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8791.47,2030.41]",21072.1,"[21809.7]","[]","[]","[]"
68,284500,1646933,364140,1,1.76249,2.72566e+06,1.21412,1,0.969927,1,1,0.991166,0.980575,1,0,1,0,2,"[0,0]","[1,1]","[118256,76830.2]","[1.68049,1.95747]","[-1.78375,-1.95153]","[328424,277457]","[-0.236305,-0.285896]","[-1,1]","[13,13]","[1,1]","[0,0]","[652.908,-114.964]","[0.0208899,0.0093702]","[3.83371,1.46873]",314359,-1.85378,1,"[498902]","[1.25862]","[1.28174]","[949950]","[0.975638]","[5]","[0]","[0.935774]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2156.82,2487.29]",4517.47,"[7364.75]","[]","[]","[]"
85,284500,721,364140,1,1.76249,2.72566e+06,0.619412,0.94272,0.998144,1,1,0.993605,0.978008,1,0,1,0,2,"[0,0]","[1,0]","[44140,36329.8]","[2.40126,1.19636]","[2.99094,2.95311]","[245589,65581.5]","[-0.0654449,0.0306053]","[1,-1]","[13,11]","[1,1]","[0,0]","[698.688,-876.381]","[-0.0215361,0.034447]","[2.48294,0.803507]",93735.7,2.69142,5,"[187743,175836,79400.9,31306,20057.1]","[0.848382,-1.02813,1.9936,1.26583,-2.40075]","[0.508634,0.467525,-2.47653,-1.53056,-1.06674]","[261401,278685,297124,60105.3,111600]","[1,0.999065,0.994024,0.992817,0.702305]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.593221,-0.952533,-0.797548,-0.704271,0.0117554]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[413.464,212.879]",5046.01,"[8613.44,4454.83,3250.92,3375.09,2587.37]","[]","[]","[]"
96,284500,6664,364140,1,1.76249,2.72566e+06,1.21412,0.842423,1,1,1,0.99863,0.94939,1,1,0,0,2,"[0,0]","[1,0]","[33925.9,16222.6]","[1.19943,1.81315]","[0.566819,3.12954]","[61399,51043.4]","[0.00343704,-0.18763]","[1,-1]","[11,11]","[1,0]","[0,0]","[392.887,381.489]","[-0.0270202,0.0371923]","[2.36,1.56057]",5613.84,-1.31386,2,"[231652,221572]","[-1.00389,0.513443]","[3.08457,-0.101408]","[358783,253438]","[0.998558,0.987113]","[0,0]","[0,0]","[-0.8562,-0.930333]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[145.36,184.213]",4981.04,"[4850.25,6011.21]","[]","[]","[]"
101,284500,9128,364140,1,1.76249,2.72566e+06,0.619412,0.97076,0.998505,1,1,0.974795,0.95972,1,1,0,0,2,"[0,0]","[1,0]","[50365,16480.9]","[-0.907263,-1.34902]","[1.384,1.359]","[72554.9,33894.4]","[-0.053215,-0.048584]","[-1,1]","[11,13]","[1,1]","[0,0]","[1406.27,320.798]","[0.0355481,0.356343]","[3.26666,30.2982]",379165,1.39618,2,"[310429,229450]","[-2.21021,-1.65894]","[-1.21261,-2.48374]","[1.43243e+06,625106]","[0.429807,1]","[4,0]","[0,0]","[-0.191879,-0.475675]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[196.965,101.642]",19236.8,"[4016.68,4253.39]","[]","[]","[]"
111,284500,948017,364140,1.2245,1.76249,2.72566e+06,1.22586,0.9523,0.984531,1,1,0.996798,1.00099,1,1,0,0,2,"[0,0]","[1,1]","[35859,25351.9]","[1.74844,1.98016]","[-1.5968,-0.659126]","[106137,93573]","[0.112446,0.405617]","[1,-1]","[11,13]","[1,1]","[0,0]","[590.07,-503.949]","[-0.0789103,0.00132228]","[7.14183,0.0926141]",118565,-1.34548,4,"[351772,333495,62415.4,20419.8]","[-0.324423,0.996453,-1.0701,-2.44565]","[3.0924,0.213636,1.89095,0.721476]","[371497,513951,102434,118776]","[0.990218,0.999885,0.994704,0.984355]","[0,0,0,0]","[0,0,0,0]","[-0.766354,-0.82159,-0.916795,-0.827951]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[274.833,86.7431]",13843.4,"[10271.4,7491.89,3052.74,1240.41]","[]","[]","[]"
124,284500,956024,364140,1,1.76249,2.72566e+06,0.619412,0.92481,0.997141,1,1,0.996662,0.890921,1,0,1,0,2,"[0,0]","[1,0]","[41486.9,18076]","[1.13873,-0.198516]","[-1.87313,-1.19678]","[71420.4,18433.4]","[-0.0877609,0.0534897]","[-1,1]","[13,11]","[0,1]","[0,0]","[-604.717,-545.479]","[0.0523164,-0.016214]","[6.48668,1.39435]",77087.8,-1.14254,5,"[230117,138513,52048.5,29698.1,27641.4]","[-0.4622,2.05484,-0.0513894,-0.689442,0.330041]","[3.05723,0.811386,0.0688218,0.189679,0.38974]","[255953,549600,52921.3,37414.9,29330.3]","[0.990648,0.992829,0.955998,0.995156,0.996574]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.958104,-0.85136,-0.688302,-0.881372,-0.827624]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[483.728,137.236]",7315.06,"[16695.3,4439.15,3304.85,4547.23,4915.39]","[]","[]","[]"
152,284500,1654291,364140,1,1.76249,2.72566e+06,0.934886,0.952148,1,1,1,1.46651,0.99765,1,1,0,0,2,"[0,0]","[1,0]","[151161,20130.6]","[0.687495,0.326972]","[1.21401,1.85958]","[188313,21216.3]","[0.0477538,-0.0034771]","[-1,1]","[11,11]","[1,1]","[0,0]","[-646.254,628.049]","[0.0176444,0.0111236]","[2.55738,1.18377]",109307,1.48279,5,"[233997,171671,115739,24389.3,23393.4]","[0.493013,-1.5243,0.552494,-1.08431,0.237565]","[-2.52139,-2.207,-0.337232,0.0742943,1.11039]","[263162,412999,134413,40192.6,24111.3]","[0.981196,1,0.991056,0.908069,0.793261]","[0,4,0,0,0]","[0,0,0,0,0]","[-0.853017,0.945146,-0.81925,-0.808184,-0.702358]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[755.682,118.266]",2156.28,"[3382.26,5615.73,6419.41,2852.65,1794]","[]","[]","[]"
