event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
3,284500,8826587,364162,1,198.636,6.1555e+06,1.32095,1,1.00479,1,1,0.995539,0.811599,1,0,1,0,2,"[1,0]","[1,0]","[41826,28829.4]","[0.990094,0.0542215]","[-1.71823,2.07777]","[64057.2,28872]","[-0.00773621,-0.0783958]","[1,1]","[13,13]","[1,0]","[0,0]","[-395.223,1413.21]","[0.0330667,0.0191173]","[4.36498,1.98455]",66780.6,-0.100455,4,"[38126.6,33760.4,23206.1,21275.5]","[0.487892,1.35306,1.78072,0.592823]","[0.921982,-3.08719,-2.44409,2.80745]","[43270.9,69789.8,70885.7,25249.4]","[0.995949,0.99171,0.990036,0.997179]","[0,0,0,0]","[0,0,0,0]","[-0.937331,-0.486495,-0.492233,-0.929575]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[107.894,15.5683]",3766.15,"[2025.42,3448.12,3021.01,1624.82]","[]","[]","[]"
10,284500,4688551,364162,1,198.636,6.1555e+06,1.08735,1,0.996944,1,1,0.999191,0.951846,1,0,1,0,2,"[1,0]","[1,0]","[42189,7406.18]","[-0.790908,0.159379]","[-0.0607174,-1.07044]","[56086.8,7501.18]","[0.0215836,-96.5952]","[-1,-1]","[13,13]","[1,0]","[0,0]","[1573.24,-268.504]","[0.0216061,0.0346977]","[2.76172,1.78849]",79463.2,1.15393,1,"[99013.6]","[0.570019]","[-2.51468]","[115841]","[0.995427]","[0]","[0]","[-0.881667]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[108.694,27.8498]",4815.54,"[5880.29]","[]","[]","[]"
14,284500,1766039,364162,1,198.636,6.1555e+06,1.26459,1,0.990711,1,1,0.999678,0.98075,1,0,1,0,2,"[1,0]","[1,0]","[55195.5,8544.73]","[-1.83281,1.66566]","[-2.24428,-1.95197]","[176941,23404.9]","[0.0137863,0.0129395]","[1,-1]","[13,11]","[1,0]","[0,1375.16]","[-4.06097,2868.27]","[-0.0014716,0.0274853]","[0.198226,0.440272]",20339.1,2.29316,1,"[39522.4]","[0.899709]","[-1.69982]","[57220]","[0.971741]","[0]","[0]","[-0.948039]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[59.7501,105.736]",6820.85,"[3019.04]","[]","[]","[]"
18,284500,8645562,364162,3.09339,198.636,6.1555e+06,1.26459,0.96322,0.988201,1,1,0.997298,0.999873,1,0,1,0,2,"[1,0]","[1,0]","[49804.1,10370]","[-2.35051,0.154543]","[-2.52257,1.75937]","[263619,10494]","[0.126322,-35.2367]","[1,1]","[13,11]","[1,1]","[0,0]","[1401.13,-90.0237]","[0.0113622,-0.0330637]","[1.08682,1.54463]",83272,3.11395,4,"[89220.9,71747.9,52427.4,20400.6]","[-0.440278,-2.00973,-1.30828,-0.953026]","[-0.423719,-1.25895,1.25129,1.60934]","[98571.3,272650,104410,30569.1]","[0.993704,0.657639,0.985817,0.990856]","[0,0,0,0]","[0,0,0,0]","[-0.836704,-0.872547,-0.882007,-0.48454]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[652.686,60.242]",1308.9,"[3744.87,5880.48,2609.82,1227.43]","[]","[]","[]"
49,284500,9706017,364162,1,198.636,6.1555e+06,0.75088,1.00802,0.997386,1,1,0.997296,0.964071,1,0,1,0,2,"[1,0]","[1,0]","[91321.6,7066.89]","[0.466971,1.27815]","[1.65024,-2.65043]","[101461,13669.2]","[-0.043776,0.330246]","[1,-1]","[13,11]","[1,1]","[0,0]","[184.915,-1821.54]","[0.00727413,0.0392691]","[1.13404,0.326636]",8779.68,-2.17047,3,"[77638,41329.6,30192.4]","[0.478597,-0.0935315,1.31794]","[-1.37223,-1.00361,2.00028]","[87132.3,42722.6,60701.1]","[0.993852,0.994479,0.993762]","[0,0,0]","[0,0,0]","[-0.900145,-0.679098,-0.881765]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2458.4,105.448]",481.929,"[2712.36,3061.08,4751.61]","[]","[]","[]"
54,284500,8475246,364162,1,198.636,6.1555e+06,1.26459,1,1.00035,1,1,0.997845,0.997022,1,0,1,0,2,"[1,0]","[1,0]","[75729.5,7946.47]","[1.40444,-0.972501]","[0.826289,-2.82823]","[163529,12009.8]","[-0.00568199,32.298]","[1,-1]","[13,11]","[1,0]","[0,0]","[-552.026,629.004]","[0.00854038,-0.0417813]","[1.32707,1.78503]",29448.8,1.14381,2,"[132434,53437.4]","[-0.472397,1.89557]","[-2.14442,0.375467]","[147916,181969]","[0.998404,0.981825]","[0,0]","[0,0]","[-0.654301,-0.880759]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1136.98,90.1746]",3670.31,"[6086.88,8832.21]","[]","[]","[]"
59,284500,8830302,364162,1,198.636,6.1555e+06,0.187531,1,0.995421,1,1,0.996603,0.981429,1,0,1,0,2,"[1,0]","[1,0]","[192576,7739.48]","[-0.569149,-2.16362]","[-2.88841,0.179936]","[224618,34121.3]","[-0.116734,41.6304]","[1,1]","[13,11]","[1,0]","[0,0]","[1014.06,2484.98]","[0.00160035,-0.321292]","[0.24941,9.63733]",42890,2.77763,3,"[138019,36505.4,22476.2]","[2.34884,-1.06564,2.17641]","[0.418758,-0.202562,-0.161506]","[729632,59567.1,100425]","[0.997961,0.985123,0.997983]","[0,0,0]","[0,0,0]","[-0.948672,-0.898852,-0.661964]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1673.4,85.5906]",22168.1,"[5160.51,2587.38,1885.9]","[]","[]","[]"
65,284500,8650672,364162,1,198.636,6.1555e+06,0.75088,1,0.982698,1,1,0.998773,0.9884,1,0,1,0,2,"[1,0]","[1,0]","[63639.3,9410.42]","[-1.6397,1.57588]","[1.3754,1.55257]","[170161,23722.8]","[-0.0539017,-105.118]","[-1,1]","[13,11]","[1,0]","[0,0]","[155.211,2373.68]","[-0.00862641,-0.0749519]","[1.1027,1.75742]",79414.7,0.718115,1,"[147690]","[-1.09766]","[-2.05558]","[248203]","[1]","[0]","[0]","[-0.920821]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[911.32,520.811]",24884.6,"[3826.39]","[]","[]","[]"
67,284500,3962431,364162,-1,198.636,6.1555e+06,0.923924,1,0.992904,1,1,0.99923,0.954128,1,0,1,0,2,"[1,0]","[1,0]","[43424.7,7197.67]","[0.384855,-2.32657]","[-0.336184,0.165019]","[46680.6,37213.3]","[-0.00540161,57.9327]","[-1,-1]","[13,11]","[1,0]","[0,0]","[-314.255,1599.74]","[0.045813,0.122161]","[6.87643,2.69116]",114861,-1.56182,1,"[142104]","[-1.2043]","[1.73361]","[258502]","[0.996807]","[0]","[0]","[-0.921258]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[133.003,81.7737]",5030.56,"[6551.86]","[]","[]","[]"
68,284500,7561347,364162,1,198.636,6.1555e+06,0.619412,1,0.985082,1,1,0.994501,0.946303,1,0,1,0,2,"[1,0]","[1,0]","[82279.2,7486.51]","[1.75841,-0.936316]","[1.51685,1.08719]","[245830,11015]","[0.0465374,17.487]","[1,-1]","[13,11]","[1,0]","[1285.8,0]","[-139.153,-810.727]","[-0.00224478,0.0174038]","[0.304012,0.327482]",83313.3,2.45296,5,"[69607.2,51758.5,37325.5,34372,25319.1]","[1.23488,0.703058,1.93032,1.96974,-2.43815]","[-1.35066,-2.16949,1.90715,0.894712,-1.42082]","[130772,65519.3,131400,125983,146156]","[0.992485,0.992389,0.982314,0.935224,0.142816]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.924276,-0.923097,-0.837631,-0.662567,-0.74442]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[230.889,115.528]",25354.2,"[5234.83,2811.44,6747.61,3310.56,1979.48]","[]","[]","[]"
