event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
8,284500,74626,364164,1,36.3485,1.82224e+07,1.21412,0.96322,0.995111,1,1,0.970175,0.953995,1,0,1,0,2,"[1,0]","[1,0]","[34672.1,14253]","[2.10454,0.251805]","[0.928824,-2.74843]","[144327,14707.2]","[0.182053,0.0865631]","[-1,-1]","[13,11]","[1,1]","[0,4366.24]","[2897.45,1163.96]","[0.0224454,-0.204748]","[2.52663,13.1544]",66205.9,-2.00194,2,"[44129.2,28606.4]","[0.661946,-2.25517]","[-2.5067,-1.49842]","[54355.3,138006]","[0.997551,0.99444]","[4,0]","[0,0]","[-0.835696,-0.447582]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[565.86,356.323]",21128.5,"[8256.18,1954.51]","[]","[]","[]"
87,284500,71161,364164,1,36.3485,1.82224e+07,0.187531,1.01425,0.986076,1,1,1.04542,0.960866,1,0,1,0,2,"[1,0]","[1,0]","[40383.2,9404.85]","[-1.9495,-0.352916]","[-1.60621,-2.93882]","[144724,9996.64]","[-0.0983429,-7.4824]","[1,-1]","[13,11]","[1,1]","[0,2626.82]","[1016.87,1029.65]","[-0.0283447,0.00370331]","[3.32082,0.19682]",72270.4,0.254914,3,"[42983.6,34875.9,21972.5]","[-2.43282,0.0772235,-0.665528]","[2.73415,2.40026,2.8487]","[246791,35622.4,27587]","[0.979436,0.97245,0.931447]","[0,5,0]","[0,0,0]","[-0.847792,0.939278,-0.889343]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[156.546,214.224]",2461.66,"[2367.24,5172.57,2298.35]","[]","[]","[]"
109,284500,191440,364164,-1,36.3485,1.82224e+07,0.696077,1,0.981289,1,1,0.999127,1.00468,1,0,1,0,2,"[1,0]","[1,0]","[28022.4,15193.8]","[-1.73424,1.81584]","[-2.94433,-0.103185]","[81841.4,47928.5]","[-0.0163498,0.208839]","[1,1]","[13,13]","[1,1]","[0,1647.21]","[-563.694,-195.067]","[0.00197657,-0.140913]","[0.186612,8.14007]",104824,1.60905,1,"[99204.5]","[-2.38837]","[-1.64953]","[545196]","[0.99581]","[0]","[0]","[-0.48158]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[171.052,68.315]",4925.61,"[7217.11]","[]","[]","[]"
200,284500,193184,364164,1,36.3485,1.82224e+07,0.738662,1,0.978625,1,1,1,1.00617,1,0,1,0,2,"[1,1]","[1,0]","[59087.3,12295.1]","[-1.8579,-1.55957]","[0.642574,0.354803]","[193992,30535.2]","[0.0893612,0.0368614]","[-1,-1]","[13,13]","[1,1]","[0,3608.73]","[-78.2315,1.05841]","[0.0177507,0.05834]","[2.04537,4.01345]",56968,0.022591,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[503.753,96.8788]",12114.6,"[]","[]","[]","[]"
202,284500,56216,364164,1,36.3485,1.82224e+07,0.738662,1.00802,0.997637,1,1,0.99965,0.924243,1,0,1,0,2,"[1,0]","[1,0]","[41771,7659.37]","[1.1283,1.27216]","[-0.352965,0.944622]","[71302.5,14739.6]","[0.0147552,-22.5912]","[1,1]","[13,11]","[1,1]","[0,0]","[858.154,-819.09]","[-0.00227724,0.00105881]","[0.37715,0.0500799]",3635.82,0.277757,1,"[47089.6]","[-0.607686]","[0.508357]","[56768.2]","[0.999431]","[0]","[0]","[-0.889881]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[152.067,157.178]",11815.2,"[2863.53]","[]","[]","[]"
225,284500,146209,364164,-1,36.3485,1.82224e+07,1.26459,1,0.992671,1,1,0.958789,0.81689,1,0,1,0,2,"[1,0]","[1,0]","[162021,8038.27]","[0.174449,-2.39533]","[-1.7192,-1.84115]","[164492,44463.7]","[0.0609665,-0.69326]","[-1,-1]","[13,11]","[1,0]","[0,0]","[-69.6262,621.231]","[0.000772546,-0.0761964]","[0.16473,2.78135]",44456.8,2.91273,2,"[173851,23194.5]","[1.48431,0.799084]","[1.39669,0.443008]","[403388,31522.2]","[0.993822,0.908362]","[4,0]","[0,0]","[0.197121,-0.830298]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5001.49,85.9987]",13575.8,"[2235.22,1655.43]","[]","[]","[]"
283,284500,175469,364164,-1,36.3485,1.82224e+07,1.26205,1,0.988738,1,1,1.04747,1.00949,1,0,1,0,2,"[1,0]","[1,0]","[83764.6,9991.47]","[-1.90662,0.886146]","[-2.54442,1.88944]","[288104,14177.9]","[-0.0730948,-0.0479481]","[-1,1]","[13,11]","[1,0]","[0,0]","[883.198,-87.1558]","[-0.000876106,-0.00474736]","[0.11427,0.384026]",9169.82,0.9919,3,"[73937.7,50780,24204.4]","[-1.16491,-0.0395682,1.66479]","[-0.619875,1.74333,0.950989]","[130167,51450.3,66398.4]","[1,1,0.997144]","[0,5,0]","[0,0,0]","[-0.957695,0.999965,-0.892938]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1451.16,66.2566]",4155.68,"[4745.89,3028.66,3329.3]","[]","[]","[]"
318,284500,174657,364164,1,36.3485,1.82224e+07,0.738662,1.00802,0.98156,1,1,0.996383,0.962355,1,0,1,0,2,"[1,0]","[1,0]","[84573.9,9757.45]","[-1.67868,0.851174]","[1.90016,-2.31791]","[234485,13510.7]","[-0.0358477,-0.000992775]","[-1,1]","[13,11]","[1,0]","[0,0]","[-164.211,377.867]","[0.000288376,-0.0527865]","[0.046073,2.79991]",56659.4,2.34751,3,"[124127,24011.9,20812.5]","[-1.01198,-1.28985,0.28181]","[-0.778783,-1.46224,-2.61094]","[193685,47118.6,22230.6]","[0.994322,1,0.99]","[0,0,0]","[0,0,0]","[-0.942791,0.425918,-0.861289]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[331.39,172.331]",3603.34,"[2587.3,3772.84,1141.72]","[]","[]","[]"
339,284500,278848,364164,1,36.3485,1.82224e+07,1.26205,1,0.988545,1,1,1.03689,1.01606,1,0,1,0,2,"[1,0]","[1,0]","[119991,9003.74]","[1.90023,0.00153728]","[-0.73639,2.6998]","[410185,9003.75]","[-0.00336456,0.395502]","[-1,-1]","[13,11]","[1,0]","[0,0]","[-114.18,2255.11]","[-0.0031481,0.842876]","[0.498511,62.0051]",29784.2,0.453635,1,"[115297]","[-0.034142]","[-2.77377]","[115779]","[0.992528]","[5]","[0]","[0.862789]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1113.41,81.339]",9583.29,"[11484.2]","[]","[]","[]"
413,284500,319496,364164,1,36.3485,1.82224e+07,0.738662,1,1.01084,1,1,0.998232,0.59078,1,0,1,0,2,"[0,1]","[0,1]","[93204.3,80393]","[-0.0299519,-0.929169]","[0.537239,-0.597423]","[93246.1,117667]","[-5.53905,0.01017]","[1,1]","[13,13]","[0,1]","[0,0]","[-766.938,770.96]","[-0.589447,0.0101273]","[12.6916,1.48599]",94371.7,-1.77594,2,"[113039,23341]","[0.764693,0.768031]","[2.66706,1.97862]","[148115,30995]","[0.997188,0.993952]","[0,0]","[0,0]","[-0.70144,-0.902965]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1439.36,296.064]",7743.92,"[4872.5,4117.84]","[]","[]","[]"
