event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,4176,364166,1,22.3956,2.78397e+06,1.26459,1,0.995272,1,1,0.96184,0.881991,1,0,1,0,2,"[1,0]","[1,0]","[71156.6,8065.26]","[0.239428,1.99714]","[-0.999904,0.581725]","[73206,30259.5]","[0.0165977,-0.0112267]","[1,1]","[13,11]","[1,0]","[0,0]","[-1042.79,1577.16]","[-0.00836525,0.0759215]","[0.96605,0.651594]",50869.9,-1.21094,5,"[112698,56188.2,53827.3,41712,26177.3]","[0.675968,0.811714,1.83278,2.30675,-0.180752]","[0.892777,2.47919,-2.70489,-2.13924,1.82577]","[140612,76000.5,172620,211590,27127.4]","[1,0.991967,0.994814,0.999204,0.990408]","[0,4,0,0,0]","[0,0,0,0,0]","[-0.684143,0.0513727,-0.921603,-0.920606,-0.717393]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1397.24,146.65]",18220,"[5730.26,1511.56,3568.57,5812.02,4914.24]","[]","[]","[]"
3,284500,9911,364166,1,22.3956,2.78397e+06,0,1,1.00631,1,1,0.980525,0.998728,1,0,1,0,2,"[1,0]","[1,0]","[68764.2,23815.5]","[-1.9277,0.0747178]","[-0.588433,-0.145526]","[241334,23882.3]","[0.0311813,-191.401]","[1,-1]","[13,13]","[1,0]","[0,0]","[67.8037,-1063.81]","[-0.012565,-2.19273]","[1.76191,47.7636]",84175.2,2.29759,3,"[153971,24881,22740.8]","[-0.181437,-1.75917,0.270839]","[-1.96902,1.43175,0.899305]","[157193,74623.3,24217.7]","[0.995397,0.875073,0.994605]","[0,4,0]","[0,0,0]","[-0.519942,-0.403137,-0.922044]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1230.89,36.0314]",887.086,"[4372.56,1643.02,3062.07]","[]","[]","[]"
4,284500,9696,364166,1,22.3956,2.78397e+06,0.619412,1,0.995734,1,1,0.954714,0.923706,1,0,1,0,2,"[1,0]","[1,0]","[30483.7,13973]","[-2.43285,1.58002]","[-1.74094,1.54743]","[174962,35358.7]","[0.0487823,-19.5683]","[1,-1]","[13,11]","[1,0]","[0,0]","[-444.69,603.841]","[-0.00596267,0.00853569]","[0.492073,0.317606]",2170.65,1.83997,3,"[68815.7,25004.9,24799.3]","[-2.01625,1.29185,-0.982078]","[2.37446,-2.48407,-2.96987]","[263049,49073.8,38067.2]","[0.984252,0.990813,0.98444]","[4,0,0]","[0,0,0]","[0.29888,-0.715571,-0.952913]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[582.814,330.016]",45787.6,"[1202.72,1953.53,1786.86]","[]","[]","[]"
9,284500,149399,364166,1.81141,22.3956,2.78397e+06,1.74563,1,0.999641,1,1,0.98646,0.989356,1,0,1,0,2,"[1,0]","[1,0]","[46117.6,16763.5]","[1.31069,1.36254]","[-2.45991,2.38108]","[91736.7,34885.8]","[0.064003,-0.0105553]","[1,-1]","[13,11]","[1,0]","[1232.73,2068.94]","[-172.47,261.551]","[0.014874,-0.00830415]","[1.92512,0.448841]",53891.5,1.84175,4,"[170466,92628.7,27386,24124.8]","[1.12401,0.845572,2.49622,1.08451]","[-0.723175,2.00935,2.71733,-1.28099]","[290592,128484,167328,39777.8]","[0.996008,0.994711,0.990911,0.980087]","[0,0,4,0]","[0,0,0,0]","[-0.787039,-0.789037,-0.666305,-0.111148]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[365.038,288.891]",527.703,"[3283.29,2188.95,2959.81,1725.69]","[]","[]","[]"
15,284500,137558,364166,1,22.3956,2.78397e+06,1.1961,1,0.992147,1,1,0.935515,0.997579,1,0,1,0,2,"[1,0]","[1,0]","[48508.5,10990.8]","[-2.03742,0.182976]","[0.731714,1.66282]","[189211,11175.8]","[-0.0306854,-0.0200233]","[-1,-1]","[13,13]","[1,0]","[0,14775.7]","[-282.812,-441.602]","[-0.000654188,0.0578054]","[0.0582638,3.63402]",47293.3,-0.45443,3,"[155849,76702.8,37508.4]","[-1.06539,0.845121,-0.432098]","[-2.89956,-0.451596,1.43835]","[253851,107384,41746.4]","[0.924127,0.99656,0.925306]","[0,4,4]","[0,0,0]","[-0.921341,0.278228,-0.890546]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[900.155,49.4195]",1736.2,"[2416.76,1301.87,2564.25]","[]","[]","[]"
16,284500,190888,364166,1,22.3956,2.78397e+06,0,1,0.992134,1,1,1.49698,0.995884,1,0,1,0,2,"[1,0]","[1,0]","[97714.9,10111]","[2.35869,0.568818]","[0.605802,-2.09314]","[521389,11791.8]","[-0.119143,-0.0880643]","[1,1]","[13,13]","[1,0]","[0,2159.4]","[0,4650.21]","[0.0137539,-0.0295415]","[1.98597,2.37872]",281428,0.888181,2,"[377143,64301.6]","[1.22642,-0.381415]","[-2.4612,0.21883]","[700168,69069.1]","[0.992011,0.98693]","[4,4]","[0,0]","[-0.851293,0.868085]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5150.61,64.9421]",26534.3,"[6329.18,9192.97]","[]","[]","[]"
19,284500,145436,364166,1,22.3956,2.78397e+06,1.26459,1.01425,0.986421,1,1,0.99799,0.871674,1,0,1,0,2,"[1,0]","[1,0]","[68541,9306.62]","[-0.856121,-0.519137]","[-1.03616,-0.712775]","[95231.6,10589.1]","[-0.017931,-0.00982475]","[-1,-1]","[13,11]","[0,0]","[0,0]","[-1011.56,2197.68]","[-0.0075048,0.017885]","[1.2433,1.14643]",29117.5,-2.06471,2,"[174733,54967.2]","[-0.81766,-2.0809]","[2.31504,-0.583438]","[236969,223805]","[0.994127,0.981137]","[0,0]","[0,0]","[-0.310811,-0.843324]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[776.044,179.301]",4875.27,"[4986.57,6232.53]","[]","[]","[]"
20,284500,151887,364166,1.49703,22.3956,2.78397e+06,0.75088,1,0.982514,1,1,0.958973,0.934192,1,0,1,0,2,"[1,0]","[1,0]","[91143.8,8987.96]","[-1.11255,1.95641]","[-0.969907,-1.45118]","[153615,32425.4]","[0.0238361,-30.8585]","[-1,1]","[13,13]","[1,1]","[0,0]","[908.447,1336.06]","[0.0213362,0.0986245]","[3.66708,5.09365]",49538,-1.40421,3,"[167915,60057,38223.7]","[-0.384252,-0.107243,1.95659]","[2.64099,1.93815,-1.01503]","[181280,61141.9,138159]","[0.999488,0,0.988294]","[4,0,0]","[0,0,0]","[0.253716,-0.801108,-0.561354]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2774.99,26.2279]",884.262,"[6661,32026.3,6302.83]","[]","[]","[]"
22,284500,1949,364166,1,22.3956,2.78397e+06,1.24168,1.01425,0.998702,1,1,0.960066,0.91148,1,0,1,0,2,"[1,0]","[1,0]","[45388.7,9323.24]","[-1.55491,-0.305798]","[2.11905,-2.18299]","[112244,9762.56]","[0.0229797,162.348]","[-1,1]","[13,11]","[1,0]","[0,6082.03]","[-139.797,1606.74]","[-0.000533653,-0.131026]","[0.0567405,9.8809]",52846.7,0.396872,3,"[150311,106464,22539.2]","[2.4593,1.09377,0.290391]","[-2.23372,0.336506,-2.93458]","[885615,177359,23816.2]","[1,0.995213,0.819418]","[0,4,0]","[0,0,0]","[-0.473141,-0.550262,-0.640246]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[502.942,91.1295]",400.801,"[3308.96,2089.35,2379.96]","[]","[]","[]"
25,284500,2605,364166,1,22.3956,2.78397e+06,0.923924,1,1.00002,1,1,0.997686,1.01188,1,0,1,0,2,"[1,0]","[1,0]","[121316,23245.3]","[-1.18298,0.0760828]","[1.11041,-1.46838]","[216576,23312.8]","[0.00556946,16.3133]","[-1,1]","[13,13]","[1,0]","[0,0]","[-527.861,99.4762]","[-0.0238599,-5.95466]","[4.01811,106.914]",31518.8,1.79955,3,"[104106,60423.9,40621.7]","[-1.07534,1.42058,1.37306]","[2.77662,-1.03011,0.523556]","[171336,132656,85766.1]","[0.994848,0.992487,0.996055]","[0,0,0]","[0,0,0]","[-0.844196,-0.884205,-0.627766]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2982.19,126.215]",2443.96,"[7970.82,3252.57,2225.9]","[]","[]","[]"
