event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,567882,364168,1.41866,14.5588,5.9417e+06,1.55465,1.09758,1.00057,1,1,0.929473,1.01039,1,0,1,0,2,"[1,0]","[1,0]","[49828.3,7126.65]","[1.28651,1.76685]","[3.04192,1.08432]","[97074.4,21462.8]","[-0.00183678,-32.5836]","[-1,1]","[13,11]","[1,1]","[0,0]","[1586.65,174.876]","[0.0050617,0.141285]","[0.540033,3.05348]",40295.5,1.6349,5,"[390142,293590,36819.6,34518.2,21280.1]","[1.34162,-0.476182,-1.53696,-1.89548,-0.0360318]","[-1.81077,0.980142,1.05795,2.71668,1.38644]","[797626,328355,89718.9,117523,21731.8]","[0.996906,0.99202,0.97999,0.9799,0.999479]","[4,0,0,4,0]","[0,0,0,0,0]","[-0.384959,-0.880469,-0.730726,0.438022,-0.898769]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[127.211,210.692]",12272.2,"[4664.07,11785.3,2377.54,1656.95,1757.71]","[]","[]","[]"
13,284500,688799,364168,1,14.5588,5.9417e+06,1.25133,1.09758,0.992894,1,1,0.964559,0.829622,1,0,1,0,2,"[1,0]","[1,0]","[139913,9664.24]","[0.178344,1.64275]","[-0.0337111,3.05127]","[142144,25913.9]","[0.14905,16.0218]","[1,1]","[13,11]","[1,0]","[0,0]","[405.958,3499.17]","[0.0028123,-0.00847072]","[0.301151,0.521066]",88001.6,-0.820495,6,"[298829,145507,112808,56693.1,46627.6,20878.7]","[-0.67164,0.190528,2.40171,-0.257054,0.374701,0.911475]","[2.11549,-2.15149,-1.49681,0.607119,2.67821,2.96296]","[369623,149952,627951,59030.8,50362.4,30351.9]","[0.997844,0.999991,1,0.990366,0.657628,0.934923]","[0,0,0,0,4,0]","[0,0,0,0,0,0]","[-0.713255,-0.939152,-0.854163,-0.870586,-0.678263,-0.675437]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4326.06,270.491]",10085.7,"[4279.74,2394.56,5369.71,1921.38,1353.06,1143.2]","[]","[]","[]"
16,284500,720808,364168,1,14.5588,5.9417e+06,0.696077,1.01425,0.988313,1,1,0.997115,0.901612,1,0,1,0,2,"[1,0]","[1,0]","[125407,8223.09]","[0.161404,0.396131]","[0.909474,-2.79015]","[127044,8876.75]","[0.0581741,-0.0217819]","[1,1]","[13,11]","[1,1]","[0,8407.83]","[283.066,1784.47]","[0.00311846,-0.0214302]","[0.467863,0.342615]",7844.25,0.511296,3,"[369649,248373,25798.8]","[-0.710074,-0.881196,-2.13124]","[-1.62068,1.83259,1.98649]","[467495,354052,110334]","[0.99526,0.993489,0.987842]","[0,0,0]","[0,0,0]","[-0.930655,-0.454616,-0.764257]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4441.56,40.489]",10992.4,"[15235.3,6012.4,3224.88]","[]","[]","[]"
22,284500,569212,364168,1,14.5588,5.9417e+06,0.696077,1,0.987215,1,1,0.996408,0.91127,1,0,1,0,2,"[1,0]","[1,0]","[41051.9,7204.71]","[-0.323681,1.56858]","[1.22163,-0.641914]","[43221.3,18041.2]","[-0.0155869,-23.233]","[-1,1]","[13,11]","[1,0]","[1756.08,0]","[-445.771,-927.569]","[0.0378968,-0.108281]","[5.77908,1.00545]",85993.8,2.58227,5,"[275913,214568,90415.2,51802.1,30978.6]","[0.0194534,0.360669,2.27943,2.29224,-0.883728]","[2.80929,-0.179377,-0.746154,-1.49456,1.0007]","[276686,229478,446414,258994,44062.8]","[1,0.994987,0.993652,0.993899,0.99531]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.895772,-0.890563,-0.572893,-0.770936,-0.777716]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[428.734,124.281]",2914.84,"[8729.98,2493.69,3505.42,4581.85,2466.72]","[]","[]","[]"
24,284500,574342,364168,1,14.5588,5.9417e+06,0.923924,1,0.991837,1,1,0.997737,0.938722,1,0,1,0,2,"[1,0]","[1,0]","[33963.2,7660.19]","[-2.0411,2.24252]","[0.816708,0.985794]","[132948,36474.9]","[0.0444183,72.652]","[1,1]","[13,13]","[1,1]","[0,0]","[-273.239,-72.7043]","[0.00516853,0.050939]","[0.525459,2.4135]",78402.8,-2.18754,4,"[246099,209110,46342.9,23280]","[-0.313318,0.29246,1.0295,0.743728]","[-0.175683,2.7908,2.63582,-0.679361]","[259251,219596,73718.1,30351.8]","[0.999204,0.992308,0.993739,0.999384]","[0,0,0,0]","[0,0,0,0]","[-0.668844,-0.960694,-0.870684,-0.943731]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[985.247,55.3196]",3047.84,"[7306.55,2365.06,2147.81,1833.16]","[]","[]","[]"
28,284500,719903,364168,1,14.5588,5.9417e+06,0.738662,1.00802,0.997676,1,1,0.995243,0.936284,1,0,1,0,2,"[1,0]","[1,0]","[73840.7,7876.07]","[2.38819,0.863637]","[2.20492,-1.62104]","[405590,11000.5]","[-0.0745487,49.7056]","[1,1]","[13,11]","[1,1]","[0,0]","[481.182,-166.32]","[-0.0188951,0.0257779]","[2.50806,1.26103]",28568.6,-1.91089,7,"[258432,76292.6,74672.6,44679.2,33979.1,29045.8,23096.4]","[-0.738807,1.38681,1.35393,-0.514269,-0.194661,-1.20466,-0.836]","[2.07411,-0.392796,-1.27108,-2.24848,1.86211,1.706,-0.58738]","[332720,162414,154726,51026.2,34976.2,53085.1,32060.4]","[0.99,0.983273,0.989124,0.922362,0.994637,0.964752,0.956111]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.920086,-0.88098,-0.717407,-0.884957,-0.269794,-0.887152,-0.547281]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1877.89,84.0975]",3133.34,"[3444.98,2331.75,3460.01,6556.26,3742.05,6352.53,1672.74]","[]","[]","[]"
47,284500,734229,364168,1,14.5588,5.9417e+06,0.619412,1,0.988417,1,1,0.934444,0.888557,1,0,1,0,2,"[1,0]","[1,0]","[61407.5,10057.2]","[-1.09589,-1.63098]","[2.18922,-2.92023]","[102124,26675.1]","[0.0322342,1.16659]","[-1,-1]","[13,13]","[0,1]","[1993.91,0]","[-795.28,507.359]","[-0.0184162,0.163298]","[2.17874,7.43145]",26926.2,0.261134,6,"[344934,337432,65311.8,59899.2,27334.6,25945.4]","[-1.30513,-0.240732,-0.612339,0.431784,-1.21095,0.4656]","[0.827987,-2.32553,0.267111,-2.08943,-2.72957,-1.14363]","[685315,348713,78580,65943.7,50198.9,29151.5]","[0.986391,0.994434,0.997416,0.999842,0.95064,0.99]","[4,0,0,0,4,0]","[0,0,0,0,0,0]","[-0.842718,-0.80941,-0.615604,-0.435311,0.581505,-0.795274]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[394.136,82.7623]",1424.76,"[4377.53,3817.87,7271.08,6825.61,3494.28,2196.74]","[]","[]","[]"
62,284500,732980,364168,1,14.5588,5.9417e+06,1.24168,1,0.981571,1,1,0.998673,1.00372,1,0,1,0,2,"[0,1]","[1,1]","[174466,146974]","[-1.36545,-1.85178]","[-2.26469,0.311207]","[364002,479733]","[0.0155144,-0.0200386]","[-1,1]","[11,13]","[0,1]","[7045.24,0]","[10556.8,-230.018]","[-0.0440159,0.0204665]","[3.0292,3.51136]",164629,-0.566176,2,"[181197,55332.2]","[1.89085,-0.589514]","[2.30057,-2.83895]","[614156,66120.2]","[0.997487,0.990737]","[0,0]","[0,0]","[-0.936764,-0.44223]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3741.38,6442.39]",6581.44,"[4280.48,2036.11]","[]","[]","[]"
67,284500,689324,364168,1.19168,14.5588,5.9417e+06,1.1961,1,0.998939,1,1,0.952402,0.969817,1,0,1,0,2,"[1,0]","[1,0]","[31606.7,8542.83]","[-2.35207,2.04655]","[-1.22501,1.21276]","[167554,33617.3]","[-0.163782,19.5405]","[1,-1]","[13,11]","[1,0]","[0,0]","[1569.71,1195.05]","[-0.0038823,-0.218446]","[0.271944,6.64066]",50735.5,0.89055,4,"[339094,295534,59170.3,27704.2]","[0.477267,-1.40575,-0.442913,-1.29237]","[3.01569,-0.340844,0.733631,-2.29845]","[380865,639304,65414.5,54461.1]","[0.999237,0.999777,1,0.856725]","[4,0,0,0]","[0,0,0,0]","[0.219329,-0.92809,-0.753858,-0.494784]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[145.327,84.4962]",1505.04,"[4873.89,17777,2317.26,3609.31]","[]","[]","[]"
71,284500,728984,364168,1,14.5588,5.9417e+06,1.26459,0.92481,0.996017,1,1,0.997185,0.753185,1,0,1,0,2,"[1,0]","[1,0]","[270026,15782.6]","[-0.296469,0.526609]","[2.56482,-2.96825]","[281980,18022]","[-0.05159,141.966]","[1,-1]","[13,11]","[1,0]","[0,0]","[-558.403,-68.5257]","[-0.014945,-0.0532873]","[1.52694,4.63924]",128608,2.23167,4,"[384667,101827,71224.1,21143.5]","[1.2983,-0.17939,0.852186,0.0834012]","[-0.838888,1.76579,-0.723501,-0.55327]","[757933,103931,99178,21658.7]","[0.999322,0.999475,0.995058,0.674676]","[0,0,0,0]","[0,0,0,0]","[-0.366423,-0.944469,-0.468826,-0.791077]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5512.29,129.311]",7084.31,"[6992.56,2402.93,2728.04,1337.87]","[]","[]","[]"
82,284500,722992,364168,1.13776,14.5588,5.9417e+06,0.696077,0.99211,1.00567,1,1,0.999307,1,1,1,0,0,2,"[0,1]","[1,0]","[327125,22062.1]","[-0.69335,-0.0501931]","[-2.27916,2.26644]","[408955,22090.2]","[0.0153894,0.07619]","[1,1]","[11,13]","[0,0]","[13026.9,0]","[11647,888.745]","[-0.0143808,-0.0138506]","[1.34848,1.43991]",198028,0.903813,1,"[91169.2]","[0.796012]","[0.801408]","[121780]","[0.999511]","[0]","[0]","[-0.957435]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2405.59,74.5062]",5112.09,"[4743.76]","[]","[]","[]"
