event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
44,284500,3122889,364170,-1,15324.2,1.66152e+07,1.21412,0.94676,1,1,1,0.998113,0,1,1,0,0,2,"[1,0]","[1,0]","[26847.4,8206]","[0.0691936,1.32489]","[2.77444,1.22252]","[26911.7,16525.3]","[0.0579987,77.493]","[1,-1]","[11,11]","[1,0]","[0,0]","[1944.89,111.233]","[-0.0214178,-0.0247899]","[2.2772,0.89196]",46407.6,-0.808332,1,"[21040]","[-2.41331]","[2.07699]","[118492]","[0]","[0]","[0]","[-0.778671]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[141.515,367.618]",982.109,"[1426.89]","[]","[]","[]"
73,284500,671809,364170,1,15324.2,1.66152e+07,0.738662,0.9623,1,1,1,0.996184,0,1,1,0,0,2,"[1,0]","[1,0]","[26956.8,8134.93]","[-0.288568,-0.989383]","[-0.852627,-0.570085]","[28086.9,12452.1]","[-0.0360794,19.7469]","[1,-1]","[11,11]","[1,0]","[0,0]","[-1814.17,-2537.08]","[0.012163,-0.0442716]","[1.30491,0.824688]",10985.9,1.65379,2,"[22368.6,20198.3]","[-1.70905,2.34675]","[-2.53551,2.88015]","[63864.2,106650]","[0.974596,0.959381]","[0,0]","[0,0]","[-0.891886,-0.717028]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[173.732,549.441]",22116.2,"[1742.24,1328.14]","[]","[]","[]"
74,284500,3128018,364170,1,15324.2,1.66152e+07,0.553627,0.97003,0.996048,1,1,1,0.97484,1,1,0,0,2,"[1,0]","[1,0]","[42355.7,7867.47]","[1.07415,2.37822]","[2.21067,-0.486065]","[69232.3,42792.8]","[-0.0168953,11.447]","[-1,1]","[11,13]","[1,1]","[0,0]","[-439.215,-353.9]","[0.0376293,0.711877]","[4.48587,28.2889]",59499.2,-1.22029,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[290.288,70.3752]",1693.31,"[]","[]","[]","[]"
86,284500,667343,364170,1,15324.2,1.66152e+07,1.21412,0.9623,1.01236,1,1,1,0.96784,1,1,0,0,2,"[0,1]","[0,1]","[37413.6,27269.5]","[0.021927,-0.486173]","[-3.12942,0.846277]","[37422.8,30556.2]","[78.3046,-0.0598564]","[-1,1]","[13,11]","[0,1]","[0,1109.87]","[-1034.81,2061.19]","[6.62244,-0.0172161]","[179.9,1.1787]",20066.4,-0.671367,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[96.3748,58.9388]",0,"[]","[]","[]","[]"
99,284500,3142532,364170,1,15324.2,1.66152e+07,1.21412,0.96052,1.01008,1,1,0.999398,1.01448,1,1,0,0,2,"[1,0]","[1,0]","[51570.4,36754.8]","[1.85545,0.0455392]","[-1.36826,0.123088]","[168917,36793.1]","[0.0615692,159.652]","[1,1]","[11,13]","[1,0]","[1528.54,0]","[-0.168915,240.14]","[-0.065791,-3.03146]","[1.3824,262.103]",70154.6,2.86727,1,"[30661.8]","[0.758266]","[0.819559]","[40268.3]","[1]","[0]","[0]","[-0.89634]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[556.638,108.322]",1331.88,"[3362.34]","[]","[]","[]"
105,284500,221747,364170,1,15324.2,1.66152e+07,0.738662,0.96024,1.00539,1,1,0.999179,0.93884,1,1,0,0,2,"[0,1]","[0,1]","[172567,53108.2]","[-0.078946,1.27462]","[2.00329,1.97442]","[173105,102416]","[58.4835,-0.060113]","[-1,1]","[13,11]","[0,1]","[0,0]","[-1311.63,1298.98]","[-0.596258,-0.00556313]","[12.3419,0.514903]",165220,-1.27054,1,"[47112.3]","[1.63289]","[-0.874548]","[125390]","[0.987665]","[0]","[0]","[-0.538576]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2164.08,118.704]",4359.77,"[2482.76]","[]","[]","[]"
118,284500,126473,364170,1,15324.2,1.66152e+07,1.24168,0.93319,1.01282,1,1,0.998775,0.94581,1,1,0,0,2,"[1,0]","[1,0]","[31386.3,23198.4]","[-1.75644,0.0241843]","[-1.21137,-0.339418]","[93601.2,23205.4]","[-0.00239563,-114.106]","[1,-1]","[11,13]","[1,0]","[0,0]","[1140.7,-915.096]","[-0.0128197,-2.39307]","[1.04677,61.8319]",75978.4,2.00445,1,"[33801.4]","[1.2667]","[-1.77986]","[65051.1]","[0.98977]","[0]","[0]","[-0.591321]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[346.328,34.5697]",2778.08,"[3971.75]","[]","[]","[]"
121,284500,227467,364170,-1,15324.2,1.66152e+07,1.21412,0.97095,0.986954,1,1,1,0.99593,1,1,0,0,2,"[1,0]","[1,0]","[37105.2,8995.12]","[-0.55355,1.76779]","[2.41805,0.330484]","[42936.7,27114.1]","[0.0806389,8.29901]","[-1,1]","[11,13]","[1,1]","[0,4587.34]","[-556.419,26.5138]","[0.0122495,0.0303417]","[1.36727,1.36683]",33244.2,-0.194861,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[63.1521,24.6566]",1690.88,"[]","[]","[]","[]"
153,284500,3129938,364170,1,15324.2,1.66152e+07,0.738662,0.97361,1.01112,1,1,1,0.98448,1,1,0,0,2,"[1,0]","[1,0]","[47150.2,33201.5]","[-0.195217,-0.00665292]","[1.97707,-0.898301]","[48051.6,33202.4]","[-0.103864,-58.8307]","[1,-1]","[11,13]","[1,0]","[0,0]","[-670.781,-663.465]","[0.0101007,-4.65797]","[0.906089,58.9009]",40591.1,-2.75958,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[196.508,187.248]",603.73,"[]","[]","[]","[]"
178,284500,4004693,364170,1,15324.2,1.66152e+07,0.75088,0.95613,0.999319,1,1,1,1.00278,1,1,0,0,2,"[1,0]","[1,0]","[40303.9,7429.6]","[-1.97393,-0.893551]","[0.458242,-1.94935]","[147872,10598.8]","[0.0122452,74.9152]","[1,-1]","[11,13]","[1,1]","[0,0]","[-345.891,235.607]","[0.0154412,0.0611317]","[1.17774,2.82239]",40698.8,-2.92772,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[546.62,12.1328]",234.727,"[]","[]","[]","[]"
