event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
9,284500,318077,364177,1.0952,96.2776,5.26324e+06,1.32095,0.943492,1,1,1,0.997788,0.98425,1,1,0,0,2,"[1,0]","[1,1]","[48022.6,47089.9]","[0.458889,0.745685]","[-0.908828,0.298818]","[53168.3,60800]","[0.0305557,-0.0212059]","[-1,1]","[11,11]","[1,1]","[0,0]","[286.363,3036.63]","[0.0186795,0.0666212]","[1.93169,3.2541]",92722,0.798387,2,"[117242,38756]","[-0.796766,-1.7048]","[-2.85032,-2.95483]","[157022,110256]","[0.992721,0.963466]","[0,0]","[0,0]","[-0.540322,-0.712077]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[60.0857,162.02]",1315.36,"[4471.27,3287.84]","[]","[]","[]"
22,284500,34866,364177,1,96.2776,5.26324e+06,0.619412,0.9666,0.998091,1,1,0.932479,0.95498,1,1,0,0,2,"[1,0]","[1,0]","[53124.3,7789.87]","[-0.735294,0.490471]","[-2.56629,-1.61061]","[68144.1,8746.41]","[0.0481491,102.501]","[-1,1]","[11,13]","[1,1]","[0,0]","[130.702,-433.309]","[0.0048742,-0.0470771]","[0.533511,3.47824]",36364.9,0.875629,4,"[99905.4,69580.1,48197.2,28918.3]","[2.29564,-1.23572,-0.613198,0.123933]","[-1.48769,1.6683,0.104601,1.87993]","[501216,130041,57924.2,29582]","[0.995034,0.99035,0.985985,0.991579]","[0,4,4,0]","[0,0,0,0]","[-0.743747,0.723099,-0.849541,-0.859141]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[99.2146,21.3853]",3227.55,"[3778.34,2793.11,2151.23,4195.06]","[]","[]","[]"
23,284500,34668,364177,1,96.2776,5.26324e+06,0.923924,0.98458,1,1,1,0.998348,1.00582,1,1,0,0,2,"[1,0]","[1,0]","[94556.2,7179.26]","[-0.199937,-1.27314]","[-2.32377,0.0746156]","[96452.5,13827.3]","[-0.0091095,-72.0054]","[1,-1]","[11,11]","[1,0]","[0,0]","[-912.867,590.006]","[-0.00246491,-0.0477823]","[0.37629,3.34404]",37593.7,1.91743,2,"[112413,20657.5]","[-2.21454,-0.880699]","[0.511108,1.98723]","[520955,29528.8]","[0.998206,0.980227]","[0,0]","[0,0]","[-0.654698,-0.867501]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[829.995,228.541]",119.738,"[2829.62,1173.83]","[]","[]","[]"
117,284500,144619,364177,-1,96.2776,5.26324e+06,1.55465,0.98458,0.996001,1,1,0.96385,1.00582,1,1,0,0,2,"[1,0]","[1,0]","[112517,11913.2]","[-0.540233,-2.18224]","[0.227309,-2.50264]","[129339,53484.1]","[0.0211153,66.2098]","[-1,1]","[11,13]","[1,1]","[0,0]","[-1103.73,2713.81]","[-0.00971581,0.149502]","[0.656764,8.61081]",52995.9,0.736932,1,"[144567]","[-0.268283]","[-2.76151]","[150148]","[0.995637]","[4]","[0]","[-0.669092]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[593.494,82.7911]",964.32,"[1626.38]","[]","[]","[]"
118,284500,144282,364177,1.32582,96.2776,5.26324e+06,1.26205,0.97867,0.996359,1,1,0.994185,1.01012,1,1,0,0,2,"[1,0]","[1,0]","[118598,11666.9]","[1.9042,0.705868]","[1.71153,-3.10282]","[406966,14696.5]","[0.0134811,-0.0225983]","[-1,1]","[11,13]","[1,1]","[0,0]","[-539.617,6891.8]","[-0.0231374,0.00187304]","[2.21382,0.124151]",48688.3,-0.776667,4,"[99128.7,31248.3,23502.3,22020.5]","[0.599632,-1.21026,1.20019,-2.24417]","[-1.06788,3.11042,-2.22857,0.141837]","[117744,57193.4,42725,105084]","[0.991162,0.996216,0.774689,0.980067]","[0,0,0,0]","[0,0,0,0]","[-0.874609,-0.645701,-0.813404,-0.684614]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[854.65,16.6446]",672.949,"[4583.74,3984.64,2241.74,1646.2]","[]","[]","[]"
127,284500,33051,364177,1,96.2776,5.26324e+06,0.923924,0.96179,1.00036,1,1,0.99718,0.93731,1,1,0,0,2,"[1,0]","[1,0]","[28692.6,11901.8]","[-0.0473327,2.23148]","[2.30301,0.762435]","[28724.8,56063.9]","[-0.00161362,-1.39319]","[1,1]","[11,13]","[1,1]","[0,0]","[355.516,5325.94]","[0.00611055,-0.0893485]","[0.677316,4.18701]",75174.7,0.939045,2,"[102471,24182]","[0.179796,1.6925]","[-1.81631,2.11274]","[105537,68078.5]","[0.999286,0.997684]","[0,0]","[0,0]","[-0.815752,-0.834354]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[30.5913,136.206]",12324.7,"[4468.78,1779.36]","[]","[]","[]"
138,284500,122025,364177,1,96.2776,5.26324e+06,0.351687,0.96615,0.986954,1,1,0.961994,0.98962,1,1,0,0,2,"[1,0]","[1,0]","[74593.5,8582.36]","[1.18551,1.87814]","[2.09428,0.0287233]","[133446,28726.1]","[0.0265141,46.8267]","[1,-1]","[11,13]","[1,1]","[0,1737.22]","[184.32,780.462]","[-0.0294068,-0.0275563]","[2.14339,1.39868]",70298.3,2.27665,2,"[113568,27139]","[-0.0435595,0.461171]","[-0.894016,-1.19735]","[114466,30322.7]","[0.993465,0.938067]","[4,0]","[0,0]","[0.807793,-0.754317]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[326.524,47.8455]",21902.1,"[5792.9,2005.61]","[]","[]","[]"
155,284500,366960,364177,1,96.2776,5.26324e+06,0.402058,0.988757,1,1,1,0.962684,0.99866,1,1,0,0,2,"[1,0]","[1,0]","[154057,7732.68]","[-0.941708,-1.03148]","[-2.07303,2.64322]","[227567,12224.2]","[-0.00349903,0.170297]","[-1,1]","[11,11]","[1,1]","[2181.65,1110.72]","[2368.88,-1434.05]","[-0.00406925,-0.0427013]","[0.421005,0.519453]",13110.2,-2.88269,1,"[169543]","[-1.35043]","[0.997608]","[349463]","[1]","[4]","[0]","[-0.805213]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1319.73,137.693]",11133.2,"[13047.8]","[]","[]","[]"
196,284500,120879,364177,1,96.2776,5.26324e+06,1.74563,0.99093,0.996359,1,1,0.999666,1.00306,1,1,0,0,2,"[1,0]","[1,0]","[103271,10055.2]","[1.01002,0.269097]","[-0.211012,-2.68576]","[160580,10422]","[0.0672035,0.0552063]","[-1,1]","[11,13]","[1,1]","[0,5768.11]","[-222.969,64.948]","[-0.0159295,0.010219]","[2.0155,0.651825]",16453.6,2.51013,1,"[48222.4]","[-0.159414]","[-2.28853]","[48971.7]","[0.951222]","[0]","[0]","[-0.934008]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[809.432,23.7663]",3548.61,"[4271.29]","[]","[]","[]"
200,284500,142647,364177,1,96.2776,5.26324e+06,1.26205,0.95968,0.89203,1,1,0.995924,0.97155,1,1,0,0,2,"[1,0]","[1,0]","[93766.6,27598.2]","[2.42863,2.60514]","[-2.84175,0.144939]","[535944,187765]","[-0.18037,-0.359779]","[-1,1]","[11,13]","[1,0]","[0,0]","[-51.6568,-441.668]","[0.0101405,0.0941785]","[0.331343,7.48498]",55371.9,-2.21217,3,"[77168.2,28668,24929.3]","[0.984129,1.67815,1.67521]","[0.493346,2.9344,2.31053]","[117815,79563.6,69146.2]","[1,0.994105,1]","[0,0,0]","[0,0,0]","[-0.897536,-0.842916,-0.861812]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2238.51,346.793]",12566,"[4416.92,4653.82,2249.13]","[]","[]","[]"
