event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
50,284500,17603,364178,1,35.9173,1.82981e+07,1.1961,0.962484,1,1,1,0.900447,0.97938,1,1,0,0,2,"[1,0]","[1,0]","[39807.5,11330.4]","[-0.0407652,2.35956]","[-2.82043,1.05656]","[39840.5,60508.7]","[0.0124512,-0.232559]","[1,-1]","[11,11]","[1,0]","[0,1209.12]","[-108.344,4143.67]","[0.00820842,-0.142515]","[0.828763,3.1493]",33846.4,0.969338,2,"[47338.3,34036]","[1.82845,-0.670588]","[-2.7165,0.0837579]","[151262,42218.1]","[0.989186,0.99]","[5,0]","[0,0]","[-0.897906,-0.926204]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[106.402,97.9674]",1464.96,"[1274.09,3589.92]","[]","[]","[]"
152,284500,33698,364178,1,35.9173,1.82981e+07,1.74563,0.93241,0.987935,1,1,0.976303,0.94166,1,1,0,0,2,"[1,0]","[1,0]","[31409.1,8406.29]","[1.30476,-1.82149]","[-2.23254,-2.00166]","[62159.4,26660.1]","[0.037693,-0.226261]","[1,1]","[11,13]","[1,1]","[1261.72,2057.59]","[330.76,499.487]","[0.0172248,0.0843838]","[1.23737,3.54216]",66719,1.26938,3,"[85814.9,21346.1,20673]","[-2.27737,-1.81334,-1.8271]","[0.142713,-2.75711,2.85284]","[422822,67297.5,65988]","[1,0.987905,0.993972]","[0,5,0]","[0,0,0]","[-0.898938,0.835757,-0.752614]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[172.354,13.4438]",25088.2,"[2899.31,1247.96,1135.45]","[]","[]","[]"
286,284500,64897,364178,1.17273,35.9173,1.82981e+07,0.696077,0.93214,1,1,1,0.998864,0.84537,1,1,0,0,2,"[1,0]","[1,0]","[27647.7,15727.2]","[-1.70746,-0.688237]","[-2.99252,-2.87472]","[78744.1,19601.3]","[-0.117767,-0.0454254]","[1,-1]","[11,11]","[1,0]","[0,16904.7]","[3828.08,10033.6]","[0.0304139,0.0548539]","[2.03365,0.930109]",15037,-1.75249,2,"[94944.1,57465.9]","[0.0168744,-0.807224]","[-0.141332,2.4865]","[95576.9,78061.2]","[0.992558,0.999778]","[0,0]","[0,0]","[-0.89284,-0.858044]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[332.625,77.6562]",1205.95,"[1896.85,3037.64]","[]","[]","[]"
362,284500,425444,364178,1,35.9173,1.82981e+07,0,0.988174,1,1,1,0.996383,0.98653,1,1,0,0,2,"[1,0]","[1,0]","[53163.1,7759.42]","[0.253941,0.116404]","[-1.62412,-2.19889]","[54886.5,7812.05]","[0.0150433,0.12512]","[1,-1]","[11,11]","[1,0]","[0,2838.36]","[3624.61,3887.28]","[-0.00844282,-0.0157716]","[1.09976,0.731187]",62269.7,0.13914,4,"[88968.7,55334.7,28594.9,26818.9]","[-0.784588,0.986708,0.38456,2.47293]","[2.34566,-2.29703,1.38413,0.105193]","[118186,84813,31311.8,160234]","[0.983008,0.996994,0.927528,0.99811]","[0,0,0,0]","[0,0,0,0]","[-0.577821,-0.502657,-0.904319,-0.837591]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[509.143,84.3149]",6746.95,"[2774.28,5476.5,3704.19,2992.11]","[]","[]","[]"
488,284500,308227,364178,-1,35.9173,1.82981e+07,1.21412,0.98178,0.996359,1,1,0.999299,0.99604,1,1,0,0,2,"[1,0]","[1,0]","[99929.6,10915.4]","[-2.36582,0.31178]","[2.85938,3.11641]","[536955,11450.7]","[-0.183414,-0.130646]","[-1,1]","[11,13]","[1,1]","[0,4781.56]","[-831.089,2102.26]","[0.00423243,-0.0130817]","[0.424656,0.914897]",26330.1,-2.19249,1,"[121121]","[-1.54532]","[-0.041535]","[297354]","[1]","[0]","[0]","[-0.523256]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1200.17,20.6191]",1376.16,"[3702.75]","[]","[]","[]"
620,284500,444723,364178,-1,35.9173,1.82981e+07,1.1961,0.984462,1,1,1,0.957591,1.00493,1,1,0,0,2,"[1,0]","[1,0]","[100341,7580.18]","[-1.14389,0.102889]","[-3.04949,-2.50328]","[173466,7620.34]","[-0.0839176,12.0682]","[1,-1]","[11,11]","[1,1]","[0,0]","[459.796,4342.8]","[0.00143684,-0.0112414]","[0.086289,0.558595]",30527.1,0.169615,3,"[139016,43702.2,21660.4]","[-1.68664,-1.65829,0.732899]","[0.350332,-2.53326,0.273319]","[388670,119153,28121.2]","[0.900304,0.992226,0.983834]","[5,0,5]","[0,0,0]","[-0.0826046,-0.395267,0.32099]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[994.02,54.0033]",6112.7,"[3173.16,2176.68,1293.21]","[]","[]","[]"
796,284500,413166,364178,1,35.9173,1.82981e+07,1.26459,0.96257,0.996691,1,1,0.999117,1.00557,1,1,0,0,2,"[1,0]","[1,0]","[40419.4,9562.59]","[-1.66872,-0.926427]","[1.60745,1.13347]","[111030,13968.6]","[-0.0620499,0.00234222]","[-1,-1]","[11,13]","[1,1]","[0,0]","[301.976,-35.8525]","[-0.000470957,0.0324866]","[0.0311841,1.68112]",161831,2.47612,1,"[183956]","[0.179738]","[-0.714534]","[187306]","[0.94925]","[0]","[0]","[-0.931802]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[160.285,23.3654]",23703.9,"[2326.15]","[]","[]","[]"
808,284500,303495,364178,1,35.9173,1.82981e+07,1.32095,0.95684,0.999319,1,1,0.837593,0.96497,1,1,0,0,2,"[1,0]","[1,0]","[32669.2,7428.2]","[-1.08556,-0.22252]","[-2.91675,-0.720744]","[53884.8,7613.6]","[0.033114,-0.267308]","[1,-1]","[11,13]","[1,1]","[0,3798.91]","[2209.84,604.201]","[0.0179307,-0.0567255]","[1.07931,3.26369]",62174.5,0.791474,2,"[95988.1,93460]","[2.35779,-0.556854]","[-3.02151,-0.225014]","[511879,109179]","[1,0.999766]","[4,5]","[0,0]","[-0.602984,0.740221]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[266.616,22.479]",32208.6,"[2031.41,4571.4]","[]","[]","[]"
854,284500,270945,364178,1,35.9173,1.82981e+07,1.1961,0.96654,0.996691,1,1,1.00156,0.9995,1,1,0,0,2,"[1,0]","[1,0]","[61633.6,8353.92]","[2.17436,-0.62178]","[1.13978,1.96382]","[274586,10022]","[-0.232849,0.0713539]","[-1,-1]","[11,13]","[1,1]","[0,0]","[844.33,-432.539]","[-0.0538327,0.0241175]","[2.75943,1.30024]",43612.8,-0.187412,3,"[114766,31775.3,24394.9]","[0.476984,-0.401202,-1.97232]","[-2.36384,-0.0379587,2.17051]","[129274,35062.8,89518.9]","[0.992972,0.987362,0.995109]","[4,5,0]","[0,0,0]","[-0.91965,0.909205,-0.861468]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[430.74,19.8494]",563.84,"[1217.08,3966.95,6201.79]","[]","[]","[]"
861,284500,316946,364178,1,35.9173,1.82981e+07,0.934886,0.93241,0.999095,1,1,0.999696,0.94939,1,1,0,0,2,"[1,0]","[1,1]","[34957.9,22945]","[1.30264,2.16856]","[1.26077,-2.4793]","[69055.9,101646]","[0.0290985,-2.06772]","[-1,1]","[11,13]","[1,1]","[1188.67,1380.68]","[-211.93,956.304]","[0.00436418,-0.0098059]","[0.319044,0.69008]",46829.6,2.47007,1,"[53522.3]","[0.990761]","[-0.700521]","[82157.7]","[0.98962]","[0]","[0]","[-0.923705]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[124.322,191.499]",2074.48,"[2996.29]","[]","[]","[]"
