event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
10,284500,25607,364182,1.11057,14.5986,6.00327e+06,0.351687,0.98458,1,1,1,0.948971,1.00582,1,1,0,0,2,"[1,0]","[1,0]","[120056,13988]","[-0.5409,-0.824264]","[-0.0388193,1.9559]","[138051,19015]","[-0.0579453,156.829]","[1,1]","[11,11]","[1,0]","[0,0]","[-2949.06,3501.68]","[-0.0129238,-0.22829]","[1.90514,6.38776]",35136.2,0.672672,4,"[504100,362974,45131.7,23113.4]","[-0.320817,0.704604,-0.0997824,2.24706]","[2.94478,-0.213631,-0.393841,-2.84817]","[532051,458027,46069.1,110656]","[0.998959,0.992883,0.979054,0.991269]","[4,0,0,0]","[0,0,0,0]","[-0.272659,-0.893587,-0.888533,-0.191569]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1234.48,110.425]",15181.2,"[9819.64,8449.41,2280.4,2594.97]","[]","[]","[]"
24,284500,75209,364182,1,14.5986,6.00327e+06,0.0132185,0.946488,1,1,1,0.887371,0.94581,1,1,0,0,2,"[1,0]","[1,0]","[31545.4,8042.67]","[-1.62822,0.596691]","[-2.88512,-1.75281]","[83454.4,9517.42]","[0.0343399,0.0529518]","[1,1]","[11,11]","[1,1]","[1483.57,0]","[430.69,171.495]","[0.0409965,0.0526817]","[2.33209,2.92942]",9979.11,-0.671593,3,"[316495,41212.1,22770.8]","[2.48485,0.506845,2.33736]","[-3.10737,-0.792932,-2.08408]","[1.91235e+06,47037.4,119007]","[0.995073,0.985856,0.982564]","[0,5,0]","[0,0,0]","[-0.604595,-0.814489,-0.784238]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[121.99,146.045]",14212.3,"[13077.4,5448.73,2189.12]","[]","[]","[]"
27,284500,19234,364182,1,14.5986,6.00327e+06,1.22586,0.97199,1,1,1,0.998839,0.99121,1,1,0,0,2,"[1,0]","[1,0]","[43821.9,7062.54]","[0.40285,-1.24939]","[2.27866,1.06694]","[47426.2,13330.1]","[-0.00515747,109.992]","[1,-1]","[11,11]","[1,0]","[0,0]","[-584.544,535.98]","[-0.023605,-0.0826745]","[2.40979,1.11125]",95683.2,1.54116,2,"[284596,206950]","[0.290948,0.723913]","[-2.03563,0.626185]","[300234,263836]","[0.984635,0.998372]","[0,0]","[0,0]","[-0.863998,-0.240944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[358.448,123.25]",391.633,"[6459.27,8000.89]","[]","[]","[]"
32,284500,25217,364182,1,14.5986,6.00327e+06,0.738662,0.98428,1,1,1,0.999529,1.00121,1,1,0,0,2,"[1,0]","[1,0]","[227786,7120.51]","[-1.91092,0.77986]","[-1.18075,0.92903]","[786688,9397.78]","[-0.00688076,0.0868559]","[-1,1]","[11,11]","[1,0]","[0,0]","[-1774.12,-1637.76]","[-0.00922181,-0.0219998]","[0.667756,0.326358]",78676.2,-0.641041,1,"[352210]","[-1.22618]","[2.67233]","[652447]","[1]","[0]","[0]","[-0.857802]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2964.22,152.438]",1330.98,"[8884.65]","[]","[]","[]"
34,284500,31765,364182,1,14.5986,6.00327e+06,1.26459,0.98916,0.992251,1,1,1.02099,0.99765,1,1,0,0,2,"[1,0]","[1,0]","[80088.1,9168.86]","[0.771725,-0.0832109]","[-1.50504,0.943094]","[105144,9201.23]","[-0.0886135,-0.016716]","[-1,1]","[11,13]","[1,1]","[2924.18,1460.26]","[1490.69,1378.71]","[-0.00810009,0.035808]","[0.561474,2.2088]",102370,-0.211529,5,"[348467,143931,41171.2,33170,25023]","[-0.354665,1.48875,-1.00118,1.51472,1.00634]","[2.32121,-0.641755,0.259282,-1.88903,-1.90415]","[371043,335478,64434.7,79316.3,38885]","[0.997608,0.973314,0.98081,0.96061,0.893752]","[0,0,5,4,0]","[0,0,0,0,0]","[-0.812045,-0.946546,0.999413,0.593517,-0.754105]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[553.609,33.5106]",6167.56,"[5097.25,3643.35,3488.07,2878.25,1799.62]","[]","[]","[]"
53,284500,23396,364182,1.02218,14.5986,6.00327e+06,0.506784,0.96972,0.996048,1,1,0.998198,0.99544,1,1,0,0,2,"[1,0]","[1,0]","[513186,7077.08]","[1.20315,2.21737]","[-1.23233,0.0798966]","[931645,32880.3]","[-0.00612164,-0.0435991]","[-1,1]","[11,13]","[1,1]","[21450.7,0]","[6938.78,432.357]","[0.00752705,-0.0378044]","[1.16918,1.51292]",43219.6,-1.44605,3,"[359258,207344,44563.3]","[-1.59988,-0.496741,-0.905687]","[2.18666,1.43792,1.83686]","[926504,234060,64690.8]","[0.94438,0.989402,0.998421]","[0,0,0]","[0,0,0]","[-0.854808,-0.966657,-0.101778]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7250.48,65.0309]",10388.3,"[9018.18,2987.41,5553.44]","[]","[]","[]"
54,284500,23099,364182,1,14.5986,6.00327e+06,1.55465,0.96819,1.00915,1,1,0.983438,0.95922,1,1,0,0,2,"[0,1]","[0,1]","[52764,45944]","[0.0474644,-0.959865]","[-1.22142,-0.567416]","[52823.6,68784.7]","[6.77706,0.017746]","[-1,-1]","[13,11]","[0,1]","[0,0]","[-24.343,-1251.45]","[6.23272,0.0126506]","[212.918,1.09594]",111049,0.240245,6,"[344686,262286,45902.4,23118.2,21592.8,20691.7]","[-0.390586,-0.63342,1.92723,0.0846351,2.18269,-0.365437]","[-2.93069,0.329868,-3.00981,-2.52824,2.62436,1.17857]","[372043,317473,161298,23965.1,97032.7,22419.1]","[0.9978,1,0.995516,0.713876,0.841428,0.940171]","[0,0,0,0,0,4]","[0,0,0,0,0,0]","[-0.950431,-0.879266,-0.923028,-0.878352,-0.501554,-0.910449]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[577.098,101.802]",4913.84,"[10171.3,8998.9,2272.59,1730.6,1900.31,846.392]","[]","[]","[]"
55,284500,23829,364182,1,14.5986,6.00327e+06,0.351687,0.99861,1,1,1,0.979828,1.00582,1,1,0,0,2,"[1,0]","[1,0]","[135504,7100.53]","[-0.408468,0.557708]","[0.863569,2.50339]","[146966,8233.72]","[0.087883,62.5455]","[1,1]","[11,11]","[1,0]","[0,0]","[-1457.98,-2671.86]","[-0.0155651,0.0874939]","[2.12871,0.954724]",81043.6,1.2136,5,"[242343,75066.7,58612.2,30621.1,23182.1]","[-0.191159,-1.37047,-0.246118,-2.35115,0.0722141]","[-2.11065,2.18263,-0.202236,1.71616,-0.777827]","[247736,157861,61338.8,162275,23547.4]","[0.994146,0.997941,1,0.99,0.992139]","[0,0,0,4,0]","[0,0,0,0,0]","[-0.885184,-0.952226,-0.114924,-0.834045,-0.588434]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[375.32,218.129]",25698.6,"[6343.73,2752.55,2053.63,2417.51,1761.64]","[]","[]","[]"
59,284500,28821,364182,1,14.5986,6.00327e+06,0.923924,0.96654,1.01696,1,1,0.976103,0.9995,1,1,0,0,2,"[1,0]","[1,0]","[72885.5,12540.1]","[2.05838,0.0299815]","[0.0394385,0.258642]","[290117,12546.2]","[0.135792,-301.052]","[1,1]","[11,13]","[1,0]","[0,0]","[2175.36,-923.242]","[-0.0151787,-6.43135]","[1.22168,78.956]",45469.9,-1.07634,6,"[287139,115375,72253.3,64076.7,61223.7,28278.8]","[-0.382583,1.59837,0.971522,-0.421964,-0.895721,1.38498]","[2.65903,-0.63718,-0.312186,2.22883,0.164651,2.25587]","[311473,297081,109589,70588,87778.9,60188.3]","[0.998132,0.995794,0.963617,1,0.988413,1]","[0,0,0,0,0,4]","[0,0,0,0,0,0]","[-0.880268,-0.888171,-0.872306,-0.819289,-0.870863,-0.879669]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[394.53,33.102]",25.043,"[11162.3,3146.43,2972.37,2338.12,4523.19,1645.87]","[]","[]","[]"
60,284500,30908,364182,1,14.5986,6.00327e+06,1.22586,0.96311,1,1,1,0.998304,1.00058,1,1,0,0,2,"[1,0]","[1,0]","[59314.4,7497.8]","[-1.69925,-0.11773]","[2.78782,1.52785]","[167642,7549.82]","[-0.0825272,108.758]","[-1,-1]","[11,11]","[1,0]","[0,0]","[2311.96,-833.197]","[-0.00423123,-0.0497041]","[0.253896,0.728798]",17964.9,2.86171,3,"[224846,40557.8,27870.7]","[0.628978,0.662089,0.0332492]","[-0.878855,-1.30264,-0.160286]","[271679,49907.5,28190.5]","[0.952013,0.993621,0.925338]","[0,0,0]","[0,0,0]","[-0.973501,-0.845962,-0.896731]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[325.178,72.1341]",9706.58,"[6780.27,4371.66,5889.8]","[]","[]","[]"
