event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,1059741,364189,1,95.3655,3.96912e+06,1.32095,1,0.998655,1,1,0.999353,0.986839,1,0,1,0,2,"[0,0]","[1,0]","[48918.6,12494.6]","[-1.33843,-0.324143]","[-3.09115,1.08657]","[99679.4,13157.2]","[-0.142433,0.0264435]","[-1,1]","[13,13]","[1,1]","[0,5535.22]","[-278.986,1254.12]","[0.0158874,-0.000614591]","[2.28203,0.0462069]",32543.4,2.00797,1,"[83494.6]","[0.180003]","[-0.371047]","[85993.3]","[0.995369]","[0]","[0]","[-0.367232]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[615.138,62.5667]",918.846,"[2228.56]","[]","[]","[]"
3,284500,1075058,364189,1,95.3655,3.96912e+06,1.1961,1,0.98564,1,1,0.958918,0.998696,1,0,1,0,2,"[0,0]","[1,0]","[43853.4,11186.2]","[-2.06155,-1.52788]","[0.628088,2.58448]","[175094,26989.1]","[-0.00798035,1.68926]","[1,-1]","[13,13]","[1,1]","[0,2189.04]","[1209.85,-668.599]","[-0.0324111,0.137687]","[2.50782,8.9118]",17901.7,0.959445,2,"[61448.8,24116.1]","[-1.93867,0.89209]","[-2.26871,2.17311]","[218053,34624.8]","[0.866492,0.948852]","[4,5]","[0,0]","[-0.909649,0.997644]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[437.482,51.6314]",10157.5,"[10465.3,1458.7]","[]","[]","[]"
4,284500,1077049,364189,1,95.3655,3.96912e+06,1.21412,0.96825,0.996691,1,1,0.99666,0.99461,1,1,0,0,2,"[0,0]","[1,0]","[70821.9,9892.95]","[-2.05023,-0.478033]","[1.66647,2.21569]","[279690,11045.5]","[-0.220322,-0.107819]","[-1,-1]","[11,13]","[1,1]","[1285.08,1475.02]","[-973.495,-776.85]","[0.00148661,0.00414398]","[0.0812559,0.228567]",19146.8,-0.0867744,3,"[55251.1,27621.8,23473.9]","[-1.65221,-2.31249,-1.18035]","[-1.42319,-0.859363,2.99438]","[149563,140894,41893.9]","[0.999591,0.981066,0.990381]","[0,0,0]","[0,0,0]","[-0.917175,-0.134659,-0.729695]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[381.528,23.7022]",4562.89,"[9178.2,4386.86,4814.78]","[]","[]","[]"
5,284500,1062,364189,1,95.3655,3.96912e+06,0.351687,1,1.00933,1,1,0.998496,0.992139,1,0,1,0,2,"[0,0]","[1,0]","[57853.3,30690.6]","[-2.27913,-0.0954172]","[1.48213,-0.227139]","[285522,30830.6]","[0.0137177,87.5271]","[1,1]","[13,13]","[0,0]","[0,1723.27]","[-427.277,297.213]","[-0.00886003,-1.79147]","[0.834518,105.331]",31029.8,-2.5872,2,"[27039.4,25556.6]","[0.857464,0.854587]","[-0.311397,2.07595]","[37995.3,35595.2]","[0.992734,0.999042]","[0,0]","[0,0]","[-0.447565,-0.769328]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1764.03,158.475]",5668,"[1934.26,3062.36]","[]","[]","[]"
10,284500,66501,364189,1,95.3655,3.96912e+06,0.923924,1,0.993006,1,1,0.998205,0.996049,1,0,1,0,2,"[0,0]","[1,0]","[37040.5,8318.28]","[-2.24508,-0.587703]","[0.770023,-2.95133]","[176815,9797.22]","[-0.588459,0.190292]","[-1,1]","[13,13]","[1,1]","[0,1107.36]","[1298.46,-308.881]","[0.0290478,-0.178912]","[2.76737,12.5065]",31174.9,2.88319,1,"[21640.2]","[-1.62801]","[-1.26421]","[57301.2]","[0.974473]","[0]","[0]","[-0.847169]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[966.289,12.911]",62.7539,"[1552.3]","[]","[]","[]"
11,284500,402106,364189,-1,95.3655,3.96912e+06,0.553627,0.96654,1,1,1,1,0.9995,1,1,0,0,2,"[0,0]","[1,0]","[63909.6,9831.75]","[2.33487,1.81422]","[2.14145,0.794737]","[333128,30966.3]","[0.0303612,0.0548439]","[1,-1]","[11,11]","[1,0]","[0,1210.87]","[379.78,230.067]","[0.000592042,-0.0271752]","[0.0276071,1.05329]",6440.77,-2.03842,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[334.523,248.167]",2750.49,"[]","[]","[]","[]"
12,284500,1061018,364189,1,95.3655,3.96912e+06,1.21412,0.905377,1,1,1,0.999047,1,1,1,0,0,2,"[0,0]","[1,0]","[61316.9,20523.4]","[2.20232,0.672964]","[0.550492,-1.3768]","[280725,25348.8]","[-0.0569382,0.128906]","[-1,-1]","[11,11]","[0,1]","[0,7006.14]","[-608.836,941.233]","[0.0143902,0.102989]","[0.903124,1.75384]",12521.8,-2.22411,1,"[39061.6]","[1.2075]","[2.77734]","[71296.5]","[0.981832]","[0]","[0]","[-0.922228]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[225.183,287.604]",517.229,"[3937.23]","[]","[]","[]"
16,284500,1077305,364189,1.25983,95.3655,3.96912e+06,1.25133,1.00336,1.00096,1,1,0.999223,0.988821,1,0,1,0,2,"[0,0]","[1,0]","[25516.8,10085.4]","[1.39744,1.60088]","[2.12968,-0.0133204]","[54760.1,26015.9]","[0.0159073,-0.119888]","[1,1]","[13,11]","[1,0]","[0,3012.67]","[-502.039,2619.05]","[-0.0291292,-0.0562604]","[2.64832,1.36471]",30912,-2.75882,1,"[21888.3]","[-0.797329]","[0.509661]","[29472.4]","[0.814527]","[0]","[0]","[-0.860457]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[49.3184,196.136]",11832.3,"[2058.33]","[]","[]","[]"
28,284500,292160,364189,-1,95.3655,3.96912e+06,1.26459,1,0.992977,1,1,0.995301,1,1,1,0,0,2,"[0,0]","[1,0]","[26282,8449.12]","[-0.217469,1.21175]","[0.743324,1.66721]","[26906,15449.8]","[-0.108997,-0.00374985]","[-1,1]","[11,13]","[0,1]","[0,2237.05]","[209.38,1193.85]","[0.120884,-0.0959944]","[11.0219,4.17553]",47256,0.550991,3,"[98656.2,25850.6,20922.5]","[-0.083619,-1.97648,1.8139]","[-2.75696,-0.772379,0.211721]","[99771.9,95145.5,66029.6]","[0.989318,0.643224,0.959231]","[0,0,0]","[0,0,0]","[-0.891399,-0.339716,-0.715988]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[59.1506,28.3949]",22979.4,"[2078.09,1719.97,2257.83]","[]","[]","[]"
29,284500,1058491,364189,1,95.3655,3.96912e+06,1.26459,1,0.990771,1,1,0.999305,0.919059,1,0,1,0,2,"[0,0]","[1,0]","[54638.6,7064.27]","[-0.216777,-0.409286]","[1.1886,3.08478]","[55927.6,7664.99]","[-0.0160828,-69.9326]","[1,-1]","[13,13]","[1,1]","[0,0]","[-1020.93,-1230.52]","[0.0260501,0.0891056]","[3.95674,5.09705]",48082.1,0.129979,2,"[50166.7,40979.4]","[0.141614,-0.554166]","[-2.36778,-2.16259]","[51637.9,48594.5]","[0.964781,0.972105]","[0,0]","[0,0]","[-0.417956,-0.468994]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[436.937,28.6833]",1079.98,"[3928.13,2004.75]","[]","[]","[]"
