event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,301602,364190,-1,197.371,6.16652e+06,1.26205,0.97388,0.997152,1,1,0.998378,1,1,1,0,0,2,"[0,0]","[1,0]","[40553.2,9678.56]","[-0.108665,0.810284]","[2.91474,-0.224949]","[40792.9,13034]","[-0.378349,29.735]","[-1,-1]","[11,13]","[0,1]","[0,0]","[1144.55,331.542]","[0.181593,-0.0299834]","[20.9436,1.85887]",100028,2.80631,2,"[108207,30558.1]","[0.178756,-0.37378]","[-0.685401,-0.0177978]","[110518,33143]","[0.982852,1]","[0,0]","[0,0]","[-0.951907,-0.553687]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[107.781,27.0267]",6352.05,"[2976.92,5449.5]","[]","[]","[]"
1,284500,8184,364190,1,197.371,6.16652e+06,0.402058,0.9652,1,1,1,0.998713,0.98592,1,1,0,0,2,"[0,0]","[1,0]","[72652.3,7351.19]","[-1.27192,1.58826]","[2.41095,-0.126368]","[139783,18743.7]","[0.0240059,-42.1229]","[1,-1]","[11,11]","[1,0]","[0,4340.69]","[2483.01,557.679]","[-0.00269466,0.144239]","[0.29474,1.16912]",19567.3,1.86152,2,"[60887.4,24887.9]","[-1.28032,0.0211487]","[-1.64937,-2.6543]","[118176,25273.8]","[1,0.987774]","[0,0]","[0,0]","[-0.941299,-0.617606]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[410.227,412.007]",3361.49,"[3992.67,2113.36]","[]","[]","[]"
2,284500,14318,364190,1,197.371,6.16652e+06,0.934886,1,0.988339,1,1,0.998216,1.05699,1,0,1,0,2,"[0,0]","[1,0]","[60254.4,19304.3]","[0.903387,0.450139]","[2.99559,0.282985]","[86559.9,21293.5]","[0.0750966,70.5085]","[-1,-1]","[13,13]","[1,1]","[0,5323.86]","[-437.115,710.594]","[0.118421,-0.0587994]","[14.9777,5.52218]",10648.7,2.00622,2,"[106163,24402]","[0.498358,0.935858]","[-0.221934,1.16758]","[120159,36129.3]","[0.994235,0.991607]","[0,0]","[0,0]","[-0.857819,-0.151282]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[259.326,67.3131]",887.878,"[2734.44,2339.11]","[]","[]","[]"
3,284500,235596,364190,1,197.371,6.16652e+06,0.506784,1,0.994946,1,1,0.99911,0.973935,1,0,1,0,2,"[0,0]","[1,0]","[40467.8,31959.6]","[-1.86797,-1.66717]","[-0.932098,-0.312599]","[134143,87664.1]","[-0.0522156,-0.802673]","[1,1]","[13,11]","[1,0]","[0,7970.41]","[981.208,1459.83]","[0.034401,-0.564091]","[3.1548,10.9027]",29900.3,-1.58789,1,"[89941.7]","[-2.29384]","[2.2286]","[450455]","[0.972613]","[0]","[0]","[-0.961764]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[160.808,256.917]",3322.07,"[4935.54]","[]","[]","[]"
4,284500,270302,364190,-1,197.371,6.16652e+06,1.26459,0.97921,0.988089,1,1,1.27691,1.00192,1,1,0,0,2,"[0,0]","[1,0]","[65192,11264.9]","[-0.225937,1.83125]","[-0.661553,-1.36589]","[66863.1,36058.4]","[0.0136032,-3.53166]","[-1,-1]","[11,13]","[1,1]","[0,1226.69]","[-915.651,1568.98]","[0.00321871,-0.0263208]","[0.228641,1.63294]",86511.3,-0.662815,1,"[159460]","[1.552]","[2.58992]","[393468]","[0.585876]","[0]","[0]","[0.958633]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[116.189,17.4368]",19075.2,"[10772.7]","[]","[]","[]"
5,284500,276754,364190,1,197.371,6.16652e+06,1.26205,0.880437,1,1,1,0.99728,1.01508,1,1,0,0,2,"[0,0]","[1,0]","[80149.5,15239.8]","[-1.72457,-1.18801]","[-2.35659,-3.07681]","[231968,27320.2]","[0.00477028,-9.26013]","[-1,-1]","[11,11]","[1,1]","[0,0]","[2589.69,4289.3]","[0.00758532,0.0145259]","[0.647698,0.833542]",110017,-2.15062,3,"[171862,25818.8,25421.7]","[-1.04701,-1.12303,-0.46613]","[0.728494,2.63514,0.758969]","[275372,43970.3,28611]","[0.99389,0.997764,0.99]","[0,0,0]","[0,0,0]","[-0.837333,-0.937038,-0.890281]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[899.617,95.5831]",5815.34,"[5327.76,4692.35,2130.18]","[]","[]","[]"
6,284500,6944,364190,-1,197.371,6.16652e+06,1.26205,0.94943,0.997152,1,1,0.998369,0.94658,1,1,0,0,2,"[0,0]","[1,0]","[44929.2,9262.33]","[1.17749,0.487913]","[1.38837,-0.865748]","[79845,10387.4]","[0.0875998,-26.2474]","[-1,1]","[11,13]","[1,1]","[0,1331.07]","[1248.69,3432.31]","[-0.00917181,-0.0105411]","[1.19286,0.532414]",156277,0.598009,2,"[143737,42126.4]","[0.967714,-0.0496671]","[-2.42301,-2.29177]","[216728,42736.2]","[0.989455,0.969901]","[0,0]","[0,0]","[-0.521508,-0.905772]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[178.635,23.2246]",3539.12,"[4811.19,2035.1]","[]","[]","[]"
7,284500,307700,364190,1,197.371,6.16652e+06,0.75088,1,0.994289,1,1,0.995674,0.998628,1,0,1,0,2,"[0,0]","[1,0]","[39863.4,12410]","[1.38722,0.899952]","[1.39566,2.98471]","[84779.1,17784.4]","[-0.0843811,-60.8944]","[-1,1]","[13,13]","[1,1]","[0,0]","[-946.824,1681.69]","[-0.190443,0.411757]","[14.7567,29.0975]",44144.9,1.52334,4,"[137095,70445.7,28333.5,22985.8]","[1.03678,-1.06498,2.42741,0.523707]","[-2.69366,-0.396212,0.0458035,-0.31987]","[218174,114881,161889,26949.2]","[0.983987,0.993945,0,0.989968]","[0,0,0,0]","[0,0,0,0]","[-0.943117,-0.874251,-0.863496,-0.868199]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[543.318,45.2829]",399.664,"[11683.7,3744.9,4301.14,1732.36]","[]","[]","[]"
8,284500,3784,364190,-1,197.371,6.16652e+06,1.26205,1,1.01406,1,1,0.998522,0.783269,1,0,1,0,2,"[0,0]","[0,1]","[76715.6,33840.4]","[0.0996738,0.606035]","[-0.0228414,-2.04281]","[77097,40247.5]","[76.48,0.0573082]","[-1,-1]","[13,13]","[0,1]","[3051.65,0]","[-116.358,-526.03]","[3.62114,0.0140692]","[65.9256,1.84586]",158564,-2.4765,3,"[62996.9,59161.4,23750.2]","[0.576688,0.362328,-0.269703]","[1.24164,0.897266,1.35896]","[74138.6,63647.8,24926.8]","[0.999308,0.918022,0.996224]","[0,0,0]","[0,0,0]","[-0.830318,-0.65262,-0.865066]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1240.72,214.592]",19788,"[2000.85,2133.43,2144.37]","[]","[]","[]"
9,284500,234856,364190,1,197.371,6.16652e+06,0.553627,1,0.999066,1,1,0.998662,1.00279,1,0,1,0,2,"[0,0]","[1,0]","[57219.8,7478.57]","[-1.55554,0.485111]","[-2.22351,0.548291]","[141583,8376.6]","[0.0669785,-0.230808]","[1,1]","[13,13]","[1,1]","[0,0]","[-454.447,471.524]","[-0.00541301,-0.0273248]","[0.772146,1.96412]",66106.7,-1.15303,2,"[84775.2,27270.2]","[1.55046,0.578197]","[1.54243,1.6234]","[209053,32339.9]","[1,0.98521]","[0,0]","[0,0]","[-0.785497,-0.613335]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[591.861,9.81866]",166.164,"[4357.5,4090.63]","[]","[]","[]"
