event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,3105,364191,-1,93.8086,5.18436e+06,1.21412,0.998154,1,1,1,0.962388,0.99866,1,1,0,0,2,"[0,0]","[1,0]","[95007.6,8091.39]","[-0.975825,-0.237321]","[-2.18958,2.72302]","[143948,8320.32]","[0.0374298,-20.1294]","[-1,-1]","[11,11]","[1,0]","[0,0]","[357.45,4945.75]","[-0.0344791,-0.134441]","[2.75303,4.16437]",85978.8,-1.88817,2,"[161001,21906.3]","[-1.55307,0.558125]","[1.03093,1.86689]","[397720,25851.3]","[0.995511,0.988828]","[4,0]","[0,0]","[-0.115244,-0.334476]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[456.172,61.8089]",29717.7,"[2903,1647.56]","[]","[]","[]"
1,284500,9198,364191,-1,93.8086,5.18436e+06,1.55465,0.97095,1,1,1,0.999564,0.99216,1,1,0,0,2,"[0,0]","[1,0]","[38429.1,11204.1]","[-0.168844,-2.63503]","[2.99748,-1.22973]","[38978.2,78515.8]","[-0.0296783,54.9589]","[-1,1]","[11,13]","[1,0]","[0,0]","[764.836,-122.474]","[-0.0358858,2.13711]","[4.29603,0.372487]",50541.7,1.60668,1,"[37262.3]","[0.532211]","[1.66356]","[42905.7]","[0.761934]","[0]","[0]","[-0.908511]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[91.4188,68.164]",2262.64,"[2109.93]","[]","[]","[]"
4,284500,3394,364191,1,93.8086,5.18436e+06,1.32095,0.96179,1,1,1,0.961565,0.93731,1,1,0,0,2,"[0,0]","[1,0]","[27117.4,7128.51]","[0.00461945,-2.51795]","[-0.545999,0.44519]","[27117.7,44495.5]","[0.00278473,58.3739]","[1,1]","[11,13]","[1,0]","[0,0]","[476.659,-341.722]","[-0.0131845,-1.13818]","[1.27687,50.4854]",201027,-1.37751,2,"[123177,60239.4]","[-0.321653,1.75665]","[2.03906,1.32719]","[130215,179852]","[0.992424,0.995516]","[0,4]","[0,0]","[-0.921484,0.545535]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[105.723,48.702]",24874.9,"[1997.94,4014.7]","[]","[]","[]"
8,284500,244967,364191,1.01916,93.8086,5.18436e+06,1.32095,0.976834,1,1,1,0.985308,1.00058,1,1,0,0,2,"[0,0]","[1,0]","[53229.4,7781.95]","[-1.61971,-0.179307]","[2.70061,-3.12816]","[139716,7907.38]","[0.0910416,-0.0981197]","[1,-1]","[11,11]","[1,1]","[0,8510.16]","[-66.8442,-1011.81]","[-0.00600619,-0.0281705]","[0.395628,1.59397]",39865.8,-2.93089,2,"[116665,21652.3]","[-1.91662,0.623821]","[-0.227146,2.84144]","[405282,26447.7]","[0.989046,0.980673]","[0,4]","[0,0]","[-0.862831,0.681284]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[290.624,132.043]",13204.2,"[11266.4,5150.21]","[]","[]","[]"
9,284500,1353877,364191,-1,93.8086,5.18436e+06,0,0.94379,0.97359,1,1,0.962349,0.90506,1,1,0,0,2,"[0,0]","[1,0]","[27191.1,10666]","[-0.674407,-0.0461219]","[1.52515,-2.58388]","[33612.6,10677.9]","[-0.0519361,36.1684]","[-1,1]","[11,13]","[1,0]","[0,0]","[-503.22,2126.17]","[-0.0138202,0.0130041]","[0.596617,1.1939]",50223,-1.46788,2,"[58824,40496.6]","[-1.17174,0.396573]","[2.29629,-0.884642]","[104424,43987]","[0.999668,0.999095]","[4,0]","[0,0]","[-0.687847,-0.801044]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[42.0517,26.1937]",1640.39,"[3429.04,2554.06]","[]","[]","[]"
10,284500,1675442,364191,1,93.8086,5.18436e+06,1.26459,0.95138,0.987935,1,1,0.998704,0.99031,1,1,0,0,2,"[0,0]","[1,0]","[36413.1,9085.87]","[0.0332358,-1.50872]","[3.06407,1.11264]","[36433.2,21543.5]","[-0.165149,54.4456]","[-1,1]","[11,13]","[1,1]","[1844.41,0]","[-244.413,-620.939]","[-0.0332468,-0.0780095]","[3.64668,3.792]",52955.9,-2.0659,2,"[132233,50383.6]","[2.1056,0.544374]","[0.25361,3.10816]","[551193,58377.3]","[0.996089,0.959529]","[0,0]","[0,0]","[0.412995,-0.861002]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[73.2761,34.4433]",4557.71,"[8239.92,2724.76]","[]","[]","[]"
12,284500,6137,364191,1,93.8086,5.18436e+06,1.32095,1,0.998124,1,1,0.977526,0.99415,1,0,1,0,2,"[0,0]","[1,0]","[50043.1,8168.13]","[1.54977,1.16273]","[-0.783162,0.584247]","[123173,14340.3]","[-0.0767078,-0.0902863]","[1,1]","[13,11]","[1,0]","[0,2886.53]","[-667.606,-654.074]","[0.0232295,-0.107365]","[2.68268,2.3765]",128991,-1.24245,2,"[163186,29405.9]","[1.69712,0.513385]","[1.86375,-2.60715]","[460555,33475.4]","[0.999738,1]","[0,4]","[0,0]","[-0.809943,-0.906599]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[349.204,223.34]",9138.23,"[10133.2,2738.95]","[]","[]","[]"
16,284500,1673788,364191,1,93.8086,5.18436e+06,1.26459,0.9523,0.983783,1,1,0.963207,1,1,1,0,0,2,"[0,0]","[1,0]","[37886.2,7781.51]","[1.57976,1.77871]","[-0.0219737,-1.18296]","[95849,23699.2]","[-0.0759888,-0.0107307]","[1,-1]","[11,13]","[0,1]","[0,1460.85]","[3423.71,2439.2]","[-0.0647304,-0.00166968]","[6.07664,0.0821524]",70726.8,-0.108544,1,"[109402]","[0.952985]","[2.9445]","[163547]","[0.972459]","[4]","[0]","[-0.764466]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[87.2781,17.3898]",255.188,"[1296.68]","[]","[]","[]"
17,284500,1708737,364191,1,93.8086,5.18436e+06,1.24168,0.986307,1,1,1,0.961968,0.99544,1,1,0,0,2,"[0,0]","[1,0]","[84632.6,7067.19]","[1.19794,0.608867]","[-1.53462,3.02089]","[152978,8418.14]","[0.0331726,0.0194244]","[1,-1]","[11,11]","[1,1]","[1413.24,5424.55]","[1554.63,1498.82]","[0.0633405,0.00228135]","[4.84688,0.134029]",40468.9,-1.15483,2,"[122997,25540.8]","[1.6729,1.85073]","[1.55032,-0.969003]","[339377,83407.2]","[0.967684,0.959891]","[4,0]","[0,0]","[-0.884391,-0.495176]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[293.745,86.8052]",7595.73,"[7408.37,1974.96]","[]","[]","[]"
21,284500,379905,364191,1,93.8086,5.18436e+06,0.553627,0.964095,1,1,1,0.944298,0.97731,1,1,0,0,2,"[0,0]","[1,0]","[29676.3,9285.59]","[0.957194,0.354837]","[-2.87766,-1.83228]","[44341.5,9876.32]","[0.0120348,57.4933]","[1,-1]","[11,11]","[1,1]","[0,0]","[595.962,4016.49]","[0.0144917,1.06625]","[1.30964,25.0537]",43312.5,-2.85652,3,"[57747.6,46112,29637.3]","[1.2254,0.00866333,1.69076]","[-0.713645,1.39812,0.773247]","[107439,46644.7,83262.4]","[1,1,0.934529]","[0,4,4]","[0,0,0]","[-0.89773,0.819299,-0.833961]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[182.603,62.5886]",3950.18,"[4979.83,2657.28,1263.03]","[]","[]","[]"
