event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,1948,364196,1.41285,14.6034,5.38908e+06,1.55465,0.915574,1,1,1,1.04733,0.9244,1,1,0,0,2,"[0,0]","[1,0]","[48574.2,13478.6]","[1.22116,1.17365]","[1.37083,-1.02687]","[89522.1,23877.4]","[-0.029274,-0.530106]","[1,1]","[11,11]","[1,1]","[0,2405.95]","[-932.691,4011.62]","[-0.0396241,-0.0475443]","[3.09115,1.80775]",107651,1.1132,4,"[409693,352355,126969,38983.2]","[1.92858,-0.492896,0.558279,-0.811144]","[-0.380059,3.04183,3.12213,-0.284672]","[1.43921e+06,398381,147632,53065.9]","[0.991215,0.989917,0.988963,0.989976]","[0,0,0,5]","[0,0,0,0]","[-0.86379,-0.666024,-0.896918,0.999041]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[820.862,168.198]",23.2109,"[25049,3813.05,4105.71,1195.35]","[]","[]","[]"
5,284500,264671,364196,1,14.6034,5.38908e+06,1.1961,0.96199,0.988073,1,1,0.994343,1.01924,1,0,1,0,2,"[0,0]","[1,0]","[181942,10556.4]","[-1.85135,1.07747]","[1.17729,-2.30298]","[593624,17300.4]","[-0.229851,-0.0728149]","[1,1]","[13,11]","[1,1]","[0,2189.37]","[-343.748,5740.21]","[-0.0446817,0.061952]","[8.18347,3.21453]",37480,0.993534,7,"[202681,176749,67002.6,44278.9,39831,28806.3,20528.2]","[-0.84967,0.15985,0.702524,0.0452027,-0.48642,2.4282,-0.670236]","[-2.84895,-0.878937,-0.209197,-2.96037,2.28325,-0.601784,2.9518]","[283189,180009,84901.4,44962.4,45268,164664,25569.1]","[0.999967,1,0.993665,0.997027,0.990505,0.996288,0.984706]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.472744,-0.444172,-0.689105,-0.899837,-0.931486,-0.288714,-0.771325]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10763.9,99.8624]",5980.98,"[3205.59,9688.72,2792.9,6118.11,3362.13,4577.4,1240.17]","[]","[]","[]"
6,284500,266728,364196,1,14.6034,5.38908e+06,1.26205,0.96484,0.996682,1,1,0.996329,0.895575,1,0,1,0,2,"[0,0]","[1,0]","[53139.7,39764.4]","[0.812924,1.03138]","[1.68309,1.79991]","[71686.9,62856.8]","[-0.00836919,0.0702595]","[1,-1]","[13,11]","[1,1]","[39065.7,51910]","[-1045.75,-2074.42]","[0.00854397,0.0350937]","[1.21973,1.92502]",551911,1.88531,3,"[549277,50425.8,45618.8]","[-0.184831,-1.29393,-0.339298]","[-1.28842,-1.07997,-0.633318]","[560430,99100.7,48586.1]","[0.99764,0.998532,0.989679]","[0,0,0]","[0,0,0]","[-0.781816,-0.485178,-0.883455]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[124.051,258.447]",4295.44,"[10899.9,2760.53,5224.29]","[]","[]","[]"
9,284500,286172,364196,1,14.6034,5.38908e+06,1.25133,1,0.98989,1,1,0.993814,0.947565,1,0,1,0,2,"[0,0]","[1,0]","[25599.4,7168.45]","[1.64195,-0.655159]","[1.31461,-0.712595]","[68591.6,8762.74]","[-0.0149918,0.0187683]","[-1,-1]","[13,11]","[1,0]","[0,2550.9]","[-338.328,760.195]","[-0.199972,0.0204799]","[18.085,0.819344]",55899.1,2.23011,5,"[221430,64010.3,54191.5,26277.9,23787.5]","[1.18181,-1.54303,-2.38615,1.32027,-2.04603]","[-0.542883,-1.00667,1.22385,-1.69554,-1.22815]","[395010,156710,297205,52903.4,93664.3]","[0.997362,0.991699,0.995089,1,0.994404]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.660335,-0.926089,-0.89855,-0.664131,-0.239857]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[270.027,143.169]",2534.72,"[3277.16,2233.62,4560.87,5027.27,3002.24]","[]","[]","[]"
12,284500,4347,364196,1,14.6034,5.38908e+06,1.1961,1,0.997936,1,1,1.01601,0.99077,1,0,1,0,2,"[0,0]","[0,1]","[47453.2,44901.4]","[0.0943793,1.96506]","[2.07715,0.226607]","[47664.8,163340]","[113.644,-0.146042]","[-1,1]","[13,13]","[0,1]","[0,0]","[-1108.11,-384.282]","[-6.10125,0.0348019]","[148.898,3.15114]",93317.1,-1.35815,3,"[206508,180610,32260.9]","[1.86721,1.89271,0.561386]","[-2.8143,0.832691,-1.00459]","[684306,613166,38150.2]","[0.99627,0.992177,0.990522]","[5,0,0]","[0,0,0]","[-0.628161,-0.774607,-0.0669366]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[113.487,359.572]",16.3984,"[2348.44,5024.19,3049.99]","[]","[]","[]"
13,284500,264218,364196,1,14.6034,5.38908e+06,1.32095,1,0.997514,1,1,0.996386,0.996049,1,0,1,0,2,"[0,0]","[1,0]","[40687.7,12700]","[-2.22155,0.85551]","[0.379472,-1.78131]","[189808,17638]","[0.0331707,0.0264645]","[-1,1]","[13,11]","[1,0]","[0,16382.5]","[-621.647,761.497]","[-0.0129028,-0.0663297]","[1.26052,2.77918]",56375.5,-1.05156,4,"[252699,120473,114366,21540]","[2.42891,0.881746,-0.570087,0.419918]","[3.01254,0.136047,0.51066,-2.15794]","[1.44488e+06,171628,133929,23749.5]","[0.994742,0.989584,0.996763,0.996447]","[0,0,0,0]","[0,0,0,0]","[0.00475024,-0.88374,-0.932784,-0.912133]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[570.363,64.7104]",10179.6,"[6370.25,7437.36,13159,4561.57]","[]","[]","[]"
14,284500,267987,364196,1,14.6034,5.38908e+06,1.26205,0.97749,1,1,1,0.998523,1,1,1,0,0,2,"[0,0]","[1,1]","[431478,79510.4]","[0.292299,0.7568]","[0.648642,-2.38433]","[450043,103388]","[-0.0491333,-0.130112]","[-1,1]","[11,11]","[0,1]","[2072.52,0]","[12332.7,1229.33]","[0.000939583,-0.0405973]","[0.0864104,2.83145]",416934,-2.36726,2,"[56039.6,20369]","[1.67765,-0.825845]","[2.07244,0.609434]","[155453,28058.1]","[0.999465,0.997295]","[0,0]","[0,0]","[-0.870076,-0.304246]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3253.6,210.41]",377.969,"[4894.88,1501.73]","[]","[]","[]"
17,284500,17868,364196,1,14.6034,5.38908e+06,0.923924,1,0.997676,1,1,0.956323,1,1,1,0,0,2,"[0,0]","[1,0]","[186967,83926.3]","[-1.65176,2.30323]","[2.27833,2.52354]","[505547,424097]","[-0.0952044,0.104278]","[1,-1]","[11,13]","[0,1]","[1082.25,0]","[9214.14,-238.866]","[0.0228163,0.0763165]","[1.71176,10.2765]",17582,-2.7945,3,"[256221,50490.3,21509.6]","[-0.00172114,0.364084,-0.69805]","[-0.894707,0.794645,-1.11409]","[256737,54406.4,27237.8]","[0.993636,0.985492,0.992898]","[4,0,0]","[0,0,0]","[-0.960687,-0.933748,-0.0790042]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4588.42,2204.36]",3110.11,"[9806.15,2026.98,1613.9]","[]","[]","[]"
18,284500,808237,364196,1,14.6034,5.38908e+06,1.25133,0.96304,0.987935,1,1,0.834964,0.9991,1,1,0,0,2,"[0,0]","[1,0]","[47069.7,8797.35]","[-1.52116,-1.59502]","[-2.15526,-0.0132232]","[112872,22571.4]","[0.0582733,0.208649]","[1,1]","[11,13]","[1,1]","[0,1404.05]","[1234.11,2528.48]","[-0.046014,0.0553178]","[2.51137,2.83958]",26752.2,3.12395,4,"[173668,158521,71370.7,50944.2]","[-1.12831,-1.14105,-1.06307,2.22155]","[0.366736,2.25177,-1.7246,-1.34145]","[297200,273936,115933,237680]","[0.998666,0.998884,0.999658,0.99468]","[4,0,5,0]","[0,0,0,0]","[-0.910799,-0.856635,-0.491671,-0.661237]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[271.092,71.0665]",1364.55,"[1743.98,5500.7,2244.18,7404.33]","[]","[]","[]"
23,284500,1478759,364196,-1,14.6034,5.38908e+06,1.21412,1,0.98491,1,1,0.950136,1.01112,1,0,1,0,2,"[0,0]","[1,0]","[382063,7522.97]","[-1.82137,-0.6401]","[-3.1216,-0.404392]","[1.21154e+06,9117.5]","[-0.296759,-71.8474]","[1,-1]","[13,11]","[1,0]","[0,2328.88]","[-639.236,1723.97]","[0.0594756,-0.0207801]","[4.19418,1.01758]",425181,3.03299,4,"[664635,138347,45370.5,37015.7]","[-0.136575,0.0192332,0.19659,-0.319111]","[-0.23647,1.09799,0.305991,0.263516]","[680815,139424,46857.6,39129.7]","[0.992484,0.994146,0.993306,0.992719]","[4,0,0,0]","[0,0,0,0]","[-0.776,-0.923817,-0.646687,-0.924923]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2492.76,78.3596]",15710.2,"[10258.6,2140.16,4489.07,5836.43]","[]","[]","[]"
