event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,56443,370118,1,0.057002,101591,1.1961,0.932065,1,1,1,0.996481,1.00632,1,1,0,0,2,"[1,0]","[1,0]","[110094,20991.4]","[0.486523,0.908049]","[-2.2325,-2.64165]","[123383,30256.9]","[-0.058526,-0.146709]","[-1,1]","[11,11]","[1,1]","[0,0]","[1256.68,1272.82]","[0.0067317,0.207062]","[0.619931,18.16]",217822,2.12364,9,"[251525,132258,111100,85915.6,57026.7,54814.8,49450.8,46957.4,44235.3]","[0.381577,0.953628,0.548359,1.48887,1.57674,1.45552,-0.232792,1.55074,1.02328]","[-1.21038,1.22704,0.575773,2.08366,-0.801771,-2.75681,1.68043,-1.44752,-0.961715]","[270803,197716,128453,200308,144144,124194,51201.7,115887,69741.3]","[1,1,0.993056,0.995505,0.986289,0.98,0.994787,0.994545,0.989755]","[0,5,0,5,5,0,5,0,0]","[0,0,0,1,1,0,1,0,0]","[-0.944788,0.972932,-0.909497,0.723922,0.981693,-0.563032,0.997359,-0.904865,-0.939891]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[618.101,93.615]",6760.03,"[2740.02,9892.49,2315.17,9300.22,1322.07,3476.02,2751.48,2452.04,5831.28]","[]","[]","[]"
12,284500,56623,370118,1,0.057002,101591,1.22586,0.97097,0.999615,1,1,0.996248,0.99468,1,1,1,0,2,"[1,1]","[1,1]","[111939,38139.7]","[-1.18631,0.554777]","[-1.6246,1.35405]","[200389,44161]","[0.0100889,-0.0100462]","[1,1]","[13,11]","[1,1]","[1883.41,5842.09]","[1706.92,-18.5967]","[0.0155326,-0.011639]","[2.7624,1.32025]",117088,-1.71404,7,"[382690,237009,175911,93610.6,42775.6,35850,24287.6]","[0.113772,-1.57637,-0.102321,-0.397538,0.61635,-0.682215,-1.04364]","[1.44418,-1.94565,0.790273,-1.41903,-2.39031,-2.54319,1.9887]","[387836,598345,176908,101738,51650.1,44792.4,38945]","[1,1,0.991571,0.994565,0.987425,0.991709,0.994468]","[5,5,5,0,5,4,0]","[1,1,1,0,1,1,0]","[0.926721,0.998533,0.774156,-0.857325,0.999922,0.319354,-0.131713]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5535.32,142.947]",2441.52,"[4578.18,2489.66,2549.12,3090.65,3549.38,3393.78,4862.12]","[]","[]","[]"
13,284500,56896,370118,1,0.057002,101591,1.1961,0.957002,1,1,1,1.02502,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[141080,41169.9]","[-0.60841,0.0950973]","[-2.50578,2.20694]","[168007,41356.2]","[-0.044487,0.102764]","[1,-1]","[11,11]","[1,1]","[0,2288.21]","[-2208.43,-852.431]","[0.0252218,-0.021989]","[3.63335,2.71747]",557647,1.38968,5,"[322108,186836,120951,119466,39471.7]","[-1.29347,-0.794336,-1.21387,-1.10391,-0.895571]","[-1.53408,-1.34253,0.850396,-2.07203,2.75695]","[632830,249683,221737,200150,56803.4]","[0.995403,0.999696,0.999141,0.999363,0.999282]","[5,5,5,0,5]","[1,1,1,0,1]","[0.61823,0.929324,0.999203,-0.766099,0.492554]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[597.212,62.8037]",14400.5,"[8610.99,2089.42,4961.56,9806.14,3048.39]","[]","[]","[]"
16,284500,55604,370118,1,0.057002,101591,1.1961,1,0.992419,1,1,0.967459,0.968219,1,0,1,0,2,"[1,1]","[1,1]","[171590,91233.3]","[-0.195817,-1.58443]","[-2.70994,0.979388]","[174891,231805]","[-0.00448227,0.0159893]","[1,-1]","[13,13]","[1,1]","[0,0]","[-1092.91,-264.73]","[0.0115724,-0.00180355]","[2.20886,0.306771]",117916,-0.561926,4,"[200569,188884,84194.4,63316.1]","[0.156734,-1.53541,-0.546719,-0.840601]","[1.13149,-2.19845,0.761623,-2.17487]","[203693,459029,97474.3,87508.4]","[0.962876,1,0.99882,0.999972]","[5,0,0,0]","[1,0,0,0]","[0.99991,-0.885304,-0.944705,-0.900124]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3557.28,3408.59]",2773.59,"[6742.23,10398.3,3611.28,6917]","[]","[]","[]"
17,284500,56168,370118,1,0.057002,101591,1.22586,0.958828,1,1,1,1.04464,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[82570.1,59662.6]","[-0.805479,0.273159]","[0.243409,0.156552]","[110836,61902.3]","[-0.0471535,0.082737]","[1,-1]","[11,11]","[1,0]","[1787.83,6621.65]","[-1814.51,214.631]","[0.0202687,0.0397984]","[2.17636,1.99849]",303879,1.89921,9,"[256936,165473,90116.4,85541.8,81169.1,76823.8,37769.7,27628.6,20185.6]","[0.077137,-0.415718,-0.831282,0.0429659,0.31481,0.526084,-1.52643,-1.01865,0.654878]","[-0.756565,3.06854,-1.45474,-2.65602,-0.266422,2.69886,-1.07406,-2.2713,2.03833]","[259110,180181,123626,85908,85726.6,88135.1,91066.7,43667.3,25156.4]","[0.998229,0.921727,1,0.989298,0.991296,0.992832,0.895061,1,0.94092]","[0,0,5,0,0,5,0,0,0]","[0,0,1,0,0,1,0,0,0]","[-0.92116,-0.936024,0.999977,-0.942499,-0.793423,0.999571,-0.783696,0.548077,-0.764076]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[446.601,649.867]",5452.34,"[2899.2,4960.24,1688.65,2945.83,5012.29,4635.8,5248.17,2181.64,1129.84]","[]","[]","[]"
24,284500,57309,370118,1,0.057002,101591,1.25133,1,0.995851,1,1,1.05476,0.778754,1,0,1,0,2,"[1,0]","[1,0]","[61516.8,9681.67]","[0.698208,1.59386]","[2.2098,-0.119664]","[77130.6,24813.5]","[0.0104523,-0.130711]","[1,-1]","[13,11]","[1,0]","[0,7403.03]","[69.1089,1217.94]","[-0.00688038,0.179004]","[1.15661,9.15957]",274510,-2.99398,7,"[225512,121758,82354.1,67343.2,56959.3,55091.9,42742.4]","[0.514587,0.179293,2.12642,1.78595,-0.512506,0.761695,1.29861]","[-0.648942,1.50858,1.6783,0.623305,-0.813233,-1.55643,-0.68403]","[256906,124600,350327,206616,65336.9,72072.5,84310]","[0.996339,0.996268,0.948063,0.988023,0.986375,0.984674,0.998032]","[5,5,5,0,4,0,0]","[1,1,1,0,1,0,0]","[0.513325,0.995979,-0.78465,-0.777805,0.716306,-0.950469,-0.855716]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[151.742,433.903]",6318.41,"[3858.95,6774.22,2669.54,6185.48,2982.14,2270.95,5817.22]","[]","[]","[]"
30,284500,58992,370118,1,0.057002,101591,0.696077,0.95205,0.993737,1,1,1.14983,0.875311,1,0,1,0,2,"[1,0]","[1,0]","[133428,7174.13]","[-0.420268,-2.0755]","[-2.99068,-1.43502]","[145386,29033.9]","[-0.00800323,-0.973333]","[-1,-1]","[13,11]","[1,1]","[0,3556.54]","[85.2476,3127.19]","[0.00197342,-0.0329898]","[0.324856,0.830818]",246926,-3.10891,9,"[162323,120398,80721.7,60556.3,50677,49502.9,42587.6,36779.1,29162.8]","[-0.553832,0.672181,0.402325,-0.181994,-1.20562,0.830299,-0.341725,-1.34708,-2.13512]","[0.285082,-0.476745,1.31537,-0.252596,1.10981,-2.78055,-1.33983,2.72301,1.58073]","[190010,150083,88420.5,62913.6,92329.6,67994.4,45859.1,75750.1,125168]","[0.995257,0.999525,1,0.992825,1,0.997216,0.999632,0.990284,0.991188]","[4,0,5,0,4,5,0,0,0]","[1,0,1,0,1,1,0,0,0]","[0.84535,-0.944784,0.84971,-0.660495,0.510467,0.999828,-0.836298,-0.842808,-0.609064]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3506.88,212.955]",37613.7,"[4016.73,7958.15,3367.19,1839.12,1270.69,2167.39,2005,2677.34,2776.76]","[]","[]","[]"
31,284500,58146,370118,1,0.057002,101591,0.696077,0.953764,1,1,1,0.970107,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[116298,37591.1]","[0.298465,-0.226915]","[2.02498,-1.5454]","[121517,38563.1]","[-0.00241852,-0.0434113]","[1,1]","[11,11]","[1,1]","[0,0]","[-168.183,2402.5]","[-0.00848572,0.000390035]","[0.683685,0.0327519]",293921,-1.4683,9,"[69896.7,57595.4,56720.4,55709.9,41095.9,40597.5,29302.4,25230.6,25012.6]","[0.674308,-1.4945,-0.525935,1.62551,0.0892541,-0.0652241,0.0208975,-1.2351,1.49464]","[2.77858,1.99589,-0.205485,2.22266,0.0547021,-1.05453,-3.06657,-0.702681,1.82241]","[87185.7,135014,65869.5,147435,42325.8,41197.4,29741.8,47467.9,58758.1]","[0.995177,0.993228,0.996124,0.995728,0.990681,0.986998,0.973497,0.601767,0.98573]","[5,0,0,5,5,0,0,0,0]","[1,0,0,1,1,0,0,0,0]","[-0.264084,-0.912607,-0.790169,0.931417,0.866597,-0.903615,-0.769439,-0.766151,-0.00449399]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1146.79,113.033]",6854.03,"[3817.16,6223.32,2220.71,2441.61,5487.9,2026.56,4453.09,2596.06,5150.44]","[]","[]","[]"
32,284500,58821,370118,1,0.057002,101591,0.696077,1,0.974377,1,1,0.979657,0.982864,1,0,1,0,2,"[1,1]","[1,1]","[103818,68608.8]","[0.334568,-1.83188]","[-1.66222,0.49535]","[109683,219745]","[0.0259838,-0.090148]","[-1,1]","[13,13]","[1,1]","[1482.42,0]","[-373.445,2345.34]","[-0.0197755,0.00928112]","[3.96324,1.22204]",260847,-2.89354,5,"[125377,100732,83110.6,35766.4,20735.7]","[-1.72971,0.00502819,-0.516658,-0.752584,0.368626]","[0.0973338,1.57514,0.66407,-0.826805,2.84688]","[364789,101052,94786.7,47203.1,22708]","[0.995337,0.993808,0.999077,0.998004,0.98025]","[0,5,0,0,5]","[0,1,0,0,1]","[-0.898157,0.99992,-0.930795,-0.294696,0.994849]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4346.65,1393.25]",12422.4,"[5488.02,1202.46,1898.51,3280.61,839.372]","[]","[]","[]"
39,284500,57527,370118,1,0.057002,101591,1.21412,0.97332,0.998223,1,1,1.0423,0.98683,1,1,0,0,2,"[1,0]","[1,0]","[79720.2,16114.8]","[-0.826718,-2.19146]","[-1.23477,1.77697]","[108550,72999.8]","[-0.0140839,0.142471]","[1,1]","[11,13]","[1,1]","[0,0]","[-2455.9,2360.07]","[0.0197272,0.000126928]","[1.64219,0.00878218]",161057,0.522374,7,"[113506,100029,68155.5,48479.4,46053.9,21747.1,21107.9]","[-1.08376,0.381453,-0.995075,1.23362,0.872188,1.39423,-0.417609]","[1.05256,2.27689,-3.01534,-2.73422,-1.47865,-1.1076,-3.02807]","[187749,107726,105502,90606.3,65126.5,46794.8,23383]","[1,0.966932,0.999779,1,0.970484,1,0.925769]","[5,0,0,5,0,0,0]","[1,0,0,1,0,0,0]","[0.998729,-0.949751,-0.917081,0.883754,-0.922547,-0.838726,-0.870837]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[416.266,123.059]",987.328,"[2627.32,3966.32,3877.71,1734.74,2739.52,5919.23,1428.92]","[]","[]","[]"
