event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,608,392308,1,0.218912,10414.1,0.619412,0.935852,1,1,1,0.999835,1,1,1,0,0,2,"[1,1]","[1,1]","[69949.8,31446.8]","[-2.27227,-0.505225]","[-0.247006,-0.317161]","[342911,35546.3]","[0.0295954,-0.052914]","[1,-1]","[11,11]","[0,1]","[0,0]","[435.226,-362.903]","[-0.00550356,0.0197741]","[0.134433,2.5642]",66570.6,2.23516,2,"[75492.6,38974.8]","[-2.24636,0.278773]","[2.9896,-0.923582]","[360894,41594.7]","[0.997111,0.973762]","[0,0]","[0,0]","[0.174326,-0.931283]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[409.054,204.58]",1999.45,"[2434.46,2986.36]","[]","[]","[]"
3,284500,850,392308,1.06125,0.218912,10414.1,0.738662,0.935132,1,1,1,0.996658,1.00058,1,1,0,0,2,"[1,1]","[1,1]","[59415.4,37872.8]","[-1.68146,-0.410475]","[1.78271,-2.96756]","[165159,41108.4]","[0.00555038,0.0781136]","[-1,1]","[11,11]","[1,1]","[0,0]","[-1159.16,120.932]","[0.0229567,0.00597429]","[2.05358,0.748711]",138058,1.58526,3,"[167368,35346.7,21131.4]","[-0.383752,-2.03999,2.34411]","[-1.01662,-2.21867,-2.50105]","[180109,138342,111201]","[0.991752,0.989117,0.913964]","[0,0,0]","[0,0,0]","[-0.9443,-0.857982,-0.680301]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[378.272,181.973]",5161.33,"[4915.67,2267.09,1592.42]","[]","[]","[]"
8,284500,1663,392308,1,0.218912,10414.1,1.55465,1,0.984379,1,1,0.999408,0.9715,1,0,1,0,2,"[1,1]","[1,0]","[70307.3,32470.3]","[0.490568,0.182298]","[2.68519,-1.03799]","[78938.4,33011.5]","[0.0476074,-0.0509567]","[1,-1]","[13,13]","[1,1]","[0,0]","[450.464,1334.28]","[-0.0030392,-0.0175062]","[0.454987,1.91143]",63942.3,-2.4469,2,"[86553.4,21639.6]","[0.833613,-1.04649]","[0.346534,0.460163]","[118657,34765.5]","[0.997963,0.99645]","[0,0]","[0,0]","[-0.929429,-0.865819]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[205.233,124.149]",3478.08,"[2126.66,3608.11]","[]","[]","[]"
9,284500,1726,392308,1,0.218912,10414.1,1.24168,1,0.986984,1,1,0.996846,1.12148,1,0,1,0,2,"[1,1]","[1,0]","[73794.2,28758.2]","[-0.966722,-0.598403]","[-0.311218,-2.82592]","[111047,34062.8]","[-0.00896454,-0.0185242]","[1,-1]","[13,13]","[1,1]","[0,0]","[-538.492,1540.23]","[-0.0380841,0.0329626]","[6.59888,3.53028]",59732.4,-2.95934,1,"[38339.5]","[-1.52039]","[0.793756]","[92267.7]","[0.985791]","[4]","[1]","[-0.57457]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[113.834,130.812]",2370.17,"[1990.99]","[]","[]","[]"
12,284500,1878,392308,1,0.218912,10414.1,1.24168,0.99242,1,1,1,0.999217,0.99765,1,1,0,0,2,"[0,0]","[1,0]","[166132,74191.6]","[0.729227,1.30051]","[0.441096,-0.0684608]","[212296,146290]","[0.0322326,0.217091]","[-1,-1]","[11,11]","[1,0]","[0,0]","[874.695,1356.8]","[0.0116798,0.110728]","[1.03629,7.09184]",127742,-2.10144,3,"[79625.8,71999.4,44850.2]","[0.784344,0.238543,2.12563]","[2.75655,-2.73896,1.93865]","[105884,74120,190810]","[0.998027,0.99981,0.860125]","[0,0,0]","[0,0,0]","[-0.909622,-0.870388,-0.556131]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1002.67,311.604]",3576.55,"[2491.54,9726.55,7176.62]","[]","[]","[]"
13,284500,693,392308,1.19689,0.218912,10414.1,0.738662,0.908166,1,1,1,1.00789,0.98683,1,1,0,0,2,"[1,1]","[1,0]","[61335.7,31517.9]","[-0.875873,-1.15467]","[-0.973132,2.7805]","[86405.7,54969.5]","[0.017662,0.0188713]","[1,-1]","[11,11]","[1,0]","[0,1258.98]","[-292.106,2386.92]","[-0.0630583,-0.00737045]","[2.59557,0.828336]",140453,1.54039,4,"[85281.6,55708,35459.7,25114.9]","[1.73016,0.138336,-1.39161,0.267705]","[-1.48459,1.19526,-1.9589,-2.06]","[248330,56741.6,75882.7,26575.1]","[0.980857,0.747374,0.992098,0.993348]","[0,0,0,4]","[0,0,0,1]","[-0.663665,-0.870304,-0.918333,-0.866797]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[159.463,290.259]",12868.7,"[4532.14,2411.83,6804.35,2209.12]","[]","[]","[]"
16,284500,859,392308,1.08846,0.218912,10414.1,0.738662,0.908441,1,1,1,0.998846,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[115946,19969.3]","[0.425645,-0.416299]","[-1.31053,0.69094]","[126609,21724.8]","[0.0669861,-0.090971]","[1,-1]","[11,11]","[1,1]","[0,0]","[-168.526,-892.263]","[-0.00552584,0.00619266]","[0.757543,0.514261]",261733,2.58321,3,"[217756,63720.9,20970.3]","[0.204523,1.14051,1.08781]","[-0.314578,2.505,-0.19665]","[223242,110306,35050.3]","[0.995942,0.995694,0.984347]","[0,0,0]","[0,0,0]","[0.603433,0.208108,-0.814554]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1459,46.8409]",1075.44,"[3259.92,3971.66,1193.15]","[]","[]","[]"
17,284500,1034,392308,1,0.218912,10414.1,0.506784,0.95812,1,1,1,0.999135,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[92346.3,52079.6]","[1.04595,1.61519]","[-0.644474,0.538151]","[147637,136129]","[0.0220032,0.0171413]","[-1,1]","[11,11]","[1,1]","[0,0]","[-54.35,2207.42]","[-0.00890211,-0.00719984]","[0.892846,0.541013]",91869.3,0.939525,2,"[132107,32852.5]","[1.07484,0.504013]","[-3.1343,-2.24416]","[216115,37329.3]","[1,0.991324]","[0,0]","[0,0]","[-0.939151,-0.546892]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1051.79,223.809]",11385.3,"[15784.5,2018.53]","[]","[]","[]"
23,284500,1577,392308,1,0.218912,10414.1,1.55465,0.903546,1,1,1,1.00175,0.98854,1,1,0,0,2,"[1,1]","[1,1]","[43217.9,28254.1]","[-0.30931,1.24943]","[-0.025139,2.49583]","[45301.8,53329.8]","[0.0294905,0.0165033]","[-1,1]","[11,11]","[1,1]","[0,1201.92]","[299.612,-275.221]","[-0.000350678,-0.0104968]","[0.0416445,0.696133]",55317.4,2.3537,2,"[54114.6,35020.9]","[1.80736,0.779856]","[-0.678936,-2.74773]","[169574,46401.4]","[0.989403,0.999882]","[0,4]","[0,1]","[-0.959336,0.840278]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[74.2938,189.673]",5345.99,"[2406.56,1256.28]","[]","[]","[]"
25,284500,1694,392308,1,0.218912,10414.1,1.24168,1,0.983781,1,1,0.999408,0.78724,1,0,1,0,2,"[1,1]","[1,1]","[100514,33066.6]","[0.378918,1.61423]","[0.43994,-0.322795]","[107816,86354]","[0.000281334,-0.052949]","[1,-1]","[13,13]","[1,1]","[0,0]","[319.933,-190.345]","[-0.0212,0.00134567]","[3.99262,0.134794]",62649.9,0.297328,4,"[78729.1,65151.6,52211.7,20266.9]","[-0.904519,1.46293,-0.859722,-0.994119]","[-2.72103,2.68126,-2.09344,-3.13357]","[114080,148340,73121.9,31164.3]","[0.995926,0.990309,0.991242,0.89]","[0,0,0,0]","[0,0,0,0]","[-0.947767,-0.93598,-0.60732,-0.929113]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[807.4,247.201]",3527.72,"[2999.89,2417.6,4979.85,2787.53]","[]","[]","[]"
