event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,62,392354,1,0.0110982,5130.17,0,1,0.98578,1,1,0.986791,0.839747,1,0,1,0,2,"[1,1]","[1,0]","[122137,14052.8]","[-0.749027,-1.84196]","[1.23859,-2.44801]","[158032,45442.4]","[-0.0891571,0.0960464]","[-1,1]","[13,13]","[1,1]","[0,0]","[2928.77,-378.247]","[0.018858,-0.0118574]","[3.6038,0.678941]",628965,-2.78846,2,"[516823,24911.1]","[0.907268,-0.319398]","[0.215032,-0.101224]","[748692,26647.6]","[0.996064,0.818278]","[4,0]","[1,0]","[-0.907494,-0.474138]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4120.33,33.3904]",37423.4,"[13484.5,1817.39]","[]","[]","[]"
1,284500,91,392354,1,0.0110982,5130.17,0,1,0.990269,1,1,1.18141,0.927834,1,0,1,0,2,"[1,1]","[1,1]","[164235,131187]","[-0.852304,-0.404883]","[-2.51683,-2.93072]","[227587,142088]","[-0.00339413,-0.0133305]","[1,-1]","[13,13]","[1,1]","[0,0]","[2109.7,303.355]","[-0.00188192,-0.000145044]","[0.411519,0.031235]",262439,0.557076,2,"[108872,66963]","[-1.61223,-2.39616]","[-0.899201,2.0651]","[284042,370864]","[0.991095,0.984629]","[0,4]","[0,0]","[-0.946788,0.919946]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5538.9,2293.05]",817.969,"[7558.87,3368.91]","[]","[]","[]"
2,284500,115,392354,1,0.0110982,5130.17,0.00292683,1,0.998569,1,1,0.980925,0.829969,1,0,1,0,2,"[1,1]","[1,1]","[375183,37777.3]","[0.729339,0.922271]","[1.67784,0.915835]","[479472,55015.4]","[0.0118999,0.0255365]","[1,-1]","[13,13]","[1,1]","[0,0]","[-1014.77,126.706]","[0.0107397,-0.00154125]","[2.10604,0.196835]",551672,-1.48293,3,"[191279,126776,67602.4]","[1.22104,-0.238149,1.94261]","[1.37203,-2.18038,1.42002]","[352847,130829,240787]","[1,0.986541,0.996747]","[0,0,4]","[0,0,1]","[-0.94241,-0.962029,-0.89935]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[20158.2,87.3984]",1285.31,"[2747.97,9255.58,8127.56]","[]","[]","[]"
4,284500,198,392354,1,0.0110982,5130.17,0.351687,0.96237,1,1,1,0.986248,0.99544,1,1,0,0,2,"[1,1]","[1,1]","[228177,211411]","[1.30387,0.741879]","[-2.08788,-2.55367]","[451221,272307]","[0.00888872,0.0406728]","[1,-1]","[11,11]","[1,1]","[0,0]","[-1197.83,2470.84]","[0.0121752,0.0103846]","[1.2748,1.44865]",654680,-0.931338,1,"[864592]","[0.589536]","[1.67006]","[1.022e+06]","[0.991841]","[4]","[1]","[-0.494661]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2909.43,1560.53]",19256.8,"[26390.9]","[]","[]","[]"
5,284500,222,392354,1,0.0110982,5130.17,0.351687,0.951833,1,1,1,1.10633,0.98743,1,1,0,0,2,"[1,1]","[1,1]","[283095,57156]","[-0.0767615,0.159491]","[1.15049,0.475203]","[283929,57884.5]","[0.00944519,0.0329895]","[-1,1]","[11,11]","[1,1]","[1021.91,0]","[-868.709,46.3818]","[0.00773086,0.0379992]","[1.09319,4.65732]",423253,-3.10354,2,"[342828,28325]","[0.0436104,-0.395239]","[-0.865448,-0.246241]","[344234,30951]","[0.996429,1]","[4,0]","[1,0]","[0.997065,-0.828878]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1617.26,613.305]",1199.31,"[3623.88,3084.87]","[]","[]","[]"
6,284500,266,392354,1,0.0110982,5130.17,0.351687,0.949973,1,1,1,0.988905,1.00936,1,1,0,0,2,"[1,1]","[1,1]","[114101,110479]","[0.124711,0.393387]","[1.05285,0.27448]","[114990,119138]","[0.0404663,-0.00352478]","[-1,1]","[11,11]","[1,1]","[2601.44,0]","[3691.85,3516.71]","[0.00383194,-0.00793063]","[0.467267,0.920235]",404255,3.01125,2,"[236167,70179]","[1.11108,1.15236]","[-0.761203,-0.224718]","[398032,122286]","[1,0.994904]","[4,0]","[1,0]","[-0.493698,-0.977407]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[726.692,1157.21]",15093.4,"[5678.74,11208.8]","[]","[]","[]"
7,284500,291,392354,0.947608,0.0110982,5130.17,0.553627,0.965323,1,1,1,0.967976,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[185284,90558.4]","[-0.82157,-1.00468]","[2.25817,3.03752]","[251413,140239]","[0.0383072,0.049778]","[1,-1]","[11,11]","[1,1]","[0,0]","[-439.453,-13.5554]","[0.00909303,0.0082378]","[1.21306,0.728716]",741550,-1.74449,4,"[759929,100235,64437,25974.1]","[0.506582,0.0516317,-0.0959124,0.929427]","[0.919131,3.12466,-2.2194,0.886318]","[863151,100600,65311.1,38192.1]","[0.999419,0.995982,0.98832,0.955297]","[4,0,4,0]","[0,0,1,0]","[-0.585913,-0.934426,-0.779848,-0.432905]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1621.6,426.636]",3724.06,"[9885.44,2769.81,4799.11,2219.88]","[]","[]","[]"
8,284500,331,392354,1,0.0110982,5130.17,0.553627,0.952945,1,1,1,0.997371,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[127002,90689.2]","[-0.521571,-0.0700511]","[0.811565,0.084393]","[144672,90911.8]","[0.00354004,-0.0663185]","[-1,1]","[11,11]","[1,1]","[0,0]","[1306.95,738.653]","[-0.00733563,0.00414344]","[0.723629,0.376514]",498743,-3.09721,3,"[236232,79818.8,25497.9]","[-1.75162,-1.2654,-1.66946]","[-0.284982,-0.187408,0.699515]","[701679,152906,70318.9]","[0.999861,0.980102,0.930342]","[0,0,0]","[0,0,0]","[-0.87582,-0.720526,-0.761739]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[559.057,652.522]",3766.91,"[4323.41,4732.13,2922.18]","[]","[]","[]"
9,284500,391,392354,1,0.0110982,5130.17,0.553627,0.98697,1,1,1,0.998311,1.00582,1,1,0,0,2,"[1,1]","[1,0]","[224964,60755.3]","[-0.125191,0.168627]","[-0.811291,-1.55176]","[226729,61621.1]","[-0.0906067,-0.0354385]","[-1,1]","[11,11]","[1,0]","[0,0]","[127.605,463.447]","[-0.00690025,-0.0341756]","[1.25406,1.89131]",321249,-0.419153,2,"[498342,75677.8]","[-0.0815202,1.54674]","[2.43625,2.7671]","[507431,185890]","[0.996754,0.994683]","[0,0]","[0,0]","[-0.768047,-0.948377]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5896.72,220.387]",661.188,"[7193.61,3946.7]","[]","[]","[]"
10,284500,428,392354,1,0.0110982,5130.17,0.553627,1,0.998505,1,1,0.999468,0.909352,1,0,1,0,2,"[1,1]","[1,1]","[379789,159214]","[-1.50624,-1.15086]","[1.94697,1.88132]","[898478,276815]","[-0.0175095,-0.0128517]","[-1,1]","[13,13]","[1,1]","[2093.88,0]","[-381.989,-258.332]","[-0.00929857,-0.0117054]","[1.67916,2.21181]",462591,-1.17169,2,"[67261.5,26928.5]","[-2.06249,-0.625735]","[-0.760879,-2.55025]","[269062,32791.7]","[0.95641,0.979738]","[0,0]","[0,0]","[-0.919392,-0.622555]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[56472.2,2622.68]",5557.75,"[6715.92,2083.48]","[]","[]","[]"
