event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
4,284500,414,392517,1,0.00488576,25472.8,0.553627,1,0.992671,1,1,1,1,1,1,1,0,2,"[0,0]","[1,1]","[225967,187016]","[0.299822,-0.780423]","[-1.59601,0.65753]","[236200,246918]","[-0.0238495,-0.019516]","[1,-1]","[13,11]","[1,0]","[0,0]","[-793.436,-1925.01]","[-0.0105013,0.0039238]","[2.11528,0.275444]",221456,2.66135,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[17947.4,1964.34]",22445.9,"[]","[]","[]","[]"
20,284500,1445,392517,1,0.00488576,25472.8,1.74563,0.952623,1,1,1,0.997872,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[305643,77603.6]","[-0.338008,-1.17032]","[1.11178,-2.54554]","[323269,137098]","[0.077794,-0.0249834]","[1,-1]","[11,11]","[1,1]","[0,0]","[-129.344,-569.243]","[-0.0238436,0.0988162]","[2.54351,8.37045]",367911,-1.44116,2,"[135278,26792.6]","[-0.218726,-1.2555]","[2.21083,2.47478]","[138795,50932.6]","[0.993755,0.982903]","[0,0]","[0,0]","[-0.691668,-0.821658]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1912.84,1310.07]",592.719,"[2059.63,5111.4]","[]","[]","[]"
27,284500,1972,392517,1,0.00488576,25472.8,1.26205,0.9823,0.996873,1,1,0.99952,1.00632,1,1,0,0,2,"[0,0]","[1,0]","[106918,50136.2]","[0.177525,2.29707]","[1.82893,1.53801]","[108608,251823]","[-0.0837631,0.0473709]","[-1,1]","[11,13]","[1,1]","[0,1716.48]","[1391.06,411.765]","[-0.0112203,-0.0205393]","[1.59687,2.3274]",181697,-1.58568,1,"[21880.1]","[-0.687589]","[0.248837]","[27458.2]","[0.984454]","[0]","[0]","[-0.78305]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[765.699,813.622]",58.0781,"[1636.35]","[]","[]","[]"
40,284500,942,392517,1,0.00488576,25472.8,0.738662,1.00588,0.999915,1,1,1,1.00306,1,1,1,0,2,"[0,0]","[1,1]","[167319,82240.7]","[1.05161,-1.39815]","[0.263561,0.94131]","[268684,176602]","[-0.00553513,0.0303278]","[1,-1]","[11,13]","[1,1]","[0,0]","[-623.739,-199.601]","[0.00639399,0.00215118]","[0.686381,0.37816]",264391,-2.58627,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1735.63,943.514]",270.969,"[]","[]","[]","[]"
48,284500,1399,392517,1.21544,0.00488576,25472.8,1.08735,0.97663,0.999857,1,1,0.945231,1.00121,1,1,1,0,2,"[0,0]","[1,1]","[147549,121680]","[-1.80298,-1.46996]","[-0.260708,0.0490524]","[459801,278586]","[-0.0639305,-0.00388718]","[-1,1]","[11,13]","[1,1]","[1299.79,0]","[1005.78,-461.087]","[0.0116191,0.0006242]","[1.21573,0.113931]",303394,-2.75583,4,"[72002.9,62277.2,49696.6,27318]","[-0.444749,0.424971,0.474481,-0.147311]","[1.92734,1.70814,-0.123888,1.57643]","[80236.3,68224.2,56248.6,27791.4]","[0.985495,0.99,0.99935,0.998995]","[5,5,0,0]","[0,0,0,0]","[0.999851,0.212269,-0.876759,-0.861188]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2359.08,2728.26]",3484.34,"[10417.7,4800.3,3011.53,2120.48]","[]","[]","[]"
49,284500,1497,392517,1,0.00488576,25472.8,1.74563,0.954291,1,1,1,1,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[172873,54907.3]","[-0.0769293,1.6236]","[-0.574531,0.300647]","[173385,144639]","[0.0586395,-0.0683136]","[1,-1]","[11,11]","[1,1]","[0,0]","[-827.206,142.965]","[0.0416729,0.0205406]","[2.89384,0.548617]",213124,2.79762,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2088.56,214.077]",0,"[]","[]","[]","[]"
57,284500,195,392517,1.34941,0.00488576,25472.8,0.351687,0.957774,1,1,1,1,1.00306,1,1,0,0,2,"[0,0]","[1,1]","[80975.3,72073.9]","[0.771759,2.2859]","[0.227406,-0.67178]","[106311,358069]","[0.000892639,0.14386]","[1,-1]","[11,11]","[1,1]","[0,0]","[2082.69,782.055]","[0.007995,-0.014948]","[1.01592,0.638915]",77082.7,-0.468157,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[575.488,604.917]",2807.47,"[]","[]","[]","[]"
66,284500,976,392517,1,0.00488576,25472.8,0.696077,0.988076,1,1,1,1.00006,1.00306,1,1,0,0,2,"[0,0]","[1,1]","[301143,108454]","[0.868716,0.381035]","[-1.95832,-0.0646672]","[422103,116423]","[0.176369,0.205704]","[1,-1]","[11,11]","[1,1]","[0,1166.93]","[1245.79,-600.95]","[-0.0163714,0.0675308]","[2.04381,3.2679]",344376,1.70107,1,"[63111.3]","[1.00778]","[-1.10787]","[98715.2]","[0.989743]","[0]","[0]","[-0.764956]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3878.11,361.183]",4346.22,"[2892.9]","[]","[]","[]"
68,284500,1044,392517,1,0.00488576,25472.8,0.506784,0.97106,0.994743,1,1,0.999525,0.96201,1,1,1,0,2,"[0,0]","[1,1]","[46666.5,25796.8]","[0.80021,-0.717191]","[-1.46687,-1.01581]","[62422.1,32720.8]","[-0.0477753,0.0252457]","[-1,1]","[11,13]","[1,1]","[0,0]","[-76.9187,-256.361]","[-0.00130738,-0.0304706]","[0.112348,3.11884]",45321.1,1.81312,1,"[21574.9]","[0.606986]","[1.97049]","[25889.5]","[0.981219]","[0]","[0]","[-0.714298]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[81.2598,129.289]",980.883,"[1962.27]","[]","[]","[]"
72,284500,1418,392517,1.18808,0.00488576,25472.8,1.74563,0.967171,1,1,1,0.999357,1.00632,1,1,0,0,2,"[0,0]","[1,1]","[414484,215800]","[0.17929,-0.215242]","[-1.02845,2.46987]","[421163,220818]","[0.063961,0.016571]","[-1,1]","[11,11]","[1,1]","[0,2064.38]","[-17.5782,1153.9]","[0.0172048,-0.0166052]","[2.78736,1.66588]",107294,0.438697,2,"[38901.9,24241.3]","[0.33523,-1.12289]","[1.26074,1.98674]","[41957.8,41449.4]","[0.998238,0.984224]","[0,0]","[0,0]","[-0.716148,-0.511301]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6007.26,1123.5]",2665.52,"[3750.29,2468.91]","[]","[]","[]"
78,284500,1977,392517,1,0.00488576,25472.8,1.26205,0.98536,0.995834,1,1,1,0.9918,1,1,0,0,2,"[0,0]","[1,0]","[143745,18568.5]","[-0.783603,0.729738]","[-1.74114,1.94454]","[190182,23736]","[-0.0251713,-0.0590582]","[1,-1]","[11,13]","[1,1]","[1848.56,1915.38]","[3536.83,-258.421]","[-0.018922,0.00715731]","[2.53847,0.694494]",103082,1.49789,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1011.32,49.0172]",2860.34,"[]","[]","[]","[]"
80,284500,108,392517,1,0.00488576,25472.8,0.00292683,0.97411,1,1,1,1,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[168866,156620]","[-0.469935,-0.454439]","[2.96213,0.661285]","[187857,173073]","[0.0481339,-0.0282364]","[1,-1]","[11,11]","[1,1]","[0,0]","[886.308,-558.288]","[0.018666,0.0264782]","[2.71294,2.18149]",122318,-1.31341,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1967.77,674.705]",19578,"[]","[]","[]","[]"
94,284500,1686,392517,1.17734,0.00488576,25472.8,1.55465,0.951545,1,1,1,0.998414,0.99866,1,1,0,0,2,"[0,0]","[1,1]","[125518,52125.7]","[-0.948057,1.78124]","[2.57153,-0.669464]","[186280,159130]","[-0.0122261,0.00393295]","[-1,1]","[11,11]","[1,1]","[0,2915.87]","[4789.66,946.472]","[0.024513,-0.00939956]","[1.67768,0.778626]",296608,2.30283,3,"[308752,59782.2,53556.6]","[1.63487,1.66908,-1.23755]","[-1.16043,0.136606,0.125438]","[822098,164635,100304]","[0.66643,1,0.989993]","[0,0,0]","[0,0,0]","[-0.666292,-0.819077,-0.894209]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1271.61,209.344]",15965.3,"[4531.29,4122.14,3083.09]","[]","[]","[]"
111,284500,1381,392517,1,0.00488576,25472.8,1.08735,1,0.994293,1,1,1,0.996719,1,0,1,0,2,"[0,0]","[1,0]","[105509,59603.8]","[1.30391,0.535289]","[2.49836,2.18309]","[208652,68349]","[-0.0143051,-0.0108719]","[-1,1]","[13,13]","[1,1]","[0,0]","[968.576,1109.91]","[0.0100121,-0.0105762]","[1.34245,1.6859]",163464,-0.765283,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1544.29,204.483]",0,"[]","[]","[]","[]"
116,284500,1727,392517,1,0.00488576,25472.8,1.24168,0.98089,0.997255,1,1,1,0.99866,1,1,1,0,2,"[0,0]","[1,1]","[203176,65215.7]","[-0.941392,-0.4824]","[1.54037,-1.9173]","[300054,72952.3]","[0.0144424,0.0426111]","[-1,1]","[11,13]","[1,1]","[0,0]","[-58.1877,-896.79]","[0.00510087,-0.00562689]","[0.723452,0.851428]",135649,-1.47587,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1909.52,1526.69]",0,"[]","[]","[]","[]"
118,284500,1841,392517,1,0.00488576,25472.8,1.24168,0.982694,1,1,1,0.998329,0.98743,1,1,0,0,2,"[0,0]","[1,1]","[163105,161530]","[-0.0401322,0.851813]","[2.24349,-2.29719]","[163236,223762]","[-0.0512695,-0.0396461]","[1,-1]","[11,11]","[1,1]","[0,1292.03]","[-685.694,6150.48]","[0.00668514,-0.00606578]","[0.800577,0.574828]",219090,-0.126027,1,"[23431.7]","[2.11481]","[-0.253783]","[98574.6]","[0.99588]","[0]","[0]","[-0.899388]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[867.881,1400.27]",9928.55,"[1681]","[]","[]","[]"
139,284500,305,392517,1,0.00488576,25472.8,0.553627,1.00588,0.990724,1,1,1,1.00306,1,1,0,0,2,"[0,0]","[1,0]","[171379,107399]","[0.811466,0.276966]","[1.22213,-1.22115]","[230969,111545]","[0.032917,0.00134659]","[-1,1]","[11,13]","[1,1]","[0,1023.71]","[211.182,-718.649]","[0.0222952,-0.0182107]","[3.33517,3.38015]",107606,-2.43291,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1454.75,5083.08]",1379.45,"[]","[]","[]","[]"
146,284500,1393,392517,1,0.00488576,25472.8,1.08735,0.9823,0.997041,1,1,0.998749,1.00632,1,1,1,0,2,"[0,0]","[1,1]","[109920,109779]","[0.553978,-0.677427]","[-1.47124,2.2042]","[127223,135947]","[-0.00544548,-0.0432301]","[-1,1]","[11,13]","[1,1]","[0,0]","[634.088,961.732]","[0.0637429,0.00439238]","[2.90369,0.840779]",96133.4,-0.175264,2,"[87790.2,33210]","[1.40314,-2.44432]","[2.14487,-0.602969]","[189687,192816]","[0.99918,0.973349]","[0,0]","[0,0]","[-0.72749,-0.478488]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[443.872,3000.14]",1658.59,"[2263.64,3227.56]","[]","[]","[]"
153,284500,1855,392517,1.11737,0.00488576,25472.8,1.24168,0.96199,0.99323,1,1,0.999551,0.818599,1,0,1,0,2,"[0,0]","[1,0]","[69733.9,13533.2]","[0.22346,-0.931514]","[1.34123,-1.00244]","[71482.3,19841.8]","[0.125933,0.0149193]","[1,-1]","[13,11]","[0,1]","[0,0]","[2545.87,61.2286]","[0.0168726,-0.00860884]","[2.21262,0.689772]",146580,2.58302,2,"[151235,38837.9]","[-1.39059,-0.673049]","[-0.740211,-2.02524]","[322853,48387.7]","[0.995099,1]","[0,0]","[0,0]","[-0.936952,-0.711276]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1636.92,80.6116]",6367.42,"[6390.67,5521.87]","[]","[]","[]"
158,284500,258,392517,1,0.00488576,25472.8,0.351687,0.99093,0.99786,1,1,1,1.00306,1,1,1,0,2,"[0,0]","[1,1]","[81012.2,77973.2]","[1.11574,1.20221]","[1.8416,-0.995188]","[136890,141443]","[0.0313492,-0.039978]","[-1,1]","[11,13]","[1,1]","[0,0]","[-1301.06,2300.99]","[-0.0139827,-0.00139444]","[1.72465,0.215073]",27161.8,-2.82762,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[337.61,1771.18]",0,"[]","[]","[]","[]"
170,284500,1436,392517,1,0.00488576,25472.8,1.74563,0.97062,0.995066,1,1,1,0.98871,1,1,1,0,2,"[0,0]","[1,1]","[73366.6,72866.1]","[-0.521356,-0.624978]","[0.299252,-0.189105]","[83565.5,87566.1]","[0.0614967,-0.0347939]","[1,-1]","[13,11]","[1,1]","[1493.99,0]","[-319.05,-785.557]","[-0.00131214,0.00512535]","[0.186212,0.63731]",144711,-3.10343,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[113.854,244.184]",0,"[]","[]","[]","[]"
174,284500,1999,392517,1,0.00488576,25472.8,1.26205,1.01179,1,1,1,0.999256,1.00306,1,1,0,0,2,"[0,0]","[1,1]","[256248,221860]","[1.0625,0.88544]","[1.12978,-2.24743]","[415017,314662]","[0.0164223,-0.025547]","[1,-1]","[11,11]","[1,1]","[0,0]","[-86.1402,-516.026]","[-0.0127552,0.0132322]","[1.49781,2.10179]",115457,-0.433489,1,"[41705.7]","[1.53738]","[-2.29963]","[101834]","[0.999326]","[0]","[0]","[-0.639586]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3629.92,2110.85]",1196.8,"[2179.49]","[]","[]","[]"
177,284500,2220,392517,1,0.00488576,25472.8,0.696077,0.952623,1,1,1,1,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[157963,63851.1]","[-0.366599,-1.21921]","[2.26455,2.60106]","[168698,117485]","[0.031414,0.0297699]","[1,-1]","[11,11]","[1,0]","[0,0]","[1154.4,-589.295]","[-0.00750382,0.0214955]","[1.04589,2.19564]",236100,-0.872221,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1013.21,226.696]",19644.6,"[]","[]","[]","[]"
187,284500,4018,392517,1,0.00488576,25472.8,1.26205,0.9823,0.998909,1,1,0.999572,1.00632,1,1,0,0,2,"[0,0]","[1,0]","[110492,93099.8]","[0.373829,-0.00437182]","[1.71051,-2.77784]","[118303,93100.8]","[0.0972672,0.087616]","[-1,1]","[11,13]","[1,1]","[0,0]","[3231.3,-613.661]","[-0.0105838,0.00388205]","[1.10016,0.654847]",117745,-0.77428,1,"[27456.4]","[1.07829]","[-0.203027]","[45255.8]","[1]","[0]","[0]","[0.533453]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[448.674,4289.07]",9065.48,"[1872.07]","[]","[]","[]"
192,284500,4589,392517,1,0.00488576,25472.8,1.21412,1,0.9945,1,1,0.998286,0.938744,1,0,1,0,2,"[0,0]","[1,1]","[126649,105901]","[1.39652,0.325593]","[2.14555,-2.73464]","[271572,111565]","[0.0391846,-0.0353928]","[1,-1]","[13,13]","[1,1]","[0,0]","[1679.28,1580.21]","[0.00953539,0.00893604]","[1.76016,1.60963]",154953,-0.347292,1,"[22555.9]","[-1.68106]","[-0.300333]","[62772]","[0.818896]","[0]","[0]","[-0.886146]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2114.28,2663.17]",19952.4,"[1613.25]","[]","[]","[]"
