event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
9,284500,1093,392924,1,0.00122316,9692.92,0.402058,1,0.992851,1,1,1.00001,1.02772,1,0,1,0,2,"[0,0]","[1,1]","[245213,140336]","[-1.14655,0.938289]","[-0.670405,-3.09394]","[424840,206779]","[-0.0285568,-0.0545616]","[1,-1]","[13,13]","[1,1]","[0,0]","[-223.45,-223.45]","[-0.0114251,-0.0109131]","[2.16549,2.39748]",243175,1.52627,1,"[75312.6]","[-0.598019]","[-2.23705]","[89553.4]","[0.976845]","[0]","[0]","[-0.937799]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[19125.3,846.675]",5367.66,"[2709.96]","[]","[]","[]"
10,284500,1154,392924,1,0.00122316,9692.92,0.596562,1,1.00182,1,1,1,0.931835,1,0,1,0,2,"[0,0]","[1,1]","[313130,195312]","[0.989923,1.1508]","[0.1569,-2.66824]","[479502,339558]","[0.0152283,0.0985603]","[-1,1]","[13,13]","[1,1]","[0,5042.91]","[-229.813,-229.813]","[-0.0103669,0.0128585]","[1.6971,2.45044]",139881,2.83499,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7907.69,14936.4]",0,"[]","[]","[]","[]"
11,284500,1215,392924,1,0.00122316,9692.92,0.934886,0.921826,1,1,1,0.999435,0.99544,1,1,0,0,2,"[0,0]","[1,0]","[441029,32332]","[1.16732,-0.672863]","[2.92466,2.136]","[777222,39931.4]","[-0.0413055,-0.0188026]","[1,-1]","[11,11]","[1,0]","[0,0]","[-1720.74,1266.74]","[0.000768416,0.0324381]","[0.0820976,2.43005]",509087,-0.212597,2,"[44261.4,20037.3]","[0.415772,-1.1954]","[-1.69969,2.45054]","[48505.4,36306.8]","[0.998366,0.742429]","[0,0]","[0,0]","[-0.711417,-0.818497]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5747.63,88.3012]",26294.7,"[3044.62,1099.19]","[]","[]","[]"
12,284500,1362,392924,1,0.00122316,9692.92,1.08735,1,0.993437,1,1,1,0.729381,1,0,1,0,2,"[0,0]","[1,1]","[272083,209653]","[-0.105693,-1.38059]","[-2.4317,2.4452]","[273605,443278]","[-0.00570011,-0.0801454]","[1,-1]","[13,13]","[1,1]","[1080.09,0]","[-121.571,-121.571]","[0.0239966,-0.00488362]","[3.80048,0.860737]",493598,0.390768,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[18189.7,4714.14]",7091.97,"[]","[]","[]","[]"
16,284500,1719,392924,1,0.00122316,9692.92,1.24168,0.950679,1,1,1,1,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[621946,608666]","[-0.229344,-1.20262]","[-2.25196,0.642101]","[638375,1.1045e+06]","[0.00551224,0.0339241]","[-1,1]","[11,11]","[1,1]","[0,0]","[-454.581,4558.84]","[-0.0103706,0.00172008]","[2.07486,0.212017]",116290,2.52286,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5752.19,10893.3]",2186.99,"[]","[]","[]","[]"
18,284500,152,392924,1.17649,0.00122316,9692.92,0.187531,0.969501,1,1,1,0.999257,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[151193,90380]","[-0.35981,0.249207]","[-1.2489,-1.95443]","[161086,93201]","[-0.0142212,-0.0759735]","[1,-1]","[11,11]","[1,1]","[0,0]","[3751.81,-1280.63]","[-0.0150009,-0.000166745]","[2.62134,0.0157508]",418845,0.770503,2,"[239562,88864.5]","[-0.289736,-0.652345]","[-3.05502,-2.58952]","[250929,109076]","[0.992685,0.990512]","[0,0]","[0,0]","[-0.938361,-0.846699]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[697.342,254.118]",4067.78,"[2820.57,4935.15]","[]","[]","[]"
25,284500,851,392924,1,0.00122316,9692.92,0.738662,0.979489,1,1,1,1,0.99765,1,1,0,0,2,"[0,0]","[1,1]","[408556,364308]","[0.668992,-0.575967]","[-2.42718,0.883354]","[503442,426425]","[-0.0674012,-0.0847714]","[1,-1]","[11,11]","[1,1]","[0,2835.82]","[-274.492,15.9004]","[-0.0129076,0.00905259]","[1.35305,1.58179]",51291.6,0.365572,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4228.52,2741.94]",740.078,"[]","[]","[]","[]"
26,284500,898,392924,1.42047,0.00122316,9692.92,0.738662,0.984282,1,1,1,0.983327,0.9918,1,1,0,0,2,"[0,0]","[1,1]","[496055,293850]","[-0.694243,-0.724666]","[2.71973,-0.203606]","[620477,374443]","[0.0427284,-0.0369377]","[-1,1]","[11,11]","[1,1]","[0,0]","[-290.842,2677.01]","[-0.00619132,-0.00232696]","[0.800276,0.333499]",655889,0.503032,8,"[252136,235998,196949,163312,108231,27716.7,22569.4,20947.8]","[-1.26,0.489786,-0.42579,-1.86092,1.73011,-0.9158,-2.47926,0.487758]","[-1.2137,3.13239,-2.8091,-0.97202,3.04297,-2.39175,-3.09133,2.63914]","[480636,267840,215769,538472,315168,40354.9,135713,23803.3]","[0.999909,0.997485,0.995217,0.991786,0.998675,0.971902,0.33237,0.895628]","[0,4,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.550315,-0.877967,-0.97129,-0.95085,-0.865116,-0.205793,-0.634713,-0.720163]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3964.93,2818.03]",1995.88,"[4495.17,4022.32,3079.07,9575.47,9604.89,1806.91,5189.63,1159.41]","[]","[]","[]"
28,284500,1118,392924,1,0.00122316,9692.92,0.596562,0.957123,1,1,1,0.999973,0.99866,1,1,0,0,2,"[0,0]","[1,1]","[700322,71423.2]","[-1.15273,-0.0415663]","[-1.93763,-1.28842]","[1.21947e+06,71484.9]","[-0.0182056,0.0129948]","[1,-1]","[11,11]","[1,1]","[0,0]","[4443.09,42.2778]","[-0.00693876,0.004757]","[1.27247,0.423816]",811486,1.20812,1,"[77650.9]","[0.575511]","[-2.7216]","[91133.6]","[0.985061]","[0]","[0]","[-0.822744]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11708.1,878.178]",521.188,"[2088.59]","[]","[]","[]"
30,284500,1234,392924,1,0.00122316,9692.92,0.934886,0.950267,1,1,1,0.997913,1.00632,1,1,0,0,2,"[0,0]","[1,1]","[344163,297815]","[0.499829,1.32628]","[-1.9366,1.06005]","[388056,600463]","[0.0361633,0.0197716]","[-1,1]","[11,11]","[1,1]","[0,0]","[-867.586,525.535]","[0.00493297,0.00414613]","[0.915289,0.435068]",74642.9,1.9383,2,"[27858.9,25352]","[-1.19878,-1.59362]","[-2.11667,1.07528]","[50582,64997.6]","[0.945995,0.906347]","[0,0]","[0,0]","[-0.847617,-0.818971]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2044.69,4874.62]",591.266,"[5802.27,4583.88]","[]","[]","[]"
