event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,17167,410026,1.26323e-09,1.28866,0.00125652,0.738662,1,0.98786,1,1,1.03726,0.948498,1,0,1,0,2,"[1,0]","[1,0]","[74804.4,9451.87]","[0.891272,1.23738]","[0.44516,-2.16994]","[106535,17659.8]","[-0.0161667,-0.0214653]","[-1,1]","[13,13]","[1,1]","[0,3117.38]","[10.8551,-913.044]","[0.0157856,-0.0163741]","[2.48822,0.928884]",40883.8,0.560713,3,"[102380,46737.7,25083.5]","[-0.794742,0.109659,1.03911]","[-2.62393,1.35732,-1.6968]","[137289,47733.3,40333.7]","[0.9995,0.978043,0.613185]","[0,5,0]","[0,1,0]","[0.236767,0.997736,-0.793251]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[483.726,41.3738]",4300.8,"[2099.99,5888.19,5375.22]","[]","[]","[]"
3,284500,19108,410026,1.26452e-09,1.28866,0.00125652,0.923924,0.9549,0.998304,1,1,1,1.03188,1,1,0,0,2,"[1,0]","[1,0]","[40828.8,13497.7]","[-2.06326,-2.28843]","[2.54672,-1.51324]","[163287,67224.8]","[-0.0302505,-2.79762]","[-1,-1]","[11,13]","[1,1]","[0,9010.72]","[-433.141,2967.43]","[0.0149229,0.474961]","[0.843868,28.289]",55944.1,0.339824,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[86.3116,222.2]",2309.04,"[]","[]","[]","[]"
5,284500,20290,410026,1.26602e-09,1.28866,0.00125652,1.1961,0.981691,1,1,1,1.03489,0.98854,1,1,0,0,2,"[1,0]","[1,0]","[44962.7,9770.09]","[-0.389889,1.3028]","[-2.57049,-2.16281]","[48423.7,19302.5]","[-0.0111847,0.379646]","[-1,1]","[11,11]","[1,0]","[0,7846.06]","[-864.193,4355.98]","[-0.00332212,-0.13906]","[0.255191,7.37268]",77673,0.850685,4,"[49788.8,37065.9,30564.2,25581.6]","[-0.972756,-1.38398,0.646828,-1.77303]","[0.743587,-0.756646,2.7785,-1.24079]","[75657.6,78872.8,37492.1,77709.6]","[0.996046,0.990269,1,0.977557]","[5,0,0,0]","[1,0,0,0]","[0.974603,-0.400048,-0.667442,-0.686822]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[141.362,212.645]",14226.6,"[4126.76,5131.97,2033.81,2579.5]","[]","[]","[]"
10,284500,103998,410026,1.26354e-09,1.28866,0.00125652,0.738662,0.92656,1,1,1,0.919273,1.01532,1,1,0,0,2,"[0,0]","[1,0]","[55835.2,14643.8]","[2.32684,0.56816]","[2.38707,-0.665422]","[288756,17071.7]","[-0.0573025,-0.0263405]","[1,1]","[11,11]","[1,0]","[0,1047.73]","[-721.308,3292.97]","[-0.0419376,0.0223318]","[2.5792,1.87507]",6870.42,-1.18175,5,"[144661,75254.6,48212.2,26579.7,22627.9]","[1.42459,1.69549,-0.400676,0.266576,1.24958]","[-0.64011,1.8929,2.94476,-3.07896,1.55566]","[318454,212170,53111.6,28103.8,42897.3]","[0.99513,0.991042,0.99917,0.917601,0.736574]","[0,5,0,0,0]","[0,1,0,0,0]","[-0.928324,-0.0506331,-0.821816,-0.612146,-0.908208]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[335.924,48.8043]",28679.2,"[2984.11,5970.04,3979.16,4845.5,1659.37]","[]","[]","[]"
14,284500,193238,410026,1.26446e-09,1.28866,0.00125652,0.75088,0.99093,0.997954,1,1,0.997997,1.00306,1,1,0,0,2,"[1,0]","[1,0]","[84961.5,10858.7]","[1.07769,-0.474719]","[2.59537,0.356258]","[139264,12105.9]","[-0.0394669,0.041069]","[-1,-1]","[11,13]","[1,1]","[0,0]","[-1959.05,-634.145]","[-0.037199,0.540293]","[3.50432,45.619]",30509.5,-0.445771,2,"[38433.5,34464.8]","[1.80825,2.07635]","[-1.61135,-0.977315]","[120555,139722]","[0.977063,0.996552]","[0,0]","[0,0]","[-0.414344,-0.807467]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[977.999,9.96519]",4918.03,"[4562.35,2166.81]","[]","[]","[]"
19,284500,110918,410026,1.26214e-09,1.28866,0.00125652,0.696077,0.941076,1,1,1,1.00607,1.00493,1,1,0,0,2,"[1,0]","[1,0]","[80244.3,10286.1]","[-1.26335,-1.25882]","[2.76287,0.690969]","[153265,19570.6]","[-0.0662918,0.0123825]","[-1,1]","[11,11]","[1,1]","[0,7680.89]","[1611.72,-197.177]","[0.00250187,-0.0092146]","[0.276454,0.395668]",29433,-2.98433,5,"[138428,64796.5,25484.3,25266.7,23628.4]","[-2.05196,-2.02723,-0.18545,-1.8262,0.354347]","[-0.587535,2.34539,2.7485,0.277673,-0.860181]","[547772,250576,26411.6,80647.4,25704.3]","[0.992021,1,0.991493,0.964619,0.994514]","[0,0,5,0,0]","[0,0,1,0,0]","[-0.598855,-0.802399,0.998647,-0.912224,-0.917283]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[852.484,225.638]",2526.53,"[3135.62,2410.38,2956.17,2067.52,2465.49]","[]","[]","[]"
20,284500,111840,410026,1.26343e-09,1.28866,0.00125652,1.26205,0.925722,1,1,1,1.02249,0.98886,1,1,0,0,2,"[1,0]","[1,1]","[42271.9,26683.7]","[-0.196386,0.880763]","[2.14427,-1.8329]","[43089.6,37720.1]","[0.0804024,0.0307999]","[-1,-1]","[11,11]","[1,1]","[0,18802.7]","[1888.39,2786.38]","[0.00352759,0.035818]","[0.192584,3.13588]",112669,-1.90635,1,"[110011]","[-0.0571332]","[1.067]","[111394]","[0.996017]","[5]","[1]","[0.999926]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[71.8518,63.4245]",12573.5,"[3536.91]","[]","[]","[]"
21,284500,112329,410026,1.26459e-09,1.28866,0.00125652,1.25133,0.9623,0.90151,1,1,1,1.01797,1,1,0,0,2,"[1,0]","[1,0]","[52253,15594.9]","[-2.00538,-2.67626]","[1.90388,1.38691]","[197609,113839]","[-0.0522995,47.4869]","[-1,-1]","[11,13]","[1,0]","[0,0]","[627.81,-172.843]","[0.0177368,-0.218663]","[1.0613,0.0365506]",12460,-0.550406,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[739.036,70.7288]",390.938,"[]","[]","[]","[]"
23,284500,126309,410026,1.26577e-09,1.28866,0.00125652,1.26205,0.95586,0.996359,1,1,1.03339,0.97537,1,1,0,0,2,"[1,0]","[1,0]","[33503.2,11475.3]","[0.692722,0.219629]","[-0.445501,-2.06253]","[41868.4,11753.7]","[0.0231972,0.220207]","[-1,-1]","[11,13]","[1,1]","[0,0]","[-600.586,4585.64]","[0.0473352,0.382012]","[1.76148,32.5087]",29892.1,1.06648,3,"[66554,25736.9,22881.5]","[1.43689,0.56488,-0.0974376]","[2.5614,-1.10607,-0.651226]","[148126,30267.9,23558.7]","[1,0.911487,0.599086]","[5,0,0]","[1,0,0]","[0.999222,-0.850853,-0.869711]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[24.4308,63.1133]",2492.22,"[4308.21,2121.99,1665.76]","[]","[]","[]"
24,284500,126843,410026,1.26577e-09,1.28866,0.00125652,0.75088,0.96228,1,1,1,1.03385,1,1,1,0,0,2,"[0,0]","[1,0]","[37035.8,11462.6]","[-0.810006,0.653144]","[1.19076,-1.91375]","[49864.6,13995.7]","[0.0714607,0.180553]","[-1,1]","[11,11]","[0,0]","[0,2323.12]","[2081.1,2169.09]","[0.157055,-0.123388]","[4.82978,2.67386]",55845.2,2.50186,1,"[67842.3]","[-0.444802]","[-1.01517]","[75224.4]","[0.993845]","[5]","[1]","[0.99843]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[114.526,120.982]",4907.23,"[5423.7]","[]","[]","[]"
27,284500,135150,410026,1.26088e-09,1.28866,0.00125652,1.26459,0.903424,1,1,1,1.03723,0,1,1,0,0,2,"[1,0]","[1,0]","[26212.2,14185.5]","[-2.35463,-1.02663]","[1.60287,-2.3722]","[139307,22341.2]","[-0.0345268,0.0904999]","[-1,1]","[11,11]","[1,0]","[0,0]","[295.795,179.072]","[-0.0250542,0.00725381]","[1.17304,0.428152]",48280.6,1.14556,2,"[40777.8,35734.9]","[-1.43628,-2.23076]","[-2.2478,-2.75576]","[90849.1,168281]","[0.997987,0.994026]","[5,0]","[1,0]","[0.890807,-0.599003]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[121.05,155.278]",6054.5,"[4286.89,2113.18]","[]","[]","[]"
