event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
138,284500,1459847,410218,0.077637,1,1,1.32095,0.962595,1,1,1,0.979642,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[309792,146984]","[0.300074,0.487701]","[1.64783,2.02691]","[323845,164814]","[-0.0639496,-0.0528793]","[1,-1]","[11,11]","[1,1]","[0,0]","[-574.206,-1115.16]","[0.00831131,0.00446603]","[1.29667,0.428623]",40401.8,2.83176,5,"[267251,137167,84776.1,81317.9,36321.9]","[-1.92573,2.34795,-1.217,1.87814,1.14927]","[-1.67803,-1.17119,-1.09732,-0.327496,1.74477]","[936242,724301,156375,272567,63320.3]","[1,1,0.985738,1,0.986811]","[4,4,0,0,0]","[1,1,0,0,0]","[-0.619059,-0.48658,-0.856306,-0.938229,-0.864945]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1847.39,731.864]",10804.7,"[7769.96,2142.7,2349.31,4935.36,3254.68]","[]","[]","[]"
838,284500,744610,410218,0.077495,1,1,1.26459,0.883268,1,1,1,1.00591,0.93664,1,1,0,0,2,"[1,1]","[1,0]","[59294.3,18320.4]","[-1.22372,0.552877]","[-2.96986,0.931225]","[109515,21192.4]","[-0.0347939,-0.0131874]","[-1,1]","[11,11]","[1,1]","[1089.97,0]","[-1660.32,-394.834]","[-0.0235151,0.0157409]","[2.55533,1.43452]",26535.8,-1.2225,6,"[200654,85725.4,80899.7,69799.7,44294,31328]","[-0.489238,-0.749968,0.147033,0.456536,1.48995,-0.494041]","[1.87124,-0.956805,-1.3107,2.69386,-0.667291,-0.341906]","[226250,111599,82518.9,77583.7,103382,35739.2]","[0.998352,0.977612,0.997442,0.997254,0.983455,0.985912]","[0,0,4,5,0,0]","[0,0,1,1,0,0]","[-0.780976,-0.815356,-0.81204,0.998134,-0.89291,-0.50259]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[146.694,210.779]",6028.78,"[4644.42,6877.55,5189.97,7407.32,7246.93,2519.37]","[]","[]","[]"
871,284500,741066,410218,-0.077495,1,1,1.26459,0.946446,1,1,1,1.25931,1.00192,1,1,0,0,2,"[1,1]","[1,1]","[70249.5,31258.1]","[-0.495614,-0.575874]","[2.28313,-1.43309]","[79055.4,36586]","[-0.0412159,0.0541782]","[1,-1]","[11,11]","[1,1]","[0,0]","[833.594,2692.02]","[0.0265493,-0.0376671]","[2.81832,3.56378]",26930.2,-2.80805,7,"[79491.6,55187.3,54264.6,49627.9,46768.5,36769.3,29103]","[-1.00066,0.0982443,1.01337,-0.13125,0.813616,2.42409,2.48262]","[1.00844,0.616139,-0.686045,3.10586,-1.43501,-1.35692,2.91191]","[123236,56220.8,84977.6,50821.4,63540.8,209269,175460]","[0.991274,1,1,0.998192,0.978877,1,1]","[4,0,5,5,0,4,0]","[1,0,1,1,0,1,0]","[0.836792,-0.213993,0.999985,0.996073,-0.337096,-0.639216,-0.192208]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[610.498,43.2223]",5152.92,"[3074.68,2812.42,1404.16,2692.43,5175.5,2771.57,2682.89]","[]","[]","[]"
904,284500,744234,410218,0.077493,1,1,1.32095,0.952184,1,1,1,0.980373,1.00192,1,1,0,0,2,"[0,1]","[1,1]","[64690.7,52171]","[-0.46492,0.882727]","[-2.32621,1.68823]","[71809.1,73851.6]","[-0.0241308,-0.0172963]","[1,1]","[11,11]","[1,1]","[0,0]","[4158.08,-1551.6]","[0.0146781,-0.0252724]","[1.54486,2.91259]",52626.3,1.3528,3,"[37418.2,37088.5,30344.7]","[-2.09155,0.925171,1.20485]","[-1.48553,-1.00381,1.12187]","[153876,54667.4,55282.7]","[0.999121,0.994724,1]","[5,5,0]","[1,1,0]","[-0.530699,0.912032,0.510796]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[111.933,255.789]",6001.27,"[1591.19,1633.73,4770.29]","[]","[]","[]"
1242,284500,745968,410218,0.077772,1,1,1.25133,0.94888,1,1,1,0.99371,0.98483,1,1,0,0,2,"[1,1]","[1,1]","[58186.9,52261.3]","[-0.588422,-0.103316]","[-0.191462,-1.98431]","[68554.3,52540.4]","[0.0375214,-0.0286331]","[1,-1]","[11,11]","[1,1]","[1209.76,1967.14]","[3479.13,650.337]","[0.0136538,0.00156886]","[1.6705,0.0984078]",67401.8,1.21331,4,"[164010,51155,35238.5,24309.1]","[-0.203265,1.40554,0.234966,0.658053]","[-2.49831,0.337113,0.414891,0.873753]","[169142,110700,36599.1,30149.4]","[0.995973,1,0.995925,0.986236]","[5,0,0,4]","[1,0,0,0]","[0.997266,-0.815872,-0.734918,-0.795127]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[83.0334,69.2442]",990.766,"[4984.46,4542.41,3647.2,2916.34]","[]","[]","[]"
1688,284500,198387,410218,0.07768,1,1,1.1961,0.92831,0.9975,1,1,1.05077,1.01883,1,1,1,0,2,"[1,1]","[1,1]","[32255.2,30434.3]","[1.84632,2.34944]","[2.86697,-0.308498]","[104737,160924]","[0.000929356,0.116388]","[1,-1]","[11,13]","[1,1]","[0,0]","[-180.505,1117.77]","[0.0487856,-0.0363355]","[4.06012,2.66077]",28901.8,0.692105,2,"[86425.1,39019.5]","[1.5866,0.361018]","[0.538346,2.43425]","[220903,41967.2]","[0.995298,0.976256]","[5,5]","[0,1]","[0.920753,0.999839]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[240.233,270.767]",8538.78,"[2361.46,2427.98]","[]","[]","[]"
1835,284500,209855,410218,0.077892,1,1,1.26459,0.961763,1,1,1,0.966107,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[154082,56292.3]","[-0.436007,-0.403692]","[2.16001,-2.91311]","[168961,60941.9]","[-0.0526752,-0.0452061]","[-1,1]","[11,11]","[1,1]","[1088.76,1015.81]","[727.043,-253.771]","[0.00433163,-0.0068206]","[0.521456,0.865071]",44313.2,-2.72308,7,"[148702,90718.8,72450.6,59783.2,59293.2,23095.9,21635.6]","[0.494227,-0.167319,-0.0736601,0.414556,1.07095,0.300635,2.44313]","[-0.750597,0.448826,-0.62634,2.03768,-2.67447,1.49794,2.29415]","[167763,93136.6,73081.3,65577.5,97099.9,24500.6,125479]","[0.99892,1,0.99411,0.999985,0.985164,0.8599,0]","[5,0,0,0,0,0,0]","[1,0,0,0,0,0,0]","[0.999018,-0.936697,-0.856853,0.825828,-0.422575,-0.921766,-0.788735]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1273.88,438.594]",2358.77,"[6333.25,10828,4054.94,1988.15,2232.97,3920.85,1922.55]","[]","[]","[]"
1915,284500,193503,410218,-0.077674,1,1,1.26459,0.892627,1,1,1,0.959256,0.98592,1,1,0,0,2,"[1,1]","[1,0]","[68155.5,18743.3]","[-1.25673,0.165251]","[0.795002,-1.77299]","[129445,18999.8]","[0.06604,0.0210037]","[1,-1]","[11,11]","[1,1]","[0,0]","[-1141.16,219.552]","[0.00950597,0.0167864]","[0.62211,1.63686]",30115.4,1.29421,8,"[174845,97054.6,69306.1,40609.6,35228.4,28966.4,21332.9,20198.3]","[-0.717742,2.01564,0.75913,-0.478987,-0.737105,0.177077,0.199899,2.46992]","[-2.57618,-0.326755,1.30612,2.79115,-1.47867,-3.0499,0.256344,-0.944438]","[222489,370776,90768.4,45916,45444.7,29978.5,22090.3,120285]","[0.99574,1,0.994346,0.90646,0.996781,0.991329,0.97187,0]","[0,0,5,5,0,0,0,0]","[0,0,1,1,0,0,0,0]","[-0.934841,-0.912413,0.987321,0.776475,-0.828848,-0.349609,-0.667234,-0.785362]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[397.074,65.389]",24346.6,"[2289.98,2492.91,1851.02,4170.01,3079.57,1791.15,1619.89,1115.02]","[]","[]","[]"
2388,284500,932999,410218,0.077659,1,1,0.75088,0.947424,1,1,1,0.994963,1.00531,1,1,0,0,2,"[1,1]","[1,1]","[66062.8,38250]","[-0.0260102,-0.266368]","[-2.80475,1.18659]","[66085.2,39615]","[-0.0183067,-0.0411644]","[-1,1]","[11,11]","[1,1]","[1461.41,0]","[-290.668,216.443]","[0.0107292,-0.00929781]","[1.08229,1.14396]",44011,-2.3247,6,"[147290,124483,76444.7,46486.6,21825.7,20859.6]","[-2.00377,0.737461,-0.81472,0.0488553,-1.81522,-0.601203]","[0.0602431,2.40799,-0.852249,-1.41179,2.41494,0.640364]","[556374,160283,103667,47038.3,68884.6,25042.8]","[0.993147,0.964301,0.978052,1,0.990432,0.95587]","[0,4,4,5,0,0]","[0,1,1,1,0,0]","[-0.880412,-0.753061,-0.490453,0.999634,-0.82603,-0.914409]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[105.933,72.0086]",15257.7,"[6890.38,6142.46,8527.56,4246.89,2993.48,1194.56]","[]","[]","[]"
2550,284500,603927,410218,-0.077663,1,1,0.553627,0.937737,1,1,1,1.04535,0.96677,1,1,0,0,2,"[1,1]","[1,1]","[58650.4,54597.4]","[0.787642,-0.621075]","[2.26136,1.86376]","[77803.4,65470.3]","[-0.0241089,-0.0317688]","[1,-1]","[11,11]","[1,1]","[0,2116.38]","[-1016.01,1572.59]","[-0.00829189,0.0135935]","[0.923542,0.600349]",47430.7,1.02612,8,"[322536,148850,92466.2,87232.4,62653.7,55340.3,55215.4,26120.6]","[-1.63471,0.166933,1.11573,-0.545593,1.34851,2.20205,2.12178,-1.72182]","[-2.31275,0.756821,1.77136,-0.202499,-0.187811,-0.993683,-1.99327,0.903101]","[858716,152351,156605,101635,129082,253335,233896,75544.5]","[0.992283,0.999691,0.985118,0.99278,0.997984,1,0.998617,0.991414]","[4,0,0,5,5,0,0,0]","[0,0,0,1,1,0,0,0]","[0.981395,-0.800273,-0.92428,0.99073,0.481197,-0.428109,-0.884238,-0.817171]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[139.166,176.497]",19891.2,"[5593.58,5908.99,3202.7,4122.52,2746.19,2471.09,2905.91,2695.28]","[]","[]","[]"
