event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
27,284500,1659,370129,1,0.015756,101198,0,0.96052,1,1,1,0.875203,1.01448,1,1,0,0,1,"[1]","[1]","[59681.5]","[1.92422]","[2.95316]","[208760]","[-0.0286179]","[1]","[11]","[1]","[0]","[89.4252]","[-0.00955064]","[0.698665]",361924,-0.481208,12,"[462200,294273,174528,92250.7,65446.2,42473.2,37721.3,37008.7,33574.7,28482.9,24353.2,22087.1]","[0.312672,1.51512,-1.1693,-0.149499,-0.497757,-0.650954,0.491028,-0.205035,1.41548,1.40606,0.432079,-0.648291]","[3.11814,-0.841571,1.55098,1.19809,1.72827,0.874431,-2.67535,-3.04589,-0.138708,-2.89574,1.60082,-0.892557]","[487232,703986,308528,95049.7,74383.4,52022.5,43073.6,38482.1,73700.1,61949.8,27102,27351.9]","[0.999825,0.991756,1,1,1,0.999654,0.990355,0.99,0.988619,0.997272,0.999798,0.983098]","[5,0,0,5,0,0,4,0,0,0,0,0]","[1,0,0,1,0,0,0,0,0,0,0,0]","[0.975257,-0.632615,-0.427079,-0.404068,-0.988382,-0.936072,-0.480084,-0.899567,-0.698659,-0.647678,-0.428867,-0.847923]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[435299,328233,268733]","[0.337495,-0.878599,1.53675]","[3.11526,1.45731,-0.85189]","[461914,495720,654932]","[38267.4,176372,41265.3]","[1,1,1]","[2.09593,1.22417,1.31191]","[0.735426,0.523358,0.578832]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[545.816]",10213.4,"[15947.6,7495.74,4330.89,5051.38,2009.95,2185.87,3360.38,2022.18,3080.54,3240.91,1763.78,1700.65]","[]","[12738.1,26968.6,10417.6]","[]"
75,284500,7286,370129,1,0.015756,101198,1.24168,0.97994,1,1,1,0.96301,1.00632,1,1,0,0,1,"[1]","[1]","[438022]","[0.0766331]","[2.50965]","[439309]","[0.00476456]","[-1]","[11]","[1]","[1936.63]","[2979.6]","[0.000988785]","[0.165638]",703041,-0.0869654,8,"[202115,197778,162415,153407,135462,53756.4,36160.5,27920.8]","[0.611012,1.95501,0.733665,1.3563,-0.14637,1.40853,2.21658,-1.3829]","[2.99151,1.07796,-1.80993,-2.04073,-2.77031,-1.1215,2.88856,-1.73597]","[241827,712622,208486,317620,139144,116995,167961,59435.4]","[1,0.994392,0.980049,0.993973,0.998063,0.993406,0.668023,0.983876]","[0,4,5,0,5,4,0,0]","[0,0,1,0,1,1,0,0]","[-0.960898,-0.899586,0.999714,-0.940793,0.966546,-0.75228,-0.880884,-0.836528]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[723458,338316]","[0.240069,1.13441]","[2.76914,-1.85101]","[817913,600454]","[338881,153986]","[1,1]","[1.35025,1.23184]","[0.282901,0.350254]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3497.65]",9678.69,"[8081.9,6166.85,1821.83,3866.67,1474.65,10726.9,3241.07,3535.07]","[]","[27552.4,49348.5]","[]"
101,284500,8238,370129,1,0.015756,101198,0.75088,1,0.99737,1,1,0.80758,1.12914,1,0,1,0,1,"[1]","[1]","[117865]","[-1.0269]","[3.0263]","[185668]","[-0.0854874]","[-1]","[13]","[1]","[1656.33]","[-967.742]","[-0.00176869]","[0.223482]",663952,-3.07291,9,"[330785,230118,209938,188747,75796,72841.5,64859.5,42214.2,26870.7]","[0.079812,-0.412521,0.578645,0.831768,0.37127,-0.696245,-0.80598,0.191127,1.67538]","[-0.989064,0.860099,0.167932,0.485014,-1.6744,0.290715,2.0879,-0.556737,1.29001]","[335334,250743,246361,258077,81802.7,91464.9,87979.8,43442.9,74444.8]","[0.996312,0.991344,0.999993,0.998266,0.976681,1,0.98417,0.967316,0.996453]","[5,5,5,0,0,0,5,0,0]","[1,1,1,0,0,0,1,0,0]","[0.922139,0.999969,0.9996,-0.928935,-0.741706,-0.934579,-0.409747,-0.908158,-0.704712]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[408235,385905,300378]","[0.181249,0.74533,-0.472472]","[-1.05134,0.312894,0.728066]","[435932,505300,346885]","[133590,84712.6,91744.3]","[1,1,1]","[1.66319,0.656918,0.832687]","[0.57608,0.755318,0.480388]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5415]",29202.4,"[12828.9,5065.26,5660.56,3656.46,2130.17,2128.14,11766.2,2567.1,2028.47]","[]","[2096.19,3292.19,24214]","[]"
145,284500,9538,370129,1,0.015756,101198,1.25133,0.96689,1,1,1,0.929317,1.00136,1,1,0,0,1,"[0]","[1]","[53770]","[1.56397]","[-1.36428]","[134077]","[0.181343]","[1]","[11]","[1]","[0]","[498.401]","[-0.0417127]","[1.87004]",440213,3.13682,9,"[590946,147854,102740,67915.4,48796.4,42629.9,33443.7,27074,20106.7]","[-0.490249,-0.492113,-0.306142,-0.081204,1.69291,-1.31977,-1.4032,2.26774,0.203194]","[-0.177995,3.01008,2.30814,-0.828222,1.26729,1.93211,-2.95812,-3.06482,-0.179347]","[664195,166668,107992,68684.1,137216,85778.8,72388.5,132177,20805]","[0.993477,1,1,0.99,0.988808,0.995864,0.990151,0.875958,0.998305]","[4,0,0,5,0,5,0,0,0]","[1,0,0,1,0,1,0,0,0]","[0.279692,-0.905899,-0.821796,0.742617,-0.741452,0.848436,-0.932262,-0.87498,-0.115247]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[654721]","[-0.432617]","[-0.231544]","[734798]","[160964]","[1]","[2.19215]","[0.648934]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[293.414]",28929.8,"[6847.45,2833.06,2278.56,5286.75,5336.58,4596.85,2589.64,2445.18,1118.21]","[]","[14968.8]","[]"
148,284500,8441,370129,1,0.015756,101198,0.696077,1,0.993926,1,1,0.918124,0.753185,1,0,1,0,1,"[1]","[1]","[158563]","[-0.191698]","[2.74242]","[161486]","[-0.0166013]","[1]","[13]","[1]","[0]","[273.001]","[0.000228365]","[0.0392002]",560473,2.35736,8,"[371198,241948,178204,150242,129904,109868,60133.2,36067.6]","[-1.14036,0.735542,-0.673553,0.62151,-0.4275,-0.17035,-0.214113,-1.60705]","[0.17266,-1.60829,0.505259,-1.13872,-1.58922,-2.89508,-0.578717,-0.890534]","[642204,312313,221066,180562,142423,112453,62127.9,93629.6]","[1,0.999648,0.992237,0.99,1,0.978405,0.999652,0.996107]","[5,4,4,0,5,5,0,0]","[1,1,1,0,1,1,0,0]","[0.909785,-0.864268,-0.358186,-0.487126,0.426163,0.996423,-0.894553,-0.597424]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[560503,369941]","[-1.01508,0.709919]","[0.27814,-1.43688]","[891474,477174]","[170919,97318.7]","[1,1]","[1.07427,0.968352]","[0.429448,0.697053]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3401.72]",9022.38,"[4826.06,2110.92,4081.84,3503.58,4888.58,6807.31,2035.4,8273.62]","[]","[15668,12746.8]","[]"
195,284500,420,370129,1.07208,0.015756,101198,1.32095,0.99093,1,1,1,1.10689,1.00306,1,1,0,0,1,"[1]","[1]","[96460.1]","[0.878862]","[-2.21059]","[136173]","[-0.0165672]","[-1]","[11]","[1]","[33359.9]","[934.189]","[0.031223]","[4.31437]",496984,-0.113401,11,"[716147,139621,134331,131922,88000.4,83219.4,64711.2,37140.8,34655.1,25139.3,24586.7]","[-0.045334,-2.20458,0.924874,-1.70167,-0.238106,0.323358,-0.233418,-0.0914914,-0.702528,0.0708323,-1.7259]","[3.13655,-0.297535,0.463171,0.338196,-2.6412,0.492376,-0.0941019,0.982145,-0.896859,-2.22908,1.89974]","[721466,640812,197499,373806,91306.3,90026.3,67430.2,37747.9,43949,25620.4,71345]","[0.992663,0.999657,1,0.996724,0.999915,0.998862,0.993568,0.998657,0.894801,0.99386,1]","[4,5,4,4,5,0,0,0,0,0,0]","[0,1,1,1,1,0,0,0,0,0,0]","[0.645384,-0.404034,0.926087,0.665878,0.999967,-0.753062,-0.754344,-0.860569,-0.54653,-0.742023,-0.83144]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[754602,255870]","[-0.0913049,0.50835]","[-3.10646,0.439231]","[771660,335015]","[145859,168340]","[1,1]","[2.2263,1.30445]","[0.592912,0.524161]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[409.54]",30094.7,"[16632,2116.64,1619.82,4067.69,5395.71,3353.17,2510.04,2020.8,2002.95,1927.17,2100.8]","[]","[64326.7,23215.5]","[]"
199,284500,2494,370129,1,0.015756,101198,1.26459,0.99242,0.995421,1,1,0.853197,0.99765,1,1,0,0,2,"[1,1]","[1,0]","[179260,129974]","[0.672935,-0.48392]","[-0.929899,-2.87695]","[221403,145492]","[0.00482941,-0.0354233]","[-1,1]","[11,13]","[1,1]","[78385.3,1852.19]","[3707.83,-297.683]","[-0.00241917,-0.034592]","[0.26559,5.8504]",292286,2.86317,9,"[286180,208501,147794,65123.8,43640,28077.8,25469.5,23388,21576.4]","[1.0411,0.0885216,-1.0712,-1.17262,-2.14671,-1.95204,1.65354,0.78404,-0.232388]","[-1.23444,3.06196,0.138963,1.71218,1.89749,-3.11575,2.64401,2.81807,-0.28159]","[457427,211601,241400,115894,189302,101005,69247.8,31244.9,22431.5]","[0.968062,1,1,0.998626,0.753962,0.9898,0.947426,0.992492,1]","[5,5,5,0,5,5,0,0,0]","[1,1,1,0,0,0,0,0,0]","[0.973807,0.923385,0.999555,-0.621119,-0.882916,-0.786243,0.416061,-0.368807,-0.758409]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[599872,471604]","[0.905239,-0.875819]","[-1.13652,0.631826]","[877438,689121]","[159028,183142]","[1,1]","[1.10339,0.995188]","[0.562321,0.48966]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1777.08,2936.06]",2139.44,"[4393.22,2391.98,9327.64,3481.48,4423.52,2906.77,1934,2978.99,1660.01]","[]","[13009.4,30615.6]","[]"
208,284500,487,370129,1,0.015756,101198,1.22586,0.97994,1,1,1,1.17148,1.00632,1,1,0,0,1,"[1]","[1]","[212628]","[0.587072]","[0.528188]","[250334]","[0.0467663]","[1]","[11]","[1]","[0]","[1379.88]","[0.0291924]","[4.60272]",711822,-1.30046,8,"[784615,632872,455461,446546,257131,198639,76613.7,34555.7]","[-0.577574,0.836004,0.788536,-0.884851,-0.248658,-1.18236,0.748049,1.23124]","[2.03556,-1.23763,0.175175,2.4737,3.0563,2.12464,-0.671124,-2.20598]","[921804,872865,605466,633962,265965,355253,100003,64699.4]","[1,0.982999,0.999672,0.994045,0.992336,1,0.998779,0.997493]","[4,5,5,5,5,0,0,0]","[1,1,1,1,1,0,0,0]","[0.900209,0.977279,0.741166,-0.104924,0.856724,-0.848935,-0.77958,-0.869769]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",4,"[1.37982e+06,662586,641832,254956]","[-0.758838,0.837832,0.739475,-0.232337]","[2.18339,-1.197,0.298982,3.04814]","[1.84536e+06,920014,835470,262449]","[421700,141505,128943,17455.3]","[1,1,1,1]","[1.20453,1.62994,0.523273,2.4775]","[0.556593,0.530742,0.583917,0.540365]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1062.33]",49541,"[27903.2,19813.1,8970.78,4829.46,4428.5,10762.7,3481.76,2215.85]","[]","[76375.8,39854,52353.8,11386.2]","[]"
313,284500,4849,370129,1,0.015756,101198,0.75088,0.9652,1,1,1,1.00759,0.98592,1,1,0,0,1,"[1]","[1]","[66876.9]","[-1.21619]","[-2.0738]","[122741]","[-0.00590134]","[-1]","[11]","[1]","[0]","[-444.354]","[0.00726798]","[0.646744]",532736,0.161451,7,"[542656,486959,321735,310972,172761,111069,97142.3]","[0.886823,-0.45615,-0.381979,1.20398,1.25298,0.734333,0.0121792]","[2.49536,-1.42304,-2.30264,1.22143,2.66898,0.817144,-0.996016]","[775616,540620,346362,565053,327274,142869,97957.9]","[1,0.998004,0.987015,0.992044,0.993513,1,0.997686]","[4,5,5,0,5,5,0]","[1,1,1,0,1,1,0]","[0.683886,-0.875493,0.999931,-0.819219,0.943873,0.994253,-0.510101]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[866013,712714,399485]","[-0.541361,0.980884,1.10014]","[-1.71387,2.54228,1.13469]","[1.13364e+06,1.0957e+06,676511]","[541319,159951,115234]","[1,1,1]","[1.29185,1.31411,0.756969]","[0.67663,0.481316,0.578859]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[209.461]",3011.31,"[8177.67,5178.98,6798.97,6146.47,4260.32,1508.23,2208.5]","[]","[16089.4,25747.9,29314.3]","[]"
324,284500,4897,370129,1,0.015756,101198,0.923924,1,0.993595,1,1,1.01776,0.9715,1,0,1,0,1,"[1]","[1]","[161382]","[0.537143]","[2.61749]","[185228]","[-0.0267582]","[-1]","[13]","[1]","[0]","[-5.77405]","[0.0169256]","[3.40391]",584859,1.12061,9,"[368032,268846,153366,152011,140695,109182,33549.4,32147,20140.7]","[-0.177178,-0.425768,0.55307,-0.747014,-0.369402,-1.57129,-1.45774,0.905008,0.101272]","[-1.4072,-1.99951,0.358656,-1.28771,2.73526,2.55296,-2.20039,3.02839,-0.0108805]","[378688,294541,179580,197108,152024,274277,76163.5,46755.8,20427]","[0.991341,0.99034,0.994696,0.999311,0.99,0.983177,1,0.975361,0.989738]","[4,0,0,5,0,5,5,0,0]","[1,0,0,1,0,1,1,0,0]","[-0.108506,-0.905285,-0.857663,0.995766,-0.588693,0.998324,0.988288,-0.5898,-0.69084]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[722092]","[-0.400526]","[-1.57445]","[835621]","[297706]","[1]","[1.17878]","[0.402621]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2786.18]",5796.31,"[6105.06,4047.97,4173.22,5123.28,2547.48,3644.5,2202.83,4891.32,1295.59]","[]","[8322.88]","[]"
