event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,343,387154,1.00633,0.46603,20793.7,0.553627,1,0.993926,1,1,1.0146,0.753185,1,0,1,0,1,"[1]","[1]","[237077]","[-0.243302]","[2.65149]","[244129]","[0.0123653]","[1]","[13]","[1]","[2031.8]","[-815.326]","[0.00838121]","[1.62741]",274134,2.54505,4,"[107558,77365.8,49614.9,28805.2]","[-0.789924,0.340537,0.744874,0.754723]","[2.65306,-0.765541,0.0663498,1.70245]","[143515,82692.3,64261.9,37824]","[0.992078,0.99935,0.97469,0.990305]","[0,5,4,0]","[0,1,1,0]","[-0.884752,0.996837,0.515808,-0.833428]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[506792]","[1.97463]","[-0.590249]","[1.86066e+06]","[12292]","[0]","[4.85141]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9763.67]",2449.78,"[2663.09,5372.57,5079.52,5247.35]","[]","[39092]","[]"
1,284500,789,387154,1.14655,0.46603,20793.7,0.738662,0.99211,1,1,1,0.99658,0.9918,1,1,0,0,1,"[1]","[1]","[432516]","[-0.660731]","[-1.1855]","[530412]","[0.0663452]","[-1]","[11]","[1]","[29752]","[2822.37]","[-0.0204287]","[2.34997]",250110,-1.3159,2,"[1.00116e+06,34074]","[0.352011,-0.0883224]","[1.7826,1.27337]","[1.07255e+06,34409.2]","[0.996351,0.843608]","[0,0]","[0,0]","[-0.21178,-0.855542]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[978148,648380]","[0.381928,-0.732919]","[1.7831,-1.19001]","[1.06055e+06,835123]","[146669,88116.1]","[1,1]","[1.72898,0.63432]","[0.707538,0.530839]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3695.37]",1686.08,"[14932.5,2410.52]","[]","[51813.9,74556.1]","[]"
2,284500,572,387154,1,0.46603,20793.7,0.619412,0.97994,1,1,1,0.963587,1.00632,1,1,0,0,1,"[1]","[1]","[236998]","[0.487856]","[-0.220784]","[265765]","[-0.013504]","[1]","[11]","[1]","[0]","[-75.6979]","[0.0141239]","[2.09389]",64027.4,0.691278,5,"[229299,213937,140408,110068,49649.5]","[0.218285,-0.297418,0.0806291,-0.0509749,0.94372]","[-0.53295,2.87316,2.70898,-2.67952,2.01411]","[235135,224692,141033,111305,74064.5]","[0.993654,0.994992,1,0.994968,0.993598]","[5,4,0,5,0]","[1,1,0,1,0]","[0.976811,-0.284377,-0.91089,0.899406,-0.901958]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[487376,422215]","[0.331653,-0.16603]","[-0.373819,2.97699]","[524961,460321]","[104635,169323]","[1,1]","[0.309841,1.27772]","[0.061232,0.368435]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1246.02]",1371.07,"[1906.22,7183.12,7606.27,7592.45,2204.12]","[]","[1671.47,7448.72]","[]"
3,284500,741,387154,1,0.46603,20793.7,0.738662,0.96311,1,1,1,1.00666,1.00058,1,1,0,0,1,"[1]","[1]","[57308]","[-1.56301]","[-1.86086]","[142774]","[0.0481567]","[1]","[11]","[1]","[2030.29]","[993.4]","[-0.00904131]","[0.457507]",300050,-1.36103,3,"[352715,32067,23405.4]","[0.110566,0.36189,0.131588]","[1.80287,0.459018,1.19969]","[362474,34703.3,24109.4]","[0.989089,0.997825,0.959461]","[4,5,0]","[0,1,0]","[-0.723082,0.997272,-0.811042]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[354635]","[0.0961669]","[1.79807]","[364670]","[77789.4]","[1]","[0.672589]","[0.595607]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[449.23]",20885,"[3752.62,2945.39,1762.59]","[]","[2463.03]","[]"
4,284500,1115,387154,1,0.46603,20793.7,0.596562,0.97332,1,1,1,0.930581,1,1,1,0,0,1,"[1]","[1]","[72705.3]","[-0.80476]","[-2.72517]","[97547]","[0.0576982]","[-1]","[11]","[0]","[0]","[1097.72]","[0.0162767]","[1.7673]",336780,0.800777,3,"[245743,29963.7,23539.3]","[-1.33948,-0.907547,-1.83107]","[-2.26475,-0.27711,-2.69314]","[501697,43478.3,75469.7]","[0.994805,0.99005,0.987254]","[5,5,0]","[1,1,0]","[0.99702,-0.912748,-0.842379]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[292428]","[-1.23396]","[-2.37056]","[553446]","[97532]","[1]","[0.718689]","[0.679922]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[255.864]",35472.2,"[8395.2,4939.89,2170.5]","[]","[5275.44]","[]"
5,284500,1222,387154,1,0.46603,20793.7,0.934886,1,0.993869,1,1,0.954844,0.740132,1,0,1,0,1,"[1]","[1]","[41005.9]","[0.642566]","[2.50787]","[49766.8]","[0.0138931]","[1]","[13]","[1]","[0]","[-311.255]","[-0.00532207]","[0.677406]",369835,2.6783,6,"[304227,164812,101862,48265.5,43503.2,32781.2]","[-0.312901,-0.516194,-1.0479,-0.0029079,0.3175,-0.172247]","[-0.953534,-0.578603,2.03569,1.22577,-0.160526,-0.251397]","[319477,187523,163364,48986,45907.7,33405.8]","[0.998795,0.99,0.995246,0.997657,0.99675,0.983518]","[5,4,5,0,0,0]","[1,1,1,0,0,0]","[0.993855,0.254644,0.997793,-0.947612,-0.42093,-0.651649]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[511643]","[-0.30221]","[-0.749011]","[563453]","[176224]","[1]","[1.66685]","[0.503215]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[252.289]",13348.9,"[5816.97,10087.6,1571.06,6293.96,4135.7,2550.03]","[]","[19478.9]","[]"
6,284500,1477,387154,1,0.46603,20793.7,1.74563,0.98697,1,1,1,0.982182,1.00582,1,1,0,0,1,"[1]","[1]","[150787]","[-0.609791]","[0.141616]","[179701]","[0.0139542]","[1]","[11]","[1]","[3545.29]","[1005.32]","[-0.0158227]","[2.00847]",305077,-1.97022,3,"[169872,143839,74759.3]","[-0.363748,0.13375,1.50345]","[0.851209,2.29752,-2.78432]","[183523,145375,176812]","[0.9984,0.977216,0.994938]","[5,5,0]","[1,1,0]","[0.990953,0.972783,-0.822652]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295221]","[-0.506524]","[0.495529]","[358349]","[130072]","[1]","[0.739509]","[0.389877]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[985.593]",6749.78,"[2664.46,3097.37,2343.55]","[]","[4093.75]","[]"
7,284500,1531,387154,1,0.46603,20793.7,1.55465,1,1.00073,1,1,0.980258,0.906919,1,0,1,0,1,"[1]","[1]","[135558]","[-1.12107]","[0.155822]","[230046]","[0.0327816]","[1]","[13]","[1]","[0]","[-282.314]","[-0.0312463]","[5.16947]",326713,1.33793,4,"[320503,122788,118779,23059.1]","[-0.289795,-0.694846,-1.33718,0.313072]","[-2.31446,-2.17074,-0.686601,2.99892]","[335256,153913,242213,24757.8]","[0.998821,0.975049,0.977244,0.98324]","[0,0,5,5]","[0,0,1,1]","[-0.959194,-0.603941,0.723753,-0.691013]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[454854]","[-0.432062]","[-2.26895]","[507424]","[97471.7]","[1]","[1.02269]","[0.751124]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3277.64]",7176.88,"[8491.57,8817.79,5798.5,1211.67]","[]","[26197.1]","[]"
8,284500,774,387154,1,0.46603,20793.7,0.738662,0.97994,0.997069,1,1,0.930269,1.00632,1,1,1,0,2,"[1,1]","[1,1]","[229278,149800]","[0.237793,0.942544]","[-0.813867,2.31299]","[235791,221414]","[-0.0974655,-0.0352306]","[1,-1]","[11,13]","[1,1]","[36131.6,1167.48]","[7231.92,137.492]","[-0.00972663,0.0173287]","[1.79961,3.79571]",381394,2.45388,3,"[94648.5,89936.8,20244.8]","[-2.30216,1.0139,2.0379]","[0.795804,-2.91017,-1.6488]","[477904,141163,79077.5]","[0.991661,0.96773,0.998139]","[0,5,0]","[0,1,0]","[-0.833708,0.290884,-0.784611]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[590525]","[0.262612]","[-0.640087]","[618659]","[97011.1]","[1]","[0.445907]","[0.333073]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1300.19,1736.11]",7868.81,"[7536.66,7488.33,1117.69]","[]","[31519.8]","[]"
9,284500,672,387154,1.43917,0.46603,20793.7,0.619412,0.97921,1,1,1,1.02837,1.00192,1,1,0,0,1,"[1]","[1]","[73440.4]","[-0.56818]","[-1.8139]","[85617]","[0.0379276]","[-1]","[11]","[1]","[0]","[-926.511]","[-0.00381579]","[0.460812]",501117,-2.84908,6,"[152027,148163,143560,96934.1,55629.4,22103.6]","[-1.5646,-0.663669,-0.180983,-0.727594,-2.00272,0.720697]","[0.351633,0.304688,-2.63705,-0.386777,0.344034,1.00568]","[380497,182736,146765,124755,210059,28421.3]","[0.998169,0.989614,0.993338,0.994657,0.995232,0.903669]","[0,5,0,5,0,0]","[0,1,0,1,0,0]","[-0.796709,-0.604651,-0.701514,0.99675,-0.567153,-0.742351]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[430991]","[-0.412815]","[0.455343]","[510268]","[202794]","[1]","[0.998511]","[0.23357]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[619.653]",1626.25,"[3540.52,1971.03,5222.33,2387.22,11741.2,1847.41]","[]","[1935.62]","[]"
