event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,969,387157,1.42495,0.46702,51998.4,0.738662,0.968955,1,1,1,0.947041,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[126517,81945.3]","[-0.48353,-1.00914]","[2.7601,0.233808]","[141597,127334]","[0.0460052,0.028553]","[-1,1]","[11,11]","[1,1]","[2217.52,0]","[-243.479,570.667]","[0.024062,0.0146532]","[2.16073,1.42742]",239098,2.75461,6,"[246712,218726,175786,130591,25510.2,22964.2]","[-0.040927,-0.759223,-0.373924,-1.02367,0.045208,1.33212]","[-0.742323,2.42838,-0.232888,-0.513841,-2.72396,-2.31849]","[247199,285756,189234,205321,26083,46799.8]","[1,1,0.996193,0.995784,1,0.969118]","[0,5,5,0,5,0]","[0,1,0,0,1,0]","[-0.92103,0.980659,0.988037,-0.840284,0.0522148,-0.923845]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[575865,338874]","[-0.554968,-0.683329]","[-0.425955,2.56074]","[752348,429378]","[348347,83818.3]","[1,1]","[1.17745,0.80252]","[0.50016,0.675541]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1099.8,554.272]",15362.6,"[3617.32,10498.8,2410.58,9356.17,1958.49,1751.59]","[]","[20499.8,15776.8]","[]"
2,284500,560,387157,1.07068,0.46702,51998.4,0.619412,0.96787,1,1,1,0.987067,0.98743,1,1,0,0,1,"[1]","[1]","[127451]","[-0.0337077]","[1.64707]","[127523]","[0.0271263]","[1]","[11]","[1]","[1360.07]","[1564.48]","[0.020125]","[2.42948]",209040,-0.27773,7,"[266059,90752.4,53000.2,42130.9,37784.5,26955.7,24691]","[1.06684,-0.583046,-1.14995,-1.06274,-0.520798,0.653182,-0.783791]","[2.90224,-1.86634,0.573103,-1.3931,-0.719359,-2.72252,-0.0691825]","[432699,107382,92568.5,68451.5,43524.8,33360.1,33187.4]","[0.996145,0.975305,0.994532,0.805619,0.964023,0.996451,1]","[0,5,0,4,4,0,0]","[0,1,0,0,0,0,0]","[-0.928728,0.274847,0.110637,0.910649,0.401997,-0.742212,-0.706116]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[288547]","[1.08515]","[2.90008]","[476049]","[16179.8]","[0]","[2.01053]","[0.491331]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[530.521]",8969.44,"[4814.1,5482.39,2775.34,3616.29,3389.88,2894.4,1697.93]","[]","[1247.72]","[]"
4,284500,1062,387157,1,0.46702,51998.4,0.402058,0.95734,1,1,1,0.970917,0.96953,1,1,0,0,1,"[1]","[1]","[34693.3]","[0.91478]","[-1.77338]","[50250.3]","[0.0261765]","[-1]","[11]","[1]","[0]","[845.433]","[-0.00857924]","[0.78667]",187917,2.14823,4,"[205647,135748,52883.2,36653.2]","[0.694756,0.659049,-0.221831,0.524098]","[-0.386398,-2.78621,-0.727963,1.50985]","[257429,166807,54317.8,42147.2]","[0.994666,0.998492,0.982231,0.992151]","[5,5,0,0]","[1,1,0,0]","[0.99077,0.855488,-0.81835,-0.236275]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257688]","[0.503039]","[-0.45596]","[306587]","[96558.1]","[1]","[0.54405]","[0.672527]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[27.4001]",5913.39,"[3840.54,1857.42,4661.06,2152.67]","[]","[0]","[]"
8,284500,945,387157,1.12127,0.46702,51998.4,0.738662,0.98916,1,1,1,0.888993,0.99765,1,1,0,0,1,"[0]","[1]","[106498]","[0.622812]","[-0.62797]","[127830]","[-0.00139046]","[1]","[11]","[1]","[1559.19]","[-793.056]","[0.0806788]","[8.89088]",449398,-0.388019,4,"[486523,37982.9,21734.7,20788.6]","[0.488607,1.08011,1.10354,0.847868]","[2.70857,-1.41433,2.29249,1.85917]","[556502,62717.8,36569.3,28891.3]","[0.991484,0.991286,0.987713,1]","[5,5,0,0]","[1,1,0,0]","[0.966285,0.636259,-0.783607,0.733818]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[479535]","[0.506115]","[2.70847]","[552077]","[103575]","[1]","[1.15217]","[0.352576]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[587.755]",20565.1,"[17705.8,2167.49,2179.28,1148.44]","[]","[11261.7]","[]"
10,284500,1265,387157,1.1543,0.46702,51998.4,0.934886,0.98536,1,1,1,1.00909,0.9918,1,1,0,0,1,"[1]","[1]","[124718]","[-0.584996]","[-0.982965]","[146674]","[-0.00576019]","[-1]","[11]","[1]","[0]","[-34.6664]","[-0.0027936]","[0.342838]",358007,-0.0759834,6,"[357368,228920,142632,86730.5,46359,45439.1]","[-1.92003,-0.275756,-0.707504,-0.417536,1.23009,-1.92604]","[1.98385,-2.35269,-2.1095,-3.00441,0.563921,2.45455]","[1.24744e+06,238986,179944,95313,86354.7,159461]","[0.997018,1,0.958995,1,1,0.986234]","[0,0,4,5,0,0]","[0,0,1,1,0,0]","[-0.804918,-0.912521,-0.904967,0.998976,-0.421926,-0.918565]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[393758,355922]","[-0.505059,-1.92665]","[-2.33013,2.00508]","[467776,1.25121e+06]","[144015,91315.5]","[1,0]","[1.36167,1.22266]","[0.275181,0.782974]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[668.868]",12184.7,"[11519.4,2809.4,2677.21,1354.6,3891.39,2299.96]","[]","[34955.4,12314.4]","[]"
11,284500,1353,387157,1.21923,0.46702,51998.4,1.08735,1,1.00032,1,1,1.01769,1.01444,1,0,1,0,1,"[1]","[1]","[39388.2]","[-1.39836]","[-2.9155]","[84596.7]","[0.0133743]","[1]","[13]","[1]","[0]","[-721.376]","[-0.0176484]","[1.66074]",390623,0.364465,9,"[225523,210548,123718,75138.4,59217.5,43105,35029,30200.1,24157.9]","[0.244141,1.15278,-0.5491,-0.0230918,-0.163937,1.21365,0.830365,0.0678191,1.40963]","[-3.05568,-1.3478,-2.84397,1.39963,2.06748,1.82072,-1.03481,2.78522,-1.90173]","[233240,368468,143357,75604.9,60828.3,79098.9,47990.5,30398.6,52667.4]","[0.999329,0.998243,0.980638,0.982144,0.999844,0.986128,0.999274,0.966315,0.996108]","[0,0,5,4,0,5,0,0,0]","[0,0,1,1,0,1,0,0,0]","[-0.942576,-0.885987,0.997417,-0.902036,-0.813515,0.828868,-0.885639,-0.880823,-0.867904]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[355000]","[0.0175426]","[-3.01289]","[385604]","[150422]","[1]","[0.925119]","[0.596008]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[220.465]",9164.34,"[4935.28,7510.95,2560.76,7462.92,6928.81,2049.68,2209.3,2405.54,3264.14]","[]","[21894.6]","[]"
14,284500,732,387157,1,0.46702,51998.4,0.738662,0.96709,1,1,1,0.944785,1.00936,1,1,0,0,1,"[1]","[1]","[112105]","[-0.00205676]","[2.22114]","[112105]","[-0.0143394]","[-1]","[11]","[1]","[0]","[398.598]","[0.00698675]","[0.828987]",160330,-0.80718,4,"[248709,160794,71472.7,23348.6]","[0.0852028,-0.474181,1.69318,0.198746]","[2.71116,-0.748436,0.103806,-3.11228]","[252285,180128,201050,24282.5]","[0.996679,1,0.952922,0.931918]","[5,5,0,0]","[1,1,0,0]","[0.991993,0.999996,-0.826595,-0.819602]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[380623]","[0.0853864]","[2.5836]","[399589]","[117212]","[1]","[1.2666]","[0.548183]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[521.984]",8222.38,"[2121.23,7312.14,3775.82,2011.43]","[]","[2138.91]","[]"
15,284500,1872,387157,1.06966,0.46702,51998.4,1.24168,0.9823,1,1,1,0.964919,1,1,1,0,0,1,"[1]","[1]","[138441]","[0.371093]","[-2.29956]","[148083]","[-0.0487595]","[-1]","[11]","[0]","[36282.4]","[4721.74]","[-0.0401935]","[3.05313]",84063.3,-2.56635,4,"[360666,275723,201362,26167.2]","[-1.71122,-0.0211829,-0.597524,1.31748]","[2.24734,0.295174,-0.061648,-0.490903]","[1.03184e+06,277079,241829,52639.9]","[0.993033,0.994174,0.998647,0.994243]","[0,0,5,0]","[0,0,1,0]","[-0.980133,-0.892219,0.996691,-0.81749]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[463615,380145,369128]","[-0.225077,-1.68662,0.475432]","[0.145999,2.25442,-2.09101]","[506197,1.06296e+06,417635]","[173849,49396.4,70524.2]","[1,0,1]","[1.00773,1.89005,1.00776]","[0.562125,0.705468,0.37736]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[695.411]",1068.98,"[10088.5,6492.37,7978.9,2210.59]","[]","[40944.2,31640.9,41652.9]","[]"
19,284500,3418,387157,1.09842,0.46702,51998.4,1.25133,0.95586,1,1,1,0.938322,0.97537,1,1,0,0,1,"[1]","[1]","[34905.7]","[0.757311]","[2.20237]","[45402.9]","[0.0234032]","[1]","[11]","[1]","[0]","[14.1389]","[-0.0117623]","[1.17957]",107666,0.66822,4,"[386967,250261,139897,21740.1]","[0.769867,0.389862,-0.380879,0.894423]","[-1.09245,2.66126,1.74244,-0.580589]","[513341,270946,150587,31330.2]","[0.995033,0.990625,1,0.942311]","[5,0,5,0]","[1,0,1,0]","[0.91697,-0.896637,0.659894,-0.839023]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[368805,274883]","[0.796674,0.476145]","[-1.08267,2.60535]","[497734,316946]","[74240,80180]","[1,0]","[1.29214,1.63079]","[0.424366,0.585378]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[64.3087]",2707.62,"[4306.95,5762.05,1521.15,3536.41]","[]","[14622.1,14000.8]","[]"
24,284500,3808,387157,1,0.46702,51998.4,1.21412,0.98697,1,1,1,1.129,1.00582,1,1,0,0,1,"[1]","[1]","[242663]","[-0.628157]","[-2.74122]","[292133]","[0.0396233]","[1]","[11]","[1]","[0]","[242.258]","[-0.0207881]","[3.13572]",51615.4,1.09099,6,"[285290,150040,81884.8,78752.9,23354.5,20936.8]","[-0.684537,-0.269504,-0.277738,0.080787,-1.94951,-1.10088]","[0.091085,-3.14031,-0.219495,1.89953,-2.45839,0.573654]","[354854,157013,85408.5,79363.6,83840.3,35313.7]","[0.994326,0.999034,0.638248,0.9924,0.988363,0.98]","[0,5,0,0,0,0]","[0,1,0,0,0,0]","[0.967018,0.970756,-0.957413,-0.554498,-0.795214,-0.94803]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[394436,342438]","[-0.486044,-0.595451]","[-2.87957,0.0285247]","[455537,409847]","[110422,63099.1]","[1,1]","[0.85679,0.140636]","[0.647264,0.527805]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1492.47]",8627.32,"[5706.5,1853.74,2354.7,4162.39,1613.98,1129.81]","[]","[24239.1,5449.56]","[]"
