event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,12970921,364172,-1,832.204,1.04079e+07,0.738662,0.98428,1,1,1,1,1.00121,1,1,0,0,1,"[1]","[1]","[261776]","[-1.89654]","[2.0894]","[891724]","[0.0920258]","[1]","[11]","[1]","[0]","[918.069]","[-0.01202]","[0.936193]",243102,-1.13799,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295744]","[-1.96827]","[2.15539]","[1.08099e+06]","[62854.1]","[0]","[0.899379]","[0.58235]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2418.36]",537.188,"[]","[]","[5550.91]","[]"
1,284500,6179193,364172,-1,832.204,1.04079e+07,0.351687,0.97014,1,1,1,0.995666,0.96677,1,1,0,0,2,"[1,0]","[1,0]","[53777.5,8135]","[0.607988,-2.16346]","[1.00623,0.179952]","[64026.8,35859.5]","[-0.0695686,-39.4573]","[1,1]","[11,11]","[1,0]","[0,0]","[1361.67,67.381]","[-0.0101795,-0.321891]","[1.33797,9.69824]",32947.8,-0.82799,5,"[174883,154120,151855,120840,44151.2]","[1.65004,0.85807,-2.05647,-1.30718,0.878279]","[2.47439,2.04195,-0.48487,-1.19424,-2.63484]","[472524,215949,603732,240179,62936.7]","[0,0.014093,0.00232773,0,0.994844]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.801863,-0.989476,-0.785414,-0.735672,-0.792957]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[328069]","[1.37547]","[2.27344]","[705246]","[143329]","[0]","[0.786608]","[0.682908]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[177.3,132.526]",16847.3,"[4296.82,2776.16,10007.6,12195.5,4957.07]","[]","[22127.7]","[]"
2,284500,5552230,364172,1.7862,832.204,1.04079e+07,1.25133,0.98089,1,1,1,0.998608,0.99866,1,1,0,0,1,"[0]","[1]","[212549]","[-1.07882]","[1.25299]","[348708]","[-0.00673008]","[-1]","[11]","[1]","[0]","[3548.73]","[0.045937]","[4.65702]",240011,-1.7815,2,"[31466.8,21882.1]","[0.929851,-0.349426]","[2.82035,1.11397]","[46487.9,23748.7]","[0.987343,0.98492]","[0,0]","[0,0]","[-0.894097,-0.820466]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260217]","[-1.07789]","[1.24659]","[426620]","[4112.73]","[0]","[4.21232]","[0.0711448]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3153.1]",14342.5,"[5017.72,1635.54]","[]","[14492]","[]"
3,284500,10376340,364172,1,832.204,1.04079e+07,1.22586,0.95055,1,1,1,0.974714,0.97731,1,1,0,0,1,"[1]","[1]","[27545.6]","[0.837037]","[3.09682]","[37771.9]","[0.0193977]","[1]","[11]","[1]","[0]","[-413.261]","[-0.022077]","[1.93318]",28568.5,-0.328213,2,"[415347,406602]","[-0.233504,0.761529]","[2.3753,-0.763059]","[427874,531022]","[0.995373,0.99]","[4,5]","[0,0]","[0.621885,-0.631506]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[413992,407610]","[0.782585,-0.205912]","[-0.763743,2.37528]","[547743,417070]","[20259.8,25628.2]","[0,0]","[2.03143,1.53905]","[0.534986,0.102227]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[269.403]",8099.06,"[6664.35,4914.17]","[]","[25068,32393.9]","[]"
4,284500,11667121,364172,1,832.204,1.04079e+07,1.26205,0.96654,1,1,1,0.996197,0.99197,1,1,0,0,1,"[1]","[1]","[31914.7]","[-0.191877]","[-2.04865]","[32504.1]","[123.458]","[1]","[11]","[1]","[0]","[-459.339]","[0.00590011]","[0.661782]",76434.7,-2.60713,5,"[262419,144424,112034,87384.3,40668.7]","[0.656471,-0.86345,0.412615,-0.173459,-0.270947]","[-0.592497,2.14585,-2.371,2.13739,1.42394]","[322027,202946,122951,89956.8,42920.6]","[0.993341,0.996976,0.975468,1,0.987976]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.831228,-0.582178,-0.256159,-0.533904,-0.703157]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274321]","[0.625017]","[-0.595174]","[330791]","[27220.6]","[0]","[1.65996]","[0.596719]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[52.5265]",2654.7,"[3570.22,4978.43,3113.7,2936.81,5761.79]","[]","[1701.91]","[]"
5,284500,8144311,364172,1,832.204,1.04079e+07,0.696077,0.96819,1,1,1,0.998087,0.95922,1,1,0,0,1,"[1]","[1]","[45902.3]","[-1.08636]","[-1.23934]","[75759.9]","[-74.0969]","[-1]","[11]","[1]","[0]","[-589.802]","[-0.0144357]","[1.49656]",66880.9,1.87232,4,"[358838,280413,43579.1,24347.6]","[-0.819447,0.0844485,0.907172,0.470668]","[-1.55235,1.57762,1.48611,1.86488]","[486588,283140,63056.8,27365.1]","[0.993323,0.998494,0.982723,0.937567]","[0,0,0,0]","[0,0,0,0]","[-0.947855,-0.90407,-0.92419,-0.92885]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[407247,318112]","[-0.841517,0.232297]","[-1.5134,1.56812]","[562683,341081]","[53269.3,97882.1]","[0,0]","[1.57008,1.83716]","[0.645085,0.776838]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[132.604]",7656.38,"[9035.19,3188.46,3355.4,2709.67]","[]","[3586.81,332.156]","[]"
6,284500,8785601,364172,-1,832.204,1.04079e+07,1.26459,0.94641,1,1,1,0.996992,1.02175,1,1,0,0,1,"[1]","[1]","[37599.8]","[-2.06172]","[1.45116]","[150149]","[0.0550232]","[1]","[11]","[1]","[0]","[308.607]","[0.00941481]","[0.863581]",91534.2,-0.535318,4,"[351216,163388,103235,77131]","[1.80716,0.0101574,-0.148071,-1.00345]","[2.95778,-0.755838,0.0131712,0.95034]","[1.09916e+06,163783,105398,120163]","[0,0,0.240106,0]","[0,0,0,0]","[0,0,0,0]","[-0.811625,-0.796686,-0.727999,-0.80746]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[352988]","[1.78254]","[2.9568]","[1.07929e+06]","[27712]","[0]","[2.09236]","[0.572805]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[450.143]",2004.11,"[5457.49,3117.65,3418.36,2098.55]","[]","[8865.91]","[]"
7,284500,5712916,364172,1,832.204,1.04079e+07,1.22586,0.9623,1,1,1,0.997316,0.96784,1,1,0,0,1,"[1]","[1]","[28319.2]","[-0.395436]","[-0.753374]","[30562.4]","[0.00902557]","[-1]","[11]","[1]","[0]","[-273.173]","[-0.0120393]","[0.967099]",113413,2.4319,3,"[223630,128391,22503.2]","[-0.853004,1.1844,-0.0130177]","[-0.847842,2.10719,-1.01105]","[311259,230582,22623.2]","[0.0163217,0,0.993507]","[0,0,0]","[0,0,0]","[-0.736731,-0.776597,-0.826976]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273990]","[-0.757513]","[-0.832684]","[366884]","[86944.1]","[0]","[1.93381]","[0.725128]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[46.8609]",2550.98,"[11527,7614.64,1806.09]","[]","[21476.6]","[]"
8,284500,16755603,364172,1,832.204,1.04079e+07,1.22586,1.00588,1,1,1,1,1.00306,1,1,0,0,1,"[1]","[1]","[229176]","[1.13677]","[0.54962]","[393901]","[-117.196]","[1]","[11]","[1]","[1208.28]","[869.141]","[0.0307516]","[3.55295]",230536,-2.59147,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251268]","[1.14598]","[0.544991]","[435839]","[24968.9]","[0]","[31.3311]","[0.16643]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3042.5]",0,"[]","[]","[0]","[]"
9,284500,15936741,364172,-1,832.204,1.04079e+07,1.21412,0.96435,1,1,1,0.997911,0.9595,1,1,0,0,1,"[1]","[1]","[40931.2]","[-0.664802]","[2.23764]","[50314.3]","[-61.6668]","[1]","[11]","[1]","[1314.8]","[-222.596]","[0.0153303]","[1.18418]",47817.5,-1.07488,3,"[262272,208421,46595.3]","[-0.570457,0.412111,1.64848]","[-0.429225,2.86044,2.04689]","[306703,229470,125690]","[0.994985,0.98833,0.995332]","[0,0,0]","[0,0,0]","[-0.95592,-0.832907,-0.673252]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264584]","[-0.563783]","[-0.433079]","[308499]","[21356.1]","[0]","[1.76466]","[0.743454]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[72.4607]",5737.67,"[7139.43,2711.89,2264.5]","[]","[0]","[]"
