event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
247,284500,3480,364183,1,1.19752,4.07524e+06,1.21412,0.95175,1,1,1,1.03797,0.9244,1,1,0,0,1,"[1]","[1]","[49222.1]","[1.25392]","[2.18448]","[93261.6]","[-0.00255585]","[-1]","[11]","[1]","[0]","[-1753.54]","[-0.0195493]","[1.79369]",95248.6,-2.94436,8,"[398102,187128,166096,129100,84308.1,66251.5,63921.2,33883.7]","[0.994365,1.0758,-0.00860251,-1.25302,0.530512,0.609485,0.487066,0.82899]","[-2.89343,0.85761,-0.866132,0.273089,0.869095,-1.22435,-0.132329,1.40788]","[612235,306952,167526,244559,97532,79576,73020,46657.1]","[0.991434,0.99,0.99535,0.993457,0.378416,0,0.992775,0.985402]","[0,5,5,5,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.767798,0.992188,0.98064,0.999018,-0.892775,-0.849576,-0.452789,-0.906074]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[412844]","[1.02035]","[-2.89421]","[647475]","[23222.1]","[0]","[3.05287]","[0.56062]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[205.417]",2825.03,"[5022.37,5022.63,8820.67,4208.39,3112.42,3827.71,5026.35,3911.35]","[]","[9078.88]","[]"
1125,284500,126304,364183,1,1.19752,4.07524e+06,0.923924,0.97361,1,1,1,0.994892,0.98448,1,1,0,0,1,"[1]","[1]","[47031.7]","[-0.368411]","[0.559999]","[50259.7]","[0.0293198]","[-1]","[11]","[1]","[0]","[-439.978]","[-0.00250094]","[0.309276]",21842.7,2.70822,3,"[521557,461453,31582.2]","[1.15183,1.89853,1.81395]","[-1.91953,1.27528,0.490686]","[907968,1.57543e+06,99705]","[0.976959,0.99921,0.985816]","[0,0,0]","[0,0,0]","[-0.844486,-0.89011,-0.83888]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[523863,487175]","[1.12276,1.87617]","[-1.91926,1.2687]","[890815,1.62786e+06]","[32331.9,30895.6]","[0,0]","[5.41043,1.69408]","[0.605172,0.706433]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[102.718]",929.242,"[7052.27,8858.22,6350.3]","[]","[9235.91,19129.1]","[]"
2347,284500,367161,364183,1,1.19752,4.07524e+06,0.696077,0.96654,1,1,1,0.984836,0.9995,1,1,0,0,1,"[1]","[1]","[71677.9]","[2.33601]","[-0.259589]","[374036]","[-0.00657654]","[1]","[11]","[1]","[0]","[1065.64]","[-0.00505082]","[0.369856]",74632.1,1.00958,4,"[1.9876e+06,1.94111e+06,36097.3,30949.8]","[0.149843,-0.801643,2.44862,1.46678]","[-2.71308,0.42783,-3.11597,-2.38817]","[2.01116e+06,2.60082e+06,210533,70900.7]","[0.988772,1,0.996233,1]","[0,0,0,0]","[0,0,0,0]","[0.418646,0.299563,-0.876938,-0.967038]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.88087e+06,1.84574e+06]","[0.111463,-0.838906]","[-2.71193,0.425413]","[1.89288e+06,2.53476e+06]","[34454.5,52468.7]","[0,0]","[0,4.46146]","[-1,0.581341]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[462.037]",20232.4,"[36503.5,33559.1,2142.77,2310.95]","[]","[58455.2,25113.6]","[]"
2810,284500,4748,364183,1,1.19752,4.07524e+06,1.1961,0.97429,1,1,1,0.995185,0.98653,1,1,0,0,1,"[1]","[1]","[51012.1]","[0.321757]","[-2.0418]","[53675.5]","[-0.024765]","[1]","[11]","[1]","[0]","[-689.323]","[0.0207846]","[1.71971]",43414.9,-3.0219,5,"[498689,332727,158138,41210,32522.4]","[-1.96189,0.764296,-0.841038,-1.11917,0.823088]","[0.0824799,2.69979,-2.00527,-2.75551,1.93361]","[1.80879e+06,436283,218189,70182.6,44570.4]","[0.992272,0.984248,0.999896,0.993913,0.993982]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.827586,-0.929624,-0.823585,-0.737189,-0.909129]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[497173,320423]","[-1.97856,0.720864]","[0.0841578,2.70306]","[1.83234e+06,409617]","[19688.8,43093.1]","[0,0]","[3.30988,2.13825]","[0.533718,0.719565]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[137.361]",12713.6,"[21221.2,10232.2,4432.92,2575.54,3644.57]","[]","[2056.88,14687]","[]"
3803,284500,113138,364183,1.04768,1.19752,4.07524e+06,0.619412,0.94157,1,1,1,0.992989,0.99746,1,1,0,0,1,"[1]","[1]","[39267.9]","[-1.84896]","[-1.48647]","[127829]","[-0.0555801]","[-1]","[11]","[1]","[0]","[-637.688]","[-0.0106932]","[0.728326]",54096.4,0.551469,6,"[475604,261661,238698,29265.5,26923.7,24171.7]","[-2.20808,-0.711932,0.525177,-1.65187,-2.31181,1.10834]","[-0.189914,2.8908,3.07424,0.695687,3.06717,-2.69533]","[2.19035e+06,333140,274003,79425.3,137326,41059.7]","[0.998172,0.996226,0.990367,0.99,0.99532,0.68278]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.393781,-0.948686,-0.804778,-0.775673,-0.628771,-0.820912]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262248]","[-0.689376]","[2.89429]","[329562]","[40447]","[0]","[1.11976]","[0.661371]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[676.227]",7398.57,"[9936.32,3501.18,8164.27,3195.05,5488.09,4324.67]","[]","[18963.4]","[]"
3854,284500,114751,364183,1,1.19752,4.07524e+06,0.402058,0.96689,1,1,1,0.867212,1.00136,1,1,0,0,1,"[1]","[1]","[53825.3]","[1.65265]","[1.93573]","[145661]","[0.0288086]","[1]","[11]","[1]","[1755.51]","[2538.37]","[-0.0108722]","[0.693622]",66057.9,-0.639276,6,"[587098,408475,99019.9,55854.8,49492,27760.5]","[1.19686,0.561727,1.87082,2.20625,1.49976,0.173709]","[-3.0406,0.448214,-0.660693,-0.426645,-0.338603,1.82522]","[1.06127e+06,474895,329573,256776,117016,28565.3]","[0.992682,0.996707,0.997182,0.99926,1,0.940266]","[0,4,0,5,0,0]","[0,0,0,0,0,0]","[-0.881361,-0.965675,-0.773968,-0.338411,-0.421421,-0.697228]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[553627,321644]","[1.18716,0.546314]","[-3.03576,0.450296]","[992523,371027]","[38378.3,11514.5]","[0,0]","[3.81109,13.5309]","[0.620118,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[446.023]",13245.9,"[12265.5,5573.07,3012.66,4107.8,2600.3,4603.18]","[]","[45552.2,27306.7]","[]"
3972,284500,115940,364183,1,1.19752,4.07524e+06,0.696077,0.94602,1,1,1,0.990212,0.99829,1,1,0,0,1,"[1]","[1]","[36816.8]","[-1.57826]","[2.55815]","[93014.4]","[0.141476]","[1]","[11]","[1]","[0]","[1331.09]","[0.0333868]","[0.814401]",68576.7,2.22846,4,"[695544,575501,26927.4,24595]","[1.77884,-0.61072,0.251768,-0.993244]","[-1.33008,1.71523,-2.98582,1.30718]","[2.11908e+06,689241,28433.9,37877.8]","[0.995035,1,1,0.999912]","[0,0,0,0]","[0,0,0,0]","[-0.867711,-0.794762,-0.765143,-0.880749]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[725724,575678]","[1.78232,-0.600268]","[-1.32527,1.71787]","[2.21789e+06,684894]","[23920.6,56686.6]","[0,0]","[4.3665,1.63424]","[0.726992,0.752584]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[417.613]",13340,"[10711.2,14960.3,1770.11,1702.05]","[]","[33180.9,17913.1]","[]"
5646,284500,110878,364183,1,1.19752,4.07524e+06,0,0.96654,1,1,1,0.993973,0.99589,1,1,0,0,1,"[1]","[1]","[34858.7]","[-0.150468]","[-1.73907]","[35254]","[0.141487]","[-1]","[11]","[1]","[0]","[44.7778]","[0.00869577]","[0.903125]",195650,-1.18258,8,"[457369,296446,271118,222212,216216,76008.9,56198,20625.4]","[-1.48976,0.375052,2.15557,-0.144495,0.970586,2.26854,-2.10852,-1.08215]","[-0.125823,2.0068,-2.59764,1.32944,-3.02394,2.90692,-0.9382,-0.843155]","[1.06663e+06,319031,1.18604e+06,225671,328422,371345,235007,34280.3]","[0.999576,0.999592,0.994938,0.979517,0.9908,1,0.993451,0.989353]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.720996,-0.958092,-0.746607,-0.965857,-0.876658,-0.884627,-0.906485,-0.882982]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[496874,437990]","[0.151872,-1.5773]","[1.72576,-0.186254]","[550372,1.11172e+06]","[224246,116759]","[0,0]","[0.684342,2.25452]","[0.823225,0.636144]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[125.771]",5454.8,"[9512.17,3095.31,4303.26,5616.39,3664.56,5248.5,5821.1,2647.78]","[]","[7368.78,11632.4]","[]"
5905,284500,123982,364183,1,1.19752,4.07524e+06,1.22586,0.97921,1,1,1,0.993112,1.00192,1,1,0,0,1,"[1]","[1]","[64551.5]","[-0.44869]","[1.49853]","[71159.1]","[0.0779114]","[1]","[11]","[1]","[0]","[1677.82]","[-0.0011464]","[0.120978]",141951,1.19279,3,"[760658,494093,57505.1]","[0.404772,-1.27529,-0.855264]","[-1.83529,1.30458,1.39425]","[823896,958378,80085.9]","[0.979172,0.991646,0.998898]","[0,0,0]","[0,0,0]","[-0.670058,-0.930895,-0.294473]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[760542,647815]","[0.438044,-1.13681]","[-1.83589,1.33358]","[834700,1.13547e+06]","[5224.41,222399]","[0,0]","[0,1.35967]","[-1,0.54751]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[370.249]",5529.48,"[14331.9,9359.71,2883.97]","[]","[44515.2,71323.1]","[]"
6049,284500,126728,364183,1,1.19752,4.07524e+06,0.923924,0.96194,1,1,1,1.04317,1.01532,1,1,0,0,1,"[1]","[1]","[57510.7]","[2.18898]","[-2.51494]","[259894]","[-0.0532494]","[-1]","[11]","[1]","[0]","[-205.302]","[0.0384136]","[1.01146]",80434.4,-0.970622,5,"[539119,465460,233314,102746,55000.2]","[-1.68558,-0.485727,-1.59549,-1.31748,-1.57108]","[-0.751061,2.12061,2.26285,-1.2803,-2.92412]","[1.50487e+06,522379,599310,205866,138287]","[1,1,1,0.99414,0.995321]","[0,0,0,0,5]","[0,0,0,0,0]","[-0.865957,-0.982092,-0.88575,-0.705918,0.854701]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[652793,433299]","[-1.63299,-0.454813]","[-0.835734,2.11801]","[1.74177e+06,479340]","[157411,20703.4]","[0,0]","[1.46206,2.07408]","[0.804796,0.471414]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[358.985]",29491.2,"[7850.72,6646.91,12699.7,4069.16,2589.3]","[]","[2999.62,8217.03]","[]"
