event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
84,284500,362097,364178,-1,35.9173,1.82981e+07,0.553627,0.95138,1,1,1,0.999099,0.99031,1,1,0,0,1,"[1]","[1]","[36279.2]","[0.155768]","[-0.635596]","[36720.3]","[-0.0543442]","[-1]","[11]","[1]","[0]","[-616.422]","[-0.0161181]","[1.11031]",161230,-1.56764,2,"[226324,41172.1]","[0.0985546,-1.12988]","[1.73329,-1.52748]","[227826,70805.7]","[0.990993,0.995866]","[0,0]","[0,0]","[-0.955757,-0.0443678]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255565]","[0.0472002]","[1.74149]","[256126]","[11879.7]","[0]","[2.2055]","[0.286896]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[66.0523]",40394.6,"[2522.48,3557.07]","[]","[1408.86]","[]"
129,284500,121596,364178,1,35.9173,1.82981e+07,0.923924,0.96323,1,1,1,0.987245,1.00493,1,1,0,0,1,"[1]","[1]","[230869]","[-1.35291]","[-2.31022]","[476416]","[0.0201921]","[1]","[11]","[1]","[0]","[259.158]","[-0.0144557]","[1.56906]",25567.1,0.672108,2,"[225616,22700.5]","[0.453637,-1.98307]","[0.716682,-2.60121]","[249841,84098.7]","[1,0.905752]","[0,4]","[0,0]","[-0.731259,-0.692379]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279909]","[-1.42569]","[-2.32863]","[617224]","[39596.3]","[0]","[1.49954]","[0.724385]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3035.2]",10920.2,"[4181.17,1121.68]","[]","[19124.4]","[]"
131,284500,189799,364178,2.63879,35.9173,1.82981e+07,1.26205,0.96972,1,1,1,1.00809,0.99544,1,1,0,0,1,"[1]","[1]","[262318]","[1.27581]","[-0.385629]","[506380]","[-0.0242081]","[1]","[11]","[1]","[0]","[639.024]","[-0.0477691]","[1.86906]",166572,-2.7911,2,"[168914,26290.5]","[-1.55369,-0.770326]","[2.05244,1.35504]","[417518,34801.6]","[0.993965,0.990136]","[5,0]","[0,0]","[0.984949,-0.8976]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[304156]","[1.31354]","[-0.377953]","[606513]","[-0.0078125]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3237.27]",1043.72,"[3567.78,1770.43]","[]","[5790.91]","[]"
264,284500,126123,364178,-1,35.9173,1.82981e+07,0.923924,0.96558,1,1,1,1.03603,0.99746,1,1,0,0,1,"[1]","[1]","[68747.3]","[-1.66639]","[-0.516644]","[188434]","[-0.0367746]","[-1]","[11]","[1]","[0]","[878.75]","[-0.0147002]","[1.58292]",247014,-0.282759,2,"[273287,30386.5]","[-0.734625,0.611311]","[2.67514,-1.35749]","[350860,36890.9]","[0.997293,0.657249]","[0,5]","[0,0]","[-0.870546,0.903362]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266132]","[-0.736375]","[2.6776]","[341854]","[13001.7]","[0]","[3.28047]","[0.488996]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[855.471]",8140.88,"[3439.02,1290.92]","[]","[11231.6]","[]"
269,284500,425935,364178,1,35.9173,1.82981e+07,1.32095,0.96538,1,1,1,0.999265,0.99741,1,1,0,0,1,"[1]","[1]","[47631.2]","[1.73096]","[0.543447]","[138683]","[0.039257]","[-1]","[11]","[1]","[0]","[1561.03]","[-0.0118919]","[1.04906]",172172,0.667479,2,"[260847,41296.3]","[0.732655,0.611289]","[-2.4896,0.830875]","[334665,49503.7]","[0.973883,0.978685]","[0,0]","[0,0]","[-0.89144,-0.898009]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266012]","[0.717953]","[-2.54976]","[339214]","[33389.8]","[0]","[2.36733]","[0.519642]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[247.712]",4698.84,"[7743.09,3165.83]","[]","[4313.73]","[]"
339,284500,458995,364178,1,35.9173,1.82981e+07,1.1961,0.98428,1,1,1,0.997941,1.00121,1,1,0,0,1,"[1]","[1]","[165057]","[-1.86888]","[-1.4717]","[547604]","[-0.0413742]","[1]","[11]","[1]","[0]","[-160.273]","[0.0131028]","[1.64783]",57451.5,-0.739267,4,"[257449,42409.2,37854.8,24679.6]","[-1.07964,-0.709347,0.156691,0.427778]","[1.99083,-0.550689,-1.24607,1.16937]","[425326,53974.5,39299,27387.2]","[1,0.999059,0.994823,0.977468]","[0,0,0,0]","[0,0,0,0]","[-0.876848,-0.881816,-0.79682,-0.700403]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258297]","[-1.06733]","[2.01863]","[423302]","[53322.5]","[0]","[1.24486]","[0.804729]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1618.14]",9451.22,"[4177.56,8281.42,2089.87,1833.81]","[]","[0]","[]"
465,284500,304558,364178,-1,35.9173,1.82981e+07,0.75088,0.97994,1,1,1,0.998992,1.00632,1,1,0,0,1,"[1]","[1]","[442049]","[0.335221]","[-1.21828]","[467120]","[-0.00469208]","[-1]","[11]","[1]","[0]","[-1930.5]","[0.0135137]","[2.30708]",422297,1.60475,2,"[86304.8,58266]","[-0.0833582,-1.05776]","[-2.87099,2.70715]","[87138.3,94371.1]","[0.983251,0.994025]","[0,0]","[0,0]","[-0.987827,-0.778902]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[455478]","[0.314088]","[-1.21927]","[478136]","[2361.07]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3318.43]",3516.84,"[9639.16,3484.9]","[]","[4375.47]","[]"
514,284500,1093620,364178,1.08927,35.9173,1.82981e+07,1.26205,0.98178,1,1,1,0.997931,0.99604,1,1,0,0,1,"[1]","[1]","[103607]","[-2.13406]","[1.22718]","[443824]","[0.0211716]","[1]","[11]","[1]","[1299.7]","[-138.222]","[0.00807226]","[0.59173]",164220,1.40533,3,"[162351,60888,45999.5]","[-1.63702,-0.552238,-1.31059]","[-1.64473,-1.89886,-1.96222]","[433692,70675.2,91751.7]","[0.990792,0.978828,0.982782]","[0,0,0]","[0,0,0]","[-0.964557,-0.863347,-0.922354]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[269878]","[-1.408]","[-1.76175]","[597636]","[124098]","[0]","[1.08924]","[0.480739]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[710.914]",27227.5,"[3495.63,5009.4,3813.58]","[]","[0]","[]"
557,284500,1096520,364178,1,35.9173,1.82981e+07,0.738662,0.98428,1,1,1,0.999685,1.00121,1,1,0,0,1,"[1]","[1]","[176168]","[-1.82361]","[0.314491]","[559826]","[0.0111237]","[-1]","[11]","[1]","[0]","[1783.49]","[-0.0290423]","[4.30658]",119738,0.477985,1,"[277636]","[-0.924483]","[-2.64717]","[405551]","[0.998032]","[0]","[0]","[-0.898668]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285524]","[-0.977575]","[-2.63995]","[433396]","[13949.3]","[0]","[1.75031]","[0.342972]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1267.44]",8576.34,"[5777.26]","[]","[18686.7]","[]"
691,284500,1642442,364178,-1,35.9173,1.82981e+07,0.553627,0.97994,1,1,1,0.960369,1.00632,1,1,0,0,1,"[1]","[1]","[252003]","[0.350025]","[-0.71683]","[267598]","[-0.0217628]","[1]","[11]","[1]","[0]","[-1535.97]","[0.0417203]","[7.45174]",17169.7,2.11763,1,"[233308]","[0.574523]","[2.45266]","[273856]","[0.996864]","[4]","[0]","[0.0512568]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260782]","[0.339985]","[-0.719265]","[275999]","[0.00585938]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2329]",6435.48,"[7046.43]","[]","[336.766]","[]"
