event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
6,284500,5122860,364177,1,96.2776,5.22794e+06,0.75088,0.96445,1,1,1,0.966124,1.00001,1,1,0,0,1,"[1]","[1]","[46805.3]","[-1.9696]","[-2.30132]","[171010]","[-0.0962114]","[1]","[11]","[1]","[0]","[1698.15]","[-0.0492539]","[1.468]",35849,2.28572,7,"[289478,237770,88370.8,60622.3,58095.3,38397.6,20757.9]","[-1.06856,-2.29158,1.5564,-2.00739,-2.22982,-1.52623,-0.922954]","[-0.215706,3.11236,0.317569,-0.587209,2.35139,2.58246,2.72279]","[472022,1.1883e+06,219156,229902,273313,92728,30344.1]","[0.995635,0.993594,0.996261,0.983356,1,0.991219,0.98381]","[0,0,0,0,0,4,0]","[0,0,0,0,0,0,0]","[-0.58916,-0.948156,-0.952048,-0.65235,-0.832182,0.723056,-0.92113]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[326552]","[-1.21718]","[-0.272923]","[607878]","[98613.6]","[0]","[2.05548]","[0.659009]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[413.397]",9898.18,"[4193.38,11764.2,7367.49,2504.92,2602.33,4312.35,3467.5]","[]","[10080.7]","[]"
10,284500,5128901,364177,1,96.2776,5.22794e+06,1.08735,0.98697,1,1,1,0.961188,1.00582,1,1,0,0,1,"[1]","[1]","[153518]","[-0.238056]","[-0.172442]","[157889]","[0.012207]","[1]","[11]","[1]","[0]","[-153.095]","[0.010393]","[1.49391]",11806.1,-0.686541,2,"[349691,209118]","[0.814205,-2.02967]","[-2.88628,0.547589]","[472841,809615]","[0.993015,0.929192]","[4,0]","[0,0]","[-0.53987,-0.882149]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[343878]","[0.849988]","[-2.88675]","[476174]","[19800.2]","[0]","[2.45091]","[0.752204]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1333.67]",3811,"[8932.74,5469.49]","[]","[19890.2]","[]"
11,284500,5130921,364177,1,96.2776,5.22794e+06,0.619412,0.97553,1,1,1,0.996228,1.01265,1,1,0,0,1,"[1]","[1]","[93890.2]","[1.72713]","[1.11529]","[272390]","[0.131386]","[-1]","[11]","[1]","[0]","[-683.36]","[-0.0246258]","[2.7771]",33395.9,-1.94556,4,"[268342,188575,33497.7,29208.4]","[0.5204,-0.525773,-0.896972,1.54661]","[-3.03742,-0.261088,1.01718,-0.0568577]","[306162,217950,48380.8,72068.1]","[0.997339,0.995338,0.806643,0.967888]","[0,0,0,0]","[0,0,0,0]","[0.252791,-0.959496,-0.863115,-0.853998]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279287]","[0.488913]","[-3.04155]","[313880]","[18461.4]","[0]","[2.30283]","[0.556723]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1107.29]",4333.69,"[4265.46,6474.74,2011.74,1855.1]","[]","[22847]","[]"
30,284500,5294790,364177,1,96.2776,5.22794e+06,0.619412,0.97388,1,1,1,0.998213,0.98854,1,1,0,0,1,"[0]","[1]","[44828]","[-0.342444]","[-2.52411]","[47482.2]","[0.0376968]","[-1]","[11]","[1]","[0]","[-707.474]","[-0.0255757]","[2.34077]",164298,2.93889,3,"[308304,133608,31182.9]","[-1.41534,-1.33575,-0.170074]","[-0.137289,2.81071,1.51809]","[672376,272666,31973.2]","[1,0.986624,1]","[0,0,0]","[0,0,0]","[-0.915569,-0.909492,-0.788093]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[330482]","[-1.39774]","[-0.136164]","[709538]","[13158.8]","[0]","[2.94864]","[0.587328]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[247.221]",2737.03,"[6005.51,6623.12,3331.23]","[]","[1764.47]","[]"
36,284500,394982,364177,-1,96.2776,5.22794e+06,1.1961,1.01378,1,1,1,1.48357,1.00936,1,1,0,0,1,"[1]","[1]","[198371]","[0.0337316]","[-1.2659]","[198484]","[-0.0911231]","[-1]","[11]","[1]","[1746.17]","[1323.34]","[-0.0239469]","[3.31427]",79450.4,-1.99242,4,"[242883,33108.3,31947.7,23018.2]","[-0.185071,2.03897,0.626279,-2.28178]","[1.78709,-0.319923,1.76136,-1.77443]","[247874,129431,39046.1,113978]","[0.998089,0.99,0.981102,0.878789]","[4,0,0,0]","[0,0,0,0]","[0.95946,-0.439124,-0.333867,-0.128771]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256023]","[-0.125985]","[1.778]","[266294]","[65715.8]","[0]","[2.96859]","[0.404725]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1395.98]",9195.05,"[8654.34,5340.16,2067.48,2593.57]","[]","[309.297]","[]"
52,284500,3157357,364177,1,96.2776,5.22794e+06,0.351687,0.98413,1,1,1,0.961038,0.99866,1,1,0,0,1,"[1]","[1]","[128439]","[-1.0076]","[-1.23417]","[199344]","[0.00709057]","[1]","[11]","[1]","[0]","[2090.16]","[-0.00369055]","[0.603701]",129689,-1.64756,1,"[244156]","[-1.08466]","[1.69835]","[402800]","[0.985642]","[4]","[0]","[-0.616855]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251806]","[-1.0848]","[1.69662]","[415377]","[15763.9]","[0]","[2.98512]","[0.788061]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1047.39]",5208.93,"[5908.34]","[]","[0]","[]"
68,284500,4561522,364177,1,96.2776,5.22794e+06,1.22586,0.98697,1,1,1,1.46174,1.00582,1,1,0,0,1,"[1]","[1]","[251184]","[-0.314899]","[2.97087]","[263742]","[-0.0947762]","[1]","[11]","[1]","[0]","[-1519.86]","[-0.00255596]","[0.247019]",39878.8,-0.302262,2,"[147798,53162.2]","[-0.924313,-0.343024]","[-0.134625,-0.3267]","[217365,57170.3]","[1,0.993302]","[4,0]","[0,0]","[0.864809,-0.756724]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257540]","[-0.332777]","[2.97286]","[271933]","[0.00352105]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2007.27]",6171.66,"[3298.24,3736.82]","[]","[26135]","[]"
80,284500,1753237,364177,1,96.2776,5.22794e+06,0.923924,0.97994,1,1,1,0.995131,1.00632,1,1,0,0,1,"[1]","[1]","[247614]","[0.493986]","[-1.06426]","[278445]","[0.0380249]","[-1]","[11]","[1]","[0]","[2193.74]","[0.0158704]","[2.37892]",40553.1,2.30172,3,"[167174,21979.8,20067.5]","[0.119534,1.71338,-2.00593]","[1.95998,3.10358,0.0416806]","[168633,63049.9,76038.7]","[0.948233,1,0.957416]","[0,0,0]","[0,0,0]","[-0.823489,0.151112,0.696083]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279578]","[0.45153]","[-1.0457]","[309953]","[29298]","[0]","[0.907984]","[0.138484]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1976.37]",4599.75,"[3765.08,3940.76,1058.33]","[]","[9352.19]","[]"
101,284500,5293052,364177,-1,96.2776,5.22794e+06,0.553627,0.97994,1,1,1,0.995296,1.00632,1,1,0,0,1,"[1]","[1]","[283533]","[0.386441]","[2.59089]","[304968]","[-0.0106277]","[-1]","[11]","[1]","[0]","[-2306.43]","[0.0191034]","[2.75792]",60114.3,-0.774077,5,"[255969,31684.6,25388.4,23565.7,21330.6]","[1.84663,-1.45003,1.1038,0.721841,-0.465316]","[-0.444375,0.411751,3.10036,1.89886,2.74641]","[831725,71581.8,42984.8,30601.5,24232.2]","[0.994993,0.997887,0.701773,0.98,0.988913]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.836859,-0.522589,-0.827468,-0.427515,-0.910308]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[284822,252985]","[0.439496,1.85303]","[2.59489,-0.452131]","[312775,826855]","[-0.00308816,13848.8]","[0,0]","[0,2.76112]","[-1,0.726505]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1499.97]",17612.5,"[6548.33,3335.79,2457.67,3561.97,1922.61]","[]","[5084.34,0]","[]"
110,284500,154558,364177,-1,96.2776,5.22794e+06,0.738662,0.99211,1,1,1,0.956692,0.9918,1,1,0,0,1,"[1]","[1]","[269402]","[-0.639576]","[-2.85414]","[326407]","[0.0262871]","[-1]","[11]","[1]","[0]","[85.1216]","[0.00588417]","[0.724398]",23258,-1.34581,1,"[255391]","[0.173954]","[0.398327]","[259931]","[0.998528]","[4]","[0]","[0.665667]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[277871,250479]","[-0.671782,0.146319]","[-2.85727,0.400948]","[342968,253485]","[1351.47,12741.1]","[0,0]","[0,4.02575]","[-1,0.0585421]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2103.27]",296.922,"[6122.11]","[]","[9879.81,0]","[]"
