event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
68,284500,4965,364179,1,38.3405,4.31236e+06,1.22586,0.97738,1,1,1,0.996726,1.00056,1,1,0,0,1,"[1]","[1]","[76652.6]","[0.559763]","[-0.735032]","[88978.5]","[0.0329361]","[1]","[11]","[1]","[2762.92]","[3269.55]","[0.0134292]","[1.76253]",153011,-0.377776,3,"[262288,54379,29267.9]","[-0.016475,-2.21187,-2.46576]","[2.56966,-1.00877,2.51124]","[262744,251467,173647]","[0.999977,0.999348,0.282576]","[0,0,0]","[0,0,0]","[-0.965322,-0.716145,-0.756139]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256402]","[-0.036376]","[2.57481]","[256723]","[8811.79]","[0]","[36.3759]","[0.285257]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[397.012]",7186.02,"[2784.88,7935.91,2122.4]","[]","[0]","[]"
86,284500,6584,364179,1,38.3405,4.31236e+06,1.26205,0.96538,1,1,1,0.996964,0.99741,1,1,0,0,1,"[1]","[1]","[47826.7]","[1.67929]","[2.38629]","[132677]","[-0.0238261]","[-1]","[11]","[1]","[0]","[755.18]","[0.00791002]","[0.507567]",326212,2.88324,5,"[274954,63625.5,51145.8,47608.8,21446.4]","[-0.276149,-2.06899,1.2411,0.608285,-0.0782613]","[-0.51916,-0.0282147,1.72133,-0.382363,-1.14156]","[288320,256120,96010,57216.9,21625.1]","[0.983718,1,0.985451,0.994863,0.963884]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.0662143,-0.910624,-0.850351,-0.928292,-0.578884]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[304048]","[-0.166894]","[-0.500498]","[336839]","[135705]","[0]","[2.10811]","[0.368832]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[261.941]",3330.78,"[4486.64,3024.25,2251.22,4711.75,1897.87]","[]","[22228.9]","[]"
217,284500,4094,364179,1,38.3405,4.31236e+06,1.22586,0.99242,1,1,1,0.99754,0.99765,1,1,0,0,1,"[1]","[1]","[197768]","[0.776645]","[0.170618]","[260472]","[-0.0899429]","[1]","[11]","[1]","[0]","[-769.056]","[-0.0110596]","[0.865291]",21778.7,0.523502,2,"[244240,20791.5]","[0.708802,2.03636]","[-3.03145,-0.335033]","[308725,81139.5]","[0.997257,0.995036]","[0,0]","[0,0]","[-0.889234,-0.900318]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265396]","[0.669068]","[-3.03081]","[327362]","[14343.8]","[0]","[1.92903]","[0.488239]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1340.9]",8989.43,"[11207.6,1219.08]","[]","[6743.28]","[]"
484,284500,3299,364179,1,38.3405,4.31236e+06,1.26205,0.97332,1,1,1,0.999692,0.98683,1,1,0,0,1,"[1]","[1]","[78277.5]","[-0.879139]","[1.17653]","[110526]","[-0.0267715]","[1]","[11]","[1]","[0]","[195.601]","[-0.0074209]","[0.823131]",244051,0.572455,1,"[302711]","[0.0270658]","[-2.48599]","[303012]","[0.997884]","[0]","[0]","[-0.853697]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[287556]","[0.042737]","[-2.49032]","[288145]","[13694.8]","[0]","[4.97195]","[0.499094]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[489.582]",710.031,"[3223.67]","[]","[4229.12]","[]"
1210,284500,173767,364179,1,38.3405,4.31236e+06,1.32095,0.99093,1,1,1,0.997884,1,1,1,0,0,1,"[1]","[1]","[106024]","[0.884923]","[2.94885]","[150318]","[-0.0463829]","[1]","[11]","[0]","[0]","[652.836]","[-0.0739169]","[4.56021]",122215,-2.8612,5,"[270173,58763.6,55287.2,44812.6,22600.5]","[-0.764452,0.386489,-1.02275,0.062604,-0.37589]","[0.398804,-2.57242,-0.210146,-1.85092,-2.79905]","[353675,63377.5,87113,45622.9,24405.7]","[1,0.999707,0.99668,0.986118,0.995722]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.819208,-0.777964,-0.754489,-0.655836,-0.667496]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[304310]","[-0.846267]","[0.304122]","[427182]","[78335.9]","[0]","[1.67679]","[0.715571]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[658.527]",8597.52,"[6454.24,3739.24,6047.28,2754.7,1657.69]","[]","[17755.8]","[]"
1906,284500,173740,364179,1,38.3405,4.31236e+06,1.26459,0.97994,1,1,1,0.99854,1.00632,1,1,0,0,1,"[1]","[1]","[154251]","[0.507604]","[1.89454]","[174553]","[0.0152454]","[1]","[11]","[1]","[0]","[2794.95]","[-0.00967747]","[1.52015]",240603,2.14134,2,"[244610,179097]","[0.339097,0.287328]","[-0.695619,-1.53414]","[259217,187473]","[1,0.998557]","[0,0]","[0,0]","[-0.578009,-0.931543]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[381805]","[0.365083]","[-1.02912]","[442717]","[172961]","[0]","[0.318179]","[0.704127]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[956.173]",19342.3,"[4601.42,2707.62]","[]","[16742.2]","[]"
2771,284500,29806,364179,1.11673,38.3405,4.31236e+06,1.55465,0.97209,1,1,1,0.999043,0.99756,1,1,0,0,1,"[1]","[1]","[64903.4]","[0.035269]","[0.873214]","[64943.8]","[0.0149498]","[1]","[11]","[1]","[0]","[-672.961]","[-0.00119471]","[0.154435]",365810,0.346358,2,"[306369,100431]","[-0.693773,1.63054]","[-3.05908,-2.15239]","[384462,266706]","[1,0.970239]","[0,0]","[0,0]","[-0.692072,-0.718407]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307549]","[-0.667596]","[-3.06159]","[379460]","[24514.5]","[0]","[2.0954]","[0.72609]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[142.093]",9102.12,"[7611.07,5286.32]","[]","[6911.72]","[]"
2864,284500,17502,364179,1.11649,38.3405,4.31236e+06,0.696077,0.97994,1,1,1,0.996114,1.00632,1,1,0,0,1,"[1]","[1]","[234755]","[0.47092]","[2.18466]","[261270]","[-0.00149012]","[1]","[11]","[1]","[0]","[3632.75]","[0.00603855]","[0.373941]",21278,1.08483,4,"[270193,28778,23293.5,20128.1]","[0.681021,0.046823,-1.96955,-0.221672]","[-1.17803,-0.0357479,2.73007,0.661207]","[336260,29292.6,85263.9,21071.8]","[0.9912,0.99457,0.997358,1]","[0,0,0,0]","[0,0,0,0]","[-0.858648,-0.856491,-0.629769,-0.729187]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[273902,250935]","[0.678523,0.471738]","[-1.17797,2.187]","[340537,279427]","[27688,5261.51]","[0,0]","[2.14582,18.0559]","[0.68553,0.226446]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1181.2]",1001.22,"[3495.18,2613.93,2552.4,3744.35]","[]","[5739.84,2244.97]","[]"
3230,284500,11172,364179,1,38.3405,4.31236e+06,0.934886,1.01378,1,1,1,0.998813,1.00936,1,1,0,0,1,"[1]","[1]","[212357]","[0.0558187]","[-1.8761]","[212688]","[-0.0105247]","[-1]","[11]","[1]","[2431.25]","[2243.6]","[-0.00557258]","[0.705031]",124648,-1.96077,2,"[380827,59681.2]","[-0.195699,-1.6277]","[1.19847,-2.24523]","[389424,158042]","[0.993483,0.993284]","[0,0]","[0,0]","[-0.873386,-0.387589]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[381257]","[-0.20802]","[1.20162]","[390262]","[23793.1]","[0]","[1.93355]","[0.767684]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1747.66]",18242.5,"[8044.66,2706.8]","[]","[9038.5]","[]"
3542,284500,40513,364179,-1,38.3405,4.31236e+06,1.32095,0.98536,1,1,1,0.998088,0.9918,1,1,0,0,1,"[1]","[1]","[130399]","[-0.685345]","[-2.48575]","[162241]","[-0.00554657]","[1]","[11]","[1]","[0]","[201.866]","[0.00826688]","[1.17773]",84106.5,-3.10389,3,"[242236,92723.1,56675.9]","[-0.709593,-0.0173942,1.54015]","[0.793229,-0.794212,3.01445]","[306230,93248.3,138368]","[1,0.997908,1]","[0,0,0]","[0,0,0]","[-0.925975,-0.640893,-0.872642]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254217]","[-0.671364]","[0.800039]","[313843]","[9691.04]","[0]","[1.23326]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[690.729]",10716.6,"[2995.93,1831.83,10323.6]","[]","[0]","[]"
