event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
639,284500,29558,364182,1,14.5986,5.99827e+06,1.22586,0.96896,1,1,1,0.95725,0.97492,1,1,0,0,1,"[1]","[1]","[46318.9]","[-0.00872818]","[-1.17657]","[46320.7]","[0.0277853]","[-1]","[11]","[1]","[0]","[549.908]","[0.0174445]","[1.72545]",33491.4,0.390211,4,"[329325,239448,24102.3,20353.1]","[2.11754,0.802277,-1.44064,2.25163]","[1.86621,-1.42181,2.28673,-1.82228]","[1.38839e+06,321121,54069,97835.7]","[0.990708,0.792311,0.607572,0.992383]","[0,4,0,0]","[0,0,0,0]","[-0.946227,0.348857,-0.91067,-0.406985]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[296452]","[0.714706]","[-1.38845]","[394075]","[119732]","[0]","[0.91583]","[0.119795]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[195.688]",7956.48,"[6153.97,2209.03,3438.83,1143.55]","[]","[12313.8]","[]"
2140,284500,1183788,364182,1,14.5986,5.99827e+06,0.696077,0.97826,1,1,1,0.997442,1.00493,1,1,0,0,1,"[1]","[1]","[111042]","[-1.2325]","[-3.03226]","[206614]","[-0.0237236]","[-1]","[11]","[1]","[0]","[-1144.71]","[0.0123643]","[1.7434]",18924.7,-0.917204,6,"[334714,299126,82564.9,66152.3,65005.5,64377]","[-1.97013,0.802392,-1.17497,-0.39355,0.855422,-0.316845]","[-2.18987,0.80931,-1.70538,1.22376,1.34077,0.653031]","[1.22383e+06,401151,147316,71870.8,90795,67944]","[0.99,1,0.991256,0.995165,0.995462,0.359232]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.874585,-0.78683,-0.783244,-0.921925,-0.0496776,-0.399954]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[371288,323174]","[-1.89432,0.802788]","[-2.10678,0.882113]","[1.27256e+06,438182]","[162858,67018.2]","[0,0]","[1.15996,1.15821]","[0.683257,0.617498]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1036.43]",9678.65,"[6167.97,3617.97,2335.22,5698.67,4956.61,4929.82]","[]","[12977.5,5498.59]","[]"
2196,284500,1186179,364182,-1,14.5986,5.99827e+06,1.22586,0.93912,1,1,1,0.996825,0,1,1,0,0,1,"[1]","[1]","[26980.3]","[-2.14761]","[-2.6148]","[117110]","[-0.0730362]","[1]","[11]","[1]","[1938.2]","[4.86211]","[-0.0079023]","[0.277026]",433884,3.03047,2,"[462921,27589.7]","[-0.917421,2.08854]","[-0.0378626,-2.06199]","[672911,113252]","[0.994975,0.954904]","[0,0]","[0,0]","[-0.931148,-0.490256]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[460604]","[-0.94391]","[-0.041089]","[682314]","[33514.1]","[0]","[3.03068]","[0.631896]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[162.923]",3406.78,"[7028.88,2025.7]","[]","[24050.2]","[]"
4238,284500,1179670,364182,1,14.5986,5.99827e+06,0.553627,0.946171,1,1,1,1.51418,1.00632,1,1,0,0,2,"[1,0]","[1,0]","[97701.6,12820.3]","[0.556548,-0.632521]","[0.361794,3.04709]","[113228,15471.5]","[0.048172,0.00796926]","[-1,-1]","[11,11]","[1,1]","[0,24271]","[-286.736,3145.21]","[0.0528054,0.0066449]","[3.5513,0.212007]",45488,-0.625591,7,"[155397,89591.5,87870.9,59669,49195.1,37515.3,22219.8]","[-0.21363,0.0481803,0.93227,-1.19688,0.53803,-1.0629,-2.24797]","[2.5503,-0.69387,-1.04745,2.41925,0.920044,2.96326,-2.38259]","[162310,90980.8,129217,108337,56952.4,61030.8,106453]","[0.999945,0.99234,0.988026,0.998217,0.993472,0.987811,0.950947]","[0,4,0,0,4,0,0]","[0,0,0,0,0,0,0]","[-0.625524,0.955733,-0.772038,0.37068,-0.688776,-0.897771,-0.752982]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252963]","[-0.594701]","[2.68286]","[329700]","[138863]","[0]","[1.25856]","[0.512833]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[514.125,146.387]",1837.98,"[4660.92,5424.19,2286.94,2619.34,5642.72,3004.98,1849.59]","[]","[0]","[]"
4610,284500,20768,364182,1.66506,14.5986,5.99827e+06,1.1961,0.98916,1,1,1,1.28027,0.99765,1,1,0,0,1,"[1]","[1]","[92860.8]","[0.727643]","[0.676605]","[118548]","[-0.0869675]","[-1]","[11]","[1]","[10595.1]","[-593.259]","[-0.018986]","[1.75993]",29330.9,-0.850499,4,"[404961,253583,76061.6,50521.2]","[0.535324,0.18901,-0.778967,0.873479]","[-2.38696,0.575044,2.45189,-2.90485]","[465704,258470,100701,72008.3]","[0.99399,0.99715,1,0.987009]","[0,0,0,0]","[0,0,0,0]","[-0.728826,-0.961846,0.985982,-0.842108]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[448310,412995]","[0.412473,0.49022]","[0.559492,-2.39845]","[505798,465616]","[136646,43051.4]","[0,0]","[0.815553,3.0525]","[0.180984,0.610434]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[412.568]",2611.3,"[4417.37,3934.14,2731.41,2077.17]","[]","[9821.28,6333.19]","[]"
5553,284500,845072,364182,1,14.5986,5.99827e+06,1.21412,0.96323,1,1,1,0.997543,1.00493,1,1,0,0,1,"[1]","[1]","[155267]","[-1.34878]","[1.08891]","[319252]","[0.0638237]","[1]","[11]","[1]","[1172.73]","[2157.17]","[-0.000746919]","[0.0833308]",42247.9,-1.82151,4,"[312940,302414,55957.9,41073.1]","[0.756106,-2.34985,-1.13814,2.13256]","[2.64933,-0.846981,0.159639,-2.75308]","[407534,1.59984e+06,96598.1,175835]","[0.996089,0.99693,0.997275,0.995407]","[0,0,0,0]","[0,0,0,0]","[-0.790275,-0.929263,-0.89999,-0.0601286]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295159]","[0.744876]","[2.6531]","[381548]","[22254.4]","[0]","[4.93532]","[0.53296]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1704.87]",4518.28,"[3326.12,9433.67,4840.33,9395.55]","[]","[3393.34]","[]"
6600,284500,1185214,364182,1,14.5986,5.99827e+06,1.22586,0.97388,1,1,1,0.993907,0.98886,1,1,0,0,1,"[1]","[1]","[42048.1]","[-0.344605]","[-2.2603]","[44569.5]","[-0.0656738]","[1]","[11]","[1]","[0]","[15.0255]","[0.00202838]","[0.213696]",56874.2,2.76564,6,"[247326,137016,136810,119090,52593.9,23349.7]","[0.387509,-0.794823,-0.627142,-0.890466,-0.174552,2.15148]","[2.86741,1.15372,-0.727108,-0.384141,-0.521783,-0.628675]","[267815,183606,165653,169681,53568.1,101886]","[0.981608,0.999319,0.999903,0.997042,0.993998,0.922857]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.733314,-0.879572,-0.74999,0.118641,0.0459971,-0.632346]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[293783]","[-0.64694]","[-0.565114]","[373551]","[108534]","[0]","[1.27158]","[0.45213]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[19.1473]",12345.2,"[3872.22,7712.92,5744.33,2484.77,4963.75,1648.79]","[]","[7225.34]","[]"
6771,284500,20613,364182,1,14.5986,5.99827e+06,1.1961,0.9623,1,1,1,0.992622,1.01797,1,1,0,0,1,"[1]","[1]","[54032.4]","[-2.07176]","[2.63897]","[217878]","[0.0466537]","[1]","[11]","[1]","[0]","[880.793]","[-0.0048851]","[0.2772]",45634.8,0.74294,6,"[270867,143310,118244,86283.7,24205.6,20756.7]","[0.556308,0.487336,-2.357,-2.24866,-1.70245,-1.93673]","[-1.26586,2.08621,2.07936,-0.284489,-2.1186,1.72546]","[314410,161272,630003,413391,68789.1,73578.3]","[0.995122,0.976646,0.827306,0.991822,0.987206,0.947047]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.926859,-0.941838,-0.861456,-0.915363,-0.879104,-0.394685]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273981]","[0.570576]","[-1.26992]","[320447]","[20304.9]","[0]","[5.40744]","[0.555454]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[191.925]",5848.78,"[14787.5,2025.09,11118.9,7724.7,3729.4,1378.82]","[]","[7538.94]","[]"
7043,284500,25859,364182,1,14.5986,5.99827e+06,0.596562,0.97994,1,1,1,0.996341,1.00632,1,1,0,0,1,"[1]","[1]","[534393]","[0.570328]","[0.695232]","[623687]","[-0.022522]","[-1]","[11]","[1]","[0]","[-1074.64]","[0.0187901]","[2.68177]",75610.4,1.24694,2,"[565943,65500.9]","[-1.79125,-0.533076]","[-2.26232,2.8025]","[1.74505e+06,75072.9]","[1,0.991414]","[0,0]","[0,0]","[-0.827331,-0.78675]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[532857,534140]","[0.596942,-1.77525]","[0.701741,-2.25063]","[630649,1.6219e+06]","[0,39266.3]","[0,0]","[0,2.61358]","[-1,0.649022]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4624.38]",5943.02,"[10972.7,3075.31]","[]","[42031.6,2679]","[]"
7220,284500,28434,364182,1,14.5986,5.99827e+06,1.32095,0.96727,1,1,1,0.959859,0.99061,1,1,0,0,1,"[1]","[1]","[55101.7]","[-1.91644]","[2.5255]","[191310]","[-0.117432]","[-1]","[11]","[1]","[0]","[-405.09]","[-0.0597605]","[3.55174]",86329,1.56324,2,"[300328,59681.1]","[-1.94302,-0.320814]","[-1.61393,1.06992]","[1.0697e+06,63972.7]","[0.989773,1]","[4,0]","[0,0]","[-0.913892,-0.924253]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[320081]","[-1.95443]","[-1.61522]","[1.15262e+06]","[13483.4]","[0]","[4.0933]","[0.291492]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[764.521]",5020.42,"[8908.52,2704.33]","[]","[12014]","[]"
