event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,212452,364174,-1,223.639,3.71479e+06,0.553627,0.96654,1,1,1,0.954779,0.9995,1,1,0,0,1,"[1]","[1]","[79247.2]","[2.27734]","[-0.816919]","[390421]","[0.169388]","[1]","[11]","[1]","[0]","[-324.26]","[-0.00833613]","[0.633059]",72915.2,-1.96456,2,"[810051,732777]","[1.40736,1.18652]","[1.947,-1.18556]","[1.75398e+06,1.31297e+06]","[0.986252,0.988752]","[4,0]","[0,0]","[-0.826551,0.755291]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[779658,710739]","[1.41505,1.20287]","[1.94733,-1.18955]","[1.6996e+06,1.29018e+06]","[18094.5,22349.5]","[0,0]","[2.61409,2.69189]","[0.65326,0.550249]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[589.926]",20638.8,"[15050.5,11309.8]","[]","[18516.9,19599.9]","[]"
1,284500,42395,364174,1,223.639,3.71479e+06,0.619412,0.97209,1,1,1,0.997163,0.99756,1,1,0,0,1,"[0]","[1]","[76082.5]","[0.168716]","[1.68275]","[77167.9]","[-0.000640869]","[1]","[11]","[1]","[0]","[1743.48]","[0.00732843]","[0.494314]",195130,2.2692,4,"[382484,77082.3,42548.1,36628.3]","[-0.946873,1.64419,2.12523,0.621121]","[-0.918989,2.37417,2.97307,2.5454]","[567795,207094,180834,44341.7]","[0.995327,0.999534,0.99,1]","[0,0,0,0]","[0,0,0,0]","[-0.932353,-0.857871,-0.460966,-0.823943]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[374419]","[-0.997413]","[-0.916587]","[577435]","[30635]","[0]","[1.9948]","[0.673067]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[295.04]",8534.05,"[11222.4,6522.28,2520.59,5401.27]","[]","[28752.3]","[]"
2,284500,123538,364174,1,223.639,3.71479e+06,1.24168,1.00588,1,1,1,0.999344,1.00306,1,1,0,0,1,"[1]","[1]","[273599]","[0.958582]","[-0.710555]","[409226]","[-0.039053]","[1]","[11]","[1]","[2702.34]","[1712.85]","[0.00150665]","[0.10897]",198157,2.35387,1,"[51201.3]","[-1.23082]","[2.22865]","[95413.4]","[0.981964]","[0]","[0]","[-0.839494]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[300280]","[0.94605]","[-0.717639]","[445032]","[6523.99]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2629.61]",8768.14,"[9190.11]","[]","[11674.6]","[]"
3,284500,81911,364174,2.29144,223.639,3.71479e+06,1.26459,1.00588,1,1,1,1.57061,1.00306,1,1,0,0,1,"[1]","[1]","[254849]","[1.07122]","[1.59298]","[415598]","[0.022644]","[-1]","[11]","[1]","[0]","[5083.61]","[0.00124382]","[0.121689]",154480,-1.57909,1,"[89763.9]","[0.431872]","[-1.35863]","[98693]","[0.995544]","[4]","[0]","[0.92787]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[278787]","[1.11469]","[1.60735]","[470682]","[-0.00956832]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2913.89]",1538.66,"[3089.13]","[]","[9116.34]","[]"
4,284500,237671,364174,1,223.639,3.71479e+06,1.26205,0.99242,1,1,1,0.957491,0.99765,1,1,0,0,1,"[1]","[1]","[448278]","[0.753092]","[1.87774]","[581520]","[0.0386047]","[1]","[11]","[1]","[0]","[810.305]","[0.00487949]","[0.601709]",362218,-1.09781,1,"[95115.8]","[1.90003]","[-1.88696]","[325173]","[0.179529]","[4]","[0]","[-0.812623]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[453425]","[0.775073]","[1.88326]","[596600]","[5289.28]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4706.94]",6516.66,"[9292.96]","[]","[16725.4]","[]"
5,284500,493704,364174,1,223.639,3.71479e+06,1.24168,1.01378,1,1,1,0.997302,1.00936,1,1,0,0,1,"[1]","[1]","[252456]","[0.0453639]","[-2.61745]","[252716]","[0.0807838]","[1]","[11]","[1]","[0]","[603.037]","[-0.0108025]","[1.44798]",159688,0.328578,2,"[118228,22577.3]","[-1.76305,2.20348]","[0.954541,-1.92197]","[354888,103520]","[0.992766,0.958803]","[0,0]","[0,0]","[-0.860028,-0.743477]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265826]","[0.0184979]","[-2.61696]","[265871]","[-0.00585238]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3704.28]",9693.34,"[2799.66,1655.54]","[]","[0]","[]"
6,284500,670349,364174,1,223.639,3.71479e+06,0.923924,0.97332,1,1,1,0.997437,0.98683,1,1,0,0,1,"[1]","[1]","[79984.5]","[-1.10153]","[-1.88885]","[133619]","[-58.1964]","[-1]","[11]","[1]","[1083.44]","[379.156]","[-0.0120706]","[0.839732]",43846.7,0.953303,3,"[206020,99931.1,63778.6]","[-0.918569,-0.0862804,-2.14359]","[2.14459,-0.97061,-0.497712]","[299708,102151,275914]","[0.999413,0.99,0.984402]","[0,0,0]","[0,0,0]","[-0.929998,0.0686608,-0.917558]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251526]","[-1.00046]","[2.02883]","[390741]","[43961]","[0]","[1.51916]","[0.529666]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[831.599]",42.543,"[2757.91,2666.22,5193.88]","[]","[0]","[]"
7,284500,261713,364174,1,223.639,3.71479e+06,1.1961,0.94443,1,1,1,0.960764,1.01758,1,1,0,0,1,"[1]","[1]","[38675.6]","[2.18055]","[1.57765]","[173347]","[0.163727]","[1]","[11]","[1]","[0]","[807.034]","[0.0212934]","[1.43413]",393032,-2.30295,3,"[496126,152542,25604.7]","[0.992342,-0.270119,-1.06952]","[0.792436,-2.33558,0.521873]","[761446,158238,41969.1]","[0.996531,0.999357,0.981507]","[0,4,0]","[0,0,0]","[-0.923833,-0.68477,-0.738234]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[504074]","[1.00596]","[0.795553]","[781430]","[9738.18]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[95.0289]",14028.1,"[16811.9,2925.25,2039.99]","[]","[38343.8]","[]"
8,284500,486282,364174,-1,223.639,3.71479e+06,1.21412,0.96323,1,1,1,0.997695,1.00493,1,1,0,0,1,"[1]","[1]","[282484]","[-1.20128]","[1.73708]","[512028]","[0.0219383]","[1]","[11]","[1]","[0]","[-234.973]","[-0.0286529]","[3.62589]",218508,-1.22039,2,"[65296.4,26709.7]","[0.6294,2.00565]","[-1.7936,-2.0843]","[79082.2,101220]","[0.993589,0.940578]","[0,0]","[0,0]","[-0.911495,-0.773205]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[283058]","[-1.2254]","[1.73108]","[523628]","[9559.83]","[0]","[44.7604]","[0.058916]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5585.83]",5279.28,"[2554.69,6233.76]","[]","[13863.6]","[]"
9,284500,463436,364174,-1,223.639,3.71479e+06,0.553627,0.96484,1,1,1,0.99145,0.9566,1,1,0,0,1,"[1]","[1]","[35450.1]","[0.920723]","[2.51519]","[51568.1]","[49.7365]","[-1]","[11]","[1]","[1432.05]","[1115.03]","[-0.0208218]","[1.42429]",39342.8,-3.01641,9,"[383024,372098,120620,68350.4,52034.7,48229.9,35829.1,25459.5,23388.1]","[0.0413184,2.06777,-0.351555,1.65116,-1.12142,0.882638,1.58956,-1.33348,1.87582]","[0.636907,-2.69302,-0.64237,0.0934868,1.35508,-2.2064,-2.71186,0.685958,-2.22941]","[385175,1.49609e+06,130169,184992,89107.5,69125.7,91620.5,52041.4,78194.5]","[1,0.997197,0.99295,0,0.997835,0.990677,0.977256,0.974698,0.866487]","[0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0]","[-0.95377,-0.693452,-0.746002,-0.808592,-0.57698,-0.958552,-0.840316,-0.245071,-0.407019]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[387825]","[0.0128799]","[0.625163]","[389020]","[30057.2]","[0]","[3.09815]","[0.737969]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[92.6503]",5837.36,"[10832.3,8912.11,3682.65,11470.3,4992.12,8004.36,9592.82,3520.13,1860.17]","[]","[326.625]","[]"
