event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,12850095,364173,0.631327,618.688,5.35969e+06,1.08735,1.01378,1,1,1,0.999603,1.00936,1,1,0,0,1,"[1]","[1]","[256949]","[0.039277]","[-2.75378]","[257147]","[-0.0459251]","[-1]","[11]","[1]","[0]","[-1448.28]","[-0.0292829]","[2.7739]",341869,0.289117,1,"[71127]","[-1.06877]","[2.95792]","[116566]","[0.999623]","[0]","[0]","[-0.498767]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266396]","[0.0626383]","[-2.75265]","[266937]","[3100.66]","[0]","[15.9633]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2323.72]",1759.06,"[2890.48]","[]","[5913]","[]"
1,284500,6947733,364173,1,618.688,5.35969e+06,0.923924,0.98089,1,1,1,0.996505,0.99866,1,1,0,0,1,"[0]","[1]","[186877]","[-1.11]","[-0.88754]","[314318]","[0.0341339]","[-1]","[11]","[1]","[13969.7]","[6889.56]","[-0.000796064]","[0.0438222]",102698,-1.30076,4,"[442197,66549.9,49164.4,38850.6]","[0.0710241,-2.16201,-2.42089,-0.927881]","[2.31804,-0.728476,0.0242584,-0.336108]","[444162,293019,279049,57049.6]","[0.983935,1,0,0.985839]","[0,0,0,0]","[0,0,0,0]","[-0.80444,-0.769881,-0.889589,-0.915725]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[438548]","[0.0525842]","[2.31849]","[439204]","[6655.27]","[0]","[4.67352]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3535.85]",10849.2,"[4918.66,3135.08,3269.85,4903.4]","[]","[11895.4]","[]"
2,284500,9063275,364173,1.80388,618.688,5.35969e+06,1.26459,0.98697,1,1,1,0.998213,1.00582,1,1,0,0,1,"[1]","[1]","[318831]","[-0.284095]","[2.82051]","[331784]","[0.114475]","[-1]","[11]","[1]","[0]","[-219.733]","[-0.0142298]","[2.03952]",335875,-0.18058,2,"[38892,36810.7]","[2.39669,-0.554972]","[-2.48507,0.000200769]","[215560,43413.2]","[0.909942,0.986097]","[0,0]","[0,0]","[-0.516807,-0.921173]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[325895]","[-0.292136]","[2.81751]","[339900]","[-0.0041432]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2186.56]",1415.31,"[2760.4,3074.08]","[]","[1722.19]","[]"
3,284500,2829388,364173,1,618.688,5.35969e+06,1.25133,0.97076,1,1,1,0.998723,0.95972,1,1,0,0,1,"[1]","[1]","[52766]","[-1.10064]","[1.14936]","[88086.4]","[0.0262794]","[1]","[11]","[1]","[0]","[3975.29]","[-0.00322069]","[0.176613]",53931.7,0.784093,2,"[203847,43925]","[-0.8503,-0.390344]","[-2.16418,-1.91866]","[282598,47425.6]","[0.237022,1]","[0,0]","[0,0]","[-0.756907,-0.940773]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255611]","[-0.816326]","[-2.12768]","[347929]","[40056.3]","[0]","[1.26213]","[0.722514]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[293.141]",6239.4,"[2668.91,1979.17]","[]","[7536.77]","[]"
4,284500,12041444,364173,-1,618.688,5.35969e+06,1.25133,1.00588,1,1,1,0.99657,1.00306,1,1,0,0,1,"[1]","[1]","[566570]","[0.806504]","[1.18542]","[761039]","[-0.00414658]","[1]","[11]","[1]","[2670.7]","[-886.847]","[0.0189747]","[2.90067]",572749,-2.0715,4,"[38386.1,37367,23855.2,20454.7]","[0.303257,1.78611,0.332493,0.252552]","[-0.00909466,-0.582959,2.78737,-1.32931]","[40576,114630,25334.3,21580.6]","[0.990086,0.985979,0.888484,0.899429]","[0,0,0,0]","[0,0,0,0]","[-0.938528,-0.85732,-0.417868,-0.236802]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[591596]","[0.824603]","[1.18792]","[804394]","[2937.35]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7803.66]",18986.5,"[8923.13,6714.46,5128.43,1685.53]","[]","[8661.19]","[]"
5,284500,14502958,364173,-1,618.688,5.35969e+06,0.923924,0.99211,1,1,1,0.999552,0.9918,1,1,0,0,1,"[1]","[1]","[218140]","[-0.641055]","[-0.525828]","[264518]","[-0.0474072]","[-1]","[11]","[1]","[23069.2]","[9452.16]","[-0.0038353]","[0.50305]",205919,2.92485,1,"[76613.2]","[-1.01023]","[1.70798]","[119783]","[1]","[0]","[0]","[-0.897122]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257142]","[-0.659156]","[-0.494568]","[316272]","[27698.2]","[0]","[2.58281]","[0.439182]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1283.12]",302.438,"[2139.99]","[]","[15876.2]","[]"
6,284500,2766523,364173,-0.887957,618.688,5.35969e+06,1.25133,0.99093,1,1,1,0.995104,1.00306,1,1,0,0,1,"[1]","[1]","[97143.8]","[1.00137]","[0.766436]","[150058]","[-21.6491]","[-1]","[11]","[1]","[3335.03]","[-721.561]","[0.0239736]","[2.09224]",79697.7,-2.05254,4,"[197286,171857,107575,26077.7]","[1.66437,1.99622,0.572407,1.83577]","[0.346261,-2.43311,2.37604,-3.03672]","[540182,644780,126659,83884.7]","[0.997941,0.99,0.994128,0.99349]","[0,0,0,0]","[0,0,0,0]","[-0.633258,-0.878015,-0.896331,0.29087]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[315324]","[1.4962]","[0.486503]","[748356]","[116561]","[0]","[0.630362]","[0.644347]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[421.068]",105.625,"[5025.28,6388.27,2098.09,3073.99]","[]","[3656.75]","[]"
7,284500,6074699,364173,1,618.688,5.35969e+06,1.08735,0.98458,1,1,1,0.99576,1.00582,1,1,0,0,1,"[1]","[1]","[121731]","[-0.56349]","[0.680841]","[141574]","[-0.100898]","[1]","[11]","[1]","[0]","[232.717]","[-0.0126767]","[1.52386]",126837,0.0972586,4,"[268765,170972,111166,22634.4]","[1.52325,0.238559,-1.70195,-2.44196]","[-2.50734,0.865604,-2.57419,-2.88119]","[645922,176976,315088,131123]","[0,0,0.998518,0]","[0,0,0,0]","[0,0,0,0]","[-0.816087,-0.746247,-0.535838,-0.771935]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251260]","[1.52839]","[-2.50393]","[606615]","[11988.8]","[0]","[2.82697]","[0.631433]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1092.69]",7435.58,"[7328.29,2391.31,2784.83,2639.55]","[]","[11467.5]","[]"
8,284500,14741847,364173,-1,618.688,5.35969e+06,1.22586,0.98089,1,1,1,0.997903,0.99866,1,1,0,0,1,"[1]","[1]","[319722]","[-0.9359]","[1.62802]","[470269]","[-0.00827026]","[1]","[11]","[1]","[0]","[1255.86]","[0.000930647]","[0.0880296]",360689,-1.66268,2,"[33535.5,26780.2]","[1.80305,-0.0809662]","[1.2395,1.30958]","[104615,27460.2]","[0.99,1]","[0,0]","[0,0]","[-0.651561,-0.636056]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[334304]","[-0.973388]","[1.62501]","[505600]","[4035.25]","[0]","[24.3892]","[0.312447]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3989.03]",8581.25,"[2292.62,4581.96]","[]","[4602.66]","[]"
9,284500,12017143,364173,1,618.688,5.35969e+06,0.923924,0.96323,1,1,1,0.998671,1.00493,1,1,0,0,1,"[1]","[1]","[244725]","[-1.18171]","[-0.282287]","[436431]","[-0.0194376]","[-1]","[11]","[1]","[0]","[-807.28]","[-0.0221576]","[2.17297]",248213,-2.9832,2,"[72283.6,22170.8]","[0.722829,0.0297963]","[1.10151,2.65165]","[92541,22744.8]","[1,0.993986]","[0,0]","[0,0]","[-0.927851,0.585099]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264098]","[-1.19107]","[-0.275271]","[474650]","[0]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3315.59]",12680,"[2831.33,1700.24]","[]","[6711.05]","[]"
