event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
6,284500,6080529,363489,0.248904,11.42,138072,1.21412,1,1.00004,1,1,0.997252,0.966761,1,0,1,0,1,"[1]","[1]","[46084.9]","[2.05458]","[-2.61819]","[182766]","[0.0627098]","[1]","[13]","[1]","[0]","[-183.018]","[0.00253427]","[0.297651]",243682,-2.44239,4,"[232362,70844.1,44587.2,22435.3]","[1.60353,1.02499,1.40428,0.472639]","[0.973181,0.5265,-1.31286,0.0252857]","[601384,111988,96477.2,25593.7]","[1,0.988546,0.967514,1]","[0,0,0,0]","[0,0,0,0]","[-0.946568,-0.878045,-0.919224,-0.825554]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[298169]","[1.53614]","[0.882441]","[731946]","[101871]","[0]","[1.28218]","[0.814679]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[552.714]",10327.9,"[6161.29,2362.65,2426.04,1656.01]","[]","[7826.19]","[]"
9,284500,6087909,363489,0.300425,11.42,138072,0.00220911,0.98458,1,1,1,0.979026,1.00582,1,1,0,0,1,"[1]","[1]","[146233]","[-0.211976]","[1.76891]","[149531]","[0.011364]","[-1]","[11]","[1]","[0]","[-120.42]","[0.00069734]","[0.0903405]",59307.8,2.33269,4,"[170652,116703,87922.3,25635.4]","[-0.618908,-0.19967,0.827007,0.791824]","[-0.854783,-1.4116,2.77958,0.806623]","[206930,119622,119959,34264.8]","[0.997001,1,0.994995,1]","[5,0,0,0]","[0,0,0,0]","[-0.939533,-0.47372,-0.904018,-0.769191]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250598]","[-0.4997]","[-1.08117]","[304282]","[112949]","[0]","[1.11085]","[0.472457]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1345.04]",1905.88,"[4995.42,7167.85,2460.42,1954.02]","[]","[4163.56]","[]"
17,284500,6199641,363489,0.315673,11.42,138072,1.08735,1.00588,1,1,1,1.47274,1.00306,1,1,0,0,1,"[1]","[1]","[168628]","[0.814225]","[-1.82329]","[227683]","[-0.0011754]","[1]","[11]","[1]","[0]","[-584.138]","[-0.000798076]","[0.0834369]",92025.9,-2.91711,5,"[302018,116489,77229.5,24539.7,21549.6]","[-0.0728188,1.26157,-1.55304,0.0526926,0.218622]","[0.0661854,2.26663,2.80137,1.87512,0.498645]","[303362,222627,190968,25268.7,22515.6]","[1,0.993479,0.994011,0.98569,0.989307]","[0,4,4,4,4]","[0,0,0,0,0]","[-0.938356,-0.714132,0.926168,0.748739,-0.905852]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[294892]","[-0.068535]","[0.0701882]","[296246]","[19781.1]","[0]","[2.4843]","[0.637616]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1435.42]",5905.91,"[5584.99,11371.7,10653.6,1313.31,1187.55]","[]","[2621.19]","[]"
20,284500,6205894,363489,-0.226922,11.42,138072,1.25133,0.98697,1,1,1,0.998133,1.00582,1,1,0,0,1,"[1]","[1]","[272412]","[-0.500545]","[-1.90724]","[307256]","[0.0145473]","[1]","[11]","[1]","[0]","[-2105.87]","[0.00911707]","[1.54904]",89058.1,-1.63779,3,"[284130,60303.7,23278.7]","[-1.34248,-1.56093,0.682344]","[1.17655,1.63625,2.63415]","[583546,150051,29342.8]","[0.999946,0.996259,0.960777]","[0,0,0]","[0,0,0]","[-0.861592,-0.815921,-0.798707]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[331553,281672]","[-1.38211,-0.491768]","[1.24468,-1.91171]","[707710,316423]","[90059.3,-0.00276214]","[1,1]","[1.46579,0]","[0.557139,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2016.87]",5353.98,"[6183.64,2332.62,1721.29]","[]","[11887.1,5459.88]","[]"
29,284500,6216136,363489,0.328583,11.42,138072,1.26459,1,0.991964,1,1,1.00905,0.974439,1,0,1,0,1,"[1]","[1]","[164631]","[-1.90747]","[-1.17661]","[566701]","[0.0562019]","[1]","[13]","[1]","[0]","[-584.984]","[-0.0287041]","[3.61718]",25993.7,0.735213,7,"[289416,169581,81117.7,60723.8,28374.3,27561.3,21332.6]","[-0.487978,-0.735367,-2.40077,0.429517,-1.42902,-1.25566,-2.11574]","[1.62911,-0.698759,-2.74448,-2.71883,2.16497,-2.58855,2.92452]","[330640,218219,451263,67094.6,63026,52651.5,89872.6]","[0.998072,1,0.993664,0.990892,0.960697,0.997011,0.890473]","[5,0,0,4,0,0,0]","[0,0,0,0,0,0,0]","[0.173681,-0.89708,-0.311429,0.612291,-0.924435,-0.899083,-0.758286]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285197]","[-0.510765]","[1.61858]","[329824]","[65703.2]","[1]","[0.973796]","[0.744683]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11705.1]",1978.23,"[3418,4994.31,5264.18,3428.01,7589.66,3085.81,2764.83]","[]","[10844.1]","[]"
35,284500,6350373,363489,0.226922,11.42,138072,0.553627,1,0.995851,1,1,0.96316,0.973631,1,0,1,0,1,"[1]","[1]","[151454]","[-1.28245]","[-0.66667]","[294034]","[-0.0502243]","[-1]","[13]","[1]","[0]","[-1263.81]","[0.0224022]","[2.90557]",97312.1,0.176988,5,"[426328,233071,83355.4,34878.1,27858.6]","[-1.69578,-0.886889,-2.14134,-2.48756,-1.16984]","[2.13827,-1.64375,-1.61064,0.424154,1.3441]","[1.20124e+06,331557,359988,211414,49697.4]","[0.998014,0.996534,0.987834,0.253797,0.979658]","[4,0,0,0,0]","[0,0,0,0,0]","[-0.116331,-0.468471,-0.860156,-0.100969,-0.917046]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[417321]","[-1.70661]","[2.13797]","[1.18777e+06]","[17695]","[0]","[2.82197]","[0.622915]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4032.01]",2381.73,"[18776.6,8826.41,8100.98,6619.43,1936.75]","[]","[4384.12]","[]"
37,284500,6350790,363489,0.226922,11.42,138072,0.553627,1,0.99651,1,1,0.995626,0.93415,1,0,1,0,1,"[1]","[1]","[160534]","[-0.839056]","[-2.35878]","[220438]","[-0.00921535]","[1]","[13]","[1]","[0]","[-352.043]","[0.0153992]","[2.62914]",81434.3,-2.05931,6,"[402980,185992,102055,98357.2,88967.4,50433.4]","[-0.655509,-2.36878,-0.906263,-0.211726,-1.5993,1.41083]","[0.920159,-2.74845,-0.140676,-0.682432,-2.80986,1.20842]","[493180,1.00242e+06,147347,101055,229822,109741]","[0.998538,1,0.997171,0.86079,0.999963,0.975156]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.914644,-0.857752,-0.582597,-0.902004,-0.857536,-0.816923]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[397336]","[-0.667961]","[0.915039]","[489321]","[0.00390625]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2478.14]",12965,"[17183,3722.06,5980.64,7788.61,3497.09,3020.67]","[]","[253.188]","[]"
38,284500,6349190,363489,0.226922,11.42,138072,0.402058,0.98697,1,1,1,0.959744,1.00582,1,1,0,0,1,"[1]","[1]","[152372]","[-0.134256]","[-2.18857]","[153747]","[0.0605469]","[1]","[11]","[1]","[2516.57]","[2885.6]","[-0.0237237]","[2.99637]",90702.2,3.12337,2,"[301902,88651.7]","[-0.360087,-0.653346]","[0.478353,-2.97353]","[322422,108430]","[0.988557,0.990726]","[0,4]","[0,0]","[-0.914417,-0.873229]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[299575]","[-0.390684]","[0.478388]","[323770]","[25941.3]","[0]","[1.44898]","[0.568734]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[852.548]",8460.16,"[8965.28,1642.23]","[]","[9923.19]","[]"
41,284500,6361742,363489,0.226922,11.42,138072,1.21412,0.97738,1,1,1,1.02397,1.00056,1,1,0,0,1,"[1]","[1]","[77658.1]","[0.171959]","[0.114307]","[78809.1]","[-0.0123367]","[1]","[11]","[1]","[0]","[80.5228]","[-0.0089611]","[0.854664]",175837,0.520829,4,"[268864,221545,139493,62159.1]","[-2.17214,-0.248923,-2.34122,-1.52347]","[-2.38574,0.938266,-2.76952,-2.45068]","[1.1954e+06,228971,731718,149732]","[0.987191,0.997362,0.992031,0.973478]","[0,0,5,0]","[0,0,0,0]","[-0.750977,-0.800568,0.999078,-0.875661]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290706]","[-0.0919648]","[0.72311]","[316394]","[121978]","[1]","[0.108258]","[0.287497]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1343.55]",11956.8,"[6385.97,6386.37,5551.6,6861.16]","[]","[5688.81]","[]"
43,284500,6484768,363489,-0.226922,11.42,138072,1.26459,0.98697,1,1,1,0.998073,1.00582,1,1,0,0,1,"[0]","[1]","[156268]","[-0.518008]","[1.40629]","[177707]","[0.0143576]","[-1]","[11]","[1]","[0]","[-1893.42]","[-0.0235566]","[3.47331]",323364,1.53709,2,"[469781,75084]","[0.460631,-1.12246]","[-1.81355,-0.264098]","[521795,127978]","[1,1]","[0,0]","[0,0]","[-0.799749,-0.876041]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[463564]","[0.460579]","[-1.81092]","[513899]","[17298.4]","[0]","[1.01798]","[0.017392]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1545.7]",5711.75,"[10679.4,2213.98]","[]","[27414.7]","[]"
