event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,40084264,361103,8436.16,8579.63,2.45303e+11,0.934886,0.99242,1,1,1,1,0.99765,1,1,0,0,1,"[1]","[1]","[232947]","[0.671307]","[1.91837]","[287437]","[-0.00815582]","[-1]","[11]","[1]","[0]","[-63.6361]","[0.0131773]","[0.960584]",64660.2,0.770484,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[262587,250122]","[0.0830053,0.640131]","[-1.34912,1.91902]","[263646,303142]","[9020.21,-0.00338291]","[0,1]","[50.9364,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2025.88]",6046.5,"[]","[]","[2797.94,1106.64]","[]"
3,284500,40113781,361103,8443.49,8579.63,2.45303e+11,1.74563,0.97738,1,1,1,1.09517,1.00056,1,1,0,0,1,"[1]","[1]","[77542.6]","[0.228782]","[-1.42308]","[79580.8]","[-0.0278716]","[-1]","[11]","[1]","[0]","[879.45]","[0.0158675]","[1.23803]",158702,-1.52886,4,"[250541,211112,85202.4,67248.8]","[1.42029,-0.76569,-1.20046,-1.70506]","[2.4266,0.554482,-2.33127,0.298244]","[548991,276918,154450,191388]","[0.999585,0.997518,0.99,0.999826]","[4,4,0,0]","[0,0,0,0]","[-0.924693,0.875428,-0.605123,-0.951507]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[275638]","[-1.04592]","[0.502016]","[456238]","[118202]","[0]","[1.18788]","[0.775145]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[226.03]",8321.86,"[4175.79,9583.28,2447.49,3010.97]","[]","[690.312]","[]"
6,284500,40842847,361103,8432.93,8579.63,2.45303e+11,0.402058,0.96203,1,1,1,0.997954,1.01508,1,1,0,0,1,"[1]","[1]","[209948]","[-1.62884]","[2.59751]","[555746]","[-0.0331635]","[-1]","[11]","[1]","[1706.72]","[1615.09]","[0.0140612]","[1.16508]",72316.6,2.92054,2,"[298655,23052.6]","[0.17202,1.35631]","[-0.518845,2.0438]","[303479,48025.7]","[0.995623,0.991673]","[0,0]","[0,0]","[-0.84234,-0.916208]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[301296]","[0.168871]","[-0.515796]","[305983]","[15249.9]","[0]","[0.201702]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3207.2]",9130.61,"[6859.02,6136.18]","[]","[3147.5]","[]"
9,284500,40842154,361103,8432.93,8579.63,2.45303e+11,1.24168,1.01378,1,1,1,0.983743,1.00936,1,1,0,0,1,"[1]","[1]","[370568]","[0.0790482]","[-2.21426]","[371727]","[-0.0975952]","[-1]","[11]","[1]","[1239.27]","[594.267]","[0.0146177]","[1.90073]",71715.3,2.25533,3,"[357962,124504,31987.5]","[0.35395,-1.45207,-1.2065]","[1.10427,-0.533967,-1.52534]","[381079,280658,58452.8]","[0.99,0.999513,0.991235]","[4,0,0]","[0,0,0]","[-0.68751,-0.942571,-0.913271]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[378089,351882]","[0.0904776,0.365402]","[-2.21196,1.10518]","[379637,376150]","[-0.0054153,19662.4]","[0,0]","[0,3.52134]","[-1,0.434348]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4669.07]",3786.51,"[4491.56,2662.83,2899.59]","[]","[43620.3,5446]","[]"
12,284500,40531767,361103,8438.75,8579.63,2.45303e+11,0.934886,0.96203,1,1,1,0.996437,1.01508,1,1,0,0,1,"[1]","[1]","[483500]","[-1.78528]","[-1.55821]","[1.48168e+06]","[0.0702828]","[-1]","[11]","[1]","[0]","[511.994]","[0.0230545]","[1.73975]",72130.9,-2.65558,3,"[491678,24042.4,20182.8]","[-0.405553,0.410246,-2.2105]","[1.48644,0.406759,2.61605]","[533138,26225.3,93171.3]","[0.995024,1,0.985463]","[0,0,0]","[0,0,0]","[-0.804147,-0.84417,-0.161309]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[530245,498835]","[-1.78298,-0.40625]","[-1.55264,1.48375]","[1.6214e+06,540822]","[2259.69,16569]","[0,0]","[0,7.95649]","[-1,0.357057]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9530.37]",7529.21,"[17842.2,2564.17,2878.55]","[]","[1761.25,18957.3]","[]"
15,284500,40027963,361103,8432.27,8579.63,2.45303e+11,1.55465,1.01378,1,1,1,0.999175,1.00936,1,1,0,0,1,"[1]","[1]","[388641]","[-0.0179195]","[-2.45761]","[388704]","[0.094429]","[-1]","[11]","[1]","[0]","[1680.28]","[-0.0189152]","[3.26014]",427652,0.64333,1,"[40858.7]","[1.74027]","[-2.78996]","[120172]","[1]","[0]","[0]","[-0.725175]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[404046]","[0.0400436]","[-2.4575]","[404381]","[2864.61]","[0]","[18.1262]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2354]",904.938,"[2370.15]","[]","[40013.2]","[]"
21,284500,40138351,361103,8432.05,8579.63,2.45303e+11,0.402058,0.99211,1,1,1,0.997715,0.9918,1,1,0,0,1,"[1]","[1]","[210066]","[-0.644378]","[1.22053]","[255209]","[-0.0318241]","[-1]","[11]","[1]","[0]","[-1423.38]","[0.0109054]","[1.47186]",78418.9,0.55755,2,"[262497,24928.3]","[-1.27614,-1.3007]","[-2.16419,-1.46149]","[507006,49471.4]","[0.989753,0.967962]","[0,0]","[0,0]","[-0.875433,0.0987605]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264427]","[-1.27379]","[-2.16274]","[509700]","[11559.2]","[0]","[2.74724]","[0.352944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2371.27]",548.281,"[3765.31,4342.93]","[]","[9250.05]","[]"
23,284500,40179843,361103,8434.95,8579.63,2.45303e+11,1.08735,0.97996,1,1,1,0.998966,1.01265,1,1,0,0,1,"[1]","[1]","[166824]","[1.73555]","[-2.72343]","[487821]","[0.0200119]","[-1]","[11]","[1]","[2261.02]","[2426.37]","[-0.0272857]","[2.93841]",82876.6,-2.079,1,"[244725]","[1.85213]","[0.623447]","[799126]","[0.998959]","[0]","[0]","[-0.813841]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252522]","[1.87388]","[0.623492]","[841834]","[9010.74]","[0]","[4.55405]","[0.319663]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2176.44]",39518,"[5530.86]","[]","[23503.5]","[]"
24,284500,40626737,361103,8430.06,8579.63,2.45303e+11,0.402058,0.96966,1,1,1,0.997506,0.99604,1,1,0,0,1,"[1]","[1]","[298167]","[-2.05715]","[-0.171031]","[1.18543e+06]","[-0.149696]","[-1]","[11]","[1]","[0]","[-454.454]","[-0.0163616]","[1.08567]",75955.2,0.823049,4,"[278278,36529.9,28162.5,21607.5]","[-0.78746,1.85685,1.19786,0.87274]","[-2.98522,2.10648,2.60771,-2.65675]","[369212,119880,51124,30649.1]","[0.99,0.99,0.951096,0.597662]","[0,0,0,0]","[0,0,0,0]","[-0.936044,-0.469566,-0.89325,-0.935654]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259656]","[-0.813834]","[-2.98604]","[350568]","[7078.52]","[0]","[50.7896]","[0.0471789]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3440.76]",14943.1,"[3390.97,3543.84,1838.85,1197.5]","[]","[15380.9]","[]"
36,284500,40351263,361103,8437.61,8579.63,2.45303e+11,1.24168,0.96392,1,1,1,0.998749,1.01012,1,1,0,0,1,"[1]","[1]","[226922]","[1.84754]","[1.68189]","[737704]","[-0.00806046]","[-1]","[11]","[1]","[0]","[412.858]","[0.024655]","[1.73067]",60658.3,1.10214,2,"[148256,135597]","[0.636225,1.11414]","[-1.36668,-1.84309]","[179671,229338]","[0.972848,0.995098]","[0,0]","[0,0]","[-0.679229,-0.542304]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272863]","[0.885867]","[-1.58761]","[399736]","[99648.9]","[0]","[0.721937]","[0.828677]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2960.09]",934.598,"[2992.52,2404.48]","[]","[16893.6]","[]"
42,284500,40396613,361103,8437.54,8579.63,2.45303e+11,1.74563,0.96323,1,1,1,0.999946,1.00493,1,1,0,0,1,"[1]","[1]","[298531]","[-1.26003]","[1.44311]","[568579]","[-0.00769424]","[-1]","[11]","[1]","[1155.9]","[2018.76]","[-0.00484895]","[0.771971]",106853,1.55738,1,"[45471.8]","[1.05653]","[-0.322975]","[73501.8]","[0.99412]","[0]","[0]","[-0.926163]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[376861,325105]","[-0.198939,-1.27643]","[-1.75343,1.44347]","[385060,627919]","[23484.5,0]","[0,0]","[5.40512,0]","[0.17543,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3681.75]",3916.74,"[3089.96]","[]","[12640,19766.3]","[]"
51,284500,40668685,361103,8433.63,8579.63,2.45303e+11,0.596562,0.98697,1,1,1,0.999161,1.00582,1,1,0,0,1,"[1]","[1]","[226027]","[-0.178098]","[-0.574724]","[229621]","[0.0367813]","[-1]","[11]","[1]","[0]","[1854.26]","[0.0130995]","[1.03522]",30666.8,0.961342,2,"[254710,96215.6]","[0.176109,0.235845]","[2.31206,-1.79333]","[260345,99632.8]","[0.991911,0.99586]","[0,0]","[0,0]","[-0.886365,-0.938244]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259196]","[0.198887]","[2.34837]","[267297]","[39654]","[0]","[2.01553]","[0.673964]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1152.23]",13924,"[15200,2024.1]","[]","[3120]","[]"
53,284500,40768566,361103,8433.51,8579.63,2.45303e+11,1.32095,0.97994,1,1,1,0.998549,1.00632,1,1,0,0,1,"[1]","[1]","[280793]","[0.15622]","[3.11532]","[284227]","[-0.0141411]","[-1]","[11]","[1]","[0]","[3160.8]","[-0.00238322]","[0.376044]",49035.6,2.40519,4,"[309313,42327.7,33484.5,20608.5]","[0.221736,0.584314,-0.649424,-0.74731]","[0.031128,-1.05315,-3.09711,-0.55256]","[317222,50266.8,41119.4,26903.4]","[0.940941,1,0.983283,0.945909]","[0,0,0,0]","[0,0,0,0]","[-0.558084,-0.860901,-0.786972,-0.825386]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[316051,291895]","[0.0790233,0.200963]","[3.11718,0.0383996]","[327146,298447]","[80691.8,19513]","[1,0]","[1.41447,5.79925]","[0.664534,0.536671]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2660.03]",18187.6,"[3212.58,7540.76,2460.39,1138.24]","[]","[19310.3,470.344]","[]"
65,284500,40105793,361103,8435.44,8579.63,2.45303e+11,0.934886,0.96615,1,1,1,0.998936,0.98962,1,1,0,0,1,"[1]","[1]","[63035]","[1.29996]","[1.97732]","[124232]","[-0.051775]","[-1]","[11]","[1]","[0]","[1684.75]","[0.01652]","[1.1899]",207782,2.03962,1,"[269527]","[1.91079]","[-1.12594]","[931355]","[1]","[0]","[0]","[-0.724613]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270325]","[1.90618]","[-1.12701]","[930057]","[35603.4]","[0]","[1.4515]","[0.695614]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[190.48]",12632.6,"[13267.3]","[]","[10845.1]","[]"
66,284500,40912137,361103,8433.99,8579.63,2.45303e+11,1.74563,0.96323,1,1,1,0.987823,1.00493,1,1,0,0,1,"[1]","[1]","[214778]","[-1.17392]","[-1.84282]","[380565]","[-0.00779915]","[-1]","[11]","[1]","[0]","[-683.45]","[-0.00923133]","[0.880688]",21874.8,2.2338,2,"[287871,109455]","[0.688367,0.382417]","[0.934934,-2.7033]","[360859,118679]","[1,0.967212]","[4,0]","[0,0]","[0.766949,-0.882058]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276636]","[0.680014]","[0.935034]","[345143]","[37494.8]","[0]","[1.45734]","[0.849094]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2500.07]",287.562,"[4887.06,2449.64]","[]","[15444.1]","[]"
68,284500,40241591,361103,8435.13,8579.63,2.45303e+11,1.08735,0.98697,1,1,1,0.998437,1.00582,1,1,0,0,1,"[1]","[1]","[153549]","[-0.368058]","[2.26011]","[164067]","[0.00198364]","[-1]","[11]","[1]","[0]","[6552.58]","[-0.0171405]","[1.24403]",51187.6,0.729397,3,"[249971,89237.3,34968.3]","[-0.288714,2.44472,-1.61322]","[-1.06809,2.60033,1.24009]","[260671,518387,91513.8]","[0.998986,0.990673,0.965872]","[0,0,0]","[0,0,0]","[0.146721,-0.855004,-0.812012]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260348]","[-0.273886]","[-1.06629]","[270412]","[11359.3]","[0]","[1.23236]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[656.202]",771.93,"[3835.75,3651.06,2144.17]","[]","[5804.02]","[]"
