event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,7026808,361104,8437.06,8579.63,2.64338e+11,1.1961,1,0.993861,1,1,0.997826,0.819063,1,0,1,0,1,"[1]","[1]","[404468]","[0.320221]","[1.69358]","[425383]","[-0.0538359]","[-1]","[13]","[1]","[0]","[-862.259]","[0.0120754]","[1.82922]",49722.3,1.29194,2,"[406868,354829]","[0.5809,-1.09161]","[-0.692155,-2.52399]","[478073,588620]","[0.545373,0.998624]","[0,0]","[0,0]","[-0.744594,-0.848241]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[402906,372054]","[0.587401,-1.09688]","[-0.694832,-2.51932]","[474955,619542]","[22188,19574.9]","[0,0]","[5.59531,2.86304]","[0.285822,0.803657]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[46748.9]",31810,"[4402.19,13795]","[]","[23975.6,15724]","[]"
4,284500,7004209,361104,8434.04,8579.63,2.64338e+11,0.596562,1,0.998524,1,1,1.00885,0.91655,1,0,1,0,1,"[1]","[1]","[46887.9]","[-0.474026]","[0.637732]","[52255.3]","[-0.0041275]","[-1]","[13]","[1]","[0]","[638.062]","[-0.00949086]","[0.864586]",238764,-0.264756,7,"[222943,221139,75061.1,53176.4,41239.8,24771.2,22435.8]","[-0.437253,0.232769,1.03359,1.75936,-0.455904,0.531414,-0.668639]","[-2.55013,1.54336,-2.46632,-1.49493,1.36586,1.95157,-2.15592]","[245790,228881,119243,159200,45906,28623.9,27778.9]","[0.986277,0.99,0.991794,0.985166,0.99,0.736904,0.995332]","[0,0,0,0,0,0,4]","[0,0,0,0,0,0,0]","[-0.783591,-0.965977,-0.836155,-0.687331,-0.65527,-0.937864,-0.475831]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252055]","[0.158044]","[1.5416]","[274893]","[102147]","[0]","[2.04265]","[0.617121]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[349.194]",4859.16,"[6935.75,2562.6,6882.42,2419.13,2007.11,1982.79,1646.54]","[]","[28997.3]","[]"
10,284500,7187488,361104,8434.59,8579.63,2.64338e+11,0.402058,1,0.993154,1,1,0.996448,0.789179,1,0,1,0,1,"[1]","[1]","[212820]","[0.508523]","[-1.80777]","[240936]","[-0.0147743]","[-1]","[13]","[1]","[2354.82]","[493.48]","[0.00387326]","[0.688386]",133966,-1.35861,5,"[367590,46749.1,36632,23258.8,22882.5]","[1.01337,0.256673,1.04124,-0.664431,2.02809]","[1.76609,-0.961507,-0.0267201,-0.300819,2.20618]","[573477,49335.1,58712.2,28865.4,88491.9]","[0.998078,1,0.986378,0.989332,0.70029]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.676427,-0.805278,-0.915699,-0.300642,-0.685428]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[359832]","[1.01881]","[1.7742]","[563410]","[10879.3]","[0]","[5.80202]","[0.529227]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11394.7]",43122.3,"[14045.3,6643.61,8467.82,1904.88,3707.86]","[]","[48279.4]","[]"
11,284500,6996473,361104,8433.9,8579.63,2.64338e+11,0.934886,1,0.997105,1,1,0.999455,1.03039,1,0,1,0,1,"[1]","[1]","[254930]","[-0.612011]","[0.941468]","[304182]","[-0.0372849]","[-1]","[13]","[1]","[0]","[-439.598]","[-0.00172825]","[0.396706]",32572.9,1.29407,1,"[268877]","[-0.348626]","[-2.16846]","[286045]","[0.994562]","[0]","[0]","[-0.562238]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266793]","[-0.387485]","[-2.17406]","[287553]","[16595.8]","[0]","[2.19054]","[0.646816]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6848.32]",6287.48,"[7396.3]","[]","[6220.48]","[]"
24,284500,7181911,361104,8435.55,8579.63,2.64338e+11,0.934886,1,0.998852,1,1,0.9978,1.10885,1,0,1,0,1,"[1]","[1]","[202608]","[-0.922865]","[-0.104312]","[295187]","[0.0630913]","[-1]","[13]","[1]","[0]","[-467.404]","[0.010136]","[1.73195]",366596,-0.453314,1,"[560369]","[-1.18116]","[2.81453]","[1.00009e+06]","[0.980444]","[0]","[0]","[-0.595521]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[553765]","[-1.18034]","[2.82753]","[990231]","[86565.1]","[0]","[2.80876]","[0.631289]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8339.78]",16409.6,"[18080]","[]","[14220.3]","[]"
27,284500,7153740,361104,8428.5,8579.63,2.64338e+11,0.934886,1,0.99447,1,1,0.998929,0.992957,1,0,1,0,1,"[1]","[1]","[101906]","[0.595865]","[-1.21711]","[120538]","[-0.0553741]","[-1]","[13]","[1]","[1159.28]","[1434.5]","[-0.0270158]","[3.38241]",205238,-1.63329,2,"[286118,20174]","[0.938211,-0.733104]","[1.51449,2.11193]","[421853,26200.6]","[0.997641,0.724594]","[0,0]","[0,0]","[-0.940343,-0.588737]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[297097]","[0.959819]","[1.52222]","[444879]","[9346.09]","[0]","[1.5032]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2367.49]",17056.5,"[5030.17,1144.93]","[]","[9205.81]","[]"
34,284500,7346704,361104,8436.26,8579.63,2.64338e+11,0.402058,1,0.999317,1,1,0.999368,0.938043,1,0,1,0,1,"[1]","[1]","[151097]","[0.760821]","[1.65204]","[196979]","[0.0421562]","[-1]","[13]","[1]","[0]","[409.442]","[-0.034355]","[5.46992]",188418,1.54104,1,"[236504]","[-0.0655991]","[-1.89152]","[237263]","[0.995786]","[0]","[0]","[-0.475145]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[254474]","[-0.0843912]","[-1.88927]","[255704]","[12845]","[0]","[1.77826]","[0.457912]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3143.52]",6508.5,"[2796.78]","[]","[22451.3]","[]"
35,284500,7423778,361104,8437.18,8579.63,2.64338e+11,1.08735,1,0.998731,1,1,0.999387,0.997022,1,0,1,0,1,"[1]","[1]","[182335]","[1.48206]","[1.26098]","[422032]","[-0.0179505]","[-1]","[13]","[1]","[0]","[-118.869]","[0.0158703]","[2.83855]",98528.8,1.44721,1,"[285559]","[1.05424]","[-1.79109]","[460136]","[1]","[0]","[0]","[-0.96234]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[293770]","[1.04991]","[-1.78448]","[471339]","[14632.7]","[0]","[1.85525]","[0.435779]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5168.47]",8815.16,"[9589.53]","[]","[15932.3]","[]"
38,284500,7269000,361104,8437.94,8579.63,2.64338e+11,0.402058,1,0.998208,1,1,0.998239,0.986682,1,0,1,0,1,"[1]","[1]","[448589]","[-1.33892]","[2.6309]","[914459]","[-0.00971699]","[-1]","[13]","[1]","[1078.98]","[-421.23]","[-0.00139676]","[0.291546]",29479.1,-2.9332,2,"[451547,27754.2]","[0.392,-0.333657]","[-0.466002,-0.506877]","[487334,29949.9]","[0.99,0.990308]","[0,0]","[0,0]","[-0.835246,-0.876981]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[464643]","[0.390673]","[-0.467338]","[501022]","[21638.5]","[0]","[1.50251]","[0.317412]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[63134.7]",4123.47,"[7047.37,1837.27]","[]","[11990.4]","[]"
41,284500,7441715,361104,8430.6,8579.63,2.64338e+11,1.55465,1,0.992824,1,1,0.998284,0.640402,1,0,1,0,1,"[1]","[1]","[339844]","[0.817803]","[-0.428909]","[459965]","[0.0416756]","[-1]","[13]","[1]","[0]","[-435.157]","[0.00667596]","[1.35905]",44054.3,-1.92598,3,"[264171,43861.9,23916.3]","[-0.62086,-1.64674,0.918349]","[2.63583,2.91918,2.06693]","[317679,118271,35098.3]","[0.998694,1,0.992626]","[0,0,0]","[0,0,0]","[-0.568971,-0.815118,-0.720419]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[287721]","[-0.707921]","[2.65259]","[376680]","[101027]","[0]","[2.56327]","[0.602988]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[24673.2]",15008.6,"[3659.74,8729.35,3155.29]","[]","[5474.88]","[]"
