event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,18717378,361105,8433.74,8579.63,1.65196e+11,0.738662,0.95175,1,1,1,0.999466,0.9244,1,1,0,0,1,"[0]","[1]","[46302.1]","[1.19752]","[1.91323]","[83663.7]","[-0.0707436]","[-1]","[11]","[1]","[0]","[-1726.11]","[-0.0184004]","[1.56723]",289063,2.01883,1,"[283285]","[-0.537565]","[-1.16819]","[325630]","[0.992025]","[0]","[0]","[-0.335234]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[286247]","[-0.567155]","[-1.16672]","[333632]","[8162.65]","[0]","[3.2109]","[0.0382629]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[177.659]",1036.44,"[6312.4]","[]","[240.406]","[]"
1,284500,18965632,361105,8433.03,8579.63,1.65196e+11,0,1,1.00099,1,1,0.989866,0.980103,1,0,1,0,1,"[0]","[1]","[208972]","[1.22891]","[-0.722976]","[387654]","[-0.0144005]","[-1]","[13]","[1]","[0]","[-236.049]","[-0.00735888]","[1.46089]",51331.9,-0.899844,1,"[267807]","[1.71609]","[2.41986]","[769074]","[1]","[4]","[0]","[0.351571]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252799]","[1.72816]","[2.41516]","[734229]","[12822.9]","[0]","[3.21901]","[0.307682]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[20211.3]",9977.31,"[10585.6]","[]","[0]","[]"
2,284500,18949996,361105,8438.77,8579.63,1.65196e+11,1.08735,1,1.00183,1,1,0.998862,0.99823,1,0,1,0,1,"[0]","[1]","[116789]","[1.03371]","[3.01337]","[184945]","[0.0803928]","[-1]","[13]","[1]","[0]","[-505.779]","[-0.0310572]","[3.6924]",92993.7,2.77277,3,"[237583,46299,21361.5]","[0.864846,-0.688748,-0.910188]","[-0.0774074,-2.35456,-2.70641]","[332429,58318.8,30927.5]","[0.948877,0.994172,0.929105]","[0,0,0]","[0,0,0]","[-0.874549,-0.544682,-0.691386]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251986]","[0.877762]","[-0.0531567]","[356709]","[29897.6]","[0]","[3.17898]","[0.309618]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[232.827]",6031.58,"[3631.64,4295.17,4089.52]","[]","[10558.9]","[]"
3,284500,18776564,361105,8439.73,8579.63,1.65196e+11,0.619412,0.95586,1,1,1,0.998462,0.97537,1,1,0,0,1,"[0]","[1]","[32523.1]","[0.757079]","[2.8185]","[42297.5]","[-4.10952]","[-1]","[11]","[1]","[0]","[-650.588]","[0.0153539]","[1.60508]",25840.4,-0.904345,3,"[275743,54442.8,22652.9]","[-1.79567,-0.0539559,-1.18612]","[-2.58468,0.502812,2.53961]","[853641,54761.9,40783.6]","[0.994217,0.997205,0.971142]","[0,0,0]","[0,0,0]","[-0.936551,-0.924498,-0.823553]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[303342]","[-1.78964]","[-2.58403]","[933605]","[18099.1]","[0]","[2.04312]","[0.748183]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[63.6194]",2477.05,"[13770.1,5348.58,5602.64]","[]","[15360.3]","[]"
4,284500,19131789,361105,8436.95,8579.63,1.65196e+11,1.74563,0.97921,1,1,1,0.995857,1.00192,1,1,0,0,1,"[0]","[1]","[72197.1]","[-0.317936]","[-2.56787]","[75876.9]","[0.00883001]","[-1]","[11]","[1]","[1296.14]","[142.945]","[-0.0370337]","[5.49692]",231428,-2.55473,6,"[286992,38705.5,35128.2,26241.3,25951.4,23143.3]","[-0.66977,-1.58701,1.13742,-0.724503,-1.58163,-1.09825]","[0.546322,-0.120521,1.25079,3.09718,-2.70157,-0.409083]","[355697,98801.9,60691.6,34113.8,65912.5,38745.1]","[1,1,0.995252,0.99268,0.994963,0.969412]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.725931,-0.831352,-0.834591,-0.867358,-0.857731,-0.848212]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[341506]","[-0.621702]","[0.50996]","[415142]","[67257.9]","[0]","[1.42977]","[0.642921]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[325.167]",56765.2,"[5376.51,21592.2,3612.54,5714.75,3973.9,2987.29]","[]","[31107.8]","[]"
5,284500,19078211,361105,8432.84,8579.63,1.65196e+11,1.55465,0.97076,1,1,1,0.99953,0.95972,1,1,0,0,1,"[0]","[1]","[56700.3]","[-1.07339]","[0.638249]","[92623.7]","[0.211632]","[-1]","[11]","[1]","[0]","[567.32]","[-0.0571833]","[6.27919]",368660,0.658908,1,"[21190.5]","[0.499005]","[-2.34922]","[24022.7]","[0.98]","[0]","[0]","[-0.906641]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[395825]","[0.897224]","[-2.49936]","[567534]","[39967.5]","[0]","[0.958392]","[0.527466]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[92.1839]",22789.6,"[1692.82]","[]","[6817.09]","[]"
6,284500,18909518,361105,8433.81,8579.63,1.65196e+11,0.402058,0.96853,1,1,1,0.998946,0.98869,1,1,0,0,1,"[0]","[1]","[64786.7]","[-2.01226]","[0.750636]","[246640]","[0.251713]","[-1]","[11]","[1]","[0]","[-385.689]","[0.0578221]","[3.35364]",199998,0.862376,3,"[328797,50621.3,30949.3]","[1.00054,0.00605149,0.625007]","[-2.27406,1.1676,-1.48061]","[508559,50871.7,37666.2]","[0.994422,0.988478,0.976923]","[0,0,0]","[0,0,0]","[-0.860231,0.0672631,-0.777263]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[335192]","[1.02018]","[-2.28169]","[526084]","[29021.3]","[0]","[2.03675]","[0.681976]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[915.914]",13404.3,"[10853.7,3185.83,3039.03]","[]","[18718.9]","[]"
7,284500,18936215,361105,8433.99,8579.63,1.65196e+11,0.596562,0.9623,1,1,1,0.997042,0.96784,1,1,0,0,1,"[0]","[1]","[29777.9]","[-0.306392]","[1.61438]","[31186.6]","[0.409981]","[-1]","[11]","[1]","[0]","[252.193]","[-0.0151264]","[0.890217]",418089,1.77936,2,"[466060,26110.9]","[-0.351025,1.49349]","[-1.31759,2.92926]","[495565,61170.4]","[1,0.977]","[0,0]","[0,0]","[-0.454261,-0.911036]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[454496]","[-0.356251]","[-1.31813]","[483923]","[16441.4]","[0]","[3.53535]","[0.591454]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[44.6681]",8113.28,"[8671.43,3516.35]","[]","[3916.19]","[]"
8,284500,19075988,361105,8440.22,8579.63,1.65196e+11,0.934886,1,0.996325,1,1,0.989321,1.05163,1,0,1,0,1,"[0]","[1]","[137496]","[-0.704773]","[-0.773789]","[173081]","[-0.00578308]","[-1]","[13]","[0]","[0]","[-275.162]","[-0.032834]","[6.86327]",79887.2,-0.472736,3,"[257013,93581.7,33465]","[0.625404,1.99197,0.348517]","[1.98478,-2.09182,-2.37823]","[309898,349421,36168]","[0.997963,0.933348,0.992067]","[4,0,4]","[0,0,0]","[-0.844854,-0.884573,0.727325]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[269246]","[0.631164]","[1.98549]","[325563]","[23972.1]","[0]","[1.61322]","[0.553817]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[606.51]",1713.95,"[3183.18,3377.07,1499.23]","[]","[980.375]","[]"
9,284500,19135906,361105,8443.01,8579.63,1.65196e+11,0.596562,1,0.997331,1,1,0.999404,0.669553,1,0,1,0,1,"[0]","[1]","[116550]","[0.743805]","[-1.61937]","[150304]","[-0.026226]","[-1]","[13]","[1]","[0]","[-151.272]","[-0.0141254]","[2.41708]",166259,-1.57956,1,"[281865]","[1.0706]","[1.54376]","[460007]","[0.997965]","[0]","[0]","[-0.882863]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264977]","[1.09132]","[1.53828]","[439598]","[21702.1]","[0]","[2.15327]","[0.657574]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[954.693]",501.438,"[3866.57]","[]","[13680.4]","[]"
10,284500,14958504,361105,8432.09,8579.63,1.65196e+11,0.934886,0.96323,1,1,1,0.999269,1.00493,1,1,0,0,1,"[0]","[1]","[178528]","[-1.19744]","[-0.789598]","[322566]","[0.0276699]","[-1]","[11]","[1]","[0]","[998.33]","[0.0668726]","[5.70188]",118119,-0.657077,2,"[267220,91305.1]","[0.130749,0.628597]","[2.18069,-2.98676]","[270023,110163]","[1,0.99601]","[0,0]","[0,0]","[-0.976227,-0.912198]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263230]","[0.140322]","[2.17874]","[266099]","[12045.6]","[0]","[3.7347]","[0.618754]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2165.1]",6547.68,"[7689.18,5044.76]","[]","[17423.2]","[]"
11,284500,19127001,361105,8431.7,8579.63,1.65196e+11,1.74563,1,1,1,1,0.998893,1,1,1,0,0,1,"[0]","[1]","[303436]","[-1.00774]","[-0.917673]","[471001]","[-0.00146484]","[-1]","[11]","[0]","[0]","[7510.14]","[0.0291738]","[3.7955]",80674.7,-1.08142,1,"[381861]","[-1.35995]","[2.17421]","[793436]","[0.989362]","[0]","[0]","[-0.692274]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[380490,336452]","[-1.38038,-1.04564]","[2.18376,-0.919239]","[804809,537764]","[27655,563.876]","[0,0]","[2.42796,9.25952]","[0.683111,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3850.44]",9247.84,"[10822.1]","[]","[2252.06,5664.91]","[]"
12,284500,19095514,361105,8432.65,8579.63,1.65196e+11,0.934886,1,0.997014,1,1,0.999374,0.97976,1,0,1,0,1,"[0]","[1]","[129600]","[-1.19988]","[-1.56884]","[234638]","[0.0646019]","[-1]","[13]","[1]","[0]","[-501.006]","[-0.0404217]","[7.72977]",81499.3,-2.19733,1,"[236706]","[-0.895025]","[1.57638]","[338623]","[0.99]","[0]","[0]","[-0.799879]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284809]","[-0.927979]","[1.46014]","[419509]","[50181]","[0]","[1.28773]","[0.675548]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3950.89]",829.844,"[4079.27]","[]","[2464.47]","[]"
