event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,14435312,364158,1,828.465,1.0403e+07,0.696077,1,0.99752,1,1,0.998642,0.989879,1,0,1,0,1,"[1]","[1]","[39816.5]","[2.30013]","[-1.41691]","[200590]","[-0.0565758]","[-1]","[13]","[0]","[0]","[-1048.61]","[-0.000422941]","[0.044222]",24113.9,2.0205,2,"[235682,67832.7]","[1.65637,1.59584]","[2.66498,-0.76797]","[640545,174448]","[0.00469934,0.00820753]","[0,0]","[0,0]","[-0.787163,-0.804506]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251049]","[1.64528]","[2.66733]","[675131]","[22792.8]","[0]","[1.5969]","[0.790803]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[478.831]",22523.8,"[8604.31,3990.98]","[]","[0]","[]"
1,284500,9336701,364158,-1,828.465,1.0403e+07,1.32095,1,0.996873,1,1,0.998761,0.975887,1,0,1,0,1,"[1]","[1]","[38287]","[2.36389]","[1.68038]","[205339]","[0.0924568]","[1]","[13]","[1]","[0]","[1263.94]","[-0.0112074]","[0.769539]",98738.5,-3.12665,1,"[35994.3]","[1.48608]","[-0.67104]","[83838.3]","[0.999162]","[0]","[0]","[-0.869414]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[327732]","[0.781897]","[-0.316268]","[438654]","[69442.4]","[0]","[2.43361]","[0.655446]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1128.28]",2488.82,"[2558.11]","[]","[3626]","[]"
2,284500,6839048,364158,1,828.465,1.0403e+07,0.619412,1,0.998463,1,1,0.998989,1.02398,1,0,1,0,1,"[1]","[1]","[37302.6]","[-0.857398]","[0.910826]","[51874.6]","[125.262]","[-1]","[13]","[1]","[0]","[334.258]","[0.00384023]","[0.505832]",20305,-2.32452,2,"[259782,226771]","[0.828694,0.552341]","[2.6962,-0.517977]","[355486,262427]","[0.98769,0.999146]","[0,0]","[0,0]","[-0.941002,0.367172]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263816]","[0.833697]","[2.70358]","[362188]","[30122.4]","[0]","[1.4469]","[0.765744]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[82.3972]",1595.5,"[5078.42,5376.77]","[]","[2664.38]","[]"
3,284500,13959666,364158,1,828.465,1.0403e+07,1.32095,1,0.985198,1,1,0.997126,1.00617,1,0,1,0,1,"[1]","[1]","[43731.9]","[-1.68042]","[0.559127]","[121446]","[-0.0167308]","[1]","[13]","[1]","[0]","[735.336]","[-0.00422244]","[0.519938]",13264.1,-0.408489,4,"[345071,334163,36402.6,34342.1]","[0.926804,-2.27755,0.482298,-1.8741]","[-2.8331,0.29128,-2.25741,2.08333]","[504521,1.64682e+06,41325.6,114676]","[0.969729,0.999167,0.979643,0.998414]","[0,0,0,0]","[0,0,0,0]","[-0.874688,-0.735276,-0.868653,-0.853354]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[356896]","[0.905869]","[-2.80194]","[522671]","[96840.2]","[0]","[3.09931]","[0.809554]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[309.034]",3851.56,"[4074.37,7890.49,4067.07,4004.47]","[]","[11898.3]","[]"
4,284500,17285106,364158,1,828.465,1.0403e+07,1.22586,1,0.999959,1,1,1.04641,1.00099,1,0,1,0,1,"[1]","[1]","[31836.8]","[1.25045]","[2.42275]","[60144.2]","[0.00795746]","[1]","[13]","[1]","[0]","[314.206]","[0.000725383]","[0.0661767]",223527,1.2085,2,"[322413,86024]","[0.526991,1.02435]","[-1.81244,1.31907]","[368583,135561]","[0.999761,0.992864]","[0,5]","[0,0]","[-0.818905,0.919607]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[302543]","[0.541216]","[-1.81031]","[347945]","[-0.00390625]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[92.1994]",9383.48,"[3268.78,9564.03]","[]","[5145.88]","[]"
5,284500,15100180,364158,-1,828.465,1.0403e+07,0.187531,1,0.997392,1,1,0.995231,0.9132,1,0,1,0,1,"[1]","[1]","[42647.4]","[0.510068]","[1.08493]","[48316.6]","[-3.2133]","[1]","[13]","[1]","[0]","[-1588.46]","[0.0069127]","[1.01697]",36857.8,-0.972835,6,"[446421,316359,93577.2,41626.4,37972.2,30465.3]","[0.788198,1.15441,1.19463,0.686524,-0.595869,1.36474]","[-1.25861,2.08786,1.06129,2.80323,2.90896,0.265781]","[593354,555741,169314,52588.3,45082.8,63941.5]","[1,0.994678,0.982597,0.995646,0.985418,0.990522]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.976111,0.0314323,-0.93063,-0.761549,0.327052,-0.861992]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[471089,349640]","[0.77797,1.1909]","[-1.25824,1.96809]","[621763,646794]","[31060.1,153564]","[0,0]","[2.21912,1.57977]","[0.699566,0.55039]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[371.578]",2432.59,"[5686.18,4991.65,2479.1,6816.11,7464.25,1904.63]","[]","[36578.6,22707.1]","[]"
6,284500,8756441,364158,1,828.465,1.0403e+07,0.596562,1,0.997676,1,1,0.994458,0.936435,1,0,1,0,1,"[1]","[1]","[47407.3]","[2.02713]","[2.22095]","[183087]","[166.374]","[1]","[13]","[1]","[0]","[-234.331]","[-0.0230463]","[2.72891]",47982,-1.08764,6,"[297663,215470,86037.5,55989.2,30782.6,28075.5]","[0.546841,1.97711,-0.733363,-0.946269,-1.75363,1.74593]","[-3.11024,0.287943,-0.316204,-0.8812,1.76863,-3.11553]","[343457,793090,110811,83716,91649.6,83098.4]","[0.99851,0.980775,1,0.990416,0.976771,0.977579]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.947781,0.563026,-0.598024,-0.781062,-0.8613,-0.887431]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307031]","[0.519413]","[-3.10722]","[349475]","[7813.26]","[0]","[1.82876]","[0.0924052]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[282.438]",19414.3,"[6492.52,5133.47,5995.91,5165.52,2492.85,1921.25]","[]","[3641.53]","[]"
7,284500,12624292,364158,-1,828.465,1.0403e+07,1.22586,1,0.998006,1,1,0.994694,0.925248,1,0,1,0,1,"[1]","[1]","[30946.8]","[2.40623]","[2.78636]","[173027]","[34.0504]","[1]","[13]","[1]","[0]","[-400.39]","[0.0117773]","[1.00099]",40094.6,0.0303099,4,"[235690,112782,29426.5,22344.5]","[0.842083,0.709045,2.24156,1.68802]","[3.04817,-0.133152,-1.53149,-1.34427]","[325016,142775,140157,62647.1]","[0.996024,0.997155,0.967516,0.88701]","[0,0,0,0]","[0,0,0,0]","[-0.817184,-0.82025,0.480452,-0.718984]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[257978]","[0.877901]","[2.9798]","[365738]","[36197.9]","[0]","[2.35416]","[0.404123]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[275.523]",2588.45,"[3878.43,2077.54,4092.33,2199.76]","[]","[26053.6]","[]"
8,284500,8525379,364158,1,828.465,1.0403e+07,0.696077,1,0.990812,1,1,0.998831,1.01756,1,0,1,0,1,"[1]","[1]","[27836.7]","[0.884896]","[-1.17505]","[39465.5]","[0.0681934]","[1]","[13]","[1]","[1461.51]","[656.253]","[-0.00253407]","[0.311884]",181775,2.41796,2,"[247875,108638]","[1.28311,-1.47219]","[-0.378892,-3.07886]","[481662,249497]","[0,0.104953]","[0,0]","[0,0]","[-0.821822,-0.813044]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256260]","[1.27648]","[-0.374885]","[495154]","[13591.4]","[0]","[3.33337]","[0.60897]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[81.6464]",2538.14,"[3513.78,5020.89]","[]","[12390.9]","[]"
9,284500,12153975,364158,0.685702,828.465,1.0403e+07,1.21412,1,1.00098,1,1,0.977336,1.01429,1,0,1,0,1,"[1]","[1]","[30097.9]","[1.44338]","[-1.56828]","[67285.8]","[-0.0401287]","[1]","[13]","[1]","[1302.85]","[627.508]","[-0.0156136]","[1.64191]",44965.2,0.420707,3,"[264327,263562,24732.8]","[-0.147687,-0.118497,1.00376]","[-1.73749,1.41687,1.65199]","[267819,266106,38771.2]","[0.998135,1,1]","[5,0,0]","[0,0,0]","[0.997391,-0.568663,-0.170797]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[266312,259978]","[-0.149452,-0.11523]","[-1.72731,1.42156]","[269424,262063]","[8444.87,13671.6]","[0,0]","[1.74364,2.28404]","[0.0796185,0.303574]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[135.246]",18263.1,"[4280.26,3030.1,2575.16]","[]","[12267.5,1520.23]","[]"
