event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,7956168,364157,0.589165,2431.2,5.6436e+06,0.923924,1,0.994259,1,1,1.25883,0.917328,1,0,1,0,1,"[1]","[1]","[41008.7]","[0.156523]","[2.32774]","[41512.2]","[65.3603]","[-1]","[13]","[1]","[0]","[-467.582]","[0.00837095]","[1.08421]",72034.5,-1.46169,8,"[266155,206252,170972,167286,157898,26643.1,23194.7,22589.4]","[-1.18091,-0.749369,0.156417,-2.45907,0.599279,0.872415,0.839611,-1.01411]","[-1.4385,-1.99936,1.4619,1.41084,1.74878,0.699862,-1.32567,0.15472]","[474928,268170,173689,985323,188289,37725.3,32250.5,35354.6]","[0.990621,1,1,0.992799,0.998583,0.823273,0.978389,0.998957]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[0.0825452,0.927858,-0.57914,-0.925836,-0.835121,-0.39618,-0.228148,-0.836448]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[431249,334264]","[-1.04992,0.354317]","[-1.70313,1.60255]","[710562,369504]","[163082,100882]","[0,0]","[0.80527,0.986196]","[0.619873,0.830376]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[197.37]",4353.33,"[11514.9,5284.82,2224.55,5188.88,2881.8,7507.56,1717.22,1869.78]","[]","[24838.5,14441.4]","[]"
1,284500,2596585,364157,1,2431.2,5.6436e+06,0.75088,1,0.990821,1,1,0.907202,1.0177,1,0,1,0,1,"[1]","[1]","[26358.5]","[1.67574]","[-2.56234]","[72880.3]","[0.0342979]","[1]","[13]","[1]","[2093.47]","[-314.305]","[0.0128173]","[1.32533]",76955.4,1.74067,3,"[572188,503310,33186.4]","[0.279718,-0.501897,1.637]","[-1.44854,1.69093,0.21768]","[594948,568519,88664.6]","[0.98,0.991179,0.989871]","[4,4,0]","[0,0,0]","[-0.905038,-0.535478,-0.446541]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[590408,488033]","[0.297673,-0.482339]","[-1.44824,1.69207]","[616759,545968]","[0.0146158,7759.99]","[0,0]","[0,0]","[-1,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[125.906]",3700.62,"[8717.09,11288.1,4803.6]","[]","[26719.6,13962.1]","[]"
2,284500,4007342,364157,1,2431.2,5.6436e+06,1.32095,1,0.998666,1,1,0.998262,0.988065,1,0,1,0,1,"[1]","[1]","[32680.4]","[2.08848]","[2.99921]","[133932]","[61.7624]","[-1]","[13]","[1]","[0]","[357.656]","[-0.00965102]","[0.732431]",77974.4,-0.532927,3,"[306397,184944,90496.5]","[-0.258736,-1.5157,1.27676]","[2.09452,-1.09829,-0.896704]","[317550,441611,175216]","[0.993751,0.648714,0.996706]","[0,0,0]","[0,0,0]","[0.245249,-0.926253,-0.752158]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[299361]","[-0.260049]","[2.09268]","[310405]","[23144]","[0]","[2.36958]","[0.626076]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[524.516]",9236.84,"[4079.92,5958.12,11140.5]","[]","[9986.75]","[]"
3,284500,1037741,364157,1,2431.2,5.6436e+06,0.75088,1,0.994161,1,1,0.976438,0.94462,1,0,1,0,1,"[1]","[1]","[47364.6]","[-0.107777]","[1.89842]","[47640.1]","[0.0261307]","[-1]","[13]","[1]","[0]","[986.661]","[-0.00366579]","[0.587545]",136620,-0.170825,5,"[139881,83200.9,70156.1,61080.9,26534.7]","[1.07688,1.00771,1.93309,1.28821,1.45951]","[-2.97773,0.416818,-2.7526,-2.27252,-2.67955]","[230070,129667,247762,119527,60248.5]","[0,0.11288,0.150722,0,1]","[0,0,0,0,4]","[0,0,0,0,0]","[-0.791285,-0.799499,-0.431228,-0.878639,0.26951]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270510]","[1.42369]","[-2.77599]","[606637]","[122163]","[0]","[1.23794]","[0.456549]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[266.08]",17384.5,"[3765.33,8373.22,3055.81,50354,855.426]","[]","[3779.5]","[]"
4,284500,5394318,364157,1,2431.2,5.6436e+06,0.738662,1,1.00077,1,1,0.995142,1.02752,1,0,1,0,1,"[1]","[1]","[30666.3]","[1.36035]","[0.230989]","[63695.9]","[117.504]","[1]","[13]","[1]","[0]","[-21.2872]","[-0.020517]","[1.66541]",49607.5,-2.75286,6,"[326073,171421,136372,87951.7,48849.9,21399.6]","[1.00601,1.91228,0.98285,-0.622428,1.6811,-0.650849]","[-1.36642,2.11303,0.636784,2.20928,1.65863,-2.29125]","[506118,593088,208734,106462,136233,26548.7]","[0.998658,0.998672,0.999372,0.99879,1,0.915965]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.921002,-0.94677,-0.960621,-0.895337,0.0705653,-0.901354]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[330865]","[0.976307]","[-1.36987]","[501774]","[17141]","[0]","[2.48529]","[0.686383]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[293.147]",12146.7,"[19369.9,7562.36,7212.81,6017.88,2796.02,1796.92]","[]","[11215.6]","[]"
5,284500,7364306,364157,1,2431.2,5.6436e+06,0.553627,1,0.997392,1,1,0.994853,0.956909,1,0,1,0,1,"[1]","[1]","[52385.8]","[0.401832]","[1.24272]","[56672.5]","[-55.8015]","[-1]","[13]","[1]","[0]","[-1175.57]","[0.0126247]","[2.05351]",14123.7,0.215908,4,"[228546,211110,27038.1,25490.6]","[-0.565609,-1.45259,1.54486,1.48852]","[1.59206,-1.43982,-2.83132,-2.25432]","[267200,476672,66350.5,59613.8]","[0.999894,0.982565,0.996597,0.921099]","[0,0,0,0]","[0,0,0,0]","[-0.891319,-0.955499,-0.478639,-0.568893]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[250642]","[-0.527382]","[1.58487]","[287262]","[23328.5]","[0]","[2.24041]","[0.627135]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[489.948]",23038.5,"[7196.95,4870.39,6542.96,3260.01]","[]","[0]","[]"
6,284500,5566672,364157,1,2431.2,5.6436e+06,1.26205,1,0.997269,1,1,0.99762,0.868668,1,0,1,0,1,"[1]","[1]","[40746.3]","[-2.05057]","[-1.74645]","[160968]","[0.0443802]","[1]","[13]","[0]","[0]","[58.8165]","[0.00397719]","[0.412398]",22348.7,-2.16713,2,"[250649,22097.6]","[0.16241,-1.8515]","[-2.31352,0.703746]","[259401,72172.1]","[0.000924353,1]","[0,0]","[0,0]","[-0.943941,-0.914828]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279204]","[0.168247]","[-2.32214]","[289908]","[62164.2]","[0]","[1.28925]","[0.764672]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[239.639]",12605.1,"[2970.57,1584.77]","[]","[17864.1]","[]"
7,284500,7734369,364157,-1,2431.2,5.6436e+06,0.738662,1,0.998629,1,1,0.997521,0.97034,1,0,1,0,1,"[1]","[1]","[31793.4]","[-2.07872]","[-0.839339]","[129070]","[22.9339]","[-1]","[13]","[1]","[0]","[-355.428]","[0.00844779]","[0.867642]",46242.1,2.31219,4,"[375670,364885,59182.1,36188.9]","[0.055514,-0.317297,2.47814,0.755805]","[1.31789,-1.64285,-2.68288,0.780799]","[378592,384611,355224,47569.5]","[1,1,0.169455,0.981407]","[0,0,0,0]","[0,0,0,0]","[-0.963215,-0.559601,-0.785666,-0.735515]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[371850,343280]","[0.0169934,-0.35498]","[1.30665,-1.63501]","[374408,365542]","[43237,17225.6]","[0,0]","[1.54624,2.05827]","[0.709647,0.365381]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[268.782]",55735.5,"[4919.15,4328.23,5133.61,39838.9]","[]","[28730.2,37050.4]","[]"
8,284500,9546086,364157,0.312834,2431.2,5.6436e+06,1.25133,1,0.999109,1,1,0.996214,0.829614,1,0,1,0,1,"[1]","[1]","[42513.2]","[-0.201876]","[-1.81326]","[43382.6]","[33.9804]","[1]","[13]","[1]","[2625.05]","[-454.326]","[0.00287508]","[0.268697]",27562.8,0.273184,4,"[273661,210423,25921.6,21049.3]","[-1.12899,-1.45317,-0.782089,2.14691]","[1.57698,-1.63628,-1.35006,-2.94271]","[467848,475518,34438.2,91398.1]","[0.997906,0.996785,0.993203,1]","[0,0,0,0]","[0,0,0,0]","[-0.807085,-0.965072,-0.912405,-0.881411]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270643]","[-1.14893]","[1.58172]","[470148]","[17895.6]","[0]","[2.33051]","[0.650219]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[237.649]",908.689,"[8320.07,14542.6,1767.97,3156.61]","[]","[16411.4]","[]"
9,284500,2114412,364157,1,2431.2,5.6436e+06,1.32095,1,1.00069,1,1,0.953305,1.02007,1,0,1,0,1,"[1]","[1]","[40182.4]","[1.48097]","[0.489476]","[92914.7]","[0.0364189]","[-1]","[13]","[1]","[0]","[1166.83]","[-0.0148299]","[1.6314]",33887.2,-3.09503,2,"[339672,325027]","[-0.431148,1.21713]","[-1.20956,1.94211]","[372416,597338]","[1,0.998426]","[4,0]","[0,0]","[-0.857878,-0.812303]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[371099,345294]","[1.21045,-0.45188]","[1.94034,-1.21347]","[677921,381317]","[11634.4,11218.3]","[0,0]","[2.78276,8.72911]","[0.273501,0.428248]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[317.724]",5227.83,"[4111.82,14799.9]","[]","[10650.3,15418.5]","[]"
