event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,20896743,364156,-1,15317.2,1.66193e+07,1.55465,1,0.99534,1,1,0.998261,0.991139,1,0,1,0,1,"[1]","[1]","[35741.3]","[-0.484141]","[-0.513825]","[40012.7]","[-0.0214767]","[-1]","[13]","[1]","[0]","[-600.653]","[0.0345916]","[4.27102]",123251,2.3606,3,"[280986,115960,96833.5]","[0.16743,-1.56422,2.03583]","[-1.12009,2.27107,1.78934]","[285149,289501,377404]","[0.287,0,0]","[0,0,0]","[0,0,0]","[-0.774903,-0.748616,-0.757794]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[292960]","[0.142877]","[-1.1215]","[296276]","[13789.7]","[0]","[2.78539]","[0.64456]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[111.097]",8006.71,"[3877.65,3254.68,3514.16]","[]","[15907.6]","[]"
1,284500,21449919,364156,1,15317.2,1.66193e+07,0.596562,1,0.98422,1,1,0.998808,1.01646,1,0,1,0,1,"[1]","[1]","[29586.2]","[1.84162]","[-0.251325]","[95641.9]","[0.0152969]","[1]","[13]","[1]","[0]","[1411.39]","[0.003178]","[0.33582]",33045.7,-3.00267,2,"[395825,382647]","[-0.0872234,-1.94438]","[1.22371,-1.92268]","[397734,1.36476e+06]","[0.997872,0.998331]","[0,0]","[0,0]","[0.61827,-0.939025]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[397485,373187]","[-0.129388,-1.96915]","[1.22574,-1.92026]","[401014,1.363e+06]","[12554.8,15504.9]","[0,0]","[4.62329,3.88628]","[0.156127,0.717366]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[142.799]",13987.3,"[5841.93,18236.1]","[]","[31246.4,28759.2]","[]"
2,284500,18728065,364156,1,15317.2,1.66193e+07,1.32095,1,0.995111,1,1,0.997226,0.969816,1,0,1,0,1,"[1]","[1]","[45973.3]","[-0.685359]","[0.223577]","[57200]","[-98.0278]","[1]","[13]","[1]","[0]","[469.616]","[-0.0203044]","[2.36043]",38230.2,-2.02842,4,"[267647,200231,136082,78607.9]","[-0.864426,2.37283,-0.000897892,-1.10862]","[-1.0791,2.61065,2.10652,0.139726]","[375646,1.08347e+06,136873,132361]","[0.99915,1,0.990882,0.997668]","[0,0,0,0]","[0,0,0,0]","[-0.739358,-0.920778,-0.861474,-0.200507]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[284615]","[-0.858507]","[-1.09081]","[398380]","[42535.5]","[0]","[1.73723]","[0.726702]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[104.21]",15145.4,"[14842.8,5007.52,7679.04,2175.73]","[]","[18873.6]","[]"
3,284500,22084868,364156,1,15317.2,1.66193e+07,0.00292683,1,0.998203,1,1,0.996273,0.958669,1,0,1,0,1,"[1]","[1]","[49657.6]","[-0.8191]","[3.00472]","[67268.4]","[-0.0182419]","[1]","[13]","[1]","[0]","[1448.6]","[-0.0333146]","[3.36767]",59820.2,1.65756,4,"[287717,189222,68623.3,30015.8]","[0.822369,1.15692,1.26691,-2.2452]","[-1.25739,2.07498,1.02181,-0.729055]","[391482,333025,131820,143334]","[0.151254,0.55,0.566661,0.995133]","[0,0,0,0]","[0,0,0,0]","[-0.664354,-0.814096,-0.93138,-0.933351]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[295987]","[0.782532]","[-1.26049]","[397243]","[68269.5]","[0]","[2.45161]","[0.666092]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[358.632]",2706.77,"[3542.63,5877.73,5961.68,2188.8]","[]","[8185.66]","[]"
4,284500,3117284,364156,-1,15317.2,1.66193e+07,1.74563,1,0.99651,1,1,0.998022,0.898807,1,0,1,0,1,"[1]","[1]","[34917]","[-0.713939]","[-2.44934]","[44200.3]","[82.7204]","[1]","[13]","[1]","[0]","[3294.69]","[-0.028699]","[3.31284]",37109.2,-2.32141,3,"[263201,253429,33534.1]","[-0.429298,0.552656,1.2337]","[-1.89232,1.22109,1.06998]","[288363,293652,62621.5]","[0.99365,0.945238,0.980527]","[0,0,0]","[0,0,0]","[-0.94536,-0.486392,-0.913517]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[289804,277689]","[0.612321,-0.451152]","[1.20243,-1.89554]","[355826,307165]","[83655.3,21202.3]","[0,0]","[1.82943,2.7855]","[0.77067,0.645458]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[195.79]",19834.8,"[3560.4,11183.1,4519.18]","[]","[7942.31,9581.47]","[]"
5,284500,16848868,364156,1,15317.2,1.66193e+07,0.553627,1,0.995945,1,1,0.996171,0.986343,1,0,1,0,1,"[1]","[1]","[36141.4]","[-0.0847113]","[1.13849]","[36271.3]","[65.7365]","[1]","[13]","[1]","[0]","[-653.132]","[-0.0150021]","[1.73948]",32173.5,-1.13658,4,"[242462,157067,42316.6,21787.6]","[-0.41996,-0.855025,2.17411,-1.08796]","[-3.14146,0.194884,0.837357,-1.20941]","[265283,218471,188641,36352.8]","[0.993643,0.999699,0.932977,0.720819]","[0,0,0,0]","[0,0,0,0]","[-0.573973,-0.488381,-0.744842,-0.850149]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252414]","[-0.444632]","[-3.13758]","[278606]","[21449.5]","[0]","[1.78466]","[0.498427]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[134.386]",7308.56,"[3932.62,2326.65,2369.02,2147.33]","[]","[21274.1]","[]"
6,284500,13609580,364156,1,15317.2,1.66193e+07,1.1961,1,0.998852,1,1,0.998475,1.05401,1,0,1,0,1,"[1]","[1]","[34509.2]","[-0.878551]","[-0.140862]","[48706.2]","[-32.5616]","[1]","[13]","[1]","[4672.5]","[296.215]","[0.0134719]","[1.24988]",14612,0.821886,2,"[261882,37579.1]","[0.0900905,-1.62725]","[-0.35545,-1.87546]","[264283,99474.4]","[0.992282,0.979373]","[0,0]","[0,0]","[-0.568119,-0.72046]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[291123]","[0.0255024]","[-0.346394]","[294154]","[41458.3]","[0]","[1.82866]","[0.727159]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[59.2605]",11304,"[5722.58,3564.12]","[]","[13119.2]","[]"
7,284500,24809704,364156,1,15317.2,1.66193e+07,1.24168,1,0.98871,1,1,0.998269,0.937553,1,0,1,0,1,"[1]","[1]","[58387.2]","[1.85096]","[1.46575]","[190431]","[18.3119]","[-1]","[13]","[1]","[0]","[1779.73]","[-0.0110807]","[1.60723]",95555.4,-1.42769,3,"[306747,268600,22857.7]","[-1.65403,0.166001,0.35654]","[1.24259,-1.99207,-1.47275]","[831410,274131,24543]","[0.995517,1,0.955517]","[0,0,0]","[0,0,0]","[-0.894038,-0.946099,-0.47615]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[302176,295271]","[-1.66351,0.168415]","[1.2399,-1.95757]","[826275,303090]","[19612.2,46711.9]","[0,0]","[3.0316,2.02596]","[0.560161,0.74796]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[252.55]",7417.84,"[5178.51,3219.85,1688.35]","[]","[9874.94,1814.88]","[]"
8,284500,21123163,364156,-1,15317.2,1.66193e+07,0.923924,1,0.995759,1,1,0.995828,0,1,0,1,0,1,"[1]","[1]","[25055.3]","[2.13268]","[0.643175]","[107186]","[74.446]","[1]","[13]","[1]","[0]","[1579.61]","[0.00677566]","[0.566773]",49313.5,-3.01792,5,"[239721,210723,51987.7,26856.3,21232.6]","[0.445025,0.0184436,0.0520565,1.43291,-0.790715]","[2.31605,-0.44412,-2.3231,3.03414,0.738784]","[265214,212691,52854.9,59743.7,28557.9]","[0.999184,0.99983,0.989527,0.990916,0.937322]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.856326,-0.904833,-0.939584,-0.86794,-0.864854]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265410]","[0.406838]","[2.32116]","[289330]","[30861.2]","[0]","[1.95579]","[0.638869]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[290.739]",7093.69,"[5596.42,3662.53,7122.41,1963.05,1620.15]","[]","[8625.44]","[]"
9,284500,15821802,364156,1,15317.2,1.66193e+07,1.26205,1,0.997014,1,1,0.996579,0.959246,1,0,1,0,1,"[1]","[1]","[44889.4]","[-1.06136]","[-1.60288]","[72637.5]","[12.2981]","[-1]","[13]","[1]","[0]","[599.989]","[0.000196249]","[0.0235566]",44280.7,2.41372,5,"[265510,137391,98402.1,79047.8,36620.2]","[0.659006,-0.874845,0.442433,-0.193198,-0.273987]","[-0.59151,2.15803,-2.37009,2.1525,1.40783]","[326446,194454,109137,81423.2,38614.6]","[0.998211,0.997311,0.99102,0.98268,0.987627]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.826157,-0.607628,-0.437422,-0.518065,-0.815853]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[292985]","[0.683802]","[-0.575022]","[367174]","[46686.5]","[0]","[2.33592]","[0.41766]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[678.723]",1732.32,"[4776.13,4998.9,7479.32,1857.02,3687.1]","[]","[4126.28]","[]"
